title,jenis_infobox,infobox
Garuda Indonesia Penerbangan 865,infobox aircraft occurrence,"{{Infobox aircraft occurrence
| name            = Garuda Indonesia Penerbangan 865
| date            = 13 Juni 1996
| image           = PK-GIE Garuda Indonesia McDonnell Douglas DC-10-30 at Hong Kong Kai Tak Airport in July 1993.jpg
| caption         = PK-GIE, pesawat Garuda Indonesia yang mengalami kecelakaan, pada tahun 1993.
| summary         = Pembatalan lepas landas akibat kerusakan mesin dari kelalaian perawatan
| occurrence_type = Kecelakaan
| site            = [[Bandar Udara Fukuoka]], [[Fukuoka]], Jepang
| coordinates     = {{coord|33|34|11|N|130|27|42|E|type:event|display=inline,title}}
| aircraft_type   = [[McDonnell Douglas DC-10|McDonnell Douglas DC-10-30]]
| operator        = [[Garuda Indonesia]]
| origin          = Bandar Udara Fukuoka, Fukuoka, Jepang
| stopover        = [[Bandar Udara Internasional Ngurah Rai]], [[Denpasar]], [[Bali]], Indonesia
| destination     = [[Bandar Udara Internasional Soekarno-Hatta]], [[Jakarta]], Indonesia
| tail_number     = PK-GIE
| occupants       = 275
| passengers      = 260
| crew            = 15
| fatalities      = 3
| injuries        = 170
| survivors       = 272
}}"
KMP Tampomas,,
Maqdir Ismail,infobox person,"{{Infobox person
| honorific_prefix   = 
| name               = Maqdir Ismail
| honorific_suffix   = 
| image              = 
| caption            = 
| birth_name         = 
| birth_date         = {{Birth date and age|1954|8|18}}
| birth_place        = [[Baturaja, Ogan Komering Ulu|Baturaja]], [[Sumatera Selatan]], Indonesia
| death_date         = 
| death_place        = 
| alma_mater         = {{ubl|[[Universitas Islam Indonesia]]|[[Universitas Western Australia]]|[[Universitas Indonesia]]}}
| occupation         = Pengacara
| years_active       = 1980–sekarang
| known_for          = 
| notable_works      = 
| party              = [[Partai Demokrasi Indonesia Perjuangan|PDI Perjuangan]]
| otherparty         =
| spouse             = 
| children           = 
| parents            = 
| mother             = 
| father             = 
| relatives          = 
| awards             = 
}}"
Abdul Haris Nasution,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = [[Jenderal Besar]] [[TNI]] ([[Purnawirawan|Purn.]])
| name                = Abdul Haris Nasution
| image               = Abdul Haris Nasution.jpg
| caption             = A.H. Nasution sebagai Ketua MPRS tahun 1971
| office              = Daftar Ketua Majelis Permusyawaratan Rakyat{{!}}Ketua Majelis Permusyawaratan Rakyat Sementara
| order               = ke-2
| term_start          = 1966
| term_end            = 1972
| president           = {{unbulleted list|[[Soekarno]]|[[Soeharto]]}}
| predecessor         = [[Chaerul Saleh]]
| successor           = [[Idham Chalid]]
| office2             = Daftar Menteri Pertahanan Indonesia{{!}}Menteri Pertahanan dan Keamanan Indonesia
| order2              = ke-12
| term_start2         = 10 Juli 1959
| term_end2           = 24 Februari 1966
| president2          = [[Soekarno]]
| predecessor2        = [[Djoeanda Kartawidjaja]]
| successor2          = [[M. Sarbini|Sarbini]]
| office3             = Daftar Panglima TNI{{!}}Panglima Angkatan Bersenjata Republik Indonesia/Kepala Staf Angkatan Bersenjata Republik Indonesia
| order3              = ke-3 dan ke-5
| term_start3         = 1955
| term_end3           = 1959
| president3          = [[Soekarno]]
| predecessor3        = [[T.B. Simatupang]]
| successor3          = [[Soerjadi Soerjadarma]]
| term_start4         = 1961
| term_end4           = 1968
| president4          = [[Soekarno]]
| predecessor4        = [[Soerjadi Soerjadarma]]
| successor4          = [[Soeharto]]
| office5             = Kepala Staf TNI Angkatan Darat
| order5              = ke-2 dan ke-5
| term_start5         = 27 Desember 1949
| term_end5           = 18 Oktober 1952
| president5          = [[Soekarno]]
| predecessor5        = [[Djatikoesoemo]]
| successor5          = [[Bambang Soegeng]]
| term_start6         = 1 November 1955
| term_end6           = 21 Juni 1962
| president6          = [[Soekarno]]
| predecessor6        = [[Bambang Utoyo]]
| successor6          = [[Ahmad Yani]]
| office7             = Daftar Wakil Panglima Tentara Nasional Indonesia {{!}}Wakil Panglima Besar Tentara Keamanan Rakyat Indonesia
| order7              = ke-1
| term_start7         = 1948
| term_end7           = 1953
| president7          = [[Soekarno]]
| 1blankname7         = Panglima
| 1namedata7          = [[Soedirman]]
| predecessor7        = ''Jabatan dibentuk''
| successor7          = [[Maraden Panggabean]]
| birth_date          = {{birth date|1918|12|3}}
| birth_place         = [[Kotanopan, Mandailing Natal|Kotanopan]], [[Kabupaten Mandailing Natal|Mandailing]], [[Hindia Belanda]]
| death_date          = {{death date and age|2000|9|6|1918|12|3}}
| death_place         = [[Jakarta]], [[Indonesia]]
| nationality         = [[Indonesia]]
| party               = {{unbulleted list|{{Parpolicon|IPKI}} (sebelumnya)|{{Parpolicon|Independen}}}}
| spouse              = [[Johana Sunarti Nasution|Johanna Sunarti]]<ref name=Magsaysay>''[http://www.rmaf.org.ph/madc/archive/files/biography_61e02c5ad8.pdf Biography of Johanna Nasution]{{Pranala mati|date=Januari 2021 |bot=InternetArchiveBot |fix-attempted=yes }}'', 1981 Ramon Magsaysay Award for Public Service, Magsaysay Awardees Digital Collection.</ref>
| children            = {{unbulleted list|Hendrianti Saharah|[[Ade Irma Suryani Nasution|Ade Irma Suryani]]<ref name=Magsaysay/>}}
| profession          = [[Tentara]]
| religion            = [[Islam]]
| signature           = Signature of Abdul Haris Nasution.svg
| nickname            = Pak Nas
| allegiance          = {{bulleted list|{{flag|Hindia Belanda}} (1941—1942)|{{flag|Kekaisaran Jepang}} (1942—1945)|{{flag|Indonesia}} (1945—1952, 1955—1971)}}
| branch              = {{bulleted list|{{flagicon image|Flag of the Netherlands.svg}} [[Koninklijk Nederlandsch-Indische Leger|KNIL]] (1941—1942)|{{flagicon image|Flag of PETA (Pembela Tanah Air).svg}} [[Pembela Tanah Air|PETA]] (1942—1945)|{{flagicon image|Flag of the Indonesian Army.svg}} [[TNI Angkatan Darat]] (1945—1952, 1955—1971)}}
| serviceyears        = 1941—1952{{br}}1955—1971
| rank                = [[File:23-TNI Army-GA.svg|25px| ]] [[Jenderal Besar]] [[TNI]]
| commands            = Panglima [[Divisi Siliwangi]]
| unit                = [[Infanteri]]
| battles             = [[Perang Dunia II]]{{tree list}}
**[[Kampanye Hindia Belanda]]{{Br}}
[[Revolusi Nasional Indonesia]]{{tree list}}
**[[Bandung Lautan Api]]
**[[Pemberontakan PKI 1948]]
**[[Agresi Militer Belanda II]]
**[[Serangan Umum 1 Maret 1949]]
**[[Pemberontakan Darul Islam]]{{br}}
[[Invasi Ambon]]{{br}}[[Permesta|Pemberontakan Permesta]]{{br}}[[Operasi Trikora]]{{br}}[[Konfrontasi Indonesia-Malaysia]]
| awards              = [[Pahlawan Nasional Indonesia]]
| relations           = 
| laterwork           = 
}}"
Syafruddin Prawiranegara,infobox president,"{{Infobox President
| name                = Syafruddin Prawiranegara<br />
| image               = Sjafruddin_Prawiranegara.jpg
| image_size          = 200px
| caption             = Syafruddin pada 1960-an
| office              = [[Kabinet Darurat|Ketua <br> Pemerintahan Darurat Republik Indonesia]]<br/><small>''Setingkat Presiden dan Perdana Menteri Republik Indonesia''</small>{{efn|Merangkap Menteri Keuangan dan Penerangan.{{sfn|Kementerian Penerangan|1986|p=172}} Awalnya juga sebagai Menteri Dalam Negeri, tetapi digantikan oleh [[A.A. Maramis]].{{sfn|Kahin|1999|p=140}}}}
| term_start          = 19 Desember 1948
| term_end            = 14 Juli 1949
| predecessor         = [[Sukarno]]
| successor           = [[Sukarno]]{{efn|Sebagai  [[Presiden Indonesia]] baik sebelum dan setelahnya.}}
| office1             = Wakil Perdana Menteri Indonesia
| order1              = ke-3
| term_start1         = 4 Agustus 1949
| term_end1           = 20 Desember 1949
| president1          = [[Sukarno]]
| primeminister1      = [[Mohammad Hatta]]
| predecessor1        = [[Adenan Kapau Gani]]<br>[[Setyadjit Soegondo]]<br>[[Raden Sjamsoeddin]]<br>[[Wondoamiseno]]
| successor1          = [[Abdul Hakim Harahap]]
| office2             = Gubernur Bank Indonesia
| order2              = ke-1
| term_start2         = 1 Juli 1953{{efn|Sebelumnya juga menjabat Gubernur ''De Javasche Bank'', pendahulu BI, sejak 15 Juli 1951.{{sfn|Madinier|2015|p=197}} Tanggal yang dipakai disini merupakan tanggal resminya perubahan ''De Javasche Bank'' menjadi Bank Indonesia.}}
| term_end2           = 1 Februari 1958
| president2          = [[Sukarno]]
| primeminister2      = 
| predecessor2        = ''Tidak ada; jabatan baru''
| successor2          = [[Lukman Hakim (birokrat)|Lukman Hakim]]
| office3             = Menteri Kemakmuran Indonesia
| order3              = ke-4
| term_start3         = 29 Januari 1948
| term_end3           = 4 Agustus 1949
| president3          = [[Sukarno]]
| predecessor3        = [[Adenan Kapau Gani]]
| successor3          = [[Ignatius Joseph Kasimo Hendrowahyono|I. J. Kasimo]]
| office4             = Menteri Keuangan Indonesia
| order4              = ke-5
| term_start4         = 20 Desember 1949
| term_end4           = 27 April 1951{{efn|Di antara 20 Desember 1949 dan 6 September 1950, Sjafruddin menjabat sebagai Menteri Keuangan pada [[Kabinet Republik Indonesia Serikat]], bukan sebagai Menteri Keuangan pada [[Republik Indonesia (1949–1950)|negara bagian Republik Indonesia]], yang dijabat oleh [[Lukman Hakim (birokrat)|Lukman Hakim]].{{sfn|Ministry of Finance|1991|p=43}}}}
| president4          = [[Sukarno]]
| predecessor4        = [[Lukman Hakim (birokrat)|Lukman Hakim]]
| successor4          = [[Jusuf Wibisono]]
| term_start5         = 2 Oktober 1946
| term_end5           = 26 Juni 1947
| president5          = [[Sukarno]]
| predecessor5        = [[Surachman Tjokroadisurjo]]
| successor5          = [[Alexander Andries Maramis]]
| office6             = Menteri Muda Keuangan Indonesia
| order6              = ke-1
| term_start6         = 12 Maret 1946
| term_end6           = 2 Oktober 1946
| president6          = [[Sukarno]]
| predecessor6        = ''Tidak ada; jabatan baru''
| successor6          = [[Lukman Hakim (birokrat)|Lukman Hakim]]
| birth_date          = {{birth date|1911|2|28}}
| birth_place         = [[Kabupaten Serang|Serang]], [[Keresidenan Banten]], [[Hindia Belanda]]
| death_date          = {{death date and age|1989|2|15|1911|2|28}}
| death_place         = [[Jakarta]], [[Indonesia]]
| nationality         = Indonesia
| party               = [[Partai Masyumi (1945)|Masyumi]]
| spouse              = [[Tengku Halimah Syehabuddin Prawiranegara]]
| profession          = Politisi
| blank1              = Agama
| data1               = Islam
| signature           = Signature of Sjafruddin Prawiranegara.svg
}}"
Milisi pro-Indonesia di Timor Leste,,
Festival Film Indonesia 1979,,
Sarwo Edhie Wibowo,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name                = Sarwo Edhie Wibowo
|honorific-suffix    =
|image               = Sarwo Edhie Wibowo, Irian Barat dari Masa ke Masa, p155-156.jpg
|office              = [[Duta Besar Indonesia untuk Korea Selatan]]
|term_start          = Mei 1973
|term_end            = Mei 1978
|president           = [[Soeharto]]
|predecessor         = [[Leonardus Benyamin Moerdani]]<br/><small>''Pejabat Duta Besar''</small>
|successor           = [[Kaharuddin Nasution]]
|office2              = [[Komando Daerah Militer XVII/Cenderawasih|Panglima Komando Daerah Militer XVII/Cenderawasih]]
|term_start2          = 2 Juli 1968
|term_end2            = 20 Februari 1970
|president2           = [[Soeharto]]
|predecessor2        = [[R. Bintoro]]
|successor2           = [[Acub Zaenal]]
|office4             = Komandan Jenderal Komando Pasukan Khusus{{!}}Komandan Resimen Para Komando Angkatan Darat
|order4 = ke-5
|term_start4         = 1964
|term_end4           = 1967
|predecessor4        = [[Mung Parhadimulyo]]
|successor4          = [[Widjoyo Suyono]]
|office3             = [[Komando Daerah Militer I/Bukit Barisan|Panglima Komando Daerah Militer II/Bukit Barisan]]
|term_start3     = 25 Juni 1967
|term_end3      = 2 Juli 1968
|predecessor3    = [[Sobiran]]
|successor3    = [[Leo Lopulisa]]
|birth_date         = {{Birth date|1925|7|25}}
|birth_place        =  [[Pangenjuru Tengah, Purworejo, Purworejo|Pangenjuru]], [[Purworejo, Purworejo|Purworejo]], [[Hindia Belanda]]
|death_date         = {{death date and age|1989|11|9|1925|7|25}}
|death_place        = [[Jakarta]], [[Indonesia]]
|nationality        = {{flag|Indonesia}}
|spouse             = Ny. Sunarti Sri Hadiyah
| battles             = {{bulleted list|[[Revolusi Nasional Indonesia]]|[[Gerakan 30 September ]]}}
|relations          ={{unbulleted list|1. [[Susilo Bambang Yudhoyono|Jenderal TNI (HOR) Susilo Bambang Yudhoyono]] (menantu)|2. [[Erwin Sudjono|Letjen TNI Erwin Sudjono]] (menantu)|3. [[Hadi Utomo|Kolonel Inf Hadi Utomo]] (menantu)|4. [[Agus Harimurti Yudhoyono|Mayor Inf Agus Harimurti Yudhoyono]] (Cucu)|5. [[Danang Prasetyo Wibowo|Letkol Inf Danang Prasetyo Wibowo]] (Cucu)|6. Novita Wibowo (cucu)}} 
|children           = {{unbulleted list|1. Wijiasih Cahyasasi|2. Wrahasti Cendrawasih|3. [[Kristiani Herrawati]]|4. Mastuti Rahayu|5. [[Pramono Edhie Wibowo|Jenderal TNI Pramono Edhie Wibowo]]|6. Retno Cahyaningtyas|7. [[Hartanto Edhie Wibowo]]}}
|occupation         = Tentara
|allegiance = {{unbulleted list|{{flag|Kekaisaran Jepang}} (1942—1945)|{{flag|Indonesia}} (1945—1975)}}
|branch = {{unbulleted list|{{flagicon image|Flag of PETA (Pembela Tanah Air).svg}} [[Pembela Tanah Air|PETA]] (1942—1945)|{{flagicon image|Flag of the Indonesian Army.svg}} [[TNI Angkatan Darat]] (1945—1975)}}
|serviceyears = 1942—1975
|rank = [[File:22-TNI Army-GEN.svg|25px| ]] [[Jenderal]] [[TNI]] ([[Kehormatan latin|HOR]].)
|unit = [[Infanteri]] ([[Kopassus|RPKAD]])
}}"
Operasi tempur tahun 1965 pada konfrontasi Indonesia–Malaysia,,
Indonesia dalam tahun 1990,,
