Title,Properties
Garuda Indonesia Penerbangan 206,"{{Infobox aircraft occurrence
|name            = Garuda Indonesia Penerbangan 206
|occurrence_type = Pembajakan
|image           = PK-GNQ-DC9.jpg
|caption         = 
|date            = 28 Maret 1981
|type            = [[Pembajakan pesawat|Pembajakan]]
|site            = Udara Indonesia
|aircraft_type   = [[McDonnell Douglas DC-9|McDonnell Douglas DC-9-32]]
|aircraft_name   = ""Woyla""
|operator        = [[Garuda Indonesia]]
|tail_number     = PK-GNJ
|origin          = [[Bandar Udara Internasional Sultan Mahmud Badaruddin II|Bandara Talang Betutu]], [[Palembang]] [[Indonesia]]
|destination     = [[Bandara Internasional Polonia]], [[Medan]] Indonesia
|passengers      = 57
|crew            = 
|injuries        = 2
|fatalities      = 6 (4 pembajak, 1 kommando, dan pilot)
|survivors       = 57
}}"
Pemilihan umum legislatif Indonesia 1982,"{{Infobox Election
| election_name      = Pemilihan umum legislatif Indonesia 1982
| country            = Indonesia
| type               = Parlementer
| ongoing            = no
| previous_election  = Pemilihan umum legislatif Indonesia 1977
| previous_year      = 1977
| next_election      = Pemilihan umum legislatif Indonesia 1987
| next_year          = 1987
| seats_for_election = 360 kursi [[Dewan Perwakilan Rakyat]]
| election_date      = {{Start date|1982|05|4}}

| image1             = [[Berkas:Amir Murtono, Memperkenalkan Anggota-Anggota DPR Hasil Pemilu 1982, p148 (3x4).jpg|100px]]
| leader1            = [[Amir Murtono]]
| party1             = Golongan Karya
| last_election1     = 232 kursi, 62,11%
| seats1             = 242
| seat_change1       = {{increase}} 10
| popular_vote1      = 48.334.724
| percentage1        = 64,34%
| swing1             = {{increase}} 2,23%

| image2             = [[Berkas:Jailani Naro, Dewan Perwakilan Rakyat Republik Indonesia Periode 1971 - 1977, p14.jpg|100px]]
| leader2            = [[Jailani Naro]]
| party2             = Partai Persatuan Pembangunan
| last_election2     = 99 kursi, 29,29%
| seats2             = 94
| seat_change2       = {{decrease}} 5
| popular_vote2      = 20.871.880
| percentage2        = 27,78%
| swing2             = {{decrease}} 1,51%

| image3             = [[Berkas:Soenawar Soekawati - Menneg Kesra - Anggota Kabinet Pembangunan II.jpg|100px]]
| leader3            = [[Sunawar Sukowati]]
| party3             = Partai Demokrasi Indonesia
| last_election3     = 29 kursi, 8,60%
| seats3             = 24
| seat_change3       = {{decrease}} 5
| popular_vote3      = 5.919.702
| percentage3        = 7,88%
| swing3             = {{decrease}} 0,72%
| map_image         = [[File:Map of 1982 Indonesian Legislative Election - Cities and Regencies.svg|300px]]
| map_size          = 
| map_alt           = 
| map               = 
| map_caption       = Hasil pemilu menunjukkan partai dengan perolehan suara terbesar.<br />{{Legend|#FF0|Golkar}}{{Legend|green|PPP}}{{Legend|red|PDI}}
}}"
Tim Gabungan Pencari Fakta,
Indonesia dalam tahun 1979,
Kontroversi angket Majalah Monitor,
Festival Film Indonesia 1976,
Indonesia dalam tahun 1990,
Merpati Nusantara Airlines Penerbangan 422,"{{Infobox Aircraft occurrence
|name             = Merpati Nusantara Airlines Flight 422
|occurrence_type  = Kecelakaan
|image            = Merpati Nusantara Fokker F-28-4000 Fellowship Pichugin.jpg
|image_size       = 250
|alt              = 
|caption          = PK-GKU, sebuah Fokker F28ER yang mengalami kecelakaan. 
|date             = 30 November 1994 
|type             = Kehabisan landasan
|site             = [[Bandar Udara Internasional Achmad Yani]]
|aircraft_type    = [[Fokker F28ER]]
|operator         = [[Merpati Nusantara Airlines]]
|tail_number      = PK-GKU
|origin           = [[Bandar Udara Halim Perdanakusuma]], [[Jakarta]], [[Indonesia]]
|destination      = [[Bandar Udara Internasional Achmad Yani]], [[Indonesia]]
|passengers       = 79 
|crew             = 6
|injuries         = 27 
|fatalities       = 0
|survivors        = 85 (semua)
}}"
Pemilihan umum legislatif Indonesia 1971,"{{Infobox election
| country = Indonesia
| type = parlementer
| previous_election = Pemilihan umum legislatif Indonesia 1955
| previous_year = 1955
| next_election = Pemilihan umum legislatif Indonesia 1977
| next_year = 1977
| seats_for_election = 360 dari 460 kursi di [[Dewan Perwakilan Rakyat]]
| majority_seats = 180
| election_date = 3 Juli 1971
| turnout = 96.6% <br /> {{increase}}5.2%
| image1 = 
| leader1 = [[Suprapto Sukowati]]
| party1 = Partai Golongan Karya
| last_election1 = –
| seats1 = '''236'''
| seat_change1 = ''Partai baru''
| popular_vote1 = '''23,681,471'''
| percentage1 = '''62.80%'''
| swing1 = ''Partai baru''
| image2 = [[File:Idham Chalid.jpg|100x100px]]
| leader2 = [[Idham Chalid]]
| party2 = [[Nahdlatul Ulama|NU]]
| color2 = 006400
| last_election2 = 18.41%, 45 kursi
| seats2 = 58
| seat_change2 = {{increase}}13
| popular_vote2 = 10,213,650
| percentage2 = 18.67%
| swing2 = {{increase}}0.26%
| image3 = [[File:Mohammad Isnaeni, Dewan Perwakilan Rakyat Republik Indonesia Periode 1971 - 1977, p14.jpg|100x100px]]
| leader3 = [[Mohammad Isnaeni]]
| party3 = Partai Nasional Indonesia
| last_election3 = 22.32%, 57 kursi
| seats3 = 20
| seat_change3 = {{decrease}}37
| popular_vote3 = 3,793,266
| percentage3 = 6.93%
| swing3 = {{decrease}}15.39%
| image4 = [[File:Mohammad Syafa'at Mintaredja, Minister of Social Affairs of Indonesia.jpg|100x100px]]
| leader4 = [[Mohammad Syafa'at Mintaredja]]
| party4 = [[Parmusi]]
| color4 = 000000
| last_election4 = 20.92%, 57 kursi
| seats4 = 24
| seat_change4 = {{decrease}}33
| popular_vote4 = 2,930,746
| percentage4 = 5.36%
| swing4 = {{decrease}}15.56%
| image5 = [[File:Anwar Tjokroaminoto, Kepartaian dan Parlementaria Indonesia (1954), p336.jpg|100x100px]]
| leader5 = [[Anwar Tjokroaminoto]]
| party5 = [[Indonesian Islamic Union Party|PSII]]
| color5 = 000000
| last_election5 = 2.89%, 8 kursi
| seats5 = 10
| seat_change5 = {{increase}}2
| popular_vote5 = 1,308,237
| percentage5 = 2.39%
| swing5 = {{decrease}}0.50%
| image6 = [[File:Melanchton Siregar, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p346.jpg|100x100px]]
| leader6 = [[Melanchton Siregar]]
| party6 = [[Partai Kristen Indonesia|Parkindo]]
| color6 = 799BCB
| last_election6 = 2.66%, 8 kursi
| seats6 = 7
| seat_change6 = {{decrease}}1
| popular_vote6 = 733,359
| percentage6 = 1.34%
| swing6 = {{decrease}}1.32%
| image7 = [[File:Indonesia Ambassador to Belgium Frans Seda.jpg|100x100px]]
| leader7 = [[Frans Seda]]
| party7 = [[Partai Katolik (Indonesia)|Partai Katolik]]
| color7 = 800000
| last_election7 = 2.04%, 6 kursi
| seats7 = 3
| seat_change7 = {{decrease}}3
| popular_vote7 = 603,740
| percentage7 = 1.10%
| swing7 = {{decrease}}0.96%
| image8 = [[File:Rusli Halil, Riwayat Hidup Anggota-Anggota Majelis Permusyawaratan Rakyat Hasil Pemilihan Umum 1971, p993.jpg|100x100px]]
| leader8 = [[Rusli Halil]]
| party8 = [[Islamic Education Movement|Perti]]
| color8 = 006400
| last_election8 = 1.28%, 4 kursi
| seats8 = 2
| seat_change8 = {{decrease}}2
| popular_vote8 = 381,309
| percentage8 = 0.69%
| swing8 = {{decrease}}0.59%
| map_image = [[File:Map of 1971 Indonesian Legislative Election - Cities and Regencies.svg|300px]]
| map_size = 
| map_alt = 
| map = 
| map_caption = Hasil pemilu menunjukkan partai dengan perolehan suara terbesar.<br />{{Legend|#FF0|Golkar}}{{Legend|green|NU}}{{Legend|red|PNI}}{{Legend|black|Parmusi}}{{Legend|#014b20|PSII}}{{Legend|Maroon|Partai Katolik}}
| map2 = [[File:Indonesia Parliament 1971.svg]]
| map2_caption = Komposisi [[Dewan Perwakilan Rakyat]] setelah Pemilu 1971.
}}"
Indonesia dalam tahun 1993,
