Title,Properties
Aspri,
Mafia Berkeley,
Widjojo Nitisastro,"{{Infobox Officeholder
|honorific-prefix = [[Profesor|Prof.]] [[Doktor|Dr.]]
|name             = {{PAGENAME}}
|image            = Widjojo Nitisastro (1977).jpg
|imagesize        = 
|caption          = 
|office           = Menteri Koordinator Bidang Ekonomi, Keuangan, dan Industri Indonesia
|order            = ke-2
|president        = [[Soeharto]]
|term_start       = 29 Maret 1973
|term_end         = 19 Maret 1983
|predecessor      = [[Hamengkubuwono IX]]
|successor        = [[Ali Wardhana]]
|office1          = Kepala Badan Perencanaan Pembangunan Nasional 
|order1           = ke-8
|president1       = Soeharto
|term_start1      = 8 Juni 1967
|term_end1        = 19 Maret 1983
|predecessor1     = [[Ruslan Abdulgani]]
|successor1       = [[J. B. Sumarlin]]
|office2          = Menteri Negara Perencanaan Pembangunan Nasional Indonesia
|order2           = ke-4
|president2       = [[Soeharto]]
|term_start2      = 9 September 1971
|term_end2        = 28 Maret 1973
|predecessor2     = Ruslan Abdulgani
|successor2       = J. B. Sumarlin
|birth_date       = {{birth date|1927|9|23}}
|birth_place      = [[Kota Malang|Keresidenan Malang]], [[Hindia Belanda]]
|death_date       = {{death date and age|2012|3|9|1927|9|23}}
|death_place      = [[Jakarta]], [[Indonesia]]
|party            = [[Partai Golongan Karya|Golongan Karya]]
|spouse           = Siti Sudarsih
|children         = 2
|residence        = 
|alma_mater       = [[Universitas Indonesia]]<br/>[[University of California]]
|occupation       = 
|religion         = [[Islam]]
}}"
Maria Ulfah Santoso,{{Infobox orang}}
Chris Siner Key Timu,
Bob Hasan,"{{Infobox Officeholder
|name = Bob Hasan
|image = Bob Hasan.jpg
|imagesize =
|caption =
|office = Menteri Perindustrian dan Perdagangan Indonesia
|order = ke-16
|term_start = 16 Maret 1998
|term_end = 21 Mei 1998
|succeeding =
|president = [[Soeharto]]
|predecessor = [[Tungki Ariwibowo]]
|successor = [[Rahardi Ramelan]]
|birth_name =
|birth_date = {{birth date|1931|2|24}}
|birth_place =  [[Kota Semarang|Semarang]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date = {{death date and age|2020|3|31|1931|2|24}}<ref>{{Cite news|title=Bob Hasan Meninggal Dunia|url=https://kumparan.com/kumparannews/bob-hasan-meninggal-dunia-1t8CebyU0WM |work=[[Kumparan (situs web)|Kumparan]]|accessdate=31 March 2020}}</ref>
|death_place =  [[Jakarta]]
|death_cause        = [[Kanker paru-paru]]
|nationality = [[Indonesia]]
|party =
|spouse = Pertiwi Hasan
|birth_name=The Kian Seng
|relations =
|children = 2
|alma_mater =
|occupation =
|profession =
|religion = [[Islam]]
|signature =
|website =
|footnotes =
}}"
Tragedi Relawan LSM RATA,"{{Infobox news event
| date              = [[6 Desember]] [[2000]]
| time              = 
| place             = [[Blang Mangat, Lhokseumawe]], [[Indonesia]]
| reported deaths = 3
| reported missing = -
| reported injuries = -
}}"
Sintong Panjaitan,"{{Infobox Officeholder
|name             = Sintong Panjaitan
|image            = Danjen Kopassus Sintong Panjaitan.jpg
|imagesize        = 
|caption          = Sintong Panjaitan, 1985
|office2          = Komandan Jenderal Komando Pasukan Khusus
|order2           = ke-10
|term_start2      = Mei 1985
|term_end2        = Agustus 1987
|predecessor2     = [[Wismoyo Arismunandar]]
|successor2       = [[Kuntara]]
|office1          = [[Kodam IX/Udayana|Panglima Komando Daerah Militer IX/Udayana]] ke-13
|term_start1      = 12 Agustus 1988
|term_end1        = 1 Januari 1992
|predecessor1     = [[Djoko Pramono (angkatan darat)|Djoko Pramono]]
|successor1       = [[HBL Mantiri]]
|birth_name       = Sintong Hamonangan Panjaitan
|birth_date       = {{Birth date and age|1940|9|4}}
|birth_place      =  [[Tarutung]], [[Sumatera]], [[Hindia Belanda]]
|death_date       = <!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} --> 
|death_place      = 
|allegiance       = {{flag|Indonesia}}
|serviceyears     = 1963—1991
|servicenumber    = 19294{{sfn|Kementerian Sekretariat Negara RI|2018|p = 107}}
|rank             = [[Berkas:Pdu_letjendtni_staf.png|25px]] [[Letnan Jenderal]] [[TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|unit             = [[Infanteri]] ([[Kopassus]])
|battles          = [[Operasi Dwikora]]<br/>[[Operasi Seroja]]
|nationality      = [[Indonesia]]
|party            = 
|spouse           = Lentina Napitupulu
|children         = {{ubl|Henry Dian Panjaitan|Ani Oranda Panjaitan}}
|residence        = [[Jakarta]]
|alma_mater       = [[Akademi Militer|Akademi Militer Nasional]] (1963)
|occupation       = [[TNI]] ([[Purnawirawan]])
|religion         = [[Kristen Protestan]]
}}"
Ismail Saleh,"{{Infobox Officeholder
|name               = {{PAGENAME}}
|image              = Ismail Saleh.jpg
|imagesize          =
|caption            = 
|office             = Menteri Kehakiman Indonesia
|order              = ke-19
|term_start         = 30 Mei 1984
|term_end           = 17 Maret 1993
|succeeding         = 
|president          = [[Soeharto]] 
|predecessor        = [[Ali Said]]
|successor          = [[Oetojo Oesman]]
|office2             = Jaksa Agung Republik Indonesia
|order2              = ke-10
|term_start2         = 18 Februari 1981 
|term_end2           = 30 Mei 1984
|succeeding2         = 
|president2          = [[Soeharto]] 
|predecessor2        = [[Ali Said]]
|successor2          = [[Hari Suharto]]
|birth_date         = {{Birth date|1926|9|7}}
|birth_place        =  [[Sukolilo]], [[Pati]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date         = {{Death date and age|2008|10|21|1926|9|7|mf=y}}
|death_place        = [[Jakarta]], [[Indonesia]]
|nationality        = [[Indonesia]]
|party              = 
|spouse             = 
|relations          = 
|children           = 
|allegiance         = {{flag|Indonesia}}
|rank             = [[Berkas:Pdu letjendtni staf.png|25px]] [[Letnan Jenderal]] [[TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|unit               =
|alma_mater         = 
|occupation         = 
|profession         = 
|religion           = [[Islam]]
|signature          = 
|website            = 
|footnotes          = 
}}"
Yogi Supardi,"{{Infobox Officeholder
|honorific-prefix    = <small>[[Letnan Jenderal]] [[TNI]] (Purn.)</small>
|name                = Yogi Supardi
|image               = Ignatius Yogi Supardi.jpg
|office              = [[Seskoad|Komandan Seskoad l]] ke-11
|term_start          = 1974
|term_end            = 1976
|lieutenant          = 
|predecessor         = Mayjen TNI [[Sutanto Wiryoprasonto]]
|successor           = Mayjen TNI [[E.W.P. Tambunan]]
|birth_date       = {{Birth date|1929|7|25}}
|birth_place         =  [[Klaten]], [[Jawa Tengah]]
|death_date       = {{Death date and age|2019|9|15|1929|7|25}}
|death_place      = [[Rumah Sakit Pusat Angkatan Darat Gatot Soebroto|(RSPAD) Gatot Soebroto]], [[Jakarta Pusat]], [[Indonesia]]
|nationality         = [[Indonesia]]
|religion            = 
|branch = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|serviceyears = 1948-1983
|rank = [[Berkas:Pdu letjendtni staf.png|25px]] [[Letnan Jenderal TNI]]
|unit = [[Artileri Medan]]
|alma_mater       = [[Akademi Militer|Militaire Academie (MA) Jogya]] Angkatan I (1948)
}}"
