article_title,name,date,image,caption,summary,occurrence_type,site,coordinates,aircraft_type,operator,origin,stopover,destination,tail_number,occupants,passengers,crew,fatalities,injuries,survivors,stopover4,Operator,image_size,Type,stopover3,Survivors,last_stopover,Injuries,Passengers,Date,Tail Number,stopover0,Aircraft Type,stopover1,image_upright,alt,aircraft_name,Crew,type,Site,Fatalities,stopover2,article_title
Garuda Indonesia Penerbangan 865,Garuda Indonesia Penerbangan 865,13 Juni 1996,PK-GIE Garuda Indonesia McDonnell Douglas DC-10-30 at Hong Kong Kai Tak Airport in July 1993.jpg,"PK-GIE, pesawat Garuda Indonesia yang mengalami kecelakaan, pada tahun 1993.",Pembatalan lepas landas akibat kerusakan mesin dari kelalaian perawatan,Kecelakaan,"Bandar Udara Fukuoka, Fukuoka, Jepang",,McDonnell Douglas DC-10-30,Garuda Indonesia,"Bandar Udara Fukuoka, Fukuoka, Jepang","Bandar Udara Internasional Ngurah Rai, Denpasar, Bali, Indonesia","Bandar Udara Internasional Soekarno-Hatta, Jakarta, Indonesia",PK-GIE,275,260,15,3,170,272,,,,,,,,,,,,,,,,,,,,,,,Garuda Indonesia Penerbangan 865
Sempati Air Penerbangan 304,Sempati Air Penerbangan 304,17 Juli 1997,Fokker F27 d-aeld Marcel van Leeuwen 2-2002.jpg,"Pesawat Fokker F27, serupa dengan pesawat yang jatuh","Gagal mesin saat lepas landas (EFTO), kesalahan pilot",Kecelakaan,"Margahayu, Bandung, Jawa Barat, Indonesia",,Fokker F-27 Friendship 600,Sempati Air,"Bandar Udara Internasional Husein Sastranegara, Bandung, Indonesia",,"Bandar Udara Halim Perdanakusuma, Jakarta, Indonesia",PK-YPM,,45,5,28,22±,22,,,,,,,,,,,,,,,,,Jayapura,,,,,,Sempati Air Penerbangan 304
Kecelakaan Vickers Viscount Samudra Hindia 1971,Kecelakaan Vickers Viscount Samudra Hindia 1971,,Cambrian viscount g-amon in 1963 arp.jpg,"Vickers Viscount, pesawat yang mirip dengan yang mengalami kecelakaan",,Kecelakaan,"Lepas pantai Padang, Sumatra, Indonesia",,Vickers Viscount,Merpati Nusantara Airlines,"Bandar Udara Kemayoran, Jakarta, Indonesia",,"Bandar Udara Tabing, Padang, Indonesia",PK-MVS,,62,7,69 (semua),,0,,,230,,,,,,,,,,,,,,,,,,,,Kecelakaan Vickers Viscount Samudra Hindia 1971
Dirgantara Air Service Penerbangan 5940,Dirgantara Air Service Penerbangan 5940,,N961BW CASA 212 MAN 14FEB09 (6785031410).jpg,"Sebuah CASA C-212 Aviocar, jenis yang sama dengan pesawat yang mengalami kecelakaan",Kegagalan mesin saat lepas landas,Kecelakaan,"Dekat Bandar Udara Internasional Syamsudin Noor , Banjarmasin, Kalimantan Selatan, Indonesia",,CASA C-212 Aviocar,Dirgantara Air Service,"Bandar Udara Internasional Syamsudin Noor, Banjarmasin, Indonesia",,"Bandar Udara H. Asan, Sampit, Indonesia",PK-VSO,,15 (termasuk 1 anak),2,18 (termasuk 2 di tanah),3 (termasuk 2 di tanah),1 (awalnya 2),,,,,,,,,,,,,,,,,,,,,,,Dirgantara Air Service Penerbangan 5940
Merpati Nusantara Airlines Penerbangan 5601,Merpati Nusantara Airlines Flight 5601,,Merpati Nusantara Airtech CN-235-10 Wallner.jpg,"PK-MND, kapal lain yang mirip dengan yang mengalami kecelakaan",,Accident,"Gunung Papandayan, 30 km di barat Garut Jawa Barat, Indonesia",,CASA/IPTN CN-235-100,Merpati Nusantara Airlines,"Bandar Udara Internasional Achmad Yani, Semarang, Indonesia",,"Bandar Udara Internasional Husein Sastranegara, Bandung , Indonesia",PK-MNN,,27,4,31,,0,,,300px,,,,,,,,,,,,,,,,Penerbangan dikendalikan ke daratan,,,,Merpati Nusantara Airlines Penerbangan 5601
Kecelakaan C-130 Angkatan Udara Indonesia 1991,Kecelakaan C-130 Angkatan Udara Indonesia 1991,,TNI-AU (Indonesian Air Force) Lockheed C-130H-30 Hercules serial number A-1317 lands at Yogyakarta's Adisucipto International Airport.jpg,"TNI-AU C-130H-30, saudari dari pesawat yang kecelakaan",,Kecelakaan,dekat Bandar Udara Jakarta-Halim Perdana Kusuma,,Lockheed C-130H-30 Hercules,Angkatan Udara Indonesia,Bandar Udara Jakarta-Halim Perdana Kusuma,,Bandar Udara Internasional Husein Sastranegara,A-1324,,,,,,,,,350,,,1,,,122,5 Oktober 1991,,,,,,,,12,Kebakaran mesin saat lepas landas,,135 (2 di tanah),,Kecelakaan C-130 Angkatan Udara Indonesia 1991
Merpati Nusantara Airlines Penerbangan 422,Merpati Nusantara Airlines Flight 422,30 November 1994,Merpati Nusantara Fokker F-28-4000 Fellowship Pichugin.jpg,"PK-GKU, sebuah Fokker F28ER yang mengalami kecelakaan.",,Kecelakaan,Bandar Udara Internasional Achmad Yani,,Fokker F28ER,Merpati Nusantara Airlines,"Bandar Udara Halim Perdanakusuma, Jakarta, Indonesia",,"Bandar Udara Internasional Achmad Yani, Indonesia",PK-GKU,,79,6,0,27,85 (semua),,,250,,,,,,,,,,,,,,,,Kehabisan landasan,,,,Merpati Nusantara Airlines Penerbangan 422
Garuda Indonesia Penerbangan 708,Garuda Indonesian Airways Penerbangan 708,16 Februari 1967,"Lockheed L-188 Electra, Garuda Airlines (cropped).jpg",Sebuah pesawat Lockheed L-188C Electra Garuda Indonesian Airways yang serupa dengan pesawat yang mengalami kecelakaan.,"Kelalaian pilot, cuaca buruk",Kecelakaan,"Bandar Udara Mapanget, Manado, Indonesia",,Lockheed L-188C Electra,Garuda Indonesian Airways,"Bandar Udara Kemayoran, Jakarta",,"Bandar Udara Mapanget, Manado",PK-GLB,92,84,8,22,,70,,,,,,,"Bandar Udara Mandai, Makassar",,,,,"Bandar Udara Juanda, Surabaya",,,1.2,,,,,,,,Garuda Indonesia Penerbangan 708
Garuda Indonesia Penerbangan 892,Garuda Indonesian Airways Penerbangan 892,,PK-GJA Garuda Convair 990 Coronado Schiphol 1968.jpg,"Pajajaran, pesawat Garuda Indonesian Airways yang mengalami kecelakaan.",Jatuh setelah lepas landas; diduga akibat kesalahan pengisian bahan bakar pesawat,Kecelakaan,"Desa Bilalpada, dekat Nala Sopara, India",,Convair CV-990-30A-5,Garuda Indonesian Airways,"Bandar Udara Internasional Kemayoran, Jakarta, Indonesia",,"Bandar Udara Schiphol Amsterdam, Amsterdam, Belanda",PK-GJA,29,15,14,30:<br/ >,,0,"Bandar Udara Internasional Kairo, Kairo, Republik Arab Bersatu",,,,"Bandar Udara Internasional Karachi, Karachi, Pakistan",,"Bandar Udara Leonardo da Vinci–Fiumicino, Roma, Italia",,,,,"Bandar Udara Internasional Singapura, Singapura",,"Bandar Udara Internasional Bangkok, Bangkok, Thailand",1.2,,Pajajaran,,,,,"Bandar Udara Santacruz, Bombay, India",Garuda Indonesia Penerbangan 892
Garuda Indonesia Penerbangan 206,Garuda Indonesia Penerbangan 206,28 Maret 1981,PK-GNQ-DC9.jpg,,,Pembajakan,Udara Indonesia,,McDonnell Douglas DC-9-32,Garuda Indonesia,"Bandara Talang Betutu, Palembang Indonesia",,"Bandara Internasional Polonia, Medan Indonesia",PK-GNJ,,57,,"6 (4 pembajak, 1 kommando, dan pilot)",2,57,,,,,,,,,,,,,,,,,"""Woyla""",,Pembajakan,,,,Garuda Indonesia Penerbangan 206
Musibah Fokker F28 Garuda Indonesia 1982,Musibah Fokker F28 Garuda Indonesia 1982,,Garuda Fokker F28-1000 Volpati-1.jpg,Pesawat serupa dengan pesawat yang mengalami kecelakaan,,Insiden,,,,,,,,,,,4,,,,,Garuda Indonesia,,keluar dari landsan karena cuaca buruk,,0,,0,23,,PK-GVK,,Fokker F28,,,,,,,"Bandar Udara Radin Inten II, Bandar Lampung",27 (semua),,Musibah Fokker F28 Garuda Indonesia 1982
Merpati Nusantara Airlines Penerbangan 724,Merpati Nusantara Airlines Penerbangan 724,1 Juli 1993,Merpati Fokker F-28-4000 Fellowship Mutzair-1.jpg,Pesawat Merpati Nusantara Airlines Fokker F28 Fellowship yang mirip dengan pesawat yang mengalami kecelakaan,,Kecelakaan,"Dekat Bandar Udara Jefman, Sorong, Papua Barat, Indonesia",,Fokker F28 Fellowship,Merpati Nusantara Airlines,"Bandara Udara Internasional Pattimura, Ambon, Maluku, Indonesia",,"Bandar Udara Jefman, Sorong, Papua Barat, Indonesia",PK-GFU,,39,4,41,2,2,,,250,,,,,,,,,,,,,,,,pesawat menabrak tanah karena kesalahan pilot,,,,Merpati Nusantara Airlines Penerbangan 724
