article_title,title,timestamp,anss-url,isc-event,local-date,local-time,map2,magnitude,intensity,depth,location,countries affected,casualties,imagecaption,pgv,mapsize,pga,caption,affected,date,name,damages,image alt,map alt,duration,pre-1900,image,image name,alt,engvar,citations,map,aftershocks,foreshocks,damage,type,origintime,tsunami,fault,pushpin_map,landslide,PGA,map_alt,map_caption,article_title
Gempa bumi Irian Jaya 1981,Gempa bumi Irian Jaya 1981,1981-01-19 15:11:01,usp0001bta,632891,,00:11:01 WIT,,6.7,,,,"Irian Jaya, Indonesia","305 tewas, 1,000+ hilang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gempa bumi Irian Jaya 1981
Gempa bumi Liwa 1994,Gempa bumi Liwa 1994,1994-02-15 17:07:43,usp00068jd,185661,,00:07 WIB,,7.0 Mw,,,,Indonesia,207 tewas and 2000+ luka,,,,,,,,,,,,,,,,,,,,,,,Strike-slip,,,Sesar Semangko,,,,,,Gempa bumi Liwa 1994
Gempa bumi Irian Barat 1989,Gempa bumi Irian Jaya 1989,1989-08-01 00:18:04,usp0003xwt,393850,,09:17 WIT,,6.0 Mw,,,,Indonesia,120 tewas 120 luka-luka,,,,,,,,,,,,,,,,,,,,,,,Dip-slip,,,,,,,,,Gempa bumi Irian Barat 1989
Gempa bumi Sulawesi 1969,,1969-02-23 00:36:58,iscgem812497,812497,,08:56 WITA,,7.0 Mw,,,,,664,,,,,,"Sulawesi Barat, Indonesia",,Gempa bumi Sulawesi 1969,,,,,,,,,,,,,,,,,"Ya,",,,,,,,Gempa bumi Sulawesi 1969
Gempa bumi Flores 1992,Gempa bumi dan tsunami Flores 1992,1992-12-12 05:29:26,usp0005j5a,257091,,13:29 WITA (Waktu Indonesia Tengah),,7.8 MwSignificant Earthquakes of the World in 1992  United States Geological Survey,,,,Flores  Sulawesi Tenggara  Sulawesi Selatan,"Diperkirakan 2,500 meninggal dan 500 terluka.",,,,,,,,,,,,,,,,,,,,,,,,,20–35 meter,Sesar Naik Busur Belakang Flores,,,,,,Gempa bumi Flores 1992
Gempa bumi Biak 1996,,1996-02-17 05:59:30,usp0007d1w,947787,,,,8.2 Mw,,,,,166 tewas  423 luka-luka  10.000 kehilangan tempat tinggal,,,,,,,,Gempa bumi Biak 1996,,,,,,,,,,,,,,"$4,2 juta",Thrust,,,,,,,,,Gempa bumi Biak 1996
Gempa bumi Sulawesi Tengah 1996,,1996-01-01 08:05:10,usp00079zv,939295,1 Januari 1996,16:05 WITA,,7.9,,24.0 km,,,"9 tewas, 63 luka-luka",,,,,,Indonesia,,Gempa bumi Sulawesi 1996,,,,30 detik,,,,,,,,,,,Thrust,,,,,,,,,Gempa bumi Sulawesi Tengah 1996
Gempa bumi Laut Seram 1965,Gempa bumi Laut Seram 1965,1965-01-24 00:11:17,iscgem861299,861299,,09:11:17 WITA,,8.2,,28 km,,Indonesia,71 tewas,,,,,,,,,,,,,,,,,,,,,,,,,ya,,,,,,,Gempa bumi Laut Seram 1965
Gempa bumi Kalabahi 1991,Gempa bumi Kalabahi 1991,,,,,,,6.9 Mw,,,,,23 meninggal dunia,,,,,,,4 Juli 1991,,,,,,,,,,,,,,,,,11:43 UTC,,,,,,,,Gempa bumi Kalabahi 1991
Gempa bumi Kerinci 1995,,1995-10-06 18:09:45,usp00074ph,74638,,1:09 WIB,,6.8 6.9–7.0,,"33,0 km",,,"84–100 tewas, 2.073 terluka",,,,,,"Sumatra, Indonesia",,Gempa bumi Kerinci 1995,,,,,,,,,,,,YaTerbesar:  5.3,,,Strike-slip,,,Sesar Besar Sumatra,,Ya,,,,Gempa bumi Kerinci 1995
