article_title,election_name,country,type,ongoing,previous_election,previous_year,next_election,next_year,seats_for_election,election_date,image1,leader1,party1,last_election1,seats1,seat_change1,popular_vote1,percentage1,swing1,image2,leader2,party2,last_election2,seats2,seat_change2,popular_vote2,percentage2,swing2,image3,leader3,party3,last_election3,seats3,seat_change3,popular_vote3,percentage3,swing3,map_image,map_size,map_alt,map,map_caption,party7,seats6,leader6,party5,leader4,result_bar,swing6,map2_caption,turnout,popular_vote5,color7,seats7,seat_change7,seats8,color4,leader8,seat_change5,title,before_election,percentage5,electoral_vote1,needed_votes,last_election4,image5,last_election5,percentage6,before_party,leader5,color8,seat_change8,after_party,nominee2,last_election6,posttitle,popular_vote7,after_election,percentage4,seat_change6,popular_vote6,color5,nominee1,image7,image8,percentage8,image6,popular_vote8,map2,party6,seats5,popular_vote4,color2,swing4,swing7,color6,last_election7,electoral_vote2,image4,swing5,party4,party8,leader7,majority_seats,last_election8,seat_change4,percentage7,votes_for_election,seats4,swing8,article_title
Pemilihan umum legislatif Indonesia 1982,Pemilihan umum legislatif Indonesia 1982,Indonesia,Parlementer,no,Pemilihan umum legislatif Indonesia 1977,1977,Pemilihan umum legislatif Indonesia 1987,1987,360 kursi Dewan Perwakilan Rakyat,,100px,Amir Murtono,Golongan Karya,"232 kursi, 62,11%",242,10,48.334.724,"64,34%","2,23%",100px,Jailani Naro,Partai Persatuan Pembangunan,"99 kursi, 29,29%",94,5,20.871.880,"27,78%","1,51%",100px,Sunawar Sukowati,Partai Demokrasi Indonesia,"29 kursi, 8,60%",24,5,5.919.702,"7,88%","0,72%",300px,,,,Hasil pemilu menunjukkan partai dengan perolehan suara terbesar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pemilihan umum legislatif Indonesia 1982
Pemilihan Presiden Indonesia 1998,Pemilihan Presiden Indonesia 1998,Indonesia,presiden,no,Pemilihan Presiden Indonesia 1993,1993,Pemilihan Presiden Indonesia 1999,1999,,10 Maret 1998,125x125px,,Golongan Karya,,,,,93.06%,,,,,,,,,,,,,,,,,,,,Hasil Pilpres 1998.svg,,,,Suara Majelis Permusyawaratan Rakyat,,,,,,,,,,,,,,,,,,Presiden,Soeharto,,604,433 suara anggota,,,,,Golongan Karya,,,,Golongan Karya,,,,,Soeharto,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,649 suara anggota Majelis Permusyawaratan Rakyat Republik Indonesia,,,Pemilihan Presiden Indonesia 1998
Pemilihan Presiden Indonesia 1978,Pemilihan Presiden Indonesia 1978,Indonesia,presiden,no,Pemilihan Presiden Indonesia 1973,1973,Pemilihan Presiden Indonesia 1983,1983,,10 Maret 1978,125x125px,,Golongan Karya,,,,,"100,00%",,,,,,,,,,,,,,,,,,,,Hasil Pilpres 1978.svg,,,,Suara Majelis Permusyawaratan Rakyat,,,,,,,,,,,,,,,,,,Presiden,Soeharto,,590,393 suara anggota,,,,,Golongan Karya,,,,Golongan Karya,,,,,Soeharto,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,590 suara anggota Majelis Permusyawaratan Rakyat Republik Indonesia,,,Pemilihan Presiden Indonesia 1978
Pemilihan Presiden Indonesia 1983,Pemilihan Presiden Indonesia 1983,Indonesia,presiden,no,Pemilihan Presiden Indonesia 1978,1978,Pemilihan Presiden Indonesia 1988,1988,,10 Maret 1983,125x125px,,Golongan Karya,,,,,"100,00%",,,,,,,,,,,,,,,,,,,,Hasil Pilpres 1983.svg,,,,Suara Majelis Permusyawaratan Rakyat,,,,,,,,,,,,,,,,,,Presiden,Soeharto,,590,393 suara anggota,,,,,Golongan Karya,,,,Golongan Karya,,,,,Soeharto,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,590 suara anggota Majelis Permusyawaratan Rakyat Republik Indonesia,,,Pemilihan Presiden Indonesia 1983
Pemilihan umum legislatif Indonesia 1977,Pemilihan umum legislatif Indonesia 1977,Indonesia,Parlementer,no,Pemilihan umum legislatif Indonesia 1971,1971,Pemilihan umum legislatif Indonesia 1982,1982,360 kursi Dewan Perwakilan Rakyat,,100px,Amir Murtono,Golongan Karya,"236 kursi, 62,82%",232,4,39.750.096,"62,11%","0,71%",100px,Mohammad Syafa'at Mintaredja,Partai Persatuan Pembangunan,Partai baru,99,Partai baru,18.743.491,"29,29%",Partai baru,100px,Sanusi Hardjadinata,Partai Demokrasi Indonesia,Partai baru,29,Partai baru,5.504.751,"8,60%",Partai baru,Map of 1977 Indonesian Legislative Election - Cities and Regencies.svg,,,,,,,,,,,,,,,,,,,,,,Kepemimpinan,MPR: Abdul Haris Nasution (Militer)DPR: Achmad Sjaichu (NU),,,,,,,,,,,,,,,Kepemimpinan baru,,MPR & DPR: Idham Chalid (PPP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pemilihan umum legislatif Indonesia 1977
Pemilihan umum legislatif Indonesia 1992,Pemilihan umum legislatif Indonesia 1992,Indonesia,Parlementer,no,Pemilihan umum legislatif Indonesia 1987,1987,Pemilihan umum legislatif Indonesia 1997,1997,400 kursi Dewan Perwakilan Rakyat,,,,Golongan Karya,"299 kursi, 73,11%",282,17,66.599.331,"68,10%","5,01%",,,Partai Persatuan Pembangunan,"61 kursi, 15,96%",62,1,16.624.647,"17,00%","1,04%",,,Partai Demokrasi Indonesia,"40 kursi, 10,93%",56,16,14.565.556,"14,89%","3,96%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pemilihan umum legislatif Indonesia 1992
Pemilihan Presiden Indonesia 1968,Pemilihan Presiden Indonesia 1968,Indonesia,presiden,no,Pemilihan Presiden Indonesia 1963,1963,Pemilihan Presiden Indonesia 1973,1973,,27 Maret 1968,125x125px,,Golongan Karya,,,,,"100,00%",,,,,,,,,,,,,,,,,,,,Hasil Pilpres 1968.svg,,,,Suara Majelis Permusyawaratan Rakyat Sementara,,,,,,,,,,,,,,,,,,Presiden,Soeharto (Pejabat),,616,Ditetapkan berdasarkan perolehan suara terbanyak,,,,,ABRI,,,,ABRI,,,,,Soeharto,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,616 suara anggota Majelis Permusyawaratan Rakyat Sementara,,,Pemilihan Presiden Indonesia 1968
Pemilihan umum legislatif Indonesia 1971,,Indonesia,parlementer,,Pemilihan umum legislatif Indonesia 1955,1955,Pemilihan umum legislatif Indonesia 1977,1977,360 dari 460 kursi di Dewan Perwakilan Rakyat,3 Juli 1971,,Suprapto Sukowati,Partai Golongan Karya,–,236,Partai baru,"23,681,471",62.80%,Partai baru,100x100px,Idham Chalid,NU,"18.41%, 45 kursi",58,13,"10,213,650",18.67%,0.26%,100x100px,Mohammad Isnaeni,Partai Nasional Indonesia,"22.32%, 57 kursi",20,37,"3,793,266",6.93%,15.39%,300px,,,,Hasil pemilu menunjukkan partai dengan perolehan suara terbesar.,Partai Katolik,7,Melanchton Siregar,PSII,Mohammad Syafa'at Mintaredja,,1.32%,Komposisi Dewan Perwakilan Rakyat setelah Pemilu 1971.,96.6%  5.2%,"1,308,237",800000,3,3,2,000000,Rusli Halil,2,,,2.39%,,,"20.92%, 57 kursi",100x100px,"2.89%, 8 kursi",1.34%,,Anwar Tjokroaminoto,006400,2,,,"2.66%, 8 kursi",,"603,740",,5.36%,1,"733,359",000000,,100x100px,100x100px,0.69%,100x100px,"381,309",File:Indonesia Parliament 1971.svg,Parkindo,10,"2,930,746",006400,15.56%,0.96%,799BCB,"2.04%, 6 kursi",,100x100px,0.50%,Parmusi,Perti,Frans Seda,180,"1.28%, 4 kursi",33,1.10%,,24,0.59%,Pemilihan umum legislatif Indonesia 1971
Pemilihan Presiden Indonesia 1988,Pemilihan Presiden Indonesia 1988,Indonesia,presiden,no,Pemilihan Presiden Indonesia 1983,1983,Pemilihan Presiden Indonesia 1993,1993,,10 Maret 1988,125x125px,,Golongan Karya,,,,,"100,00%",,,,,,,,,,,,,,,,,,,,Hasil Pilpres 1988.svg,,,,Suara Majelis Perwakilan Rakyat,,,,,,,,,,,,,,,,,,Presiden,Soeharto,,649,433 suara anggota,,,,,Golongan Karya,,,,Golongan Karya,,,,,Soeharto,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,649 suara anggota Majelis Permusyawaratan Rakyat Republik Indonesia,,,Pemilihan Presiden Indonesia 1988
Pemilihan Presiden Indonesia 1973,Pemilihan Presiden Indonesia 1973,Indonesia,presiden,no,Pemilihan Presiden Indonesia 1968,1968,Pemilihan Presiden Indonesia 1978,1978,,10 Maret 1973,125x125px,,Golongan Karya,,,,,"100,00%",,,,,,,,,,,,,,,,,,,,Hasil Pilpres 1973.svg,,,,Suara Majelis Permusyawaratan Rakyat,,,,,,,,,,,,,,,,,,Presiden,Soeharto,,590,393 suara anggota,,,,,Golongan Karya,,,,Golongan Karya,,,,,Soeharto,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,590 suara anggota Majelis Permusyawaratan Rakyat Republik Indonesia,,,Pemilihan Presiden Indonesia 1973
