article_title,conflict,partof,image,image_size,caption,date,place,territory,result,combatant1,combatant2,commander1,commander2,units1,units2,strength1,strength2,casualties1,casualties2,casualties3,notes,causes,commander3,status,casus,name,campaignbox,map_size,title,map_relief,combatant3,coordinates,strength3,map_type,map_caption,campaign,article_title
Gerakan 30 September,Gerakan 30 September,,potret gestapu.jpg,250px,Proses pengangkatan 7 jenazah korban G30S dari sebuah sumur lama di kawasan Lubang Buaya pada tanggal 3 Oktober 1965,30 September malam - 1 Oktober menjelang pagi,"Kelurahan Lubang Buaya, Cipayung, Jakarta Timur",,,,,,,,,,,1. Letnan Jenderal TNI Ahmad Yani (43 tahun)  2. Mayor Jenderal TNI Raden Soeprapto (45 tahun)  3. Mayor Jenderal TNI Mas Tirtodarmo Haryono (41 tahun)  4. Mayor Jenderal TNI Siswondo Parman (47 tahun)  5. Brigadir Jenderal TNI Donald Isaac Panjaitan (40 tahun)  6. Brigadir Jenderal TNI Sutoyo Siswomiharjo (43 tahun)  7. Letnan Satu Pierre Andreas Tendean (26 tahun)  dan korban-korban lainnya.,,,,,,,,,,,,,,,,,,,Gerakan 30 September
Kerusuhan Poso,,Konflik Poso,360px,,Front pertempuran dalam kerusuhan Poso III.,–,Kabupaten Poso,,"Deklarasi Malino
 Kekerasan pasca kerusuhan di Poso",,,,Milisi Islam lokal: (tidak memiliki struktur kepemimpinan yang terpusat),,,,Tidak diketahui,,,,"577 tewas, 384 terluka, 7.932 rumah hancur, serta 510 fasilitas umum terbakar atau rusak",Penyerangan pemuda Muslim oleh pemuda Kristen yang mabuk di Masjid Sayo,Milisi Kristen lokal: (tidak memiliki struktur kepemimpinan yang terpusat),,,,,,Kerusuhan Poso,,,,700 orang (2000),,,,Kerusuhan Poso
Peristiwa Arfai,,Konflik Papua,,,,28 Juli 1965,"Manokwari, Irian Jaya",,,,Organisasi Papua Merdeka,,,,,1 batalion,400,3–18 tewas,4–36 tewas,,,,,,,Arfai incident,,,,,,,,,,,Peristiwa Arfai
Operasi Jayapura 1976,,Konflik Papua,,,,Januari–Februari 1976,"Belahan selatan Kabupaten Jayapura, Irian Jaya",,,,Republik Papua Barat,,,,,10.000–16.0002 aircraft,3.000–5.000,425 tewas800 luka-luka (klaim OPM),1.605 tewas (klaim OPM),,,,,,,Operasi Jayapura 1976,,,,,,,,,,,Operasi Jayapura 1976
Pendaratan di Labis,Pendaratan di Labis,Konfrontasi Indonesia-Malaysia,,,,September–Oktober 1964,"Labis, Johor, Malaysia",,Kemenangan Persemakmuran,,,Tidak diketahui,Tidak diketahui,,,,~98 orang,1 tewas,"~32 tewas, 62 ditangkap",,,,,,,,,,,,,,,,,,Pendaratan di Labis
Krisis sandera Mapenduma,Krisis sandera Mapenduma,Konflik Papua,270px,,"Irian Jaya, Indonesia",8 Januari 1996 - 9 Mei 1996 (130 hari),"Mapenduma, Jayawijaya, Irian Jaya, (sekarang di Provinsi Papua) Indonesia",,,Indonesia,22x20px|tepi Republik Papua Barat,Prabowo Subianto,22x20px|tepi Kelly Kwalik,,,100 Komando,200 Pejuang,"5 tewas
1 helikopter jatuh","8 tewas
2 ditangkap",2 sandera tewas,,,,selesai,Tuntuntan Organisasi Papua Merdeka untuk kemerdekaan Wilayah Papua Barat,,,,,,,,,,,,Krisis sandera Mapenduma
Krisis Timor Timur 1999,Krisis Timor Timur 1999,"Dekolonisasi Asia, Pendudukan Indonesia di Timor Timur dan Kejatuhan Suharto",Destroyed houses 19.jpg,350px,Rumah-rumah yang hancur di Dili.,April 1999 – 2005,Timor Leste,,,21px INTERFET21px UNTAET,"Milisi pro-Indonesia
  Aitarak
 Besi Merah Putih
 Garda Muda Penegak Integrasi
 Laksaur
 Mahidi
Didukung oleh:
25px Kopassus (dugaan)
 BIN
Lobi Jakarta",,Wiranto  Eurico Guterres   Manuel de Sousa  Olivio Mendonca Moruk    Câncio Lopez de Carvalho,,,"11,000 militer dan polisi","13,000 milisi pro-Indonesia",,,1.400 warga sipil tewas220.000+ pengungsi3 staf UNHCR tewas2 jurnalis tewas1 tentara Indonesia tewas1 polisi indonesia tewas,,,,"Kemenangan taktis Timor Timur
 Kekalahan milisi pro-Indonesia
 Stabilisasi Timor Timur
 Referendum kemerdekaan Timor Timur
 Embargo penjualan militer AS ke Indonesia dari 9 September 1999 – 22 November 2005
 Embargo penjualan militer Britania Raya ke Indonesia dari 11 September 1999 – 11 April 2012
 Embargo penjualan militer Australia ke Indonesia September 1999
 Embargo penjualan militer Uni Eropa (EU) ke Indonesia dari 16 September 1999 – 17 Januari 2000

Kemenangan strategis milisi pro-Indonesia
 80% infrastruktur Timor Timur hancur akibat Operasi Bumi Hangus",,,,,,,,,,,,,Krisis Timor Timur 1999
Serangan ke Limbang,Serangan ke Limbang,Konfrontasi Indonesia-Malaysia,,,,12 Desember 1962,"Limbang, Sarawak, Borneo",,Kemenangan Britania,,Tentara Nasional Kalimantan Utara,Jeremy Moore,Salleh Bin Sambas,,,Satu kompi,~150,"Lima tewas, delapan terluka","12 tewas, 15 terluka",,,,,,,,,,,,,,,,,,Serangan ke Limbang
Pertempuran Laut Aru,Pertempuran Laut Aru,Operasi Trikora,300px|RI Matjan Tutul,,RI Matjan Tutul (650),15 Januari 1962,"Laut Arafura, Indonesia",,"Kemenangan Belanda 
RI Matjan Tutul tenggelam, 2 lainnya berhasil selamat",,,Komodor Yos SudarsoKolonel SudomoKapten WiratnoKapten TjiptadiKapten Memet Sastrawiria,tidak diketahui,,,RI Matjan Tutul (Tenggelam) RI Matjan Kumbang(Rusak) RI Harimau(Rusak),Hr. Ms. EvertsenHr. Ms. KortenaerHr. Ms. Utrecht<small>didukung P-2 Neptune dan jenis Fairey Firefly<small>,Komodor Yos SudarsoKapten Wiratno (Kapten kapal RI Matjan Tutul)Kapten Memet Sastrawiria (Ajudan Komodor Yos Sudarso)Kapten Tjiptadi21 orang tenggelam53 orang ditahan Belanda<small>Total 39 orang tewas<small>,-,,,,,,,,,,,,,,,,,,Pertempuran Laut Aru
Operasi Trikora,Operasi Trikora,Pembebasan Irian Barat dan Perang Dingin,Yos Sudarso Postage Stamp.jpg,,Perangko Indonesia memperingati Pertempuran Laut Aru,,Irian Barat,,"Kemenangan Indonesia 
 Perjanjian New York ditandatangani
 Irian Barat diserahkan ke PBB lalu ke Indonesia
 Awal dari Konflik Papua",Didukung oleh:,22px Nugini Belanda,Soekarno Soerjadi Soerjadarma Abdul Haris Nasution Ahmad Yani Soeharto Omar Dhani Eddy Martadinata Yos Sudarso Leonardus Benyamin Moerdani,C.J. van Westenbrugge22px W.A. van Heuven,,,13.000 tentara7.000 pasukan terjun payung4.500 marinir,10.000 tentara1.400 marinir1.000 sukarelawan,214 tewas1 kapal motor torpedo tenggelam2 kapal motor torpedo rusak,Tidak diketahui,,,,,,,,,,,,,,,,,,Operasi Trikora
Operasi militer Indonesia di Aceh 1990-1998,Operasi militer Indonesia di Aceh 1990–1998,Konflik di Aceh dan Separatisme di Indonesia,280px,,Lokasi Aceh di Indonesia,Awal 1990 – 22 Agustus 1998,"Aceh, Indonesia",,Penarikan ABRI dari Aceh,"Indonesia
 Angkatan Bersenjata Republik Indonesia (ABRI)
Pendukung :","Gerakan Aceh Merdeka
 Tentara Nasional Aceh (TNA)
 Laskar Inöng Balè",Soeharto Try Sutrisno Sutiyoso,Hasan Di Tiro Abdullah Syafi'i,,,"12,000 (1990)",750+ (1991),,,9.000+ orang tewas sebagian besar warga sipil,,,,,,,,,,,,,,,,,Operasi militer Indonesia di Aceh 1990-1998
Kerusuhan Sambas,Konflik Sambas,,,,,,Sambas,,,Suku Melayu dan Suku Dayak,Suku Madura,,,,,,,*1.189 terbunuh  168 orang luka berat 34 orang luka ringan  29.823 warga Madura mengungsi.,,,,,,,,,,,,,,,,,,,Kerusuhan Sambas
Pertempuran Sungei Koemba,Pertempuran Sungei Koemba,Konfrontasi Indonesia–Malaysia,280px,,"Seorang tentara Australia dari 3RAR dengan senjata mesin ringan L4A4 melakukan patroli dekat perbatasan Sarawak-Kalimantan, 1965.",27 Mei – 12 Juni 1965,"Sungei Koemba, Kalimantan",,Kemenangan Australia,,,,Tidak diketahui,3 RAR,440 batalion,~120 tentara,Tidak diketahui,2 Terluka,~30 tewas,,,,,,,,,,,,,,,,,,Pertempuran Sungei Koemba
