article_title,honorific-prefix,name,image,caption,office,order,term_start,term_end,president,predecessor,successor,office2,order2,term_start2,term_end2,president2,predecessor2,successor2,office3,order3,term_start3,term_end3,president3,predecessor3,successor3,term_start4,term_end4,president4,predecessor4,successor4,office5,order5,term_start5,term_end5,president5,predecessor5,successor5,term_start6,term_end6,president6,predecessor6,successor6,office7,order7,term_start7,term_end7,president7,1blankname7,1namedata7,predecessor7,successor7,birth_date,birth_place,death_date,death_place,nationality,party,spouse,children,profession,religion,signature,nickname,allegiance,branch,serviceyears,rank,commands,unit,battles,awards,relations,laterwork,order6,1blankname,military_blank4,termend1,termend3,order9,taoiseach,blank3,vicepresident1,net_worth,1namedata3,constituency3,governor-general,premier2,memorials,twitter,ambassador_from,constituency,other_name,successor10,1blankname2,height,1blankname6,command,chancellor,primeminister4,image_upright,data4,alt,citizenship,placeofburial_coordinates,residence,succeeding3,office4,father,term_start10,restingplacecoordinates,2,salary,office6,blank5,successor1,term_end8,succeeding,term_label5,module5,enteredservice,military_data5,birth_name,vicepresident2,term_label,4blankname7,viceprimeminister,governor_general,other_names,governor1,co-leader2,3namedata7,blank2,governor,image_size,module4,portrayedby,primeminister2,lieutenant2,website,vicepresident5,successor8,appointer,country,1blankname3,cabinet,successor9,termstart2,2blankname7,relatives,data3,native_name,module3,primeminister,term_start1,termend2,office10,1namedata1,alongside6,lieutenant8,data5,term_end10,footnotes,constituency2,Cicit,alongside5,honorific_prefix,military_blank1,1namedata6,order4,otherparty,known_for,term_start8,office1,honorific-suffix,death_cause,committees,1blankname1,term_end9,facebook,smallimage_alt,term_start9,resting_place_coordinates,alongside2,primeminister5,pronunciation,predecessor9,data1,order1,4namedata7,servicenumber,lieutenant,military_data3,resting_place,native_name_lang,module,predecessor8,military_blank3,occupation,constituency7,succeeding2,alongside3,appointed,succeeding1,placeofburial,constituency6,ethnicity,module2,military_blank5,facebookpage,smallimage,governor2,president1,vicepresident3,family,primeminister1,military_data1,mother,currentlyresides,imagesize,governor5,blank1,vicepresident,data2,military_data4,predecessor10,mawards,signature_alt,primeminister3,placeofburial_label,honorific_suffix,birthname,termstart3,1blankname5,office9,status,prior_term,1,vicepresident4,partner,military_data2,battles_label,restingplace,signature_size,3blankname7,1namedata2,termstart1,majority3,blank4,education,relation,alma_mater,parents,military_blank2,order10,2namedata7,vicepresident6,majority,predecessor1,portfolio,lieutenant3,office8,profesion,networth,1namedata5,monarch,othername,order8,deputy,1namedata,term_end1,article_title
Abdul Haris Nasution,Jenderal Besar TNI (Purn.),Abdul Haris Nasution,Abdul Haris Nasution.jpg,A.H. Nasution sebagai Ketua MPRS tahun 1971,Daftar Ketua Majelis Permusyawaratan RakyatKetua Majelis Permusyawaratan Rakyat Sementara,ke-2,1966,1972,,Chaerul Saleh,Idham Chalid,Daftar Menteri Pertahanan IndonesiaMenteri Pertahanan dan Keamanan Indonesia,ke-12,10 Juli 1959,24 Februari 1966,Soekarno,Djoeanda Kartawidjaja,Sarbini,Daftar Panglima TNIPanglima Angkatan Bersenjata Republik Indonesia/Kepala Staf Angkatan Bersenjata Republik Indonesia,ke-3 dan ke-5,1955,1959,Soekarno,T.B. Simatupang,Soerjadi Soerjadarma,1961,1968,Soekarno,Soerjadi Soerjadarma,Soeharto,Kepala Staf TNI Angkatan Darat,ke-2 dan ke-5,27 Desember 1949,18 Oktober 1952,Soekarno,Djatikoesoemo,Bambang Soegeng,1 November 1955,21 Juni 1962,Soekarno,Bambang Utoyo,Ahmad Yani,Daftar Wakil Panglima Tentara Nasional Indonesia Wakil Panglima Besar Tentara Keamanan Rakyat Indonesia,ke-1,1948,1953,Soekarno,Panglima,Soedirman,Jabatan dibentuk,Maraden Panggabean,,"Kotanopan, Mandailing, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,"Johanna SunartiBiography of Johanna Nasution, 1981 Ramon Magsaysay Award for Public Service, Magsaysay Awardees Digital Collection.",,Tentara,Islam,Signature of Abdul Haris Nasution.svg,Pak Nas,,,1941—19521955—1971,25px|  Jenderal Besar TNI,Panglima Divisi Siliwangi,Infanteri,"Perang Dunia II
Kampanye Hindia Belanda
Revolusi Nasional Indonesia
Bandung Lautan Api
Pemberontakan PKI 1948
Agresi Militer Belanda II
Serangan Umum 1 Maret 1949
Pemberontakan Darul Islam
Invasi AmbonPemberontakan PermestaOperasi TrikoraKonfrontasi Indonesia-Malaysia",Pahlawan Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Haris Nasution
Sarwo Edhie Wibowo,,Sarwo Edhie Wibowo,"Sarwo Edhie Wibowo, Irian Barat dari Masa ke Masa, p155-156.jpg",,Duta Besar Indonesia untuk Korea Selatan,,Mei 1973,Mei 1978,Soeharto,Leonardus Benyamin MoerdaniPejabat Duta Besar,Kaharuddin Nasution,Panglima Komando Daerah Militer XVII/Cenderawasih,,2 Juli 1968,20 Februari 1970,Soeharto,R. Bintoro,Acub Zaenal,Panglima Komando Daerah Militer II/Bukit Barisan,,25 Juni 1967,2 Juli 1968,,Sobiran,Leo Lopulisa,1964,1967,,Mung Parhadimulyo,Widjoyo Suyono,,,,,,,,,,,,,,,,,,,,,,,"Pangenjuru, Purworejo, Hindia Belanda",,"Jakarta, Indonesia",,,Ny. Sunarti Sri Hadiyah,,,,,,,,1942—1975,25px|  Jenderal TNI (HOR.),,Infanteri (RPKAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Komandan Jenderal Komando Pasukan KhususKomandan Resimen Para Komando Angkatan Darat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tentara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarwo Edhie Wibowo
Witarmin,Letnan Jenderal TNI (Purn.),,Witarmin.jpg,,Komandan Jenderal Komando Pasukan Khusus,ke-7,1970,1975,,Brigjen TNI Widjoyo Suyono,Brigjen TNI Yogie Suardi Memet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tepi|link=Hindia Belanda|22px Kertosono, Nganjuk, Jawa Timur, Indonesia",,"Surabaya, Jawa Timur, Indonesia",,,Ny. Suratmi,1. Nunuk Indrinuswati2. Wiwiek Dwi Judajati3. Anik Umi Heriyani4. Sudiono,,,,,,25px TNI Angkatan Darat,1942 - 1983,25px Letnan Jenderal TNI,,Infanteri (Kopassandha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Witarmin
Bustanil Arifin,,Bustanil Arifin,Bustanil Arifin - Fourth Development Cabinet.jpg,,Menteri Koperasi Indonesia,ke-2,22 April 1978,17 Maret 1993,Soeharto,Subroto,Subiakto Tjakrawerdaya,Kepala Badan Urusan Logistik,ke-1,29 Maret 1978,17 Maret 1993,,Tidak ada,Ibrahim Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Padangpanjang, Sumatera Barat, Hindia Belanda",,"Los Angeles, Amerika Serikat",,,,Yani ArifinAlex ArifinAlwin ArifinEmil Arifin,,Islam,,,,25px TNI Angkatan Darat,,25px Letnan Jenderal TNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15046,,,,,,,,"Militer, Politisi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Padjajaran,,,,,,,,,,,,,,,,,,,,Bustanil Arifin
Leonardus Benyamin Moerdani,,,Leonardus Benjamin Moerdani as Commander of the Indonesian National Armed Forces.jpg,"Foto Resmi Benyamin Moerdani, 1985",Daftar Menteri Pertahanan IndonesiaMenteri Pertahanan dan Keamanan,ke-17,21 Maret 1988,17 Maret 1993,Soeharto,Poniman,Edi Sudradjat,Komando Operasi Pemulihan Keamanan dan KetertibanPanglima Komando Operasi Pemulihan Keamanan dan Ketertiban,ke-6,29 Maret 1983,5 September 1988,,Soedomo,"Tidak ada, jabatan dihapuskan",Panglima Tentara Nasional IndonesiaPanglima Angkatan Bersenjata Republik Indonesia,ke-8,28 Maret 1983,27 Februari 1988,,M. Jusuf,Try Sutrisno,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cepu, Blora, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",,,Hartini Moerdani,Irene Ria Moerdani,,Katolik,,,,25px TNI Angkatan Darat,1952–1988,25px|  Jenderal TNI,,Infanteri (Kopassus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.G. Moerdani Sosrodirjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289461,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeanne Roech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonardus Benyamin Moerdani
Soedarsono Hadisapoetro,,,Soedarsono Hadisapoetro.jpg,,Daftar Menteri Pertanian Republik Indonesia  Menteri Pertanian,ke-17,29 Maret 1978,19 Maret 1983,Soeharto,Thoyib Hadiwidjaja,Achmad Affandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surakarta, Jawa Tengah, Indonesia",,"Jakarta, Indonesia",Indonesia,,Sendang Lestari,,,,,,,,,,,,,,Ananda Syahendar Perdana (cucu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Gadjah Mada,,,,,,,,,,,,,,,,,,,,Soedarsono Hadisapoetro
Akbar Tanjung,Ir.,Akbar Tanjung,"Akbar Tandjung, Buku Kenangan Anggota Dewan Perwakilan Rakyat Republik Indonesia 1999-2004, p564.jpg","Akbar Tandjung, 1999",Ketua Dewan Perwakilan Rakyat,ke-13,6 Oktober 1999,1 Oktober 2004,,Harmoko,Agung Laksono,Ketua Umum Partai Golongan Karya,ke-7,11 Juli 1998,19 Desember 2004,,Harmoko,Jusuf Kalla,Menteri Sekretaris Negara Indonesia,ke-6,23 Mei 1998,20 Oktober 1999,B. J. Habibie,Saadilah Mursjid,Alirahman,17 Maret 1993,21 Mei 1998,Soeharto,Siswono Yudohusodo,Theo L. Sambuaga,Daftar Menteri Pemuda dan Olahraga IndonesiaMenteri Negara Pemuda dan Olahraga Indonesia,ke-5,21 Maret 1988,17 Maret 1993,Soeharto,Abdul Gafur,Hayono Isman,1 Oktober 1999,1 Oktober 2004,,,,,,1 Oktober 1977,21 Maret 1988,,Perolehan suara,,,Potsdam Hutasoit,,"Sorkam, Tapanuli Tengah, Sumatera Utara, Hindia Jepang",,,Indonesia,Partai Golongan Karya,Krisnina Maharani,4,,Islam,,,,,,,,,,,Usman Zahiruddin Tandjung (kakak),,,,,,,,,,,,,,,,,,,,,,,,Perolehan suara,,,,,,,,,,,Daftar Menteri Perumahan Rakyat IndonesiaMenteri Negara Perumahan Rakyat dan Pemukiman Indonesia,,,,,,Anggota Dewan Perwakilan RakyatRepublik Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politikus,Jawa Timur,,,,,,DKI Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas IndonesiaUniversitas Gadjah Mada,,,,,,,,,,,,,,,,,,,,Akbar Tanjung
M. Sarbini,Jenderal TNI (Anumerta),,Mayjen TNI M. Sarbini.jpg,"M. Sarbini dengan pangkat Mayor Jenderal, 1966",Ketua Kwartir Nasional Gerakan Pramuka,ke-2,27 November 1974,21 Agustus 1977,Soeharto,Hamengkubuwana IX,Mashudi,Menteri Transmigrasi dan Koperasi Indonesia,ke-5,17 Oktober 1967,11 September 1971,Soeharto,Sujono Suparto,Radius Prawiro,Menteri Koordinator Pertahanan Keamanan Indonesia,ke-12,24 Februari 1966,28 Agustus 1966,Soekarno,A. H. Nasution,Soeharto,27 Agustus 1964,22 Februari 1966,Soekarno,Sambas Atmadinata,Basuki Rahmat,,,31 Maret 1966,11 Oktober 1967,SoekarnoSoeharto,Basuki Rahmat,Jabatan dialihkan,,,,,,,,,,,,,,,,"Indrosari, Buluspesantren, Kebumen, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,Independen (1942-1977),Ny. Salami binti R. Sastrowihardjo,Saryanto Sarbini,,,20 tahun G.K.B.I (page 21 crop).jpg,,(1942–45) (1945–71),25px PETA25px TNI Angkatan Darat,1942–1971,25px Jenderal TNI,,Infanteri,Perang Kemerdekaan Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menteng, Jakarta",,Menteri Veteran dan Demobilisasi Indonesia,M. Martoredjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-5,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,TNI,,,,,,,,,,,,,,,,,,,Sukinah,,,,Agama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademi Militer,,,,,,,,,,,,,,,,,,,,M. Sarbini
Eurico Guterres,,Eurico Guterres,0240 Militia Leader Eurico Guterres 1999.jpg,Eurico Guterres,Ketua Umum Uni Timor Aswain,,2010,2019,,Domingos MD Soares,Filomeno Hornay (Pj.),Anggota DPRD Timor Timur Fraksi Golkar,,1999,2004,Bacharuddin Jusuf Habibie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waitame, Uatolari, Viqueque, Timor Portugis",,,Indonesia,(2021–sekarang),Guida Giatris,,Politisi,,,,,,,,,,,Bintang Jasa Utama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Abílio Osório Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eurico Guterres
Oetojo Oesman,,,Sixth Development Cabinet Poster (Oetojo Oesman).jpg,,Menteri Kehakiman Indonesia,ke-20,17 Maret 1993,16 Maret 1998,Soeharto,Ismail Saleh,Muladi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Batavia, Hindia Belanda",,,Indonesia,,,Dewi Asmara,Menteri,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Indonesia,,,,,,,,,,,,,,,,,,,,Oetojo Oesman
