article_title,honorific_prefix,name,honorific_suffix,image,caption,birth_name,birth_date,birth_place,death_date,death_place,alma_mater,occupation,years_active,known_for,notable_works,party,otherparty,spouse,children,parents,mother,father,relatives,awards,disappeared_place,criminal_status,religion,boards,net_worth,height,criminal_penalty,siglum,citizenship,alt,residence,successor1,module5,predecessor,era,other_names,module6,order,disappeared_status,image_size,module4,website,disappeared_date,agent,title,native_name,module3,term_start1,style,organization,footnotes,body_discovered,employer,burial_place,baptised,successor,office1,television,death_cause,honorific-prefix,resting_place_coordinates,nationality,criminal_charges,monuments,movement,opponents,resting_place,module,module2,ethnicity,term,president1,family,imagesize,callsign,signature_alt,relations,signature,partner,burial_coordinates,signature_size,education,predecessor1,networth,term_end1,article_title
Maqdir Ismail,,Maqdir Ismail,,,,,,"Baturaja, Sumatera Selatan, Indonesia",,,,Pengacara,1980–sekarang,,,PDI Perjuangan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maqdir Ismail
Japto Soerjosoemarno,,Japto Soerjosoemarno,,,,,16 Desember 1949(Umur 73),"Surakarta, Jawa Barat, Indonesia",,,,"Pemuda Pancasila, Politisi",1968–Sekarang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japto Soerjosoemarno
Sudono Salim,,Soedono Salim,,Sudono-salim.jpg,Foto portrait Soedono Salim,Liem Sioe Liong,,"Fuqing, Republik Tiongkok",,Singapura,,Pengusaha,,Pendiri Salim Group,,,,Lie Kim Nio (alias Lilani),Albert Salim  Andree Halim  Anthony Salim  Mira Salim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudono Salim
Sigit Harjojudanto,,Sigit Harjojudanto,,Berkas:Sigit Hardjojudanto Beskap Jawa 1988.jpg,,,,"Surakarta, Jawa Tengah",,,,Pengusaha,,,,Partai Berkarya (sejak 2018),,,Ari Sigit  Aryo Seto  Eno Sigit,,,,,,,,,,,,,,Indonesia,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigit Harjojudanto
Arie Hanggara,,Arie Hanggara,,,,,,"Bogor, Jawa Barat, Indonesia",,"Jakarta, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penganiayaan hingga meninggal,,,,,,,,,,,,,,,,,,,,,,,,,,,Arie Hanggara
Arief Budiman,,Arief Budiman,,Arief budiman.jpg,,Soe Hok Djin,,"Jakarta, Hindia Belanda",,"Salatiga, Jawa Tengah, Indonesia",Universitas Indonesia,Guru Besar,,Aktivis reformasi,,,,Leila Chairani Budiman,"Adrian, Santi",Soe Lie Piet,,,,,,,Islam,,,,,,,,Salatiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,,,,,,,,220px,,,Soe Hok Gie(saudara),,,,,,,,,Arief Budiman
Mochtar Lubis,,Mochtar Lubis,,Mochtar Lubis (1979).jpg,,,,"Padang, Hindia",,,,"Sastrawan, editor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,Mochtar Lubis
Soedjatmoko,Dr. (H.C.),Soedjatmoko,,"Soedjatmoko, Duta Besar RI untuk Amerika Serikat.jpg",Soedjatmoko pada tahun 1978,Soedjatmoko Mangoendiningrat,10 Januari 1922,"tepi|link=Hindia Belanda|17px Kota Sawahlunto, Sumatera Barat, Hindia Belanda",,"tepi|link=Indonesia|17px Yogyakarta, Indonesia",,"Diplomat, akademisi",,,,Partai Sosialis Indonesia,,Ratmini Gandasubrata,3 putri:Kamala ChandrakiranaIsna MarifaGaluh Wandita,Saleh Mangoendiningrat (ayah)Isnadikin (ibu),,,Miriam Budiardjo (adik perempuan)Nugroho Wisnumurti (adik laki-laki)Sutan Sjahrir (kakak ipar),,,,Islam,,,,,,tepi|link=Indonesia|17px Indonesia,,,,,Tidak ada (dibentuk),,,,,,,,,,,Anggota Konstituante,,,,,,,,,,,Tidak ada (dibubarkan),,,,,,,,,,,,,,,1955–1959,,,,,,,,,,,,,,,Soedjatmoko
Amran YS,,Amran YS,,,,,,,,,,"Aktivis, politisi",,- Wakil Ketua DPW PAN Sumatera Utara- Tokoh sepak bola nasional,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,,,,,,,,234px,,,,,,,,,,,,Amran YS
Judilherry Justam,,Judilherry Justam,,,,,,"20px Bukittinggi, Sumatera Barat",,,Universitas Indonesia,Politisi  pengusaha,,Aktivis Malari dan reformasi,,Partai Demokrasi Indonesia Perjuangan,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,,,,,,,,220px,,,,,,,,,,,,Judilherry Justam
Manai Sophiaan,,Manai Sophiaan,,ManaiSphn.jpg,,Manai Sophiaan,,"Takalar, Celebes, Hindia Belanda",,"Jakarta, Indonesia",,"Diplomat, politikus",,,,,,,Sophan Sophiaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manai Sophiaan
Umar Kayam,,Umar Kayam,,"Umar Kayam, Indonesia Literary Pioneers, 00.53.jpg",,,,"Ngawi, Hindia Belanda",,"Jakarta, Indonesia",,"Sastrawan, budayawan, sosiologi, akademisi, aktor, birokrat",,,Para Priyayi,,,,Anindyo Baskoro (cucu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,Umar Kayam
