Title,Properties
Komando Operasi Pemulihan Keamanan dan Ketertiban,"{'name': 'Komando Operasi Pemulihan Keamanan dan Ketertiban', 'native_name': 'Operational Command for the Restoration of Security and Order', 'preceding2': '< !-- up to', 'preceding6': '-- >', 'superseding1': 'Badan Koordinasi Bantuan Pemantapan Stabilitas Nasional', 'superseding2': '< !-- up to', 'superseding6': '-- >', 'jurisdiction': 'Indonesia', 'status': 'Dibubarkan', 'coordinates': '< !--  -- >', 'minister_type': 'Pangkopkamtib', 'parent_agency_type': '< !-- defaults to', '1': 'type if left blank -- >', 'child2_agency': '< !-- up to', 'child25_agency': '-- >', 'keydocument1': '< !-- up to', 'keydocument6': '-- >'}"
Partai Golongan Karya,"{'colorcode': '#FFFF00', 'name': 'Partai Golongan Karya', 'logo': 'Logo Golkar.svg', 'chair': 'Airlangga Hartarto', 'SecGen': 'Lodewijk Freidrich Paulus', 'leader1_title': 'Ketua Fraksi di DPR', 'leader1_name': 'Kahar Muzakir', 'headquarters': 'Jakarta, Indonesia', 'ideology': 'Pancasila < ref >  < /ref > < br > Konservatisme nasional < ref >  < /ref > < br > Developmentalisme < ref name= "" realsource "" >  < /ref > < br > Liberalisme ekonomi < ref name= "" auto "" >  < /ref > < br > Nasionalisme Indonesia < ref name= "" auto "" / > < br > Sekularisme < ref name= "" auto "" / > < br > Konservatisme < ref >  < /ref > < br > Masa Orde Baru: < br > Tenda besar < ref > Editorial of Suara Karya, 1 May 1971 < /ref > < br > Otoritarianisme sayap-kanan < br > Anti-komunisme < br > Nasionalisme < br > Fraksi: < br > Ultranasionalisme < ref >  < /ref >', 'political_position': 'Kanan-tengah < ref >  < /ref >  ke sayap-kanan < ref >  < /ref > < ref >  < /ref > < br > Selama Orde Baru: < br > Kanan-jauh < ref >  < /ref >', 'abbr': 'Partai Golkar', 'newspaper': 'Suara Karya (1971–2016)', 'women': 'KPPG (Kesatuan Perempuan Partai Golkar)', 'membership': '839.187 (2022) < ref >  < /ref >', 'slogan': 'Suara Golkar, Suara Rakyat'}"
Gerakan 30 September,"{'conflict': 'Gerakan 30 September', 'image': 'potret gestapu.jpg', 'image_size': '250px', 'caption': 'Proses pengangkatan 7 jenazah korban G30S dari sebuah sumur lama di kawasan Lubang Buaya pada tanggal 3 Oktober 1965', 'date': '30 September malam - 1 Oktober menjelang pagi', 'place': 'Kelurahan Lubang Buaya, Cipayung, Jakarta Timur', 'casualties1': '1. Letnan Jenderal TNI Ahmad Yani (43 tahun)  < br/ >  2. Mayor Jenderal TNI Raden Soeprapto (45 tahun)  < br/ >  3. Mayor Jenderal TNI Mas Tirtodarmo Haryono (41 tahun)  < br/ >  4. Mayor Jenderal TNI Siswondo Parman (47 tahun)  < br/ >  5. Brigadir Jenderal TNI Donald Isaac Panjaitan (40 tahun)  < br/ >  6. Brigadir Jenderal TNI Sutoyo Siswomiharjo (43 tahun)  < br/ >  7. Letnan Satu Pierre Andreas Tendean (26 tahun)  < br/ >  dan korban-korban lainnya.'}"
Tragedi Trisakti,"{'title': 'Tragedi Trisakti', 'partof': 'Kerusuhan Mei 1998', 'image': 'Trisakti shooting schematics.png', 'image_size': '300px', 'caption': 'Garis besar situasi di Universitas Trisakti selama penembakan', 'location': 'Jakarta, Indonesia', 'target': 'Mahasiswa di Universitas Trisakti', 'fatalities': 'Elang Mulia Lesmana < br > Heri Hertanto < br > Hafidin Royan < br > Hendriawan Sie', 'injuries': '15', 'perp': 'Tentara Nasional Indonesia Angkatan Darat'}"
Orde Baru,"{'conventional_long_name': 'Republik Indonesia', 'common_name': 'Indonesia', 'era': 'Perang Dingin; Transisi ke Orde Baru', 'government_type': '* Republik kesatuan konstitusional presidensial di bawah kediktatoran militer \n ** juga di bawah sistem partai dominan (1971–1998)', 'event_pre': 'Supersemar dikeluarkan', 'date_pre': '11 Maret 1966', 'event_start': 'Kepresidenan Soeharto dimulai', 'date_start': '12 Maret', 'year_start': '1966', 'event1': 'Pelantikan Soeharto sebagai Presiden definitif', 'date_event1': '27 Maret 1968', 'event2': 'Serangan Indonesia atas Timor Portugis', 'date_event2': '7 Desember 1975', 'event3': 'Kerusuhan Mei 1998', 'date_event3': '12-15 Mei 1998', 'event_end': 'Soeharto berhenti menjabat Presiden', 'date_end': '21 Mei', 'year_end': '1998', 'p1': 'Orde Lama (1959–1965)', 'flag_p1': 'Flag of Indonesia.svg', 'p2': 'Timor Portugis', 'flag_p2': 'Flag of Portugal.svg', 's1': 'Reformasi Indonesia (1998–sekarang)', 'flag_s1': 'Flag of Indonesia.svg', 'flag_s2': 'Flag of the United Nations.svg', 's2': 'UNTAET', 'image_flag': 'Flag of Indonesia.svg', 'flag_type': 'Bendera', 'image_coat': 'Coat of Arms of Indonesia Garuda Pancasila.svg', 'symbol_type': 'Lambang negara', 'image_map': 'Location Indonesia 1978.svg', 'image_map_caption': 'Peta Indonesia tahun 1978', 'area_km2': '1904569', 'capital': 'Jakarta', 'largest_city': 'capital', 'national_anthem': 'Indonesia Raya < br / > < div style= "" padding-top:0.5em; "" >   < /div >', 'national_motto': 'Bhinneka Tunggal Ika  < br / >   < br / > Ideologi: Pancasila < ref >  < /ref >', 'common_languages': 'Indonesia', 'demonym': 'Orang Indonesia', 'currency': 'Rupiah (Rp)', 'currency_code': 'IDR', 'leader1': 'Soeharto', 'year_leader1': '1967-1998', 'title_leader': 'Presiden', 'title_deputy': 'Wakil Presiden', 'deputy1': 'Hamengkubuwana IX', 'deputy2': 'Adam Malik', 'deputy3': 'Umar Wirahadikusumah', 'deputy4': 'Soedharmono', 'deputy5': 'Try Sutrisno', 'deputy6': 'Bacharuddin Jusuf Habibie', 'year_deputy1': '1973-1978', 'year_deputy2': '1978-1983', 'year_deputy3': '1983-1988', 'year_deputy4': '1988-1993', 'year_deputy5': '1993-1998', 'year_deputy6': '1998', 'legislature': 'Majelis Permusyawaratan Rakyat Republik Indonesia', 'upper_house': '"" Utusan daerah dan golongan ""', 'lower_house': 'Dewan Perwakilan Rakyat (DPR)', 'stat_year1': '1966', 'stat_pop1': '103.025.426', 'stat_year2': '1978', 'stat_pop2': '140.621.730', 'stat_year3': '1998', 'stat_pop3': '201.581.000', 'today': 'Indonesia  < br / >   Timor Leste'}"
Kerusuhan Mei 1998,"{'title': 'Kerusuhan Mei 1998', 'partof': 'Kejatuhan Soeharto, Krisis finansial Asia 1997 dan Sentimen anti-Tionghoa di Indonesia', 'image': '300px|alt=A man wearing a buttoned shirt, pants, and flip-flops throws an office chair into a burning pile of other chairs in the middle of a city street. Behind him, several dozen people gather in front of a building with broken windows.', 'caption': 'Para perusuh membakar perabot kantor di jalanan Jakarta pada 14 Mei 1998', 'date': '4–8 dan 12–15 Mei 1998', 'place': 'Kerusuhan besar terjadi di Medan, Jakarta, dan Surakarta dengan sejumlah insiden terpisah di tempat lain', 'causes': '* Ketidakpuasan atas pemerintahan Orde Baru \n * Dugaan kecurangan suara dalam pemilu legislatif 1997 \n * Keruntuhan ekonomi sebagai akibat dari krisis keuangan Asia \n * Otoritarianisme', 'result': '* Pengunduran diri Presiden Soeharto dan pembentukan Kabinet Reformasi Pembangunan baru di bawah B.J. Habibie \n * Kemerdekaan Timor-Leste \n * Awal Era Reformasi', 'methods': '* Kerusuhan \n * Pembangkangan sipil \n * Penjarahan \n * Pembakaran disengaja', 'side1': 'Pemerintah Indonesia \n *Tentara Nasional Indonesia \n **Kodam Jayakarta \n *Kepolisian Negara Republik Indonesia \n **Korps Brigade Mobil \n *Badan Intelijen Negara Indonesia \n * Warga lokal', 'side2': 'warga sipil Indonesia yang terdiri dari Megawati Soekarnoputri pendukung dan pengunjuk rasa anti-pemerintah', 'side3': 'Tionghoa warga sipil termasuk beberapa pendukung anti-Megawati dan anti-Soeharto', 'casualties3': '< !-- Temporarily left blank until article is complete -- >'}"
Penumpasan Pengkhianatan G 30 S PKI,"{'name': 'Penumpasan Pengkhianatan G 30 S PKI', 'image': 'Pengkhianatan G 30 S-PKI.jpg', 'image size': '300px', 'alt': 'Poster rilis, menampilkan lima tokoh utama, montase adegan, dan judul  "" Penumpasan Pengkhianatan G 30 S PKI ""', 'caption': 'Poster rilis oleh PPFN (1984)', 'director': 'Arifin C. Noer', 'music': 'Embie C. Noer', 'cinematography': 'Hasan Basari', 'editing': 'Supandi', 'studio': 'Pusat Produksi Film Negara Departemen Penerangan', 'distributor': 'Pusat Produksi Film Negara Departemen Penerangan', 'released': '15 September 1984', 'runtime': '271 menit', 'country': 'Indonesia', 'language': 'Bahasa Indonesia', 'budget': 'Rp 800 juta'}"
Peristiwa 27 Juli,"{'title': 'Peristiwa 27 Juli', 'casualties1': '5 orang tewas, 149 orang terluka, 23 orang hilang', 'side2': 'Pemerintah Orde Baru, Pemuda Pancasila, Tentara Nasional Indonesia Angkatan Darat', 'partof': 'Kejatuhan Soeharto', 'side1': 'Pendukung Megawati Soekarnoputri', 'methods': 'Demonstrasi mahasiswa, kerusuhan', 'causes': 'Upaya yang disponsori pemerintah untuk menggulingkan Megawati dari kantor pusat Partai Demokrasi Indonesia', 'place': 'Jakarta, Indonesia', 'date': '27 – 29 Juli 1996', 'caption': 'Penyerangan kantor PDI di Jalan Diponegoro oleh pendukung kubu Soerjadi berakhir dengan bentrokan antara massa dan aparat keamanan di kawasan Jalan Salemba, Jakarta Pusat, 27 Juli 1996.', 'image': 'File:27 July 1996 incident.jpg'}"
Malari,"{'title': 'Peristiwa Malari', 'image': '300px', 'date': '15 – 16 Januari 1974', 'place': 'Jakarta, Indonesia', 'causes': 'Korupsi < br / > Persaingan dari investasi asing < br / > Perebutan kekuasaan militer', 'result': 'Lihat Akibat', 'methods': 'Demonstrasi, kerusuhan, pogrom', 'side1': 'Mahasiswa Indonesia dan masyarakat miskin perkotaan', 'side2': 'Pemerintah Orde Baru', 'casualties1': '11 tewas, 137 luka-luka', 'casualties2': 'Tidak ada yang dilaporkan'}"
Pembantaian Santa Cruz,"{'title': 'Pembantaian Santa Cruz < br >', 'image': 'Sebastião Gomes grave.jpg', 'alt': 'Makam Sebastião Gomes.', 'caption': 'Pembantaian Santa Cruz terjadi saat prosesi pemakaman Sebastião Gomes tahun 1991.', 'partof': 'Pendudukan Indonesia di Timor Timur dan Genosida Timor Timur', 'location': 'Pemakaman Santa Cruz, Dili', 'target': 'Warga desa Timor Timur', 'timezone': 'UTC+9', 'type': 'Pembantaian', 'fatalities': '250+', 'perps': 'ABRI/TNI AD', 'weapons': 'Senapan M16'}"
