Title,Properties
Hamengkubuwana IX,"{'honorific_prefix': 'Ingkang Sinuwun Sri Sultan', 'name': 'Hamengkubuwana IX < br >', 'image': 'Hamengkubawono IX Official Portrait.jpg', 'caption': 'Sri Sultan Hamengkubuwana IX', 'office': 'Sultan Yogyakarta', 'order': 'ke-9', 'term_start': '18 Maret 1940', 'term_end': '2 Oktober 1988', 'term_label': 'Mulai bertakhta', 'predecessor': 'Hamengkubuwana VIII', 'successor': 'Hamengkubuwana X', 'office2': 'Wakil Presiden Indonesia', 'order2': 'ke-2', 'term_start2': '23 Maret 1973', 'term_end2': '23 Maret 1978', 'president2': 'Soeharto', 'predecessor2': 'Mohammad Hatta', 'successor2': 'Adam Malik', 'office3': 'Daftar Menteri Koordinator Bidang Perekonomian IndonesiaMenteri Koordinator Ekonomi, Keuangan, dan Industri Indonesia', 'order3': 'ke-1', 'term_start3': '25 Juli 1966', 'term_end3': '29 Maret 1973', 'president3': 'Soeharto', 'predecessor3': 'Tidak ada, jabatan baru', 'successor3': 'Widjojo Nitisastro', 'office4': 'Daftar Wakil Perdana Menteri IndonesiaWakil Perdana Menteri Indonesia', 'order4': 'ke-5', 'term_start4': '6 September 1950', 'term_end4': '27 April 1951', 'president4': 'Soekarno', 'primeminister4': 'Mohammad Natsir', 'predecessor4': 'Abdul Hakim', 'successor4': 'Suwiryo', 'term_label5': 'Masa jabatan  < small > (ad interim) < /small >', 'term_start5': '18 Maret 1966', 'term_end5': '27 Maret 1966', 'alongside5': 'Johannes Leimena, Adam Malik  < small > (a.i.) < /small > , Idham Chalid, Roeslan Abdulgani', 'primeminister5': 'Soekarno', 'predecessor5': 'Soebandrio < br / > < small > (Wakil Perdana Menteri I) < /small >', 'term_start6': '31 Maret 1966', 'term_end6': '25 Juli 1966', 'alongside6': 'Johannes Leimena, Adam Malik, Soeharto, Idham Chalid', 'successor6': 'Jabatan dihapuskan', 'office7': 'Menteri Negara Indonesia', '1namedata7': 'Menteri Negara', '2namedata7': 'Menteri Pertahanan', '3namedata7': 'Menteri/Ketua Badan Pemeriksa Keuangan', '4namedata7': 'Menteri Pariwisata', 'office8': 'Gubernur Daerah Istimewa Yogyakarta', 'order8': 'ke-1', 'term_start8': '4 Maret 1950', 'term_end8': '2 Oktober 1988', 'lieutenant8': 'Paku Alam VIII', 'successor8': 'Paku Alam VIII', 'office9': 'Ketua Kwartir Nasional Gerakan Pramuka', 'order9': 'ke-1', 'term_start9': '14 Agustus 1961', 'term_end9': '27 November 1974', 'predecessor9': 'Tidak ada, jabatan baru', 'successor9': 'M. Sarbini', 'office10': 'Komite Olahraga Nasional Indonesia', 'order10': 'ke-1', 'term_start10': '1967', 'term_end10': '1986', 'predecessor10': 'Tidak ada, jabatan baru', 'successor10': 'Surono Reksodimedjo', 'birth_name': 'Gusti Raden Mas Dorodjatun', 'birth_place': 'Ngasem, Kesultanan Ngayogyakarta Hadiningrat, Keresidenan Yogyakarta, Hindia Belanda', 'death_place': 'Washington, D.C., Amerika Serikat', 'signature': 'Sign HBIX.png', 'branch': '25px|ki TNI Angkatan Darat', 'rank': '25px|  Jenderal TNI (Tit.) < ref >  < /ref >', 'serviceyears': '1945–1953'}"
Soeharto,"{'honorific-prefix': '< !-- Hanya gelar kenegaraan/kehormatan (non-akademis) -- >', 'name': 'Soeharto', 'image': 'President Suharto, 1993.jpg', 'alt': 'Foto resmi Soeharto pada masa jabatan 1993 - 1998', 'caption': 'Potret resmi, 1993', 'office': 'Presiden Indonesia < !--- mohon jangan sunting bagian ini, sudah sesuai kaidah bahasa Indonesia --- >', 'order': 'ke-2', 'state': '< !--- mohon jangan sunting bagian ini, sudah sesuai kaidah bahasa Indonesia --- >', 'term_start': '12 Maret 1967', 'term_end': '21 Mei 1998 < br / > < small > (Pejabat Presiden sampai 27 Maret 1968) < /small >', 'predecessor': 'Soekarno', 'successor': 'B. J. Habibie', 'office2': 'Sekretaris Jenderal Gerakan Non-Blok ke-16', 'term_start2': '7 September 1992', 'term_end2': '20 Oktober 1995', 'predecessor2': 'Dobrica Ćosić', 'successor2': 'Ernesto Samper Pizano', 'office4': 'Menteri Pertahanan Keamanan Republik Indonesia', 'order4': 'ke-13', 'term_start4': '28 Maret 1966', 'term_end4': '28 Maret 1973', 'president4': 'Soekarno < br/ > Dirinya sendiri', 'predecessor4': 'Abdul Haris Nasution', 'successor4': 'Maraden Panggabean', 'office3': 'Panglima Angkatan Bersenjata Republik Indonesia', 'order3': 'ke-5', 'term_start3': '6 Juni 1968', 'term_end3': '28 Maret 1973', 'president3': 'Dirinya sendiri', 'predecessor3': 'Abdul Haris Nasution', 'successor3': 'Maraden Panggabean', 'office5': 'Komando Operasi Pemulihan Keamanan dan KetertibanPanglima Komando Operasi Pemulihan Keamanan dan Ketertiban', 'order5': 'ke-1 dan ke-5', 'term_start5': '5 Oktober 1965', 'term_end5': '19 November 1969', 'predecessor5': 'Jabatan dibentuk', 'successor5': 'Maraden Panggabean', 'term_start6': '2 Maret 1974', 'term_end6': '5 April 1978', 'predecessor6': 'Soemitro', 'successor6': 'Soedomo', 'office7': 'Kepala Staf TNI Angkatan DaratPanglima Angkatan Darat', 'order7': 'ke-7', 'term_start7': '16 Oktober 1965', 'term_end7': '1 Mei 1968', '1blankname7': 'Panglima', '1namedata7': 'Abdul Haris Nasution', 'predecessor7': 'Pranoto Reksosamodra', 'successor7': 'Maraden Panggabean', 'office8': 'Daftar Kepala Badan Intelijen NegaraKepala Badan Intelijen Negara', 'order8': 'ke-3', 'term_start8': '1965', 'term_end8': '22 Agustus 1966', 'president8': 'Soekarno', 'predecessor8': 'Soebandrio', 'successor8': 'Yoga Sugama', 'office9': 'Ketua Presidium Kabinet Indonesia', 'order9': 'ke-1', 'term_start9': '25 Juli 1966', 'term_end9': '17 Oktober 1967', 'predecessor9': 'Soekarno < br / > < small > (sebagai Perdana Menteri) < /small >', 'successor9': 'Jabatan dihapuskan', 'office10': 'Panglima Komando Cadangan Strategis Angkatan DaratPanglima Komando Cadangan Strategis Angkatan Darat', 'order10': 'ke-1', 'term_start10': '6 Maret 1961', 'term_end10': '2 Desember 1965', 'predecessor10': 'Jabatan dibentuk', 'successor10': 'Umar Wirahadikusumah', 'birthname': 'Soeharto', 'birth_place': 'Kemusuk, Kesultanan Ngayogyakarta Hadiningrat, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'restingplace': 'Astana Giribangun, Matesih, Karanganyar, Jawa Tengah', 'nationality': 'Indonesia', 'father': 'Kertosoediro', 'mother': 'Soekirah', 'signature': 'Suharto signature.svg', 'serviceyears': '1940–1974', 'servicenumber': '10684 < ref >  < /ref >', 'rank': '25px|  Jenderal Besar TNI', 'unit': 'Infanteri', 'battles': 'Perang Kemerdekaan Indonesia \n **Pertempuran Ambarawa \n **Serangan Umum 1 Maret \n **Pemberontakan Darul Islam \n Operasi TrikoraKonfrontasi Indonesia-Malaysia'}"
Bob Hasan,"{'name': 'Bob Hasan', 'image': 'Bob Hasan.jpg', 'office': 'Menteri Perindustrian dan Perdagangan Indonesia', 'order': 'ke-16', 'term_start': '16 Maret 1998', 'term_end': '21 Mei 1998', 'president': 'Soeharto', 'predecessor': 'Tungki Ariwibowo', 'successor': 'Rahardi Ramelan', 'birth_place': 'Semarang, Jawa Tengah, Hindia Belanda', 'death_date': '< ref >  < /ref >', 'death_place': 'Jakarta', 'death_cause': 'Kanker paru-paru', 'nationality': 'Indonesia', 'spouse': 'Pertiwi Hasan', 'birth_name': 'The Kian Seng', 'children': '2', 'religion': 'Islam'}"
Siti Hardijanti Rukmana,"{'name': 'Siti Hardijanti Rukmana', 'image': 'Tutut Soeharto, Antara TV, 00.35.jpg', 'office2': 'Menteri Sosial Indonesia ke-23', 'term_start2': '14 Maret 1998', 'term_end2': '21 Mei 1998', 'president2': 'Soeharto', 'predecessor2': 'Endang Kusuma Inten Soeweno', 'successor2': 'Justika Baharsjah', 'office3': 'Ketua Umum Palang Merah Indonesia', 'order3': 'ke-10', 'term_start3': '1992', 'term_end3': '1998', 'predecessor3': 'Ibnu Sutowo', 'successor3': ""Mar'ie Muhammad"", 'office4': 'Anggota MPR RI Fraksi Golkar', 'term_start4': '1 Oktober 1992', 'term_end4': '14 Maret 1998', 'office5': 'Direktur Utama TPI ke-1', 'term_start5': '23 Januari 1991', 'term_end5': '23 Januari 1998', 'predecessor5': 'jabatan baru', 'successor5': 'Tito Sulistio', 'birth_name': 'Siti Hardijanti Hastuti', 'birth_place': 'Yogyakarta, Indonesia', 'nickname': 'Mbak Tutut', 'party': '(sampai 1998) < br >  (2002–14) < br >  (sejak 2018)', 'spouse': 'Indra Rukmana (m. 1972)', 'children': '< !-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -- > 3', 'relatives': 'Sigit Harjojudanto (adik) < br > Bambang Trihatmodjo (adik) < br > Siti Hediati Hariyadi (adik) < br > Hutomo Mandala Putra (adik) < br > Siti Hutami Endang Adiningsih (adik)', 'nationality': 'Indonesia', 'parents': 'Soeharto (bapak) < br / > Siti Hartinah (ibu)', 'awards': 'Bintang Mahaputera Pratama < ref name= "" Daftar WNI yang Mendapat Tanda Kehormatan Bintang Mahaputera tahun 1959 s.d. 2003 "" >  < /ref >', 'net_worth': '< !--US$210 juta (2019) < ref name=Merdeka >  < /ref > -- >'}"
Siti Hartinah,"{'honorific_prefix': 'Raden Ayu Hj.', 'name': 'Siti Hartinah', 'image': 'Raden Ayu Siti Hartinah.jpg', 'office': 'Ibu Negara Indonesia', 'order': 'ke-2', 'president': 'Soeharto', 'term_start': '12 Maret 1967', 'term_end': '28 April 1996', 'predecessor': 'Fatmawati < br = > \n Hartini (pejabat)', 'successor': 'Siti Hardijanti Rukmana (pelaksana tugas) < br = > \n Hasri Ainun Habibie', 'birth_place': 'Jaten, Kadipaten Mangkunegaran, Keresidenan Surakarta, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'restingplace': 'Astana Giribangun, Karanganyar, Indonesia', 'nationality': 'Indonesia', 'spouse': 'Soeharto', 'religion': 'Islam'}"
Try Sutrisno,"{'honorific-prefix': '< small > \n Jenderal TNI (Purn.) H. < /small >', 'name': 'Try Sutrisno', 'image': 'Try Sutrisno Official Portrait.jpg', 'order': 'ke-6', 'office': 'Wakil Presiden Indonesia', 'term_start': '11 Maret 1993', 'term_end': '11 Maret 1998', 'president': 'Soeharto', 'predecessor': 'Sudharmono', 'successor': 'B. J. Habibie', 'office2': 'Panglima Tentara Nasional IndonesiaPanglima Angkatan Bersenjata Republik Indonesia', 'order2': 'ke-9', 'term_start2': '27 Februari 1988', 'term_end2': '19 Februari 1993', 'president2': 'Soeharto', 'predecessor2': 'L.B. Moerdani', 'successor2': 'Edi Sudradjat', 'office3': 'Kepala Staf TNI Angkatan Darat', 'order3': 'ke-15', 'term_start3': '7 Juni 1986', 'term_end3': '2 Februari 1988', 'predecessor3': 'Rudini', 'successor3': 'Edi Sudradjat', 'office4': 'Ketua Umum PBSI', 'order4': 'ke-6', 'term_start4': '1985', 'term_end4': '1993', 'predecessor4': 'Ferry Sonneville', 'successor4': 'Soerjadi', 'birth_place': 'Surabaya, Jawa Timur, Hindia Belanda', 'serviceyears': '1959–1993', 'servicenumber': '18438', 'rank': '25px Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Zeni', 'battles': 'Operasi 17 Agustus < br > Operasi Trikora < br > Konfrontasi Indonesia–Malaysia < br > Operasi SerojaPemberontakan di Aceh', 'nationality': 'Indonesia', 'party': 'Golkar < br > PKPI', 'spouse': 'Tuti Sutiawati', 'children': '7, termasuk Firman dan Kunto', 'alma_mater': 'Akademi Teknik AD (1959)', 'profession': 'Tentara, Politisi', 'signature': 'Signature of Try Sutrisno.svg', 'caption': 'Foto Resmi Try Sutrisno Tahun 1993'}"
Abdul Haris Nasution,"{'honorific-prefix': 'Jenderal Besar TNI (Purn.)', 'name': 'Abdul Haris Nasution', 'image': 'Abdul Haris Nasution.jpg', 'caption': 'A.H. Nasution sebagai Ketua MPRS tahun 1971', 'office': 'Daftar Ketua Majelis Permusyawaratan RakyatKetua Majelis Permusyawaratan Rakyat Sementara', 'order': 'ke-2', 'term_start': '1966', 'term_end': '1972', 'predecessor': 'Chaerul Saleh', 'successor': 'Idham Chalid', 'office2': 'Daftar Menteri Pertahanan IndonesiaMenteri Pertahanan dan Keamanan Indonesia', 'order2': 'ke-12', 'term_start2': '10 Juli 1959', 'term_end2': '24 Februari 1966', 'president2': 'Soekarno', 'predecessor2': 'Djoeanda Kartawidjaja', 'successor2': 'Sarbini', 'office3': 'Daftar Panglima TNIPanglima Angkatan Bersenjata Republik Indonesia/Kepala Staf Angkatan Bersenjata Republik Indonesia', 'order3': 'ke-3 dan ke-5', 'term_start3': '1955', 'term_end3': '1959', 'president3': 'Soekarno', 'predecessor3': 'T.B. Simatupang', 'successor3': 'Soerjadi Soerjadarma', 'term_start4': '1961', 'term_end4': '1968', 'president4': 'Soekarno', 'predecessor4': 'Soerjadi Soerjadarma', 'successor4': 'Soeharto', 'office5': 'Kepala Staf TNI Angkatan Darat', 'order5': 'ke-2 dan ke-5', 'term_start5': '27 Desember 1949', 'term_end5': '18 Oktober 1952', 'president5': 'Soekarno', 'predecessor5': 'Djatikoesoemo', 'successor5': 'Bambang Soegeng', 'term_start6': '1 November 1955', 'term_end6': '21 Juni 1962', 'president6': 'Soekarno', 'predecessor6': 'Bambang Utoyo', 'successor6': 'Ahmad Yani', 'office7': 'Daftar Wakil Panglima Tentara Nasional Indonesia Wakil Panglima Besar Tentara Keamanan Rakyat Indonesia', 'order7': 'ke-1', 'term_start7': '1948', 'term_end7': '1953', 'president7': 'Soekarno', '1blankname7': 'Panglima', '1namedata7': 'Soedirman', 'predecessor7': 'Jabatan dibentuk', 'successor7': 'Maraden Panggabean', 'birth_place': 'Kotanopan, Mandailing, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'spouse': 'Johanna Sunarti < ref name=Magsaysay > Biography of Johanna Nasution, 1981 Ramon Magsaysay Award for Public Service, Magsaysay Awardees Digital Collection. < /ref >', 'profession': 'Tentara', 'religion': 'Islam', 'signature': 'Signature of Abdul Haris Nasution.svg', 'nickname': 'Pak Nas', 'serviceyears': '1941—19521955—1971', 'rank': '25px|  Jenderal Besar TNI', 'commands': 'Panglima Divisi Siliwangi', 'unit': 'Infanteri', 'battles': 'Perang Dunia II \n **Kampanye Hindia Belanda \n Revolusi Nasional Indonesia \n **Bandung Lautan Api \n **Pemberontakan PKI 1948 \n **Agresi Militer Belanda II \n **Serangan Umum 1 Maret 1949 \n **Pemberontakan Darul Islam \n Invasi AmbonPemberontakan PermestaOperasi TrikoraKonfrontasi Indonesia-Malaysia', 'awards': 'Pahlawan Nasional Indonesia'}"
Basuki Rahmat,"{'image': 'Basuki Rahmat, Departemen Dalam Negeri dari Masa ke Masa, p121.jpg', 'caption': 'Basuki Rahmat sebagai Mendagri', 'office': 'Daftar Menteri Dalam Negeri IndonesiaMenteri Dalam Negeri Indonesia', 'order': 'ke-16', 'term_start': '18 Maret 1966', 'term_end': '9 Januari 1969 < br > < small > (ad-interim sampai 28 Maret 1966)', 'predecessor': 'Soemarno Sosroatmodjo', 'successor': 'Amir Machmud', 'office2': 'Daftar Menteri Veteran dan Demobilisasi IndonesiaMenteri Urusan Veteran dan Demobilisasi', 'order2': 'ke-6', 'term_start2': '24 Februari 1966', 'term_end2': '28 Maret 1966', 'president2': 'Soekarno', 'predecessor2': 'M. Sarbini', 'successor2': 'M. Sarbini', 'office3': 'Penjabat Gubernur DKI Jakarta', 'term_start3': '18 Maret 1966', 'term_end3': '28 April 1966', 'president3': 'Soekarno', 'predecessor3': 'Soemarno Sosroatmodjo', 'successor3': 'Ali Sadikin', 'birth_place': 'Senori, Tuban, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'serviceyears': '1943—1967', 'rank': '25px Mayor Jenderal TNI', 'unit': 'Infanteri', 'battles': 'Revolusi Nasional Indonesia', 'profession': 'Tentara', 'religion': 'Islam'}"
R. Hartono,"{'image': 'Jenderal TNI R. Hartono.png', 'office': 'Daftar Menteri Dalam Negeri IndonesiaMenteri Dalam Negeri Indonesia', 'order': 'ke-21', 'term_start': '16 Maret 1998', 'term_end': '21 Mei 1998', 'president': 'Soeharto', 'predecessor': 'Yogie Suardi Memet', 'successor': 'Syarwan Hamid', 'office2': 'Daftar Menteri Penerangan IndonesiaMenteri Penerangan Indonesia', 'order2': 'ke-23', 'term_start2': '17 Maret 1997', 'term_end2': '16 Maret 1998', 'president2': 'Soeharto', 'predecessor2': 'Harmoko', 'successor2': 'Alwi Dahlan', 'office3': 'Kepala Staf TNI Angkatan Darat', 'order3': 'ke-18', 'term_start3': '13 Februari 1995', 'term_end3': '13 Juni 1997', 'predecessor3': 'Wismoyo Arismunandar', 'successor3': 'Wiranto', 'office4': 'Gubernur Lemhannas', 'order4': 'ke-8', 'term_start4': '1993', 'term_end4': '1994', 'predecessor4': 'Soekarto', 'successor4': 'Moetojib', 'birth_place': 'Pamekasan, Madura, Hindia Belanda', 'nationality': 'Indonesia', 'party': 'Partai Karya Peduli Bangsa', 'spouse': 'Oetari', 'relations': 'R. Osman Prawiro Asmoro (Bapak) < br > R.A. Soekarni (Ibu)', 'children': '1. Himawan Sukmadianto 16-10-1964 < br > 2. Rudy Chandra Satriawan 12-11-1968 < br > 3. Torry Widyantoro 26-09-1971/ 2003 (Alm) < br > 4. Yudha Bramantia 18-01-1973', 'alma_mater': 'Akademi Militer Nasional (1962)', 'profession': 'TNI  < br/ >  Politisi', 'branch': '25px TNI Angkatan Darat', 'serviceyears': '1962-1997', 'servicenumber': '19067', 'rank': '25px Jenderal TNI', 'unit': 'Kavaleri'}"
Akbar Tanjung,"{'honorific-prefix': 'Ir.', 'name': 'Akbar Tanjung', 'image': 'Akbar Tandjung, Buku Kenangan Anggota Dewan Perwakilan Rakyat Republik Indonesia 1999-2004, p564.jpg', 'caption': 'Akbar Tandjung, 1999', 'office': 'Ketua Dewan Perwakilan Rakyat', 'order': 'ke-13', 'term_start': '6 Oktober 1999', 'term_end': '1 Oktober 2004', 'predecessor': 'Harmoko', 'successor': 'Agung Laksono', 'office2': 'Ketua Umum Partai Golongan Karya', 'order2': 'ke-7', 'term_start2': '11 Juli 1998', 'term_end2': '19 Desember 2004', 'predecessor2': 'Harmoko', 'successor2': 'Jusuf Kalla', 'office3': 'Menteri Sekretaris Negara Indonesia', 'order3': 'ke-6', 'president3': 'B. J. Habibie', 'term_start3': '23 Mei 1998', 'term_end3': '20 Oktober 1999', 'predecessor3': 'Saadilah Mursjid', 'successor3': 'Alirahman', 'office4': 'Daftar Menteri Perumahan Rakyat IndonesiaMenteri Negara Perumahan Rakyat dan Pemukiman Indonesia', 'order4': 'ke-3', 'president4': 'Soeharto', 'term_start4': '17 Maret 1993', 'term_end4': '21 Mei 1998', 'predecessor4': 'Siswono Yudohusodo', 'successor4': 'Theo L. Sambuaga', 'office5': 'Daftar Menteri Pemuda dan Olahraga IndonesiaMenteri Negara Pemuda dan Olahraga Indonesia', 'order5': 'ke-5', 'president5': 'Soeharto', 'term_start5': '21 Maret 1988', 'term_end5': '17 Maret 1993', 'predecessor5': 'Abdul Gafur', 'successor5': 'Hayono Isman', 'office6': 'Anggota Dewan Perwakilan Rakyat < br > Republik Indonesia', 'term_start6': '1 Oktober 1999', 'term_end6': '1 Oktober 2004', 'constituency6': 'DKI Jakarta', 'predecessor6': '< !-- kalau mengganti di tengah jabatan -- >', 'successor6': '< !-- kalau digantikan di tengah jabatan -- >', '1blankname6': 'Perolehan suara', 'term_start7': '1 Oktober 1977', 'term_end7': '21 Maret 1988', 'constituency7': 'Jawa Timur', 'predecessor7': '< !-- kalau mengganti di tengah jabatan -- >', 'successor7': 'Potsdam Hutasoit', '1blankname7': 'Perolehan suara', 'birth_place': 'Sorkam, Tapanuli Tengah, Sumatera Utara, Hindia Jepang', 'nationality': 'Indonesia', 'party': 'Partai Golongan Karya', 'relations': 'Usman Zahiruddin Tandjung (kakak)', 'spouse': 'Krisnina Maharani', 'children': '4', 'alma_mater': 'Universitas Indonesia < br/ > Universitas Gadjah Mada', 'occupation': 'Politikus', 'religion': 'Islam'}"
