article_title;partof;dateStart;dateEnd;place;actor;person
Kerusuhan rasial Jawa Tengah 1980;;1980-11-20;1980-11-22;"Solo
Semarang
Kabupaten Semarang";;"Eddy Wibowo
Hari Mulyadi
Endu Marsono"
Kerusuhan Banjarmasin;;1997-05-23;1997-05-23;Banjarmasin;;
Peristiwa Tanjung Priok;;1984-09-13;1984-09-13;Tanjung Priok;"Tentara Nasional Indonesia
Warga muslim Tanjung Priok";"Try Sutrisno
Leonardus Benyamin
Moerdani
Amir Biki"
Malari;;1974-01-15;1974-01-16;Jakarta;"Mahasiswa Indonesia dan masyarakat miskin perkotaan
Pemerintah Orde Baru";
Peristiwa 19 Agustus 1966;;1966-08-19;1966-08-19;Bandung;"Elemen Masyarakat Kota Bandung yang masih Pro Bung Karno
Massa pelajar dan mahasiswa di Bandung";
Kejatuhan Soeharto;Reformasi Indonesia;1998-05-04;1998-05-21;Indonesia;;"Soeharto
Feisal Tanjung
Prabowo Subianto
Wiranto
Amien Rais
Megawati Soekarnoputri
Harmoko"
Kerusuhan Mei 1998;"Kejatuhan Soeharto
Krisis finansial Asia 1997
Sentimen anti-Tionghoa di Indonesia";1998-05-04;1998-05-15;"Medan
Jakarta
Surakarta";"Indonesia
Tentara Nasional Indonesia
Kodam Jayakarta
Kepolisian Negara Republik Indonesia
Korps Brigade Mobil
Badan Intelijen Negara Indonesia
warga sipil Indonesia
Megawati Soekarnoputri
Tionghoa";
Peristiwa 27 Juli;Kejatuhan Soeharto;1996-07-27;1996-07-29;Jakarta, Indonesia;"Pendukung Megawati Soekarnoputri
Pemerintah Orde Baru
Pemuda Pancasila
Tentara Nasional Indonesia Angkatan Darat";
Tragedi Semanggi;Era Reformasi;1998-11-13;1999-09-24;Semanggi;"Tentara Nasional Indonesia 
Kepolisian Negara Republik Indonesia";
Konflik sektarian Maluku;;1999-01-14;2002-02-13;Kepulauan Maluku;"Laskar Jihad
Komando Jihad
Front Pembela Islam
Jemaah Islamiyah
Laskar Mujahidin
Pasukan Jihad
Desa Sabaleh
Laskar Mujahidah
Laskar Kristus
Front Kedaulatan Maluku
Brigade Manguni
Pasukan Merah
Indonesia
Tentara Nasional Indonesia
Kepolisian Negara Republik Indonesia
Pemuda Pancasila
Pasukan Kuning";"Ja'far Umar Thalib
Jumu Tuani
Rizieq Shihab
Abu Bakar Ba'asyir
Abu Bakar Wahid
Agus Wattimena
Berty Loupatty
Alex Manuputty
Tonaas Wangko Lendy Wangke
Benny Betjara
Abdurrahman Wahid
Wiranto"
