key,actor
Kerusuhan rasial Jawa Tengah 1980,
Kerusuhan Banjarmasin,
Peristiwa Tanjung Priok,Tentara Nasional Indonesia
Peristiwa Tanjung Priok,Warga muslim Tanjung Priok
Malari,Mahasiswa Indonesia dan masyarakat miskin perkotaan
Malari,Pemerintah Orde Baru
Peristiwa 19 Agustus 1966,Elemen Masyarakat Kota Bandung yang masih Pro Bung Karno
Peristiwa 19 Agustus 1966,Massa pelajar dan mahasiswa di Bandung
Kejatuhan Soeharto,
Kerusuhan Mei 1998,Indonesia
Kerusuhan Mei 1998,Tentara Nasional Indonesia
Kerusuhan Mei 1998,Kodam Jayakarta
Kerusuhan Mei 1998,Kepolisian Negara Republik Indonesia
Kerusuhan Mei 1998,Korps Brigade Mobil
Kerusuhan Mei 1998,Badan Intelijen Negara Indonesia
Kerusuhan Mei 1998,warga sipil Indonesia
Kerusuhan Mei 1998,Megawati Soekarnoputri
Kerusuhan Mei 1998,Tionghoa
Peristiwa 27 Juli,Pendukung Megawati Soekarnoputri
Peristiwa 27 Juli,Pemerintah Orde Baru
Peristiwa 27 Juli,Pemuda Pancasila
Peristiwa 27 Juli,Tentara Nasional Indonesia Angkatan Darat
Tragedi Semanggi,Tentara Nasional Indonesia 
Tragedi Semanggi,Kepolisian Negara Republik Indonesia
Konflik sektarian Maluku,Laskar Jihad
Konflik sektarian Maluku,Komando Jihad
Konflik sektarian Maluku,Front Pembela Islam
Konflik sektarian Maluku,Jemaah Islamiyah
Konflik sektarian Maluku,Laskar Mujahidin
Konflik sektarian Maluku,Pasukan Jihad
Konflik sektarian Maluku,Desa Sabaleh
Konflik sektarian Maluku,Laskar Mujahidah
Konflik sektarian Maluku,Laskar Kristus
Konflik sektarian Maluku,Front Kedaulatan Maluku
Konflik sektarian Maluku,Brigade Manguni
Konflik sektarian Maluku,Pasukan Merah
Konflik sektarian Maluku,Indonesia
Konflik sektarian Maluku,Tentara Nasional Indonesia
Konflik sektarian Maluku,Kepolisian Negara Republik Indonesia
Konflik sektarian Maluku,Pemuda Pancasila
Konflik sektarian Maluku,Pasukan Kuning
