article_title,dateStart,dateEnd
Keresidenan Banten,1942-00-00,1817-00-00
Hindia Belanda,1949-00-00,1800-00-00
Kesultanan Siak Sri Inderapura,1945-00-00,1723-00-00
Administrasi Sementara PBB di Timor Timur,2002-00-00,1999-00-00
Kesultanan Ngayogyakarta Hadiningrat,,1755-00-00
Pemerintah Sementara Timor Timur,1976-00-00,1975-00-00
Orde Baru,1998-00-00,1966-00-00
Nugini Belanda,1962-00-00,1949-00-00
Batavia,1949-00-00,1619-00-00
Timor Portugis,1975-00-00,1702-00-00
Republik Tiongkok (1912–1949),1949-00-00,1912-00-00
Kekaisaran Jepang,1947-00-00,1868-00-00
