article_title,relatives
Zainal Basri Palaguna,Azmi Perkasa Alam Alhaj
Zainal Basri Palaguna,Otteman III Mahmud Ma'amun
Zainal Basri Palaguna,Mahmud Arya Lamanjiji
Agung Firman Sampurna,Wahyu Sanjaya
Agung Firman Sampurna,Dewi Yustisiana
Syarief Thayeb,Teuku Mohammad Hadi Thayeb
Aksa Mahmud,Jusuf Kalla
Soemarno Sosroatmodjo,Bunda Iffet
Soemarno Sosroatmodjo,Bimo Setiawan Almachzumi
Rano Karno,Tino Karno
Rano Karno,Suti Karno
Rano Karno,Ismed M. Noor
Kunto Arief Wibowo,Ryamizard Ryacudu
Kunto Arief Wibowo,Nora Tristyana
Kunto Arief Wibowo,Irjen Pol. Firman Santyabudi
Kunto Arief Wibowo,Letda Inf. Muhammad Fakhri S.T.Han
Anwar Tjokroaminoto,Siti Oetari
Anwar Tjokroaminoto,Harsono Tjokroaminoto
Siti Hardijanti Rukmana,Sigit Harjojudanto
Siti Hardijanti Rukmana,Bambang Trihatmodjo
Siti Hardijanti Rukmana,Siti Hediati Hariyadi
Siti Hardijanti Rukmana,Hutomo Mandala Putra
Siti Hardijanti Rukmana,Siti Hutami Endang Adiningsih
Aburizal Bakrie,H. Supardi
Agum Gumelar,Achmad Tahir
Agum Gumelar,Ladya Cheryl
Agum Gumelar,Taufik Hidayat
Pramono Edhie Wibowo,Susilo Bambang Yudhoyono
Pramono Edhie Wibowo,Ani Yudhoyono
Pramono Edhie Wibowo,Hartanto Edhie Wibowo
Firman Santyabudi,Ryamizard Ryacudu
Firman Santyabudi,Nora Tristyana
Firman Santyabudi,Letjen TNI Kunto Arief Wibowo
A.M. Hendropriyono,Andika Perkasa
Harsono Tjokroaminoto,Siti Oetari
Harsono Tjokroaminoto,Anwar Tjokroaminoto
Harsono Tjokroaminoto,M.S. Hidayat
Mooryati Soedibyo,Pakubuwana X
Ipik Asmasoebrata,Ramon Papana
Ipik Asmasoebrata,Dylan Sada
Ipik Asmasoebrata,Alexandra Asmasoebrata
A.R. Soehoed,Benny Chatib
Musannif Ryacudu,Try Sutrisno
Danang Hadiwibowo,Try Sutrisno
Danang Hadiwibowo,Firman Santyabudi
Danang Hadiwibowo,Kunto Arief Wibowo
Soekardi,Theo L. Sambuaga
Siswondo Parman,Sakirman
Ali Wardhana,Ali Sastroamidjojo
Ali Wardhana,Robertus Sanyoto
Melanchton Siregar,Payung Bangun
Tommy Soeharto,Siti Hardijanti Rukmana
Tommy Soeharto,Sigit Harjojudanto
Tommy Soeharto,Bambang Trihatmodjo
Tommy Soeharto,Siti Hediati Hariyadi
Tommy Soeharto,Siti Hutami Endang Adiningsih
