article_title,name,image,dateStart,dateEnd
Aliansi Progresif,Progressive Alliance,Progressive Alliance.svg,2013-05-22,
Sosialis Internasional,Sosialis Internasional,Red Rose (Socialism).svg,1951-06-03,
Bank Pembangunan Asia,Bank Pembangunan Asia,,,
Komite Olahraga Nasional Indonesia,Komite Olahraga Nasional Indonesia,National Sports Committee of Indonesia (KONI) logo.svg,1938-10-15,
Nahdlatul Ulama,Nahdlatul Ulama,,1926-01-31,
Persatuan Wartawan Indonesia,Persatuan Wartawan Indonesia,,1946-02-09,
Yayasan Supersemar,Yayasan Supersemar,Yayasan Supersemar logo.png,1974-05-16,
Ikatan Pemuda Karya,Ikatan Pemuda Karya,,1969-08-28,
KOSGORO,Kesatuan Organisasi Serbaguna Gotong Royong,,1957-11-10,
Persatuan Wredatama Republik Indonesia,Persatuan Wredatama Republik Indonesia,Logo_PWRI.png,1962-07-24,
