article_title,logo,dateStart
Partai Syarikat Islam Indonesia,Berkas:Lambang PSII.jpg,1923-00-00
Uni Demokrasi Timor,,1974-05-11
Partai Swara Rakyat Indonesia,Logo_Parsindo.jpg,2013-11-15
Partai Ikatan Pendukung Kemerdekaan Indonesia,IPKI.jpg,1954-05-20
Front Revolusi Independen Timor Leste,,1974-05-20
Gerakan Aceh Merdeka,Flag of Aceh.svg,1976-12-04
Partai Sosialis Indonesia,250px,1948-02-13
Front Anti-Komunis Indonesia,,
Partai Komunis Indonesia,Communist Party of Indonesia.svg,1914-05-09
Partai Muslimin Indonesia,Parmusi Pemilu 1971.jpg,1968-02-20
Partai Demokrasi Indonesia,Logo of Indonesian Democratic Party.svg,1973-01-11
Partai Kristen Indonesia,Logo of Indonesian Christian Party.svg,1945-11-10
