article_title,image,dateStart,dateEnd,children,parents,relatives
Margono Djojohadikoesoemo,"Margono Djojohadikusumo, Kami Perkenalkan (1952), p86.jpg",1894-05-16,1978-07-02,"Soemitro Djojohadikoesoemo
Soebianto Djojohadikoesoemo
Soejono Djojohadikoesoemo",,
Adam Malik,Adam Malik Batubara Official Portrait.jpg,1917-07-22,1984-09-05,,,
Megawati Soekarnoputri,President Megawati Sukarnoputri - Indonesia.jpg,1947-01-23,,"Mohammad Rizki Pratama
Mohammad Prananda Prabowo
Puan Maharani","Soekarno
Fatmawati",
Syafruddin Prawiranegara,Sjafruddin_Prawiranegara.jpg,1911-02-28,1989-02-15,,,
Rusli Noor,Indonesia Ambassador to Belgium Gusti Roesli Noor.jpg,1927-05-01,,,,
Hartono Rekso Dharsono,H. R. Dharsono.jpg,1925-06-10,1996-06-05,,,
B. J. Habibie,"B. J. Habibie, President of Indonesia portrait.jpg",1936-06-25,2019-09-11,"Ilham Akbar
Thariq Kemal","Alwi Abdul Jalil Habibie
Tuti Marini Puspowardojo",
Taur Matan Ruak,Prime_Minister_of_Timor-Leste_Taur_Matan_Ruak.jpg,1956-10-10,,"Tamarisa Vasconcelos
Quesadhip Vasconcelos
Lola Vasconcelos",,
Dobrica Ćosić,"S.Kragujevic, Dobrica Cosic 1961.JPG",1921-12-29,2014-05-18,,,
Soeharto,"President Suharto, 1993.jpg",1921-06-08,2008-01-27,"Siti Hardijanti Rukmana
Sigit Harjojudanto
Bambang Trihatmodjo
Siti Hediati Hariyadi
Hutomo Mandala Putra
Siti Hutami Endang Adiningsih","Kertosoediro
Soekirah",
Nicolau dos Reis Lobato,Nicolau dos Reis Lobato in Declaration of East Timor (1975).jpg,1946-05-24,1978-12-31,José Lobato,,Rogerio Lobato
Mohammad Hatta,"Mohammad Hatta, Pekan Buku Indonesia 1954, p242.jpg",1902-08-12,1980-03-14,Meutia HattaGemala HattaHalida Hatta,,
Joko Widodo,Joko_Widodo_2019_official_portrait.jpg,1961-06-21,,"Gibran Rakabuming Raka
Kahiyang Ayu
Kaesang Pangarep","Widjiatno Notomihardjo
Sudjiatmi Notomihardjo","Bobby Nasution
Anwar Usman"
