key,start_date,end_date

Republik Papua Barat,1961-12-01,

Pemerintahan Revolusioner Republik Indonesia,,

Keresidenan Banten,1942-00-00,1817-00-00

Hindia Belanda,1949-00-00,1800-00-00

Kesultanan Siak Sri Inderapura,1945-00-00,1723-00-00

Administrasi Sementara PBB di Timor Timur,2002-00-00,1999-00-00

Kesultanan Ngayogyakarta Hadiningrat,,1755-00-00

Pemerintah Sementara Timor Timur,1976-00-00,1975-00-00

Orde Baru,1998-00-00,1966-00-00

Nugini Belanda,1962-00-00,1949-00-00

Batavia,1949-00-00,1619-00-00

Timor Portugis,1975-00-00,1702-00-00

Republik Tiongkok (1912–1949),1949-00-00,1912-00-00

Kekaisaran Jepang,1947-00-00,1868-00-00

Republik Indonesia (1949–1950),1949-12-27,1950-08-17

Timor Timur,1976-07-17,1999-10-25

Aminuddin Ponulele,1939-07-05,2021-01-27

Rosihan Arsyad,1949-07-29,

Alex Noerdin,1950-09-09,

Syahrial Oesman,1955-05-25,

Partai Katolik (Indonesia),1918-00-00,1973-00-00

Partai Hati Nurani Rakyat,2006-12-21,

Partai Berkarya,2016-07-15,

Partai Karya Peduli Bangsa,2002-09-09,

Pemuda Pancasila,1965-00-00,

Pasukan Internasional Timor Timur,1999-09-20,2000-02-20

Aitarak,,

I Gusti Ngurah Rai,1917-01-30,1946-11-20

Abdullah Syafi'i (GAM),1947-10-12,2002-01-22

Soedirman,1916-01-24,1950-01-29

Zainal Basri Palaguna,1939-03-09,2019-10-02

Gatot Soebroto,1907-10-10,1962-06-11

Soemitro,1927-01-13,1998-05-10

Soegih Arto,1923-12-22,2008-12-29

Sintong Panjaitan,1940-09-04,

Suprapto Sukowati,1922-11-12,1972-08-09

Sujudi,1930-09-08,2007-06-23

W. A. F. J. Tumbelaka,1920-04-20,2012-09-11

Pranoto Reksosamodra,1923-04-16,1992-06-09

Toyib Hadiwijaya,1919-05-12,2002-12-12

Mohamad Suleman Hidayat,1944-12-02,

Chaerul Saleh,1916-09-13,1967-02-08

Notohatyanto,1907-09-10,

Agung Firman Sampurna,1971-11-19,

Syarief Thayeb,1920-07-07,1989-11-11

Raden Mas Sewaka,1895-01-01,

Slamet Kirbiantoro,1948-03-18,2018-07-19

Mochtar Kusumaatmadja,1929-02-17,2021-06-06

Mashudi,1919-09-11,2005-06-22

Roeslan Abdulgani,1914-11-24,2005-06-29

Widjojo Soejono,1928-05-09,2022-05-11

Alamsyah Ratu Perwiranegara,1925-12-25,1998-01-08

Mursalin Daeng Mamangung,1922-11-20,2006-11-18

Ali Sadikin,1926-07-07,2008-05-20

Maskanan,,

Herman Deru,1967-11-17,

Pahri Azhari,1962-07-03,2020-04-23

Abdul Azis Bustam,1926-06-06,1982-07-16

Amir Machmud,1923-02-21,1995-04-21

Aksa Mahmud,1945-07-16,

Sunawar Sukowati,1922-09-06,1986-01-12

Djatmikanto Danumartono,1944-06-05,

Edi Sudradjat,1938-04-22,2006-12-01

Soebekti,1914-05-14,1992-12-09

Achmad Wiranatakusumah,1925-10-11,1999-09-27

Kahar Muzakir,1946-12-10,

Satrio Budihardjo Joedono,1932-12-01,2017-04-16

Agus Hermanto,1956-05-20,

Mas Tirtodarmo Haryono,1924-01-20,1965-10-01

Hartini,1924-09-20,2002-03-12

Yogie Suardi Memet,1929-05-16,2007-06-07

Sabam Sirait,1936-10-13,2021-09-29

Slamet Iman Santoso,1907-09-07,2004-11-09

Widjojo Nitisastro,1927-09-23,2012-03-09

Xanana Gusmão,1946-06-20,

Andi Muhammad Ghalib,1946-06-03,2016-05-09

Ambo Eteng Amin,1942-12-31,2015-03-19

Adnan Kapau Gani,1905-09-16,1968-12-23

Achmad Soebardjo,1896-03-23,1978-12-15

Tandiono Manu,1913-06-28,1986-10-30

Mohammad Nazir,1910-07-10,1982-08-30

Witarmin,1925-02-02,1983-07-05

Poedjono Pranyoto,1936-08-06,2021-12-02

Ade Komarudin,1965-05-20,

Juwono Sudarsono,1942-03-05,

Mohammad Isnaeni,1919-04-19,2002-10-27

Soegiarto (militer),,

Hamengkubuwana IX,1912-04-12,1988-10-02

Muammar Khadafi,1942-06-07,2011-10-20

Adhyatma,1932-05-25,1999-12-02

Makmun Murod,1924-12-24,2011-09-13

Endang Agustini Syarwan,1949-08-17,

Soedharmono,1927-03-12,2006-01-25

Bambang Triantoro,1931-01-07,2008-04-02

Surono Reksodimedjo,1923-09-06,2010-08-03

Siti Hartinah,1923-08-23,1996-04-28

Soetedjo (akademisi),1901-11-19,1981-04-25

Setiadi Reksoprodjo,1921-09-18,2010-07-28

