key,person
Kerusuhan rasial Jawa Tengah 1980,Eddy Wibowo
Kerusuhan rasial Jawa Tengah 1980,Hari Mulyadi
Kerusuhan rasial Jawa Tengah 1980,Endu Marsono
Kerusuhan Banjarmasin,
Peristiwa Tanjung Priok,Try Sutrisno
Peristiwa Tanjung Priok,Leonardus Benyamin
Peristiwa Tanjung Priok,Moerdani
Peristiwa Tanjung Priok,Amir Biki
Malari,
Peristiwa 19 Agustus 1966,
Kejatuhan Soeharto,Soeharto
Kejatuhan Soeharto,Feisal Tanjung
Kejatuhan Soeharto,Prabowo Subianto
Kejatuhan Soeharto,Wiranto
Kejatuhan Soeharto,Amien Rais
Kejatuhan Soeharto,Megawati Soekarnoputri
Kejatuhan Soeharto,Harmoko
Kerusuhan Mei 1998,
Peristiwa 27 Juli,
Tragedi Semanggi,
Konflik sektarian Maluku,Ja'far Umar Thalib
Konflik sektarian Maluku,Jumu Tuani
Konflik sektarian Maluku,Rizieq Shihab
Konflik sektarian Maluku,Abu Bakar Ba'asyir
Konflik sektarian Maluku,Abu Bakar Wahid
Konflik sektarian Maluku,Agus Wattimena
Konflik sektarian Maluku,Berty Loupatty
Konflik sektarian Maluku,Alex Manuputty
Konflik sektarian Maluku,Tonaas Wangko Lendy Wangke
Konflik sektarian Maluku,Benny Betjara
Konflik sektarian Maluku,Abdurrahman Wahid
Konflik sektarian Maluku,Wiranto
Pembantaian Santa Cruz,Warga Timor Timur
Tragedi Trisakti,Universitas Trisakti
Tragedi Trisakti,Tentara Nasional Indonesia Angkatan Darat
Pembantaian Gereja Liquiçá,Umat Katolik Timor Timur
Pembantaian Gereja Suai,Umat Katolik Timor Timur
Pembantaian di Indonesia 1965–1966,PKI
Pembantaian di Indonesia 1965–1966,Gerwani
Pembantaian di Indonesia 1965–1966,Abangan Jawa
Penculikan aktivis 1997/1998,
Insiden Penembakan Timika 1996,
Pembakaran Plaza Sentral Klender,
Genosida Timor Timur,
Pembantaian Beutong Ateueh,Korem 011/Lilawangsa
Pembantaian Beutong Ateueh,Batalyon 328 Kostrad
Serangan ke Limbang,Jeremy Moore
Serangan ke Limbang,Salleh Bin Sambas
Kerusuhan Poso,Abdurrahman Wahid
Kerusuhan Poso,Susilo Bambang Yudhoyono
Kerusuhan Poso,Jusuf Kalla
Kerusuhan Poso,Bandjela Paliudju
Kerusuhan Poso,Aminuddin Ponulele
Kerusuhan Poso,Slamet Kirbiantoro
Kerusuhan Poso,Zainal Abidin Ishak
Kerusuhan Poso,Arief Patanga
Kerusuhan Poso,Muin Pusadan
Kerusuhan Poso,Deddy Woeryantono
Kerusuhan Poso,Djasman Baso Opu
Kerusuhan Poso,Adnan Arsal
Kerusuhan Poso,Fabianus Tibo
Kerusuhan Poso,Marinus Riwu
Kerusuhan Poso,Dominggus da Silva
Kerusuhan Poso,Rinaldy Damanik
Kampanye Hindia Belanda,Archibald Wavell
Kampanye Hindia Belanda,A. T. van S. Stachouwer
Kampanye Hindia Belanda,Hein ter Poorten
Kampanye Hindia Belanda,Thomas C. Hart
Kampanye Hindia Belanda,Conrad Helfrich
Kampanye Hindia Belanda,Karel Doorman
Kampanye Hindia Belanda,Richard Peirse
Kampanye Hindia Belanda,Hisaichi Terauchi
Kampanye Hindia Belanda,Kiyotake Kawaguchi
Kampanye Hindia Belanda,Ibō Takahashi
Kampanye Hindia Belanda,Hitoshi Imamura
Kampanye Hindia Belanda,Shōji Nishimura
Kampanye Hindia Belanda,Jisaburō Ozawa
Kampanye Hindia Belanda,Takeo Takagi
Kampanye Hindia Belanda,Nobutake Kondō
Pemberontakan Darul Islam,Sukarno
Pemberontakan Darul Islam,Sudirman
Pemberontakan Darul Islam,Tahi Bonar Simatupang
Pemberontakan Darul Islam,Abdul Haris Nasution
Pemberontakan Darul Islam,Suryadi Suryadarma
Pemberontakan Darul Islam,Alexander Evert Kawilarang
Pemberontakan Darul Islam,Suharto
Pemberontakan Darul Islam,Ahmad Yani
Pemberontakan Darul Islam,Sekarmadji Kartosuwirjo
Pemberontakan Darul Islam,Ibnu Hadjar
Pemberontakan Darul Islam,Abdul Kahar Muzakkar
Pemberontakan Darul Islam,Daud Beureueh
Pemberontakan Darul Islam,Hasan di Tiro
Pemberontakan Darul Islam,Raymond Westerling
Serangan Umum 1 Maret 1949,Hamengkubuwono IX
Serangan Umum 1 Maret 1949,Sudirman
Serangan Umum 1 Maret 1949,Bambang Soegeng
Serangan Umum 1 Maret 1949,Soeharto
Serangan Umum 1 Maret 1949,Ventje Sumual
Serangan Umum 1 Maret 1949,Langen
Serangan Umum 1 Maret 1949,Meyer
Serangan Umum 1 Maret 1949,J.M. v/d Berge
Permesta,Soekarno
Permesta,Abdul Haris Nasution
Permesta,Omar Dhani
Permesta,Djamin Ginting
Permesta,Ventje Sumual
Permesta,Alex Kawilarang
Permesta,Joop Warouw
Permesta,Daniel Julius Somba
Permesta,Allen Lawrence Pope
Permesta,William H. Beale
Permesta,Sjafruddin Prawiranegara
Pertempuran Sungei Koemba,William Broderick
Pertempuran Sungei Koemba,Ivor Hodgkinson
Operasi 17 Agustus,Soekarno
Operasi 17 Agustus,Abdul Haris Nasution
Operasi 17 Agustus,Ahmad Yani
Operasi 17 Agustus,Syafruddin Prawiranegara
Operasi 17 Agustus,Maludin Simbolon
Operasi 17 Agustus,Ahmad Husein
Operasi 17 Agustus,Mr. Assaat
Krisis sandera Mapenduma,Prabowo Subianto
Krisis sandera Mapenduma,Kelly Kwalik
Revolusi Nasional Indonesia,Soekarno
Revolusi Nasional Indonesia,Mohammad Hatta
Revolusi Nasional Indonesia,Soedirman
Revolusi Nasional Indonesia,Oerip Soemohardjo
Revolusi Nasional Indonesia,Soetan Sjahrir
Revolusi Nasional Indonesia,Hamengkubuwana IX
Revolusi Nasional Indonesia,Pakubuwana XII
Revolusi Nasional Indonesia,A.H. Nasution
Revolusi Nasional Indonesia,Sjafruddin Prawiranegara
Revolusi Nasional Indonesia,Gatot Subroto
Revolusi Nasional Indonesia,Bambang Soegeng
Revolusi Nasional Indonesia,Soetomo
Revolusi Nasional Indonesia,Moehammad Jasin
Revolusi Nasional Indonesia,T.B. Simatupang
Revolusi Nasional Indonesia,Soeharto
Revolusi Nasional Indonesia,Amir Sjarifuddin
Revolusi Nasional Indonesia,Tan Malaka
Revolusi Nasional Indonesia,Sultan Hamid II
Revolusi Nasional Indonesia,Agustinus Adisoetjipto
Revolusi Nasional Indonesia,R. E. Martadinata
Revolusi Nasional Indonesia,Wilhelmina
Revolusi Nasional Indonesia,Juliana
Revolusi Nasional Indonesia,Hubertus van Mook
Revolusi Nasional Indonesia,Simon Spoor
Revolusi Nasional Indonesia,Adelbert van Langen
Revolusi Nasional Indonesia,Buurman Van Vreeden
Revolusi Nasional Indonesia,Conrad Helfrich
Revolusi Nasional Indonesia,Hendrik van Oyen
Revolusi Nasional Indonesia,Louis Mountbatten
Revolusi Nasional Indonesia,Philip Christison
Revolusi Nasional Indonesia,Robert Mansergh
Revolusi Nasional Indonesia,Aubertin Mallaby
Revolusi Nasional Indonesia,Raymond Westerling
Revolusi Nasional Indonesia,Tjokorda Gde Raka Soekawati
Revolusi Nasional Indonesia,Sultan Hamid II
Revolusi Nasional Indonesia,Loa Sek Hie
Revolusi Nasional Indonesia,A.K. Widjojoatmodjo
Revolusi Nasional Indonesia,Julius Tahija
Revolusi Nasional Indonesia,Sekarmadji Kartosoewirjo
Revolusi Nasional Indonesia,Abdul Kahar Muzakkar
Revolusi Nasional Indonesia,Musso
Revolusi Nasional Indonesia,Amir Sjarifuddin
Pertempuran Laut Aru,Komodor Yos Sudarso
Pertempuran Laut Aru,Kolonel Sudomo
Pertempuran Laut Aru,Kapten Wiratno
Pertempuran Laut Aru,Kapten Tjiptadi
Pertempuran Laut Aru,Kapten Memet Sastrawiria
Kerusuhan Sambas,
Pemberontakan di Aceh,Soeharto
Pemberontakan di Aceh,B. J. Habibie
Pemberontakan di Aceh,Abdurahman Wahid
Pemberontakan di Aceh,Megawati
Pemberontakan di Aceh,Susilo Yudhoyono
Pemberontakan di Aceh,Try Sutrisno
Pemberontakan di Aceh,Endriartono Sutarto
Pemberontakan di Aceh,Sutiyoso
Pemberontakan di Aceh,Bambang Darmono
Pemberontakan di Aceh,Hasan di Tiro
Pemberontakan di Aceh,Zaini Abdullah
Pemberontakan di Aceh,Abdullah Syafi'i
Pemberontakan di Aceh,Muzakir Manaf
Pemberontakan di Aceh,Sofyan Dawood
Pemberontakan di Aceh,Ayah Muni
Pemberontakan di Aceh,Ishak Daud
Operasi Trisula,Soeharto
Operasi Trisula,Abdul Haris Nasution
Operasi Trisula,Witarmin
Operasi Trisula,Kartomo
Operasi Trisula,B.O. Hutapea
Krisis Timor Timur 1999,John Howard
Krisis Timor Timur 1999,Peter Cosgrove
Krisis Timor Timur 1999,Jenny Shipley
Krisis Timor Timur 1999,Helen Clark
Krisis Timor Timur 1999,Carey Adamson
Krisis Timor Timur 1999,Sérgio Vieira de Mello 
Krisis Timor Timur 1999,Paulo Pereira Guerreiro
Krisis Timor Timur 1999,Wiranto
Krisis Timor Timur 1999,Eurico Guterres
Krisis Timor Timur 1999,Manuel de Sousa
Krisis Timor Timur 1999,Olivio Mendonca Moruk
Krisis Timor Timur 1999,Câncio Lopez de Carvalho
Pendaratan di Labis,
Pemberontakan PKI 1948,Soekarno
Pemberontakan PKI 1948,Mohammad Hatta
Pemberontakan PKI 1948,Soedirman
Pemberontakan PKI 1948,Gatot Soebroto
Pemberontakan PKI 1948,Abdul Haris Nasution
Pemberontakan PKI 1948,Musso
Pemberontakan PKI 1948,Amir Sjarifuddin
Pemberontakan PKI 1948,D. N. Aidit
Pemberontakan PKI 1948,M.H. Lukman
Pemberontakan PKI 1948,Njoto
Operasi militer Indonesia di Aceh 1990-1998,Soeharto
Operasi militer Indonesia di Aceh 1990-1998,Try Sutrisno
Operasi militer Indonesia di Aceh 1990-1998,Sutiyoso
Operasi militer Indonesia di Aceh 1990-1998,Hasan Di Tiro
Operasi militer Indonesia di Aceh 1990-1998,Abdullah Syafi'i
Peristiwa Arfai,
Operasi Trikora,Soekarno
Operasi Trikora,Soerjadi Soerjadarma
Operasi Trikora,Abdul Haris Nasution
Operasi Trikora,Ahmad Yani
Operasi Trikora,Soeharto
Operasi Trikora,Omar Dhani
Operasi Trikora,Eddy Martadinata
Operasi Trikora,Yos Sudarso
Operasi Trikora,Leonardus Benyamin Moerdani
Operasi Trikora,C.J. van Westenbrugge
Operasi Trikora,W.A. van Heuven
Agresi Militer Belanda II,Soedirman
Agresi Militer Belanda II,Djatikoesoemo
Agresi Militer Belanda II,Abdul Haris Nasution
Agresi Militer Belanda II,Simon Hendrik Spoor
Agresi Militer Belanda II,Dirk van Langen
Pendudukan Indonesia atas Timor Timur,Soeharto
Pendudukan Indonesia atas Timor Timur,B. J. Habibie
Pendudukan Indonesia atas Timor Timur,Maraden Panggabean
Pendudukan Indonesia atas Timor Timur,Muhammad Jusuf
Pendudukan Indonesia atas Timor Timur,L. B. Murdani
Pendudukan Indonesia atas Timor Timur,Dading Kalbuadi
Pendudukan Indonesia atas Timor Timur,Try Sutrisno
Pendudukan Indonesia atas Timor Timur,Edi Sudradjat
Pendudukan Indonesia atas Timor Timur,Feisal Tanjung
Pendudukan Indonesia atas Timor Timur,Wiranto
Pendudukan Indonesia atas Timor Timur,Prabowo Subianto
Pendudukan Indonesia atas Timor Timur,José Abílio Osório Soares
Pendudukan Indonesia atas Timor Timur,Eurico Guterres
Pendudukan Indonesia atas Timor Timur,Francisco Xavier do Amaral
Pendudukan Indonesia atas Timor Timur,Nicolau dos Reis Lobato
Pendudukan Indonesia atas Timor Timur,Mari Alkatiri
Pendudukan Indonesia atas Timor Timur,Taur Matan Ruak
Pendudukan Indonesia atas Timor Timur,Nino Konis Santana
Pendudukan Indonesia atas Timor Timur,Ma'huno Bulerek Karathayano
Pendudukan Indonesia atas Timor Timur,Xanana Gusmão
Pendudukan Indonesia atas Timor Timur,Rogério Lobato
Pendudukan Indonesia atas Timor Timur,David Alex
Pendudukan Indonesia atas Timor Timur,Keri Laran Sabalae
Gerakan 30 September,Untung Syamsuri
Gerakan 30 September,Soepardjo
Gerakan 30 September,Soekarno
Gerakan 30 September,Soeharto
Gerakan 30 September,A. H. Nasution
Gerakan 30 September,Sarwo Edhie Wibowo
Gerakan 30 September,Ahmad Yani
Gerakan 30 September,Raden Soeprapto
Gerakan 30 September,Mas Tirtodarmo Haryono
Gerakan 30 September,Siswondo Parman
Gerakan 30 September,Donald Isaac Panjaitan
Gerakan 30 September,Sutoyo Siswomiharjo
Gerakan 30 September,Pierre Andreas Tendean
Invasi Ambon,Soekarno
Invasi Ambon,Abdul Haris Nasution
Invasi Ambon,Alex Kawilarang
Invasi Ambon,Slamet Rijadi
Invasi Ambon,Chris Soumokil
Invasi Ambon,Isaac Julius Tamaëla
Invasi Ambon,Alexander Nanlohy
Invasi Ambon,Domingus Sopacua
Invasi Ambon,Ajudan Tahapary
Invasi Ambon,Ajudan Siwabessy
Konfrontasi Indonesia–Malaysia,Tuanku Syed Putra
Konfrontasi Indonesia–Malaysia,Ismail Nasiruddin
Konfrontasi Indonesia–Malaysia,Tunku Abdul Rahman
Konfrontasi Indonesia–Malaysia,Abdul Razak Hussein
Konfrontasi Indonesia–Malaysia,Tunku Osman
Konfrontasi Indonesia–Malaysia,Mustapha Harun
Konfrontasi Indonesia–Malaysia,S. K. Ningkan
Konfrontasi Indonesia–Malaysia,Yusof Ishak
Konfrontasi Indonesia–Malaysia,Lee Kuan Yew
Konfrontasi Indonesia–Malaysia,Omar Ali Saifuddien III
Konfrontasi Indonesia–Malaysia,Harold Macmillan
Konfrontasi Indonesia–Malaysia,Alec Douglas-Home
Konfrontasi Indonesia–Malaysia,Harold Wilson
Konfrontasi Indonesia–Malaysia,Rodney Moore
Konfrontasi Indonesia–Malaysia,Walter Walker
Konfrontasi Indonesia–Malaysia,Soekarno
Konfrontasi Indonesia–Malaysia,Omar Dhani 
Konfrontasi Indonesia–Malaysia,Ahmad Yani 
Konfrontasi Indonesia–Malaysia,Eddy Martadinata
Konfrontasi Indonesia–Malaysia,A.H. Nasution
Konfrontasi Indonesia–Malaysia,Pranoto Reksosamudro 
Konfrontasi Indonesia–Malaysia,Soeharto
Konfrontasi Indonesia–Malaysia,D. N. Aidit
Konfrontasi Indonesia–Malaysia,Bong Kee Chok
Konfrontasi Indonesia–Malaysia,A. M. Azahari
Konfrontasi Indonesia–Malaysia,Yassin Affandi
Bandung Lautan Api,Abdoel Haris Nasoetion
Bandung Lautan Api,Muhammad Toha
Bandung Lautan Api,MacDonald
Invasi Indonesia ke Timor Timur,Soeharto
Invasi Indonesia ke Timor Timur,Maraden Panggabean
Invasi Indonesia ke Timor Timur,Widjojo Soejono
Invasi Indonesia ke Timor Timur,L. B. Moerdani
Invasi Indonesia ke Timor Timur,Dading Kalbuadi
Invasi Indonesia ke Timor Timur,Wiranto
Invasi Indonesia ke Timor Timur,José Abílio Osório Soares
Invasi Indonesia ke Timor Timur,Luhut Binsar Pandjaitan
Invasi Indonesia ke Timor Timur,Francisco Xavier do Amaral
Invasi Indonesia ke Timor Timur,Nicolau dos Reis Lobato
Operasi Jayapura 1976,
Konflik Papua,Joko Widodo
Konflik Papua,Ma'ruf Amin
Konflik Papua,Prabowo Subianto
Konflik Papua,Agus Subiyanto
Konflik Papua,Listyo Sigit
Konflik Papua,Prabowo
Konflik Papua,Budi Gunawan
Konflik Papua,Suharto
Konflik Papua,Leonardus Benyamin Moerdani
Konflik Papua,Wiranto
Konflik Papua,Try Sutrisno
Konflik Papua,B. J. Habibie
Konflik Papua,Abdurrahman Wahid
Konflik Papua,Megawati Sukarnoputri
Konflik Papua,Susilo Bambang Yudhoyono
Konflik Papua,Andika Perkasa
Konflik Papua,Jacob Prai
Konflik Papua,Benny Wenda
Konflik Papua,Mathias Wenda
Konflik Papua,Jacob Rumbiak
Konflik Papua,Egianus Kogoya
Konflik Papua,Sebby Sambom
Konflik Papua,Goliath Tabuni
Konflik Papua,Kelly Kwalik
Konflik Papua,Joni Botak
