key,place
Kerusuhan rasial Jawa Tengah 1980,Solo
Kerusuhan rasial Jawa Tengah 1980,Semarang
Kerusuhan rasial Jawa Tengah 1980,Kabupaten Semarang
Kerusuhan Banjarmasin,Banjarmasin
Peristiwa Tanjung Priok,Tanjung Priok
Malari,Jakarta
Peristiwa 19 Agustus 1966,Bandung
Kejatuhan Soeharto,Indonesia
Kerusuhan Mei 1998,Medan
Kerusuhan Mei 1998,Jakarta
Kerusuhan Mei 1998,Surakarta
Peristiwa 27 Juli,"Jakarta, Indonesia"
Tragedi Semanggi,Semanggi
Konflik sektarian Maluku,Kepulauan Maluku
Pembantaian Santa Cruz,Dili
Tragedi Trisakti,Jakarta
Pembantaian Gereja Liquiçá,Distrik Liquiçá
Pembantaian Gereja Suai,Suai
Pembantaian di Indonesia 1965–1966,Indonesia
Penculikan aktivis 1997/1998,Indonesia
Insiden Penembakan Timika 1996,Bandar Udara Timika
Pembakaran Plaza Sentral Klender,"Plaza Sentral Klender, Jl. I Gusti Ngurah Rai No. 13, Duren Sawit, Jakarta Timur, DKI Jakarta"
Genosida Timor Timur,Timor Leste 
Pembantaian Beutong Ateueh,Blang Meurandeh
Pengeboman Masjid Nurul Iman 1976,Padang
Pengeboman Borobudur 1985,Candi Borobudur
Serangan ke Limbang,Limbang
Serangan ke Limbang,Sarawak
Serangan ke Limbang,Borneo
Kerusuhan Poso,Kabupaten Poso
Kampanye Hindia Belanda,Hindia Belanda
Pemberontakan Darul Islam,Indonesia
Pemberontakan Darul Islam,Jawa Barat
Pemberontakan Darul Islam,Aceh
Pemberontakan Darul Islam,Sulawesi Selatan
Serangan Umum 1 Maret 1949,Yogyakarta
Permesta,Indonesia Timur
Pertempuran Sungei Koemba,Sungei Koemba
Operasi 17 Agustus,Padang
Krisis sandera Mapenduma,"Mapenduma, Nduga"
Krisis sandera Mapenduma,Papua (wilayah Indonesia)
Revolusi Nasional Indonesia,Indonesia
Pertempuran Laut Aru,Laut Arafura
Kerusuhan Sambas,Sambas
Pemberontakan di Aceh,Aceh
Operasi Trisula,Blitar
Krisis Timor Timur 1999,Timor Leste
Pendaratan di Labis,Labis
Pemberontakan PKI 1948,Madiun
Operasi militer Indonesia di Aceh 1990-1998,Aceh
Peristiwa Arfai,Manokwari
Operasi Trikora,Irian Barat
Agresi Militer Belanda II,Jawa
Agresi Militer Belanda II,Sumatra
Pendudukan Indonesia atas Timor Timur,Timor Timur
Gerakan 30 September,Lubang Buaya
Invasi Ambon,Ambon
Konfrontasi Indonesia–Malaysia,Semenanjung Malaka
Konfrontasi Indonesia–Malaysia,Kalimantan
Bandung Lautan Api,Bandung
Invasi Indonesia ke Timor Timur,Timor Timur
Operasi Jayapura 1976,Kabupaten Jayapura
Konflik Papua,Papua (wilayah Indonesia)
Konflik Papua,Papua Nugini
