key,relatives
I Gusti Ngurah Rai,I Gusti Ayu Agung Inda Trimafo Yudha
Abdullah Syafi'i (GAM),
Soedirman,
key,relatives
Zainal Basri Palaguna,Azmi Perkasa Alam Alhaj
Zainal Basri Palaguna,Otteman III Mahmud Ma'amun
Zainal Basri Palaguna,Mahmud Arya Lamanjiji
Agung Firman Sampurna,Wahyu Sanjaya
Agung Firman Sampurna,Dewi Yustisiana
Syarief Thayeb,Teuku Mohammad Hadi Thayeb
Aksa Mahmud,Jusuf Kalla
Soemarno Sosroatmodjo,Bunda Iffet
Soemarno Sosroatmodjo,Bimo Setiawan Almachzumi
Rano Karno,Tino Karno
Rano Karno,Suti Karno
Rano Karno,Ismed M. Noor
Kunto Arief Wibowo,Ryamizard Ryacudu
Kunto Arief Wibowo,Nora Tristyana
Kunto Arief Wibowo,Irjen Pol. Firman Santyabudi
Kunto Arief Wibowo,Letda Inf. Muhammad Fakhri S.T.Han
Anwar Tjokroaminoto,Siti Oetari
Anwar Tjokroaminoto,Harsono Tjokroaminoto
Siti Hardijanti Rukmana,Sigit Harjojudanto
Siti Hardijanti Rukmana,Bambang Trihatmodjo
Siti Hardijanti Rukmana,Siti Hediati Hariyadi
Siti Hardijanti Rukmana,Hutomo Mandala Putra
Siti Hardijanti Rukmana,Siti Hutami Endang Adiningsih
Aburizal Bakrie,H. Supardi
Agum Gumelar,Achmad Tahir
Agum Gumelar,Ladya Cheryl
Agum Gumelar,Taufik Hidayat
Pramono Edhie Wibowo,Susilo Bambang Yudhoyono
Pramono Edhie Wibowo,Ani Yudhoyono
Pramono Edhie Wibowo,Hartanto Edhie Wibowo
Firman Santyabudi,Ryamizard Ryacudu
Firman Santyabudi,Nora Tristyana
Firman Santyabudi,Letjen TNI Kunto Arief Wibowo
A.M. Hendropriyono,Andika Perkasa
Harsono Tjokroaminoto,Siti Oetari
Harsono Tjokroaminoto,Anwar Tjokroaminoto
Harsono Tjokroaminoto,M.S. Hidayat
Mooryati Soedibyo,Pakubuwana X
Ipik Asmasoebrata,Ramon Papana
Ipik Asmasoebrata,Dylan Sada
Ipik Asmasoebrata,Alexandra Asmasoebrata
A.R. Soehoed,Benny Chatib
Musannif Ryacudu,Try Sutrisno
Danang Hadiwibowo,Try Sutrisno
Danang Hadiwibowo,Firman Santyabudi
Danang Hadiwibowo,Kunto Arief Wibowo
Soekardi,Theo L. Sambuaga
Siswondo Parman,Sakirman
Ali Wardhana,Ali Sastroamidjojo
Ali Wardhana,Robertus Sanyoto
Melanchton Siregar,Payung Bangun
Tommy Soeharto,Siti Hardijanti Rukmana
Tommy Soeharto,Sigit Harjojudanto
Tommy Soeharto,Bambang Trihatmodjo
Tommy Soeharto,Siti Hediati Hariyadi
Tommy Soeharto,Siti Hutami Endang Adiningsih
key,relatives
Margono Djojohadikoesoemo,
Adam Malik,
Megawati Soekarnoputri,
Syafruddin Prawiranegara,
Rusli Noor,
Hartono Rekso Dharsono,
B. J. Habibie,
Taur Matan Ruak,
Dobrica Ćosić,
Soeharto,
Nicolau dos Reis Lobato,Rogerio Lobato
Mohammad Hatta,
Joko Widodo,Bobby Nasution
Joko Widodo,Anwar Usman
key,relatives
Try Sutrisno,Musannif Ryacudu
Try Sutrisno,Ryamizard Ryacudu
Try Sutrisno,Danang Hadiwibowo
Umar Wirahadikusumah,Ukar Bratakusumah
Umar Wirahadikusumah,Agus Wirahadikusumah
Umar Wirahadikusumah,Reini Wirahadikusumah
Hamzah Haz,Fuad Amin Imron
key,relatives
Tunku Abdul Rahman,
Muhaimin Iskandar,Abdurrahman Wahid
Muhaimin Iskandar,Abdul Halim Iskandar
Khofifah Indar Parawansa,
Fadli Zon,
Idham Chalid,
Susilo Bambang Yudhoyono,Sarwo Edhie Wibowo
Susilo Bambang Yudhoyono,Pramono Edhie Wibowo
Susilo Bambang Yudhoyono,Hartanto Edhie Wibowo
Susilo Bambang Yudhoyono,Annisa Pohan
Susilo Bambang Yudhoyono,Indrata Nur Bayuaji
Soekarno,
Prabowo Subianto,Margono Djojohadikoesoemo
Prabowo Subianto,Soebianto Djojohadikoesoemo
Prabowo Subianto,Soejono Djojohadikusumo
Prabowo Subianto,Hashim Djojohadikusumo
Prabowo Subianto,Aryo Djojohadikusumo
Prabowo Subianto,Rahayu Saraswati Djojohadikusumo
Prabowo Subianto,Thomas Djiwandono
Prabowo Subianto,Budi Djiwandono
Sutiyoso,
Jerry Sambuaga,Soekardi
Teuku Umar Ali,Teuku Nyak Arif
Jusuf Kalla,Jajang C. Noer
Emil Salim,Agus Salim
Emil Salim,Karina Salim
Emil Salim,Jezzie Setiawan
Sanusi Hardjadinata,
Probosutedjo,
Luhut Binsar Pandjaitan,S.H. Simatupang
Luhut Binsar Pandjaitan,Maruli Simanjuntak
Luhut Binsar Pandjaitan,Nurmala Kartini Pandjaitan
Luhut Binsar Pandjaitan,Sjahrir
Luhut Binsar Pandjaitan,Pandu Patria Sjahrir
Luhut Binsar Pandjaitan,Faye Simanjuntak
Titiek Soeharto,Siti Hardijanti Rukmana
Titiek Soeharto,Sigit Harjojudanto
Titiek Soeharto,Bambang Trihatmodjo
Titiek Soeharto,Hutomo Mandala Putra
Titiek Soeharto,Siti Hutami Endang Adiningsih
Fahmi Idris,Hasan Basri
Fahmi Idris,Poempida Hidayatulloh
Ali Sastroamidjojo,Ali Wardhana
Ali Sastroamidjojo,Danukromo
Ali Sastroamidjojo,Kholil al-Bangkalani
Mohammad Zamroni,
key,relatives
Elang Mulia Lesmana,
Amoroso Katamsi,
Rooslila Tahir,
Olivio Mendonca Moruk,
Ade Irawan,
Chris Pattikawa,Cantika Abigail
Chris Pattikawa,Muhammad Hussein Hasyim
Chris Pattikawa,Kartika Waode
Ari Wibowo,Ira Wibowo
Ari Wibowo,Katon Bagaskara
Ari Wibowo,Richard Kevin
Cok Simbara,
Eno Sigit,
Sérgio Vieira de Mello,
Paramitha Rusady,Ully Sigar Rusady
Alwin Arifin,
Rudy Wowor,Hoegeng Imam Santoso
Arie Hanggara,
Sudono Salim,
Machica Mochtar,
Umar Kayam,
Erwin Gutawa,
Soekarno M. Noor,Ismed M. Noor
Ari Sigit,
Soe Hok Gie,Arief Budiman
Ade Irma Suryani Nasution,
Wawan Wanisar,
Laili Roesad,
Medina Latief Harjani,Dipo Latief
Zairin Zain,
Emil Arifin,
Ilham Bintang,
Poppy Dharsono,
Johana Sunarti Nasution,
Hendriawan Sie,
Khaidir Anwar Sani,
Ratna Riantiarno,
Mieke Widjaja,Ari Sihasale
Hafidin Royan,
Siska Widowati,
Amran YS,
Bram Adrianto,
Dora Marie Sigar,
Halimah Agustina Kamil,
Kies Slamet,
Judilherry Justam,
Arief Budiman,Soe Hok Gie
Arifin C. Noer,
Heri Hertanto,
Ikranagara,
Manai Sophiaan,
Maqdir Ismail,
Dali Tahir,
Ramon Papana,Alex Asmasoebrata
Dipo Latief,Medina Latief Harjani
Atmono Suryo,
Didit Hediprasetyo,
Jajang C. Noer,Jusuf Kalla
Jajang C. Noer,Mufidah Jusuf Kalla
Jajang C. Noer,Chairani Kalla
Anthony Salim,Albert Salim
Anthony Salim,Andree Halim
Anthony Salim,Mira Salim
Anthony Salim,Franciscus Welirang
Ruhut Sitompul,Maraden Panggabean
Ruhut Sitompul,Iskandar Sitompul
Rachmat Kartolo,
Siti Hutami Endang Adiningsih,Siti Hardijanti Rukmana
Siti Hutami Endang Adiningsih,Sigit Harjojudanto
Siti Hutami Endang Adiningsih,Bambang Trihatmodjo
Siti Hutami Endang Adiningsih,Siti Hediati Hariyadi
Siti Hutami Endang Adiningsih,Hutomo Mandala Putra
Mayangsari,
Anindyo Baskoro,Umar Kayam
Leila Chairani Budiman,Sjarifuddin Baharsjah
Piet Pagau,Nisya Ahmad
Piet Pagau,Raffi Ahmad
Piet Pagau,Nagita Slavina
Piet Pagau,Syahnaz Sadiqah
Piet Pagau,Ritchie Ismail
Piet Pagau,Alshad Ahmad
Hashim Djojohadikusumo,Margono Djojohadikoesoemo
Hashim Djojohadikusumo,Soebianto Djojohadikoesoemo
Hashim Djojohadikusumo,Soejono Djojohadikusumo
Hashim Djojohadikusumo,Prabowo Subianto Djojohadikusumo
Hashim Djojohadikusumo,Rayoga Hediprasetyo Djojohadikusumo
Hashim Djojohadikusumo,Thomas Djiwandono
Hashim Djojohadikusumo,Budi Djiwandono
Bob Tutupoly,
Soedjatmoko,Miriam Budiardjo
Soedjatmoko,Nugroho Wisnumurti
Soedjatmoko,Sutan Sjahrir
Zeke Khaseli,Taufik Hidayat
Japto Soerjosoemarno,
Gufran Dwipayana,
Sigit Harjojudanto,
Oemar Said Tjokroaminoto,Soekarno
Oemar Said Tjokroaminoto,R.M. Tjokroamiseno
Oemar Said Tjokroaminoto,Warok R.M. Adipati Tjokronegoro
Oemar Said Tjokroaminoto,R.M Mangoensoemo
Oemar Said Tjokroaminoto,Abikoesno Tjokrosoejoso
Oemar Said Tjokroaminoto,Sekarmadji Maridjan Kartosoewirjo
Oemar Said Tjokroaminoto,Musso
Oemar Said Tjokroaminoto,Semaoen
Oemar Said Tjokroaminoto,Aulia Tahkim
Oemar Said Tjokroaminoto,Maia Estianty
Oemar Said Tjokroaminoto,Kyai Ageng Kasan Besari II
Oemar Said Tjokroaminoto,Pakubuwono III
Oemar Said Tjokroaminoto,Raden Mas Oemar Djaman Tjokroprawiro
Oemar Said Tjokroaminoto,Raden Ayu Tjokrodisoerjo
Oemar Said Tjokroaminoto,Raden Mas Poerwadi Tjokrosoedirjo
Oemar Said Tjokroaminoto,Raden Mas Oemar Sabib Tjokrosoeprodjo
Oemar Said Tjokroaminoto,Raden Ajeng Adiati
Oemar Said Tjokroaminoto,Raden Ayu Mamowinoto
Oemar Said Tjokroaminoto,Raden Mas AbikoesnoTjokrosoejoso
Oemar Said Tjokroaminoto,Raden Ajeng Istingatin
Oemar Said Tjokroaminoto,Raden Mas Poewoto
Oemar Said Tjokroaminoto,Raden Adjeng Istidja Tjokrosoedarmo
Oemar Said Tjokroaminoto,Raden Aju Istirah Mohammad Soebari
Siti Oetari,Maia Estianty
Olo Panggabean,
Marlia Hardi,
Ahmad Dhani,
Slamet Suradio,
Raden Sjamsoeddin,
Mochtar Lubis,
