article_title,image,dateStart,dateEnd,parents,relatives,children
Tunku Abdul Rahman,Tunku Abdul Rahman 1960.jpg,1903-02-08,1990-12-06,"Cik Menyelara
Sultan Abdul Hamid Halim Shah",,
Muhaimin Iskandar,"Muhaimin Iskandar, Candidate for Indonesia's Vice President in 2024.jpg",1966-09-24,,,"Abdurrahman Wahid
Abdul Halim Iskandar",
Khofifah Indar Parawansa,Kabinet Kerja Khofifah Indar Parawansa.jpg,1965-05-19,,,,
Fadli Zon,"Fadli Zon, Wakil Ketua DPR.jpg","1971-06-01 ",,"Ellyda Yatim
Zon Harjo",,"Shafa Sabila Fadli Zara
Saladina Fadli"
Idham Chalid,"Idham Chalid, Kami Perkenalkan (1952), 78.jpg",1921-08-27,2010-07-11,,,
Susilo Bambang Yudhoyono,Presiden Susilo Bambang Yudhoyono.png,1949-09-09,,"Siti Habibah
Soekotjo Joedhojono","Sarwo Edhie Wibowo
Pramono Edhie Wibowo
Hartanto Edhie Wibowo
Annisa Pohan
Indrata Nur Bayuaji","Agus Harimurti Yudhoyono
Edhie Baskoro Yudhoyono"
Soekarno,Presiden Sukarno.jpg,1901-06-06,1970-06-21,"Soekemi Sosrodihardjo
Ida Ayu Nyoman Rai",,"Ratna Juami
Kartika
Guntur Soekarnoputra
Megawati Soekarnoputri
Rachmawati Soekarnoputri
Sukmawati Soekarnoputri
Guruh Soekarnoputra
Taufan Soekarnoputra
Bayu Soekarnoputra
Karina Kartika Sari Dewi Soekarno
Ayu Gembirowati
Totok Suryawan Soekarnoputra"
Prabowo Subianto,"Prabowo Subianto, Candidate for Indonesia's President in 2024.jpg",1951-10-17,,"Dora Marie Sigar
Soemitro Djojohadikoesoemo","Margono Djojohadikoesoemo
Soebianto Djojohadikoesoemo
Soejono Djojohadikusumo
Hashim Djojohadikusumo
Aryo Djojohadikusumo
Rahayu Saraswati Djojohadikusumo
Thomas Djiwandono
Budi Djiwandono",Ragowo Hediprasetyo Djojohadikoesoemo
Sutiyoso,Berkas:Foto Resmi Letjen TNI (Purn) Sutiyoso.jpg,1944-12-06,,"Sumini
Tjitrodihardjo",,"Yessy Riana Dilliyanti
Renny Yosnita Ariyanti"
Jerry Sambuaga,Foto Jerry Sambuaga.jpg,1985-07-02,,"Theo L. Sambuaga
Erna Soedaryati Soekardi",Soekardi,
Teuku Umar Ali,,1930-10-16,1992-03-24,"Teuku Ali Basyah
Cut Nyak Zainab",Teuku Nyak Arif,"Teuku Refialdi
Tjut Rifiandra
Teuku Renaldi
Tjut Rifiana
Tjut Riskafemia"
Jusuf Kalla,Jusuf_Kalla_2016_vice-presidential_portrait.jpg,1942-05-15,,"Kalla
Athirah",Jajang C. Noer,
Emil Salim,"Emil Salim, Dewan Pengarah BRIN.png",1930-06-08,,,"Agus Salim
Karina Salim
Jezzie Setiawan","Roosdinal Salim
Amelia Farina Salim"
Sanusi Hardjadinata,"Sanusi Hardjadinata, Departemen Dalam Negeri dari Masa ke Masa, p103.jpg",1914-06-24,1995-12-12,,,
Probosutedjo,,1930-05-01,2018-03-26,,,
Luhut Binsar Pandjaitan,"Indonesian Coordinating Minister Luhut Binsar Pandjaitan in Washington, D.C. on 4 August 2023 - (cropped).jpg",1947-09-28,,"Siti Frida Naiborhu
Bonar Pandjaitan","S.H. Simatupang
Maruli Simanjuntak
Nurmala Kartini Pandjaitan
Sjahrir
Pandu Patria Sjahrir
Faye Simanjuntak","Paulina Pandjaitan
David Pandjaitan
Paulus Pandjaitan 
Kerri Pandjaitan"
Titiek Soeharto,File:KPU Siti Hediati Hariyadi.jpg,1959-04-14,,"Siti Hartinah
Soeharto","Siti Hardijanti Rukmana
Sigit Harjojudanto
Bambang Trihatmodjo
Hutomo Mandala Putra
Siti Hutami Endang Adiningsih",Ragowo Hediprasetyo Djojohadikoesoemo
Fahmi Idris,kabinet_fahmi-i.jpg,1943-09-20,2022-05-22,,"Hasan Basri
Poempida Hidayatulloh","Fahira Idris
Fahrina Fahmi Idris"
Ali Sastroamidjojo,"Ali Sastroamidjojo, Duta Besar RI untuk Amerika Serikat.jpg",1903-05-21,1975-03-13,"R.Ay. Kustiah Danuningrat
R.Ng. Duryat Sastroamidjojo","Ali Wardhana
Danukromo
Kholil al-Bangkalani",Kemal Mahisa
Mohammad Zamroni,Zamroni.jpg,1935-08-10,1996-02-05,,,
