article_title;partof;dateStart;dateEnd;place;actor;person
Serangan ke Limbang;Konfrontasi Indonesia-Malaysia;1962-12-12;1962-12-12;"Limbang
Sarawak
Borneo";"Britania Raya
Tentara Nasional Kalimantan Utara";"Jeremy Moore
Salleh Bin Sambas"
Kerusuhan Poso;Konflik Poso;1998-12-25;2001-12-20;Kabupaten Poso;"TNI
POLRI
Kodam Wirabuana
Korem 132 Tadulako
Polda Sulawesi Tengah
Batalyon Infanteri 711
Polres Poso
Jemaah Islamiyah
Mujahidin KOMPAK
Laskar Jihad
Kelelawar Hitam
Brigade Manguni
Laskar Kristus";"Abdurrahman Wahid
Susilo Bambang Yudhoyono
Jusuf Kalla
Bandjela Paliudju
Aminuddin Ponulele
Slamet Kirbiantoro
Zainal Abidin Ishak
Arief Patanga
Muin Pusadan
Deddy Woeryantono
Djasman Baso Opu
Adnan Arsal
Fabianus Tibo
Marinus Riwu
Dominggus da Silva
Rinaldy Damanik"
Kampanye Hindia Belanda;Perang Pasifik dari Perang Dunia II;1941-12-08;1942-03-09;Hindia Belanda;"ABDA Command
Belanda
Hindia Belanda
Britania Raya
Australia
Selandia Baru
Amerika Serikat
Kekaisaran Jepang";"Archibald Wavell
A. T. van S. Stachouwer
Hein ter Poorten
Thomas C. Hart
Conrad Helfrich
Karel Doorman
Richard Peirse
Hisaichi Terauchi
Kiyotake Kawaguchi
Ibō Takahashi
Hitoshi Imamura
Shōji Nishimura
Jisaburō Ozawa
Takeo Takagi
Nobutake Kondō"
Pemberontakan Darul Islam;Revolusi Nasional Indonesia;1949-08-07;1962-09-02;"Indonesia
Jawa Barat
Aceh
Sulawesi Selatan";"Indonesia
Negara Islam Indonesia
Legiun Ratu Adil";"Sukarno
Sudirman
Tahi Bonar Simatupang
Abdul Haris Nasution
Suryadi Suryadarma
Alexander Evert Kawilarang
Suharto
Ahmad Yani
Sekarmadji Kartosuwirjo
Ibnu Hadjar
Abdul Kahar Muzakkar
Daud Beureueh
Hasan di Tiro
Raymond Westerling"
Serangan Umum 1 Maret 1949;Revolusi Nasional Indonesia;1949-03-01;1949-03-01;Yogyakarta;"Indonesia
Belanda";"Hamengkubuwono IX
Sudirman
Bambang Soegeng
Soeharto
Ventje Sumual
Langen
Meyer
J.M. v/d Berge"
Permesta;;1957-00-00;1961-00-00;Indonesia Timur;"Indonesia
Permesta
PRRI
Amerika Serikat
CIA
Filipina
Polandia
Taiwan";"Soekarno
Abdul Haris Nasution
Omar Dhani
Djamin Ginting
Ventje Sumual
Alex Kawilarang
Joop Warouw
Daniel Julius Somba
Allen Lawrence Pope
William H. Beale
Sjafruddin Prawiranegara"
Pertempuran Sungei Koemba;Konfrontasi Indonesia–Malaysia;1965-05-27;1965-06-12;Sungei Koemba;"Australia
Indonesia";"William Broderick
Ivor Hodgkinson"
Operasi 17 Agustus;;1958-04-17;1958-05-24;Padang;"Indonesia
PRRI";"Soekarno
Abdul Haris Nasution
Ahmad Yani
Syafruddin Prawiranegara
Maludin Simbolon
Ahmad Husein
Mr. Assaat"
Krisis sandera Mapenduma;Konflik Papua;1996-01-08;1996-05-09;"Mapenduma, Nduga
Papua (wilayah Indonesia)";"Indonesia
Republik Papua Barat";"Prabowo Subianto
Kelly Kwalik"
Revolusi Nasional Indonesia;Perang Dunia Kedua;1945-09-29;1949-12-27;Indonesia;"Indonesia
PDRI
TNI
Korps Brigade Mobil
Tentara Kekaisaran Jepang
Tentara India
Australia
India
Amerika Serikat
Uni Soviet
Belanda
Hindia Belanda
KNIL
NICA
Kesultanan Pontianak
Angkatan Perang Ratu Adil
Pao An Tui
Britania Raya
Kemaharajaan Britania
Australia
Kekaisaran Jepang
Darul Islam
Republik Soviet Indonesia";"Soekarno
Mohammad Hatta
Soedirman
Oerip Soemohardjo
Soetan Sjahrir
Hamengkubuwana IX
Pakubuwana XII
A.H. Nasution
Sjafruddin Prawiranegara
Gatot Subroto
Bambang Soegeng
Soetomo
Moehammad Jasin
T.B. Simatupang
Soeharto
Amir Sjarifuddin
Tan Malaka
Sultan Hamid II
Agustinus Adisoetjipto
R. E. Martadinata
Wilhelmina
Juliana
Hubertus van Mook
Simon Spoor
Adelbert van Langen
Buurman Van Vreeden
Conrad Helfrich
Hendrik van Oyen
Louis Mountbatten
Philip Christison
Robert Mansergh
Aubertin Mallaby
Raymond Westerling
Tjokorda Gde Raka Soekawati
Sultan Hamid II
Loa Sek Hie
A.K. Widjojoatmodjo
Julius Tahija
Sekarmadji Kartosoewirjo
Abdul Kahar Muzakkar
Musso
Amir Sjarifuddin"
