article_title,image,dateStart,dateEnd
Angkatan Udara Kerajaan Thai,,1913-11-02,
Tentara Nasional Indonesia Angkatan Laut,Insignia of the Indonesian Navy.svg,1945-09-10,
Pusat Kesehatan Angkatan Darat,Gambar Kesehatan TNI AD.png,1945-10-26,
Korps Brigade Mobil,,1945-11-14,
Tentara Nasional Indonesia Angkatan Darat,Insignia of the Indonesian Army.svg,1945-12-15,
Komando Daerah Militer II/Sriwijaya,Lambang Kodam Sriwijaya.svg,1946-01-01,
Tentara Nasional Indonesia Angkatan Udara,Insignia of the Indonesian Air Force.svg,1946-04-09,
Komando Daerah Militer V/Brawijaya,Lambang Kodam Brawijaya.svg,1948-12-17,
Komando Daerah Militer I/Bukit Barisan,Lambang Kodam Bukit Barisan.webp,1950-06-20,
Akademi Angkatan Laut,Logo AAL.png,1951-10-10,
Komando Daerah Militer XIV/Hasanuddin,Lambang Kodam Hasanuddin.svg,1957-06-1,
Akademi Militer,Akmil.png,1957-11-11,
Batalyon Infanteri 711,Logo_yonif_711.png,1962-04-16,
Komando Daerah Militer XVII/Cenderawasih,Lambang Kodam Cenderawasih.svg,1963-05-17,
Badan Pembinaan Hukum Tentara Nasional Indonesia,Insignia of the Indonesian National Armed Forces.svg,1975-12-03,
Pembela Tanah Air,,1943-10-03,1945-08-19
Komando Daerah Militer Iskandar Muda,2. LOGO KODAM IM.png,1956-12-22,
Angkatan Bersenjata Pembebasan Nasional Timor Timur,,1975-08-20,2001-02-01
Sekolah Staf dan Komando Angkatan Darat,Seskoad_logo.png,1951-05-25,
