article_title,image,dateStart,dateEnd,parents,relatives,children
Elang Mulia Lesmana,Elang mulia.jpg,1978-07-05,1998-5-12,"Bagus Yoga Nandita
Hira Tetty Yoga",,
Amoroso Katamsi,Amoroso Katamsi.jpg,1940-10-21,2018-04-17,,,"Ratna Katamsi
Aning Katamsi
Doddy Katamsi"
Rooslila Tahir,,1927-11-03,2009-05-17,Ilyas Simanjuntak,,"Gelora Surya Dharma
Hari Indra Utama
Yulia Saprita
Linda Amalia Sari
Adi Putra Darmawan
Chaerul Permata Cita"
Olivio Mendonca Moruk,,1962-09-06,2000-09-05,,,
Ade Irawan,"Ade_Irawan_signing_autographs,_Festival_Film_Indonesia_(1982),_1983,_p55_(cropped).jpg",1937-04-05,2020-01-17,,,"Dewi Irawan
Ria Irawan"
Chris Pattikawa,,1940-10-01,2020-01-01,,"Cantika Abigail
Muhammad Hussein Hasyim
Kartika Waode",Jean Pattikawa
Ari Wibowo,,1970-12-26,,"Wibowo Wirjodiprojo
Sibylle Ollmann","Ira Wibowo
Katon Bagaskara
Richard Kevin",
Cok Simbara,,1953-11-12,,,,
Eno Sigit,,1974-04-10,,,,Jibrilian Amel
Sérgio Vieira de Mello,Sérgio Vieira de Mello.jpg,1948-03-15,2003-08-19,,,
Paramitha Rusady,,1966-08-11,,,Ully Sigar Rusady,
Alwin Arifin,,1955-08-29,,"Bustanil Arifin
R.A Suhardani",,
Rudy Wowor,,1941-12-13,2018-10-05,Maria Geertruida Stier,Hoegeng Imam Santoso,"Stefani Wowor
Michael Wowor"
Arie Hanggara,,1977-12-21,1984-11-08,,,
Sudono Salim,Sudono-salim.jpg,1916-07-19,2012-06-10,,,"Albert Salim
Andree Halim
Anthony Salim
Mira Salim"
Machica Mochtar,,1970-03-20,,,,
Umar Kayam,"Umar Kayam, Indonesia Literary Pioneers, 00.53.jpg",1932-04-30,2002-03-16,,,Anindyo Baskoro
Erwin Gutawa,Gutawa 2004 1.JPG,1962-05-16,,,,"Aluna Sagita Gutawa
Aura Aria Gutawa"
