Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
key;start_date;end_date;start-year;start-month;start-day;end-year;end-month;end-day
;;;;;;;;
Kerusuhan rasial Jawa Tengah 1980;1980-11-20;1980-11-22;1961;12;01;;;
;;;;;;;;
Kerusuhan Banjarmasin;1997-05-23;1997-05-23;;;;;;
;;;;;;;;
Peristiwa Tanjung Priok;1984-09-13;1984-09-13;1942;;;1817;;
;;;;;;;;
Malari;1974-01-15;1974-01-16;1949;;;1800;;
;;;;;;;;
Peristiwa 19 Agustus 1966;1966-08-19;1966-08-19;1945;;;1723;;
;;;;;;;;
Kejatuhan Soeharto;1998-05-04;1998-05-21;2002;;;1999;;
;;;;;;;;
Kerusuhan Mei 1998;1998-05-04;1998-05-15;;;;1755;;
;;;;;;;;
Peristiwa 27 Juli;1996-07-27;1996-07-29;1976;;;1975;;
;;;;;;;;
Tragedi Semanggi;1998-11-13;1999-09-24;1998;;;1966;;
;;;;;;;;
Konflik sektarian Maluku;1999-01-14;2002-02-13;1962;;;1949;;
;;;;;;;;
Pembantaian Santa Cruz;1991-11-12;1991-11-12;1949;;;1619;;
;;;;;;;;
Tragedi Trisakti;1998-05-12;1998-05-12;1975;;;1702;;
;;;;;;;;
Pembantaian Gereja Liquiçá;1999-04-00;1999-04-00;1949;;;1912;;
;;;;;;;;
Pembantaian Gereja Suai;1999-09-06;1999-09-06;1947;;;1868;;
;;;;;;;;
Pembantaian di Indonesia 1965–1966;1965-00-00;1966-00-00;1949;12;27;1950;08;17
;;;;;;;;
Penculikan aktivis 1997/1998;1997-00-00;1998-00-00;1976;07;17;1999;10;25
;;;;;;;;
Insiden Penembakan Timika 1996;1996-04-15;1996-04-15;1939;07;05;2021;01;27
;;;;;;;;
Pembakaran Plaza Sentral Klender;1998-05-14;1998-05-14;1949;07;29;;;
;;;;;;;;
Genosida Timor Timur;1975-00-00;1999-00-00;1950;09;09;;;
;;;;;;;;
Pembantaian Beutong Ateueh;1999-07-23;1999-07-23;1955;05;25;;;
;;;;;;;;
Pengeboman Masjid Nurul Iman 1976;1976-11-11;1976-11-11;1918;;;1973;;
;;;;;;;;
Pengeboman Borobudur 1985;1985-01-21;1976-11-11;2006;12;21;;;
;;;;;;;;
Serangan ke Limbang;1962-12-12;1962-12-12;2016;07;15;;;
;;;;;;;;
Kerusuhan Poso;1998-12-25;2001-12-20;2002;09;09;;;
;;;;;;;;
Kampanye Hindia Belanda;1941-12-08;1942-03-09;1965;;;;;
;;;;;;;;
Pemberontakan Darul Islam;1949-08-07;1962-09-02;1999;09;20;2000;02;20
;;;;;;;;
Serangan Umum 1 Maret 1949;1949-03-01;1949-03-01;;;;;;
;;;;;;;;
Permesta;1957-00-00;1961-00-00;1917;01;30;1946;11;20
;;;;;;;;
Pertempuran Sungei Koemba;1965-05-27;1965-06-12;1947;10;12;2002;01;22
;;;;;;;;
Operasi 17 Agustus;1958-04-17;1958-05-24;1916;01;24;1950;01;29
;;;;;;;;
Krisis sandera Mapenduma;1996-01-08;1996-05-09;1939;03;09;2019;10;02
;;;;;;;;
Revolusi Nasional Indonesia;1945-09-29;1949-12-27;1907;10;10;1962;06;11
;;;;;;;;
Pertempuran Laut Aru;1962-01-15;1962-01-15;1927;01;13;1998;05;10
;;;;;;;;
Kerusuhan Sambas;;;1923;12;22;2008;12;29
;;;;;;;;
Pemberontakan di Aceh;1976-12-04;2005-08-15;1940;09;04;;;
;;;;;;;;
Operasi Trisula;1968-06-01;1968-09-07;1922;11;12;1972;08;09
;;;;;;;;
Krisis Timor Timur 1999;1999-04-00;2005-00-00;1930;09;08;2007;06;23
;;;;;;;;
Pendaratan di Labis;1964-09-00;1964-10-00;1920;04;20;2012;09;11
;;;;;;;;
Pemberontakan PKI 1948;1948-09-18;1948-12-19;1923;04;16;1992;06;09
;;;;;;;;
Operasi militer Indonesia di Aceh 1990-1998;1990-00-00;1998-08-22;1919;05;12;2002;12;12
;;;;;;;;
Peristiwa Arfai;1965-07-28;1965-07-28;1944;12;02;;;
;;;;;;;;
Operasi Trikora;1961-12-19;1962-08-15;1916;09;13;1967;02;08
;;;;;;;;
Agresi Militer Belanda II;1948-12-19;1949-01-05;1907;09;10;;;
;;;;;;;;
Pendudukan Indonesia atas Timor Timur;1975-12-07;2002-05-20;1971;11;19;;;
;;;;;;;;
Gerakan 30 September;1965-09-30;1965-10-01;1920;07;07;1989;11;11
;;;;;;;;
Invasi Ambon;1950-09-28;1950-11-05;1895;01;01;;;
;;;;;;;;
Konfrontasi Indonesia–Malaysia;1963-01-20;1966-08-11;1948;03;18;2018;07;19
;;;;;;;;
Bandung Lautan Api;1946-03-23;1946-03-24;1929;02;17;2021;06;06
;;;;;;;;
Invasi Indonesia ke Timor Timur;1975-12-07;1976-07-17;1919;09;11;2005;06;22
;;;;;;;;
Operasi Jayapura 1976;1976-01-00;1976-02-00;1914;11;24;2005;06;29
;;;;;;;;
Konflik Papua;1962-10-01;;1928;05;09;2022;05;11
;;;;;;;;
