article_title;conflict;partof;caption;dateStart;dateEnd;place;casus;territory;result;combatant1;combatant2;commander1;commander2;strength1;strength2;casualties;casualties1;casualties2;casualties3;campaignbox;units1;units3;map_size;coordinates;map_caption;map_relief;combatant3;image_size;strength3;campaign;map_label;title;notes;name;causes;longitude;latitude;units2;status;commander3;map_type
Kerusuhan Poso;;Konflik Poso;Front pertempuran dalam kerusuhan Poso III.;1998-12-25;2001-12-20;Kabupaten Poso;;;"Deklarasi Malino
 Kekerasan pasca kerusuhan di Poso";"TNI
POLRI
Kodam Wirabuana
Korem 132 Tadulako
Polda Sulawesi Tengah
Batalyon Infanteri 711
Polres Poso";"Jemaah Islamiyah
Mujahidin KOMPAK
Laskar Jihad";"Abdurrahman Wahid
Susilo Bambang Yudhoyono
Jusuf Kalla
Bandjela Paliudju
Aminuddin Ponulele
Slamet Kirbiantoro
Zainal Abidin Ishak
Arief Patanga
Muin Pusadan
Deddy Woeryantono
Djasman Baso Opu";Adnan Arsal;;;;;;;;;;;;;;"Kelelawar Hitam
Brigade Manguni
Laskar Kristus";;700 orang (2000);;;Kerusuhan Poso;577 tewas, 384 terluka, 7.932 rumah hancur, serta 510 fasilitas umum terbakar atau rusak (versi pemerintah);;Penyerangan pemuda Muslim oleh pemuda Kristen yang mabuk di Masjid Sayo;;;;;"Fabianus Tibo
Marinus Riwu
Dominggus da Silva
Rinaldy Damanik";
Krisis sandera Mapenduma;Krisis sandera Mapenduma;Konflik Papua;Irian Jaya, Indonesia;1996-01-08;1996-05-09;Mapenduma;Tuntuntan Organisasi Papua Merdeka untuk kemerdekaan Wilayah Papua Barat;;;Indonesia;Republik Papua Barat;Prabowo Subianto;Kelly Kwalik;100 Komando;200 Pejuang;13 tewas, 1 helikopter jatuh, 2 ditangkap;"5 tewas
1 helikopter jatuh";"8 tewas
2 ditangkap";2 sandera tewas;;;;;;;;;;;;;;;;;;;;selesai;;
Kerusuhan Sambas;Konflik Sambas;;;1970-01-01;1999-12-31;Sambas;;;;"Suku Melayu
Suku Dayak";Suku Madura;;;;;1189 terbunuh, 168 orang luka berat, 34 orang luka ringan, 29823 warga Madura mengungsi;"1.189 terbunuh
168 orang luka berat
34 orang luka ringan
29.823 warga Madura mengungsi";;;;;;;;;;;;;;;;;;;;;;;;
Pemberontakan di Aceh;Pemberontakan di Aceh (1976-2005);Separatisme di Indonesia;Prajurit wanita Gerakan Aceh Merdeka bersama Panglima GAM Abdullah Syafi'i, 1999;1976-12-04;2005-08-15;Aceh;;;Kemenangan taktis Indonesia, Persetujuan perdamaian Helsinki, Otonomi khusus untuk Aceh, Pelucutan GAM, Ditariknya pasukan non-organik Indonesia, hanya menyisakan 25.000 prajurit di provinsi tersebut, Misi Pemantau Aceh, Diadakannya pilkada;"Indonesia
Amerika Serikat";"Gerakan Aceh Merdeka
Libyan Arab Jamahiriya";"Soeharto
B. J. Habibie
Abdurahman Wahid
Megawati
Susilo Yudhoyono
Try Sutrisno
Endriartono Sutarto
Sutiyoso
Bambang Darmono";"Hasan di Tiro
Zaini Abdullah
Abdullah Syafi'i
Muzakir Manaf
Sofyan Dawood
Ayah Muni
Ishak Daud";"12,000 (1990)
30,000 (2001)
15,000 (2002)
35,000-50,000 (2003)";"25 (1976)
200 (1979-89)
750 (1991)
15,000-27,000 (1999)
5,000 (2003-2004)
3,000 (2005)";15128 tewas;128 tewas;15.000 tewas;;;;;;;;;;;;;;;;;;;;;;;
Operasi Trisula;;;Monumen Trisula, 2010;1968-06-01;1968-09-07;Blitar;;;Pemberontakan berhasil di tumpas;"Indonesia
TNI
Polri
Brimob";Partai Komunis Indonesia;"Soeharto
Abdul Haris Nasution
Witarmin
Kartomo";B.O. Hutapea;5,000 Tentara, Bantuan udara: 2 A-26, 3 P-51, 1 C-130, 3 T-6, 4 Mil Mi-4;;18 prajurit tewas, 33 militan tewas, 850 tertangkap;18 Prajurit Tewas;"33 Militan Tewas
850 Tertangkap";;;;;;;;;;;;;;;;;;;;;;;
Krisis Timor Timur 1999;Krisis Timor Timur 1999;Dekolonisasi Asia, Pendudukan Indonesia di Timor Timur dan Kejatuhan Suharto;Rumah-rumah yang hancur di Dili.;1999-04-01;2005-04-30;Timor Leste;;;"Kemenangan taktis Timor Timur
Kekalahan milisi pro-Indonesia
Stabilisasi Timor Timur
Referendum kemerdekaan Timor Timur
Embargo penjualan militer AS ke Indonesia dari 9 September 1999 - 22 November 2005
Embargo penjualan militer Britania Raya ke Indonesia dari 11 September 1999 - 11 April 2012
Embargo penjualan militer Australia ke Indonesia September 1999
Embargo penjualan militer Uni Eropa (EU) ke Indonesia dari 16 September 1999 - 17 Januari 2000

Kemenangan strategis milisi pro-Indonesia
80% infrastruktur Timor Timur hancur akibat Operasi Bumi Hangus";"Timor Leste
INTERFET
UNTAET
Australia
Selandia Baru
Thailand
Amerika Serikat
Argentina
Austria
Bangladesh
Benin
Bolivia
Bosnia dan Herzegovina
Brasil
Britania Raya
Bulgaria
Chili
Denmark
Fiji
Filipina
Gambia
Ghana
Irlandia
Israel
Italia
Jepang
Jerman
Kanada
Kenya
Korea Selatan
Kroasia
Malaysia
Meksiko
Mesir
Mozambik
Namibia
Nepal
Niger
Nigeria
Norway
Pakistan
Peru
Portugal
Prancis
Rusia
Samoa
Senegal
Serbia dan Montenegro
Singapura
Slowakia
Slovenia
Spanyol
Sri Lanka
Swedia
Tajikistan
Tiongkok
Turki
Ukraina
Uruguay
Yordania
Vanuatu
Zambia
Zimbabwe";"Milisi pro-Indonesia
Aitarak
Besi Merah Putih
Garda Muda Penegak Integrasi
Laksaur
Mahidi
Kopassus
BIN
Lobi Jakarta";"John Howard
Peter Cosgrove
Jenny Shipley
Helen Clark
Carey Adamson
Sergio Vieira de Mello 
Brigjen. Paulo Pereira Guerreiro";"Wiranto
Eurico Guterres
Manuel de Sousa
Olivio Mendonca Moruk
Cancio Lopez de Carvalho";11,000 militer dan polisi;13,000 milisi pro-Indonesia;"1.400 warga sipil tewas
220.000+ pengungsi
3 staf UNHCR tewas
2 jurnalis tewas
1 tentara Indonesia tewas
1 polisi indonesia tewas";"Timor Leste - 16 tewas (staf PBB lokal)
Selandia Baru - 5 tewas (4 karena kecelakaan)
Thailand - 2 tewas
Amerika Serikat - 1 terluka
Bangladesh - 1 tewas dan 1 terluka akibat IED
Brasil - 1 tewas
Fiji - 2 tewas dan 11 terluka
Filipina - 4 tewas dan 4 terluka
Ghana - 1 meninggal karena penyakit
Indonesia - 2 tewas (staf PBB lokal)
Irlandia - 2 tewas
Jerman - 1 tewas
Korea Selatan - 4 tewas dan 1 hilang karena kecelakaan
Malaysia - 3 tewas
Nepal - 1 tewas dan 3 terluka
Portugal - 4 tewas dan 9 terluka
Rusia - 5 tewas dan 1 hilang karena kecelakaan
Spanyol - 1 tewas
Tajikistan - 1 tewas
49 staf PBB dan LSM yang ditangkap kemudian dibebaskan";"15-19 tewas
301+ ditangkap";"1.400 warga sipil tewas
220.000+ pengungsi
3 staf UNHCR tewas
2 jurnalis tewas
1 tentara Indonesia tewas
1 polisi indonesia tewas";;;;;;;;;350px;;;;;;;;;;;;;
Operasi militer Indonesia di Aceh 1990-1998;Operasi militer Indonesia di Aceh 1990-1998;Konflik di Aceh dan Separatisme di Indonesia;Lokasi Aceh di Indonesia;1990-01-01;1998-08-22;Aceh;;;Penarikan ABRI dari Aceh;"Indonesia
Angkatan Bersenjata Republik Indonesia (ABRI)
Amerika Serikat";"Gerakan Aceh Merdeka
Tentara Nasional Aceh (TNA)
Laskar Inong Bale";"Soeharto
Try Sutrisno
Sutiyoso";"Hasan Di Tiro
Abdullah Syafi'i";12,000 (1990);750+ (1991);9.000+ orang tewas sebagian besar warga sipil;;;9.000+ orang tewas sebagian besar warga sipil;;;;;;;;;;;;;;;;;;;;;;
Pendudukan Indonesia atas Timor Timur;Pendudukan Indonesia di Timor Timur;Perang Dingin;Lokasi Timor Timur, dengan menampilkan negara-negara tetangga.;1975-12-07;1999-10-31;Timor Timur;;;Timor Timur memperoleh kemerdekaan setelah referendum kemerdekaan memilih untuk meninggalkan Indonesia, Indonesia memiliki pengaruh yang kuat di Timor Timur;"Indonesia
Timor Timur
Amerika Serikat
Australia
Britania Raya
Kanada
Jepang
Malaysia";"Timor Leste
FRETILIN
Falintil
CNRM
UDT
Amerika Serikat
Australia
Britania Raya
Filipina
Jepang
Kanada
Korea Selatan
Libya
Malaysia
Mozambik
Portugal
Uni Soviet
Rusia
Thailand
Tiongkok";"Soeharto
B. J. Habibie
Maraden Panggabean
Muhammad Jusuf
L. B. Murdani
Dading Kalbuadi
Try Sutrisno
Edi Sudradjat
Feisal Tanjung
Wiranto
Prabowo Subianto
Jose Abilio Osorio Soares
Eurico Guterres";"Francisco Xavier do Amaral
Nicolau dos Reis Lobato
Mari Alkatiri
Taur Matan Ruak
Nino Konis Santana
Ma'huno Bulerek Karathayano
Xanana Gusmao
Rogerio Lobato
David Alex
Keri Laran Sabalae";;;Perkiraan berkisar antara 100.000-300.000 orang tewas;"2.277 tentara dan polisi Indonesia tewas
1.527 milisi Timor Timur tewas
2.400 terluka";Perkiraan berkisar antara 100.000-300.000 orang tewas;;;;;;;;;;300px;;;;;;;;;;;;;
Konfrontasi Indonesia-Malaysia;Konfrontasi Indonesia-Malaysia;Pembentukan Malaysia dan Perang Dingin;Seorang tentara Inggris ditarik oleh helikopter Westland Wessex selama operasi di Kalimantan, Agustus 1964;1963-01-20;1966-08-11;Semenanjung Malaka;;;Kemenangan Persemakmuran Bangsa-Bangsa, Indonesia menerima pembentukan Malaysia, Soekarno digantikan oleh Soeharto menyusul upaya kudeta G30S, Pemberontakan Komunis di Sarawak berlanjut hingga tahun 1989;"Persemakmuran Bangsa-Bangsa
Malaysia
Singapura
Britania Raya
Australia
Selandia Baru
Brunei
Kanada
Amerika Serikat";"Indonesia
PKI
PKKU
PRB
Tiongkok
Filipina
Uni Soviet
Vietnam Utara";"Tuanku Syed Putra
Ismail Nasiruddin
Tunku Abdul Rahman
Abdul Razak Hussein
Tunku Osman
Mustapha Harun
S. K. Ningkan
Yusof Ishak
Lee Kuan Yew
Omar Ali Saifuddien III
Harold Macmillan
Alec Douglas-Home
Harold Wilson
Rodney Moore
Walter Walker";"Soekarno
Omar Dhani 
Ahmad Yani 
Eddy Martadinata
A.H. Nasution
Pranoto Reksosamudro 
Soeharto
D. N. Aidit
Bong Kee Chok
A. M. Azahari
Yassin Affandi";;;Lebih dari 590 terbunuh, lebih dari 222 luka-luka, 775 ditangkap (termasuk warga sipil);"Britania Raya 140 terbunuh (termasuk 44 ghurka) 43 luka-luka
Australia 23 terbunuh 9 luka-luka
Selandia Baru 12 terbunuh 8 luka-luka
Singapore 9 terbunuh
Gurkha 44 terbunuh 83 luka-luka
Lainnya: 44 terbunuh 40 luka-luka";"590 terbunuh
222 luka-luka
771 ditangkap";"Korban sipil
36 terbunuh
53 luka-luka
4 ditawan";;;;;;;;;;;;;;;;;;;;;;
Invasi Indonesia ke Timor Timur;Invasi Indonesia ke Timor TimurOperasi Seroja;Perang Dingin;Peta Bahasa Inggris yang menunjukkan daerah yang di invasi oleh Indonesia;1975-12-07;1976-07-17;Timor Timur;;Timor Timur diduduki Indonesia menjadi Provinsi Timor Timur;"Kemenangan Indonesia
Pendudukan Indonesia di Timor Timur sampai tahun 1999
Genosida Timor Timur";"Indonesia
ABRI
PSTT
UDT
APODETI
Amerika Serikat
Arab Saudi
Australia
Korea Selatan
Taiwan";"Timor Leste
FRETILIN
FALINTIL
Kuba
Mozambik
Swedia
Tiongkok
Uni Soviet";"Soeharto
Maraden Panggabean
Widjojo Soejono
L. B. Moerdani
Dading Kalbuadi
Wiranto
Jose Abilio Osorio Soares
Luhut Binsar Pandjaitan";"Francisco Xavier do Amaral 
Nicolau dos Reis Lobato";35.000 tentara;20.000 Milisi;185.000 tewas, terluka atau ditangkap (1975-1999) (termasuk warga sipil);1.000 tewas, terluka atau ditangkap;185.000 tewas, terluka atau ditangkap (1975-1999) (termasuk warga sipil);;;;;;;;;;300px;;;;;;;;;;;;;
Operasi Jayapura 1976;;Konflik Papua;;1976-01-01;1976-02-29;Kabupaten Jayapura, Irian Jaya;;;;Indonesia;Republik Papua Barat;;;"10.000-16.000
2 aircraft";3.000-5.000;Lebih dari 2000 tewas dan 800 luka-luka menurut OPM;"425 tewas
800 luka-luka (klaim OPM)";1.605 tewas (klaim OPM);;;;;;;;;;;;;;;;Operasi Jayapura 1976;;;;;;;
Konflik Papua;Konflik Papua;Persengketaan Nugini Barat dan Dekolonisasi Oseania;"Foto Atas; Pasukan TNI Sedang Patroli di Sebuah Hutan di Papua, Foto Bawah; Pasukan OPM Sedang memamerkan Senjata Mereka";1962-10-01;2024-01-01;"Papua
Papua Nugini";;;;"Indonesia
Papua Nugini
Amerika Serikat
Australia
Uni Soviet
Fiji";"Organisasi Papua Merdeka
Libya
Vanuatu
Palau
Tuvalu
Kepulauan Solomon
Nauru
Samoa
Tonga";"Joko Widodo
Ma'ruf Amin
Prabowo Subianto
Agus Subiyanto
Listyo Sigit Prabowo
Budi Gunawan
Suharto
Leonardus Benyamin Moerdani
Wiranto
Try Sutrisno
B. J. Habibie
Abdurrahman Wahid
Megawati Sukarnoputri
Susilo Bambang Yudhoyono
Andika Perkasa";"Jacob Prai
Benny Wenda
Mathias Wenda
Jacob Rumbiak
Egianus Kogoya
Sebby Sambom
Goliath Tabuni
Kelly Kwalik
Joni Botak";;;Setidaknya 72 TNI, 34 polisi dan 69 TPNPB-OPM tewas;Setidaknya 72 TNI dan 34 polisi tewas;setidaknya 69 TPNPB-OPM tewas (2010 - Maret 2023);"320 masyarakat sipil (OAP dan non-OAP) tewas (2010 - Maret 2022)
Perkiraan jangka panjang bervariasi antara 100,000-500.000 warga sipil tewas";;"Tentara Nasional Indonesia
Kodam XVII/Cenderawasih
Kodam XVIII/Kasuari
Kepolisian Negara Republik Indonesia
Barisan Merah Putih
Warga sipil pro-Indonesia";;;;;;;;;;;;;;;;;"Unit otonom berafiliasi dengan Tentara Pembebasan Nasional Papua Barat (TPNPB) atau Tentara Revolusi West Papua (TRWP)
Persatuan Gerakan Pembebasan Papua Barat (ULMWP)
Warga sipil pro-kemerdekaan";Masih berlangsung;;
