article_title,commander
Kerusuhan Poso,Abdurrahman Wahid
Kerusuhan Poso,Susilo Bambang Yudhoyono
Kerusuhan Poso,Jusuf Kalla
Kerusuhan Poso,Bandjela Paliudju
Kerusuhan Poso,Aminuddin Ponulele
Kerusuhan Poso,Slamet Kirbiantoro
Kerusuhan Poso,Zainal Abidin Ishak
Kerusuhan Poso,Arief Patanga
Kerusuhan Poso,Muin Pusadan
Kerusuhan Poso,Deddy Woeryantono
Kerusuhan Poso,Djasman Baso Opu
Krisis sandera Mapenduma,Prabowo Subianto
Pemberontakan di Aceh,Soeharto
Pemberontakan di Aceh,B. J. Habibie
Pemberontakan di Aceh,Abdurahman Wahid
Pemberontakan di Aceh,Megawati
Pemberontakan di Aceh,Susilo Yudhoyono
Pemberontakan di Aceh,Try Sutrisno
Pemberontakan di Aceh,Endriartono Sutarto
Pemberontakan di Aceh,Sutiyoso
Pemberontakan di Aceh,Bambang Darmono
Operasi Trisula,Soeharto
Operasi Trisula,Abdul Haris Nasution
Operasi Trisula,Witarmin
Operasi Trisula,Kartomo
Krisis Timor Timur 1999,John Howard
Krisis Timor Timur 1999,Peter Cosgrove
Krisis Timor Timur 1999,Jenny Shipley
Krisis Timor Timur 1999,Helen Clark
Krisis Timor Timur 1999,Carey Adamson
Krisis Timor Timur 1999,Sergio Vieira de Mello 
Krisis Timor Timur 1999,Brigjen. Paulo Pereira Guerreiro
Operasi militer Indonesia di Aceh 1990-1998,Soeharto
Operasi militer Indonesia di Aceh 1990-1998,Try Sutrisno
Operasi militer Indonesia di Aceh 1990-1998,Sutiyoso
Pendudukan Indonesia atas Timor Timur,Soeharto
Pendudukan Indonesia atas Timor Timur,B. J. Habibie
Pendudukan Indonesia atas Timor Timur,Maraden Panggabean
Pendudukan Indonesia atas Timor Timur,Muhammad Jusuf
Pendudukan Indonesia atas Timor Timur,L. B. Murdani
Pendudukan Indonesia atas Timor Timur,Dading Kalbuadi
Pendudukan Indonesia atas Timor Timur,Try Sutrisno
Pendudukan Indonesia atas Timor Timur,Edi Sudradjat
Pendudukan Indonesia atas Timor Timur,Feisal Tanjung
Pendudukan Indonesia atas Timor Timur,Wiranto
