article_title,conflict,partof,caption,dateStart,dateEnd,casus,territory,result,strength1,strength2,casualties,casualties1,casualties2,casualties3,image_size,strength3,title,notes,name,causes,status,summary,wikiurl
Kerusuhan Poso,,Konflik Poso,Front pertempuran dalam kerusuhan Poso III.,1998-12-25,2001-12-20,,,"Deklarasi Malino
 Kekerasan pasca kerusuhan di Poso",,,,,,,,700 orang (2000),Kerusuhan Poso,"577 tewas, 384 terluka, 7.932 rumah hancur, serta 510 fasilitas umum terbakar atau rusak (versi pemerintah)",,Penyerangan pemuda Muslim oleh pemuda Kristen yang mabuk di Masjid Sayo,,"Kerusuhan Poso atau konflik komunal Poso, adalah sebutan bagi serangkaian kerusuhan yang terjadi di Kabupaten Poso, Sulawesi Tengah, Indonesia. Peristiwa ini awalnya bermula dari bentrokan kecil antarkelompok pemuda sebelum berkembang menjadi kerusuhan bernuansa agama. Beberapa faktor berkontribusi terhadap pecahnya kekerasan, termasuk persaingan ekonomi antara penduduk asli Poso yang mayoritas beragama Kristen dengan para pendatang seperti pedagang-pedagang Bugis dan transmigran dari Jawa yang memeluk Islam, ketidakstabilan politik dan ekonomi menyusul jatuhnya Orde Baru, persaingan antarpejabat pemerintah daerah mengenai posisi birokrasi, dan pembagian kekuasaan tingkat kabupaten antara pihak Kristen dan Islam yang tidak seimbang. Situasi dan kondisi yang tidak stabil, dikombinasikan dengan penegakan hukum yang lemah, menciptakan lingkungan yang menjanjikan untuk terjadinya kekerasan.",https://id.wikipedia.org/wiki/Kerusuhan_Poso
Krisis sandera Mapenduma,Krisis sandera Mapenduma,Konflik Papua,"Irian Jaya, Indonesia",1996-01-08,1996-05-09,Tuntuntan Organisasi Papua Merdeka untuk kemerdekaan Wilayah Papua Barat,,,100 Komando,200 Pejuang,"13 tewas, 1 helikopter jatuh, 2 ditangkap","5 tewas
1 helikopter jatuh","8 tewas
2 ditangkap",2 sandera tewas,,,,,,,selesai,"Krisis sandera Mapenduma adalah peristiwa krisis sandera yang terjadi pada tanggal 8 Januari 1996 di Mapenduma, Jayawijaya, dengan disanderanya 26 anggota Tim Ekspedisi Lorentz 95 oleh sayap militer Organisasi Papua Merdeka yang dipimpin Kelly Kwalik.",https://id.wikipedia.org/wiki/Krisis_sandera_Mapenduma
Kerusuhan Sambas,Konflik Sambas,,,1970-01-01,1999-12-31,,,,,,"1189 terbunuh, 168 orang luka berat, 34 orang luka ringan, 29823 warga Madura mengungsi","1.189 terbunuh
168 orang luka berat
34 orang luka ringan
29.823 warga Madura mengungsi",,,,,,,,,,"Kerusuhan Sambas merujuk kepada peristiwa kerusuhan antar etnis di wilayah Kabupaten Sambas, Kalimantan Barat. Kerusuhan Sambas sudah berlangsung sekitar tujuh kali sejak 1970, tetapi kerusuhan tahun 1999 adalah yang terbesar dan merupakan akumulasi dari kejengkelan Melayu dan Dayak terhadap ulah oknum-oknum pendatang dari Madura. Akibatnya, orang-orang keturunan Madura yang sudah bermukim di Sambas sejak awal 1900-an, ikut menjadi korban. Korban akibat kerusuhan Sambas terdiri dari 1.188 orang tewas, 168 orang luka berat, 34 orang luka ringan, 3.833 rumah dibakar dan dirusak, 12 mobil dan 9 motor dibakar/dirusak, 8 masjid/madrasah dirusak/dibakar, 2 sekolah dirusak, 1 gudang dirusak, dan 29.823 warga Madura mengungsi.",https://id.wikipedia.org/wiki/Kerusuhan_Sambas
Pemberontakan di Aceh,Pemberontakan di Aceh (1976-2005),Separatisme di Indonesia,"Prajurit wanita Gerakan Aceh Merdeka bersama Panglima GAM Abdullah Syafi'i, 1999",1976-12-04,2005-08-15,,,"Kemenangan taktis Indonesia, Persetujuan perdamaian Helsinki, Otonomi khusus untuk Aceh, Pelucutan GAM, Ditariknya pasukan non-organik Indonesia, hanya menyisakan 25.000 prajurit di provinsi tersebut, Misi Pemantau Aceh, Diadakannya pilkada","12,000 (1990)
30,000 (2001)
15,000 (2002)
35,000-50,000 (2003)","25 (1976)
200 (1979-89)
750 (1991)
15,000-27,000 (1999)
5,000 (2003-2004)
3,000 (2005)",15128 tewas,128 tewas,15.000 tewas,,,,,,,,,"Pemberontakan di Aceh dikobarkan oleh Gerakan Aceh Merdeka (GAM) untuk memperoleh kemerdekaan dari Indonesia antara tahun 1976 hingga tahun 2005. Operasi militer yang dilakukan TNI dan Polri (2003–2004), beserta kehancuran yang disebabkan oleh gempa bumi Samudra Hindia 2004 menyebabkan diadakannya persetujuan perdamaian dan berakhirnya pemberontakan. Amnesty International merilis laporan Time To Face The Past pada April 2013 setelah pemerintah Indonesia dianggap gagal menjalankan kewajibannya sesuai perjanjian damai 2005. Laporan tersebut memperingatkan bahwa kekerasan baru akan terjadi jika masalah ini tidak diselesaikan.",https://id.wikipedia.org/wiki/Pemberontakan_di_Aceh
Operasi Trisula,,,"Monumen Trisula, 2010",1968-06-01,1968-09-07,,,Pemberontakan berhasil di tumpas,"5,000 Tentara, Bantuan udara: 2 A-26, 3 P-51, 1 C-130, 3 T-6, 4 Mil Mi-4",,"18 prajurit tewas, 33 militan tewas, 850 tertangkap",18 Prajurit Tewas,"33 Militan Tewas
850 Tertangkap",,,,,,,,,"Operasi Trisula merupakan operasi yang dilaksanakan oleh Tentara Nasional Indonesia dalam rangka menumpas sisa-sisa Gerakan 30 September yang melarikan diri di daerah Blitar Selatan. Daerah Blitar Selatan ini sangat strategis sebagai tempat persembunyian dan berkumpulnya gembong-gembong PKI, karena daerah tersebut berupa tebing-tebing yang curam dan perbukitan yang sulit untuk dijangkau oleh pasukan darat. Untuk melaksanakan operasi tersebut Panglima Komando Daerah Militer VIII/Brawijaya membentuk Komando Satuan Tugas Operasi yang bernama Satgas Trisula pada tanggal 25 Mei 1968 dengan daerah operasi Blitar Selatan, Malang Selatan dan Tulungagung dengan tujuan untuk menumpas sisa-sisa pemberontakan G30S/PKI.",https://id.wikipedia.org/wiki/Operasi_Trisula
Krisis Timor Timur 1999,Krisis Timor Timur 1999,"Dekolonisasi Asia, Pendudukan Indonesia di Timor Timur dan Kejatuhan Suharto",Rumah-rumah yang hancur di Dili.,1999-04-01,2005-04-30,,,"Kemenangan taktis Timor Timur
Kekalahan milisi pro-Indonesia
Stabilisasi Timor Timur
Referendum kemerdekaan Timor Timur
Embargo penjualan militer AS ke Indonesia dari 9 September 1999 - 22 November 2005
Embargo penjualan militer Britania Raya ke Indonesia dari 11 September 1999 - 11 April 2012
Embargo penjualan militer Australia ke Indonesia September 1999
Embargo penjualan militer Uni Eropa (EU) ke Indonesia dari 16 September 1999 - 17 Januari 2000

Kemenangan strategis milisi pro-Indonesia
80% infrastruktur Timor Timur hancur akibat Operasi Bumi Hangus","11,000 militer dan polisi","13,000 milisi pro-Indonesia","1.400 warga sipil tewas
220.000+ pengungsi
3 staf UNHCR tewas
2 jurnalis tewas
1 tentara Indonesia tewas
1 polisi indonesia tewas","Timor Leste - 16 tewas (staf PBB lokal)
Selandia Baru - 5 tewas (4 karena kecelakaan)
Thailand - 2 tewas
Amerika Serikat - 1 terluka
Bangladesh - 1 tewas dan 1 terluka akibat IED
Brasil - 1 tewas
Fiji - 2 tewas dan 11 terluka
Filipina - 4 tewas dan 4 terluka
Ghana - 1 meninggal karena penyakit
Indonesia - 2 tewas (staf PBB lokal)
Irlandia - 2 tewas
Jerman - 1 tewas
Korea Selatan - 4 tewas dan 1 hilang karena kecelakaan
Malaysia - 3 tewas
Nepal - 1 tewas dan 3 terluka
Portugal - 4 tewas dan 9 terluka
Rusia - 5 tewas dan 1 hilang karena kecelakaan
Spanyol - 1 tewas
Tajikistan - 1 tewas
49 staf PBB dan LSM yang ditangkap kemudian dibebaskan","15-19 tewas
301+ ditangkap","1.400 warga sipil tewas
220.000+ pengungsi
3 staf UNHCR tewas
2 jurnalis tewas
1 tentara Indonesia tewas
1 polisi indonesia tewas",350px,,,,,,,"Krisis Timor Timur 1999 atau Operasi Guntur adalah tindakan pembalasan oleh milisi pro-Indonesia terhadap rakyat Timor Timur dalam rangka hasil positif referendum kemerdekaan di Timor Timur pada tanggal 30 Agustus 1999. Dimulai dengan serangan militan anti-kemerdekaan terhadap warga sipil, dan meluas menjadi kerusuhan di seluruh Timor Timur, berpusat di ibu kota Dili. Kerusuhan meletus setelah mayoritas pemilih referendum Timor Timur memilih merdeka dari Indonesia. Sekitar 1.400 penduduk tewas. Tentara yang beraliansi dengan PBB (INTERFET), yang terdiri sebagian besar dari Angkatan Bersenjata Australia dikirim ke Timor Timur untuk mengembalikan stabilitas dan menjaga perdamaian.",https://id.wikipedia.org/wiki/Krisis_Timor_Timur_1999
Operasi militer Indonesia di Aceh 1990-1998,Operasi militer Indonesia di Aceh 1990-1998,Konflik di Aceh dan Separatisme di Indonesia,Lokasi Aceh di Indonesia,1990-01-01,1998-08-22,,,Penarikan ABRI dari Aceh,"12,000 (1990)",750+ (1991),9.000+ orang tewas sebagian besar warga sipil,,,9.000+ orang tewas sebagian besar warga sipil,,,,,,,,"Operasi militer Indonesia di Aceh 1990-1998 atau juga disebut Operasi Jaring Merah adalah operasi kontra-pemberontakan yang diluncurkan pada awal 1990-an sampai 22 Agustus 1998 melawan gerakan separatis Gerakan Aceh Merdeka (GAM) di Aceh. Selama periode tersebut, Aceh dinyatakan sebagai ""Daerah Operasi Militer"" (DOM), di mana Angkatan Bersenjata Republik Indonesia diduga melakukan pelanggaran hak asasi manusia dalam skala besar dan sistematis terhadap pejuang GAM maupun rakyat sipil Aceh. Operasi ini ditandai sebagai perang paling kotor di Indonesia yang melibatkan eksekusi sewenang-wenang, penculikan, penyiksaan dan penghilangan, dan pembakaran desa. Amnesty International menyebut diluncurkannya operasi militer ini sebagai ""shock therapy"" bagi GAM.Desa yang dicurigai menyembunyikan anggota GAM dibakar dan anggota keluarga tersangka militan diculik dan disiksa. Diperkirakan lebih dari 300 wanita dan anak di bawah umur mengalami perkosaan  dan antara 9.000-12.000 orang, sebagian besar warga sipil tewas antara tahun 1989 dan 1998 dalam operasi ABRI tersebut.Operasi ini berakhir dengan penarikan hampir seluruh personel ABRI yang terlibat atas perintah Presiden BJ Habibie pada tanggal 22 Agustus 1998 setelah jatuhnya Presiden Soeharto dan berakhirnya era Orde Baru.",https://id.wikipedia.org/wiki/Operasi_militer_Indonesia_di_Aceh_1990-1998
Pendudukan Indonesia atas Timor Timur,Pendudukan Indonesia di Timor Timur,Perang Dingin,"Lokasi Timor Timur, dengan menampilkan negara-negara tetangga.",1975-12-07,1999-10-31,,,"Timor Timur memperoleh kemerdekaan setelah referendum kemerdekaan memilih untuk meninggalkan Indonesia, Indonesia memiliki pengaruh yang kuat di Timor Timur",,,Perkiraan berkisar antara 100.000-300.000 orang tewas,"2.277 tentara dan polisi Indonesia tewas
1.527 milisi Timor Timur tewas
2.400 terluka",Perkiraan berkisar antara 100.000-300.000 orang tewas,,300px,,,,,,,"Pendudukan Indonesia atas Timor Timur dimulai pada bulan Desember 1975 dan berlangsung hingga Oktober 1999. Setelah berabad-abad diperintah oleh Portugis, kudeta tahun 1974 di Portugal memicu dekolonisasi di bekas koloninya, menciptakan ketidakstabilan di Timor Timur dan ketidakpastian akan masa depannya. Setelah perang saudara berskala kecil, Fretilin yang pro-kemerdekaan mendeklarasikan kemenangan di ibu kota Dili dan mendeklarasikan kemerdekaan Timor Timur pada tanggal 28 November 1975.",https://id.wikipedia.org/wiki/Pendudukan_Indonesia_atas_Timor_Timur
Konfrontasi Indonesia-Malaysia,Konfrontasi Indonesia-Malaysia,Pembentukan Malaysia dan Perang Dingin,"Seorang tentara Inggris ditarik oleh helikopter Westland Wessex selama operasi di Kalimantan, Agustus 1964",1963-01-20,1966-08-11,,,"Kemenangan Persemakmuran Bangsa-Bangsa, Indonesia menerima pembentukan Malaysia, Soekarno digantikan oleh Soeharto menyusul upaya kudeta G30S, Pemberontakan Komunis di Sarawak berlanjut hingga tahun 1989",,,"Lebih dari 590 terbunuh, lebih dari 222 luka-luka, 775 ditangkap (termasuk warga sipil)","Britania Raya 140 terbunuh (termasuk 44 ghurka) 43 luka-luka
Australia 23 terbunuh 9 luka-luka
Selandia Baru 12 terbunuh 8 luka-luka
Singapore 9 terbunuh
Gurkha 44 terbunuh 83 luka-luka
Lainnya: 44 terbunuh 40 luka-luka","590 terbunuh
222 luka-luka
771 ditangkap","Korban sipil
36 terbunuh
53 luka-luka
4 ditawan",,,,,,,,"Konfrontasi Indonesia–Malaysia atau Konfrontasi Borneo (juga dikenal dengan Bahasa Indonesia / Melayu, Konfrontasi) adalah konflik bersenjata dari tahun 1963 hingga 1966 yang bermula dari penentangan Indonesia terhadap pembentukan Federasi Malaysia. Setelah presiden Indonesia Soekarno digulingkan pada tahun 1966, perselisihan berakhir secara damai dan negara Malaysia terbentuk.",https://id.wikipedia.org/wiki/Konfrontasi_Indonesia%E2%80%93Malaysia
Invasi Indonesia ke Timor Timur,Invasi Indonesia ke Timor TimurOperasi Seroja,Perang Dingin,Peta Bahasa Inggris yang menunjukkan daerah yang di invasi oleh Indonesia,1975-12-07,1976-07-17,,Timor Timur diduduki Indonesia menjadi Provinsi Timor Timur,"Kemenangan Indonesia
Pendudukan Indonesia di Timor Timur sampai tahun 1999
Genosida Timor Timur",35.000 tentara,20.000 Milisi,"185.000 tewas, terluka atau ditangkap (1975-1999) (termasuk warga sipil)","1.000 tewas, terluka atau ditangkap","185.000 tewas, terluka atau ditangkap (1975-1999) (termasuk warga sipil)",,300px,,,,,,,"Invasi Indonesia ke Timor Timur, lebih dikenal sebagai Operasi Seroja atau Perang Timor Timur, dimulai pada tanggal 7 Desember 1975 ketika militer Indonesia masuk ke Timor Timur dengan dalih anti-kolonialisme dan anti-komunisme untuk menggulingkan rezim Fretilin yang muncul pada tahun 1974. Penggulingan pemerintah yang dipimpin secara singkat oleh Fretilin memicu pendudukan kekerasan selama seperempat abad di mana sekitar 100.000–180.000 tentara dan warga sipil diperkirakan telah terbunuh atau mati kelaparan. Komisi Pengakuan, Kebenaran, dan Rekonsiliasi di Timor Leste (CAVR) mendokumentasikan perkiraan minimum sebesar 102.000 kematian terkait konflik di Timor Timur selama periode 1974 hingga 1999, termasuk 18.600 pembunuhan dengan kekerasan dan 84.200 kematian akibat penyakit dan kelaparan; pasukan Indonesia dan gabungan pasukan pembantunya bertanggung jawab atas 70% dari total pembunuhan.Bulan-bulan pertama pendudukan, militer Indonesia menghadapi perlawanan pemberontakan yang berat di pedalaman pegunungan pulau, tetapi dari tahun 1977-1978, militer memperoleh persenjataan canggih baru dari Amerika Serikat, Australia, dan negara-negara lain, untuk menghancurkan basis Fretilin. Dua dekade terakhir abad ini menyaksikan bentrokan terus menerus antara kelompok Indonesia dan Timor Timur mengenai status Timor Timur, sampai tahun 1999, ketika mayoritas rakyat Timor Timur memilih untuk merdeka (pilihan alternatifnya adalah ""otonomi khusus"" sementara tetap menjadi bagian dari Indonesia). Setelah dua setengah tahun transisi lebih lanjut di bawah naungan tiga misi PBB yang berbeda, Timor Timur berhasil merdeka pada 20 Mei 2002.",https://id.wikipedia.org/wiki/Invasi_Indonesia_ke_Timor_Timur
