article_title,alma_mater
Gatot Soebroto,KNIL
Soegih Arto,Hogere Kriegjschool
Sintong Panjaitan,Akademi Militer
Sujudi,Universitas Indonesia
W. A. F. J. Tumbelaka,Universitas Indonesia
Toyib Hadiwijaya,Institut Pertanian Bogor
Toyib Hadiwijaya,Universitas Indonesia
Mohamad Suleman Hidayat,Universitas Padjadjaran
Syarief Thayeb,Universitas Indonesia
Syarief Thayeb,Harvard University
Syarief Thayeb,Mindanao University
Slamet Kirbiantoro,Akademi Tentara Nasional Indonesia
Mochtar Kusumaatmadja,Universitas Indonesia
Mochtar Kusumaatmadja,Universitas Padjajaran
Alamsyah Ratu Perwiranegara,Gyu Gun
Alamsyah Ratu Perwiranegara,U.S Army General and Command Staff College
Herman Deru,Universitas Sjakhyakirti Palembang
Herman Deru,STIE Trisna Negara
Pahri Azhari,Universitas Sriwijaya
Amir Machmud,Akademi Militer
Aksa Mahmud,Universitas Hasanuddin
Sunawar Sukowati,Universitas Gadjah Mada
Sunawar Sukowati,Universitas Padjadjaran
Edi Sudradjat,Akademi Militer
Kahar Muzakir,IKIP Yogyakarta
Agus Hermanto,Universitas Brawijaya
Yogie Suardi Memet,Akademi Militer
Sabam Sirait,Universitas Indonesia
Slamet Iman Santoso,School tot Opleiding van Indische Artsen
Slamet Iman Santoso,Geneeskunde School of Arts Batavia Sentrum
Widjojo Nitisastro,Universitas Indonesia
Widjojo Nitisastro,University of California
Adnan Kapau Gani,Geneeskundige Hoogeschool te Batavia
Achmad Soebardjo,Universitas Leiden
Ade Komarudin,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Ade Komarudin,Universitas Padjadjaran
Juwono Sudarsono,Universitas Indonesia
Juwono Sudarsono,London School of Economics and Political Science
Muammar Khadafi,Universitas Libya
Muammar Khadafi,Akademi Universitas Militer Benghazi
Adhyatma,Universitas Indonesia
Adhyatma,University of Berkeley
Makmun Murod,Akademi Militer
Surono Reksodimedjo,Pembela Tanah Air
Soetedjo (akademisi),Institut Teknologi Bandung
Hadi Utomo,Akademi Tentara Nasional Indonesia
Hadi Utomo,Sekolah Tinggi Hukum Militer
Hadi Utomo,Sekolah Tinggi Ilmu Ekonomi Widya Jayakarta
Soemarno Sosroatmodjo,Universitas Padjadjaran
Soemarno Sosroatmodjo,Universitas Vanderbilt
Ajit Singh,University of Malaysia
Cosmas Batubara,Universitas Indonesia
Suharnoko Harbani,Sekolah Penerbang A-1
Kuntara,Akademi Militer
Andi Sinjaya Ghalib,Akademi Kepolisian
Ali Said,Sekolah Tinggi Hukum Militer AHM-PTHM
Suyono Sosrodarsono,Institut Teknologi Bandung
Dorodjatun Kuntjoro-Jakti,Universitas Indonesia
Dorodjatun Kuntjoro-Jakti,"Universitas California, Berkeley"
Dave Laksono,Army Navy Academy
Dave Laksono,Santa Monica College
Dave Laksono,"California State University, Northridge"
Dave Laksono,Universitas Indonesia
Dave Laksono,Universitas Pertahanan Indonesia
Frans Seda,Hollandsche Burgerschool
Frans Seda,Katolieke Economische Hogeschool
Arief Patanga,Universitas Islam Indonesia
Ahmad Yani,AMS
Ahmad Yani,Pendidikan Calon Perwira Dinas Topografi Militer
Ahmad Yani,Command and General Staf College
Soemitro Djojohadikoesoemo,Universitas Sorbonne
Soemitro Djojohadikoesoemo,Sekolah Tinggi Ekonomi Belanda
Rano Karno,Sekolah Tinggi Ilmu Pemerintahan Abdi Negara Jakarta
Syarwan Hamid,Akademi Militer
Hasjrul Harahap,Institut Pertanian Bogor
Purwoto Gandasubrata,Fakultas Hukum Universitas Indonesia
Irman Gusman,Universitas Kristen Indonesia
Irman Gusman,University of Bridgeport
Ryamizard Ryacudu,Akademi Tentara Nasional Indonesia
Sofjan Wanandi,Universitas Indonesia
Sofjan Wanandi,Kolese Kanisius
Moetojib,Akademi Militer
Bandjela Paliudju,Sekolah Calon Perwira Angkatan Darat
Sri Adiningsih,University of Illinois
Sri Adiningsih,Universitas Gadjah Mada
Hayono Isman,Sekolah Tinggi Ilmu Pemerintahan Abdi Negara Jakarta
Herman Bernhard Leopold Mantiri,Akademi Militer
Peter Cosgrove,"Royal Military College, Duntroon"
Ahmad Yunus Mokoginta,Akademi Militer Breda
Kunto Arief Wibowo,Akademi Militer
Kunto Arief Wibowo,Universitas Terbuka
Soetardjo Soerjogoeritno,Universitas Gadjah Mada
Feisal Tanjung,Akademi Militer
