article_title,children
Sintong Panjaitan,Henry Dian Panjaitan
Sintong Panjaitan,Ani Oranda Panjaitan
Mohamad Suleman Hidayat,"Rully Hidayat"
Mohamad Suleman Hidayat,"Erik Hidayat "
Mohamad Suleman Hidayat,"Maxi Hidayat"
Mohamad Suleman Hidayat,"Kemal Hidayat"
Mohamad Suleman Hidayat,Nayaka Untara Nurul Insani Hidayati
Agung Firman Sampurna,Rahmat Sampurna
Mochtar Kusumaatmadja,Armida Alisjahbana
Widjojo Soejono,"Enny Lukitaning Diah"
Widjojo Soejono,"Wedhia Purwaningsih"
Widjojo Soejono,"Ariyati Sihwarini"
Widjojo Soejono,"Hardini Surjaningsih"
Widjojo Soejono,Budhi Soejono
Herman Deru,Percha Leanpuri
Pahri Azhari,"Iman Falucki"
Pahri Azhari,"Anggia Fabelita"
Pahri Azhari,"M. Facrel Ardafa"
Pahri Azhari,Divia Faradiba
Amir Machmud,"Anon Badariah"
Amir Machmud,Bambang Permadi Amir Machmud
Aksa Mahmud,"Erwin Aksa"
Aksa Mahmud,"Sadikin Aksa"
Aksa Mahmud,"Melinda Aksa"
Aksa Mahmud,"Atira Aksa"
Aksa Mahmud,Subhan Aksa
Sunawar Sukowati,Edwin Sunawar Sukowati
Edi Sudradjat,"Ir. Iwan Darmawan"
Edi Sudradjat,"Ir. Ita Setia Wati"
Edi Sudradjat,"Brigjen TNI (Purn.) Iman Budiman"
Edi Sudradjat,Kolonel Inf. Andi Gunawan
Achmad Wiranatakusumah,"Siti Fatimah Ratnasangkara Wiranatakusumah"
Achmad Wiranatakusumah,"Antar Yuma Tulisa Wiranatakusumah"
Achmad Wiranatakusumah,"Roxanne Siti Aminah Kurniati Wiranatakusumah"
Achmad Wiranatakusumah,"Attila Nuh Achmad Nasran Wiranatakusumah"
Achmad Wiranatakusumah,"Marsdya TNI (Purn.) Kisenda Wiranata"
Achmad Wiranatakusumah,"Achmad Ingemar Laguna"
Achmad Wiranatakusumah,Kisano Alam Wiranatakusumah
Kahar Muzakir,"Agung Firman Sampurna"
Kahar Muzakir,"Wahyu Sanjaya"
Kahar Muzakir,Dewi Yustisiana
Hartini,"Siti Suwandari"
Hartini,"Herwindo"
Hartini,"Tri Harwanto"
Hartini,"Sri Wulandari "
Hartini,"Riswulan"
Hartini,"Soekarno Taufan Soekarnoputra"
Hartini,Bayu Soekarnoputra
Sabam Sirait,"Maruarar Sirait"
Sabam Sirait,"Batara Imanuel Sirait"
Sabam Sirait,Johan Bakti Porsea Sirait Mira Sirait
Xanana Gusmão,"Eugenio Gusmão"
Xanana Gusmão,"Zenilda Gusmão"
Xanana Gusmão,"Alexandre Gusmão"
Xanana Gusmão,"Kay Olok Gusmão"
Xanana Gusmão,Daniel Gusmão
Andi Muhammad Ghalib,"Andi Azhar Cakra Wijaya"
Andi Muhammad Ghalib,"Andi Muhammad Surya Wijaya"
Andi Muhammad Ghalib,"Andi Fitri Indrayani"
Andi Muhammad Ghalib,Andi Sinjaya Ghalib
Witarmin,"Nunuk Indrinuswati"
Witarmin,"Wiwiek Dwi Judajati"
Witarmin,"Anik Umi Heriyani"
Witarmin,Sudiono
Ade Komarudin,Puteri Anetta Komarudin
Muammar Khadafi,"Muhammad Khadafi"
Muammar Khadafi,"Saif al-Islam Khadafi"
Muammar Khadafi,"Al-Saadi Gaddafi"
Muammar Khadafi,"Mutassim Khadafi"
Muammar Khadafi,"Hannibal Khadafi"
Muammar Khadafi,"Saif al-Arab Khadafi"
Muammar Khadafi,"Khamis Khadafi"
Muammar Khadafi,"Milad"
Muammar Khadafi,"Ayesha Khadafi"
Muammar Khadafi,Hanna Khadafi
Siti Hartinah,"Siti Hardijanti Rukmana"
Siti Hartinah,"Sigit Harjojudanto"
Siti Hartinah,"Bambang Trihatmodjo"
Siti Hartinah,"Siti Hediati Hariyadi"
Siti Hartinah,"Hutomo Mandala Putra"
Siti Hartinah,Siti Hutami Endang Adiningsih
Suharnoko Harbani,"Harry Suharnoko Harbani"
Suharnoko Harbani,"Andri Suharnoko Harbani"
Suharnoko Harbani,"Maya Suharnoko Harbani"
Suharnoko Harbani,Hudi Suharnoko Harbani
Mohammad Syafa'at Mintaredja,Evac S Mintaredja
Abdul Haris Nasution,"Hendrianti Saharah"
Abdul Haris Nasution,Ade Irma Suryani
Andi Sinjaya Ghalib,"Andi Azlia Sinjaya"
Andi Sinjaya Ghalib,Andi Java Sinjaya
Ahmad Yani,"Amelia Achmad Yani"
Ahmad Yani,"Untung Mufreni"
Ahmad Yani,Irawan Sura Eddy
Soemitro Djojohadikoesoemo,"Biantiningsih Miderawati Djiwandono"
Soemitro Djojohadikoesoemo,"Marjani Ekowati Lemaistre"
Soemitro Djojohadikoesoemo,"Prabowo Subianto"
Soemitro Djojohadikoesoemo,Hashim Djojohadikusumo
Moerdiono,"Ninuk Mardiana Pambudy"
Moerdiono,"Novianto Prakoso"
Moerdiono,"Indrawan Budi Prasetyo"
Moerdiono,"Baroto Joko Nugroho"
Moerdiono,Iqbal Ramadhan
Hasjrul Harahap,Ira Hasyda Harahap
Irman Gusman,"Irviandari Alestya Gusman"
Irman Gusman,"Irviandra Fathan Gusman"
Irman Gusman,Irvianjani Audria Gusman
Sapardjo,Bambang Purwanto
Sofjan Wanandi,"Emmanuel Lestarto Wanandi"
Sofjan Wanandi,"A Lukito Wanandi"
Sofjan Wanandi,Paulus Witarsa Wanandi
Hayono Isman,"Baroto Ario Isman"
Hayono Isman,"Handara Putri Isman"
Hayono Isman,Mandira Isman
Herman Bernhard Leopold Mantiri,Julio Timotius Mantiri
Peter Cosgrove,"Stephen"
Peter Cosgrove,"Philip"
Peter Cosgrove,David
Kunto Arief Wibowo,"drh. Kania Rifa Iradatya"
Kunto Arief Wibowo,Letda Inf. Ezhar Safa Syailendra
Feisal Tanjung,"Astrid Tanjung"
Feisal Tanjung,"Yasser Tanjung"
Feisal Tanjung,Yusuf Tanjung
Moeljadi,Laksamana Muda TNI (Purn.) Adi Prabawa
Oetojo Oesman,Dewi Asmara
Oemar Seno Adji,Indriyanto Seno Adji
Lukita Dinarsyah Tuwo,"Arimbi Putri Rininta"
Lukita Dinarsyah Tuwo,Alika Dibyanta Viarti Tuwo
Kemal Idris,"Ferry Idris"
Kemal Idris,"Ade Idris"
Kemal Idris,Indra Idris
Arie Jeffry Kumaat,Henrie August Liddell Kumaat
Johannes Leimena,Melani Leimena Suharli
Bambang Subianto,"Sri Saraswati"
Bambang Subianto,"Sri Sulistiowati"
Bambang Subianto,"Dewi Damayanti"
Bambang Subianto,Dewi Damayani
Airlangga Hartarto,Ravindra Airlangga
M. Sarbini,Saryanto Sarbini
Aburizal Bakrie,"Anindya Bakrie"
Aburizal Bakrie,Ardi Bakrie
Agum Gumelar,"Zeke Khaseli"
Agum Gumelar,Ami Gumelar
Subroto,"Aswin Kartiko"
Subroto,"Baruno Sapto"
Subroto,Hananto Seno
Mas Isman,"Hayono Isman"
Mas Isman,Hayani Isman
Sumantri Brodjonegoro,Bambang Permadi Soemantri Brodjonegoro
Leonardus Benyamin Moerdani,Irene Ria Moerdani
D.I. Pandjaitan,"Catherine Pandjaitan"
D.I. Pandjaitan,"Masa Arestina"
D.I. Pandjaitan,"Ir (Ing) Salomo Pandjaitan"
D.I. Pandjaitan,"Letjen TNI (Purn.) Hotmangaraja Panjaitan"
D.I. Pandjaitan,"Tuthy Kamarati Pandjaitan"
D.I. Pandjaitan,Riri Budiasri Pandjaitan
Wismoyo Arismunandar,"Krisnawati Purwaningrum"
Wismoyo Arismunandar,Tegar Arsono Yudho
Paku Alam VIII,"Ir. GPH. H. Probokusumo"
Paku Alam VIII,"GBRAy. Retno Sundari"
Paku Alam VIII,"GBRAy. Retno Sewayani"
Paku Alam VIII,"GPH. Anglingkusumo"
Paku Alam VIII,"GPH. Songkokusumo"
Paku Alam VIII,"GBRAj. Retno Pudjawati"
Paku Alam VIII,"GPH. Ndoyokusumo"
Paku Alam VIII,"GPH. Wijoyokusumo"
Paku Alam VIII,"GPH. Ambarkusumo"
Paku Alam VIII,"GBRAy. Retno Martani"
Paku Alam VIII,"GPH. Gondhokusumo"
Paku Alam VIII,"GBRAy. Retno Suskamdani"
Paku Alam VIII,"GBRAy. Retno Rukmini"
Paku Alam VIII,"GPH. H. Tjondrokusumo"
Paku Alam VIII,"GBRAy. Hj. Retno Widanarni"
