article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
Zainal Basri Palaguna;1939-03-09;2019-10-02;Makassar, Sulawesi Selatan, Indonesia;;;;;;Nurmi Palaguna;;;;Enrekang, Celebes, Hindia Belanda;Mayor Jenderal TNI (Purn.) H. Zainal Basri Palaguna (9 Maret 1939 – 2 Oktober 2019) adalah Gubernur Sulawesi Selatan tahun 1993 hingga tahun 2003. Ia dilantik sebagai Gubernur Sulawesi Selatan menggantikan Ahmad Amiruddin.;https://id.wikipedia.org/wiki/Zainal_Basri_Palaguna;"Azmi Perkasa Alam Alhaj
Otteman III Mahmud Ma'amun
Mahmud Arya Lamanjiji";Zainal Basri Palaguna, Buku Pelengkap VI Pemilihan Umum 1982, p818.jpg
Gatot Soebroto;1907-10-10;1962-06-11;Jakarta, Indonesia;;;;;;;;;KNIL;Purwokerto, Banyumas, Hindia Belanda;Jenderal TNI Gatot Soebroto (10 Oktober 1907 – 11 Juni 1962) adalah tokoh perjuangan militer Indonesia dalam merebut kemerdekaan dan juga pahlawan nasional Indonesia. Ia dimakamkan di Ungaran, kabupaten Semarang.;https://id.wikipedia.org/wiki/Gatot_Soebroto;;Col Gatot Subroto, Kenang-Kenangan Pada Panglima Besar Letnan Djenderal Soedirman, p27.jpg
Soemitro;1927-01-13;1998-05-10;Jakarta;;;;;;;;;;Probolinggo, Jawa Timur;Jenderal TNI (Purn.) Soemitro Sastrodihardjo atau lebih dikenal dengan nama Soemitro (13 Januari 1927 – 10 Mei 1998) adalah seorang jenderal yang berpengaruh di masanya. Jabatan penting yang pernah dipegangnya adalah sebagai Wakil Panglima ABRI dan Pangkopkamtib. Ia sangat dikenal karena dalam masa kepemimpinannya meletus peristiwa Malari, yang mengakibatkan pengunduran dirinya dari militer.;https://id.wikipedia.org/wiki/Soemitro;;Soemitro, Riwayat Hidup Anggota-Anggota Majelis Permusyawaratan Rakyat Hasil Pemilihan Umum 1971, p1010.jpg
Soegih Arto;1923-12-22;2008-12-29;Jakarta, Indonesia;;;;;;;;Jaksa dan TNI;Hogere Kriegjschool;Yogyakarta, Hindia Belanda;Letnan Jenderal TNI (Purn.) Soegih Arto (22 Desember 1923 – 29 Desember 2008) adalah Jaksa Agung Republik Indonesia pada tahun 1966 - 1973. Sebelumnya menjabat sebagai Duta Besar RI untuk Singapura dari tahun 1961 hingga 1963. Setelah menjabat sebagai Jaksa Agung RI mengemban tugas sebagai  Dubes RI Luar Biasa dan Berkuasa Penuh di India periode 1974-1977. Pensiun dari Dinas Militer tahun 1979.;https://id.wikipedia.org/wiki/Soegih_Arto;;sugiharto.jpg
Sintong Panjaitan;1940-09-04;;;Kristen Protestan;;;Sintong Hamonangan Panjaitan;;Lentina Napitupulu;"Henry Dian Panjaitan
Ani Oranda Panjaitan";;Akademi Militer;Tarutung, Sumatera, Hindia Belanda;Letnan Jenderal TNI  (Purn.) Sintong Hamonangan Panjaitan atau biasa dirujuk Sintong Panjaitan (lahir 4 September 1940) adalah seorang purnawirawan TNI lulusan Akademi Militer (kini Akademi Militer) tahun 1963. Penasihat Militer Presiden BJ Habibie, Sesdalopbang (Sekretaris Pengendalian Operasional Pembangunan), Pangdam IX/Udayana, Danjen Kopassus. Ia menerima 20 perintah operasi/penugasan di dalam dan luar negeri selama karier militernya. Pencopotan jabatannya sebagai pangdam akibat Insiden Dili di pemakaman Santa Cruz, 11 November 1991 banyak dianggap sebagai awal dari kemunduran kariernya di bidang militer sebelum ia menjadi Purnawirawan dengan pangkat Letnan Jenderal.;https://id.wikipedia.org/wiki/Sintong_Panjaitan;;Danjen Kopassus Sintong Panjaitan.jpg
Suprapto Sukowati;1922-11-12;1972-08-09;Jakarta;;;;;;;;;;Sragen, Jawa Tengah;Mayor Jenderal TNI (Purn) Suprapto Sukowati (12 November 1922 – 9 Agustus 1972), adalah seorang tokoh pejuang kemerdekaan menentang pemerintahan Hindia Belanda di Jawa Timur. Sukowati adalah sosok yang sangat dihormati, setidaknya pada masa Orde Baru. Dia dikenang sebagai Ketua Umum Golkar kedua setelah Djuhartono.;https://id.wikipedia.org/wiki/Suprapto_Sukowati;;
Sujudi;1930-09-08;2007-06-23;Jakarta, Indonesia;Islam;;;;;;;Dokter;Universitas Indonesia;Bogor, Jawa Barat, Hindia Belanda;Prof. Dr. dr. Sujudi (8 September 1930 – 23 Juni 2007) adalah Menteri Kesehatan Indonesia dari 17 Maret 1993 hingga 16 Maret 1998.;https://id.wikipedia.org/wiki/Sujudi;;Sixth Development Cabinet Poster (Sujudi).jpg
W. A. F. J. Tumbelaka;1920-04-20;2012-09-11;Jakarta, Indonesia;;;;Willem Alexander Frederik Joseph Tumbelaka;;Concordia Sophia Lodola Mononutu;;;Universitas Indonesia;Rembang, Jawa Tengah, Hindia Belanda;Prof. Dr. dr. Willem Alexander Frederik Joseph Tumbelaka (24 April 1920 – 11 September 2012) adalah Guru Besar Ilmu Kedokteran Fakultas Kedokteran Universitas Indonesia (FK UI) yang mengambil program spesialisasi kedokteran anak di FK UI. Setelah itu, ia sempat belajar di Amsterdam (1955) dan Kanada (1962) serta pennah menjabat sebagai Dekan Fakultas Kedokteran Universitas Tarumanagara. Putera dari pasangan Alm. Isaac J Tumbelaka dan Almh. Margaretha Siwydan ini juga menjadi Presiden ASEAN Pediatric Federation dan Ketua Majelis Kehormatan Etika Kedokteran Ikatan Dokter Indonesia (MKEK IDI) pada 1981 dan tercatat sebagai Pahlawan Sulawesi Utara di bidang Pendidikan. Ia Menikah dengan Concordia Sophia Lodola Monohutu, kemanakan politisi kawakan Arnold Mononutu. Di samping si kembar yang lelaki, Tumbelaka dianugerahi pula seorang anak perempuan.Pada era kepemimpinan Prof. Dr. Nugroho Notosusanto (1982-1985), Prof. Tumbelaka menjabat sebagai Pembantu Rektor bidang Pendidikan dan Pengajaran, Penelitian, dan Pengabdian pada Masyarakat. Jabatan ini sama dengan jabatan Wakil Rektor I sekarang. Ia juga menjadi Pelaksana Harian Rektor pada saat Prof. Nugroho menjabat sebagai Menteri Pendidikan dan Kebudayaan di Kabinet Pembangunan IV (1983-1988) . Kesibukan Prof. Nugroho tidak memungkinkan dirinya untuk secara maksimal mengurus UI sehingga banyak pengerjaan tugas harian yang dibantu oleh Prof. Tumbelaka.;https://id.wikipedia.org/wiki/W._A._F._J._Tumbelaka;;
Pranoto Reksosamodra;1923-04-16;1992-06-09;Jakarta;Islam;;;;;;;;;Purworejo, Jawa Tengah;Mayor Jenderal TNI (Purn.) Pranoto Reksosamodra (16 April 1923 – 9 Juni 1992) adalah seorang tokoh militer Indonesia yang pernah menjadi Pangdam VII/Diponegoro menggantikan Kolonel Soeharto. Pada Masa Menteri/Panglima Angkatan Darat, Letnan Jenderal Ahmad Yani ia menjadi Asisten III bidang Personalia.;https://id.wikipedia.org/wiki/Pranoto_Reksosamodra;;Mayor Jenderal Pranoto Reksosamodra.png
Toyib Hadiwijaya;1919-05-12;2002-12-12;Bogor, Jawa Barat, Indonesia;Islam;;;;;;;Diplomat dan Politikus;"Institut Pertanian Bogor
Universitas Indonesia";Sukahurip, Cihaurbeuti, Ciamis, Jawa Barat, Indonesia;"Tojib Hadiwidjaja (EYD: Toyib Hadiwijaya; aksara Sunda: ᮒ᮪ᮠᮧᮚᮤᮘ᮪ ᮠᮓᮤᮝᮤᮓ᮪ᮏᮏ) (12 Mei 1919 – 12 Desember 2002) adalah Menteri Pertanian dalam Kabinet Pembangunan I dan Kabinet Pembangunan II dengan masa bakti mulai tahun 1968 hingga tahun 1978. Ia juga pernah menjabat sebagai Menteri Perkebunan pada tahun 1967 hingga tahun 1968 dan Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia pada tahun 1962 hingga 1964, selain itu ia juga pernah menjabat Duta Besar Indonesia untuk Luksemburg pada tahun 1965 hingga tahun 1966.";https://id.wikipedia.org/wiki/Toyib_Hadiwijaya;;Indonesia Ambassador to Belgium Tojib Hadiwidjaja.jpg
