article_title,spouse
Zainal Basri Palaguna,Nurmi Palaguna
Sintong Panjaitan,Lentina Napitupulu
W. A. F. J. Tumbelaka,Concordia Sophia Lodola Mononutu
Mohamad Suleman Hidayat,Nuraini Mahdiati
Chaerul Saleh,Yohana Siti Menara Saidah
Agung Firman Sampurna,Dian Anggraini
Slamet Kirbiantoro,Muchayisoh
Mochtar Kusumaatmadja,Siti Chadidjah
Mashudi,Yetty Rochyati
Widjojo Soejono,Siti Mastoechajah
Alamsyah Ratu Perwiranegara,Siti Maemunah
Ali Sadikin,Nani Sadikin
Ali Sadikin,Linda Syamsudi Mangan
Herman Deru,Febrita Lustia
Pahri Azhari,"Ir. Hj. Lucianty Pahri, S.E"
Amir Machmud,Siti Hadidjah
Amir Machmud,Shri Hardhani Sadat Siswojo
Aksa Mahmud,Ramlah Kalla
Edi Sudradjat,Lulu Lugiyati
Kahar Muzakir,Suci Rohani
Agus Hermanto,Istha Saraswati
Hartini,Dr. Soewondo
Hartini,Soekarno
Yogie Suardi Memet,Emmy Sariamah
Sabam Sirait,"dr. Sondang br. Sidabutar, M.M."
Widjojo Nitisastro,Siti Sudarsih
Xanana Gusmão,Emilia Batista
Xanana Gusmão,Kirsty Sword
Andi Muhammad Ghalib,Andi Murniati
Adnan Kapau Gani,Masturah Kapau Gani
Achmad Soebardjo,Raden Ayu Poedji Astuti Soebardjo
Witarmin,Suratmi
Ade Komarudin,Netty Marliza
Muammar Khadafi,Fatiha al-Nuri
Muammar Khadafi,Safia el-Brasai
Adhyatma,Siti Fatimah
Endang Agustini Syarwan,Syarwan Hamid
Soedharmono,Emma Norma
Surono Reksodimedjo,R.A.Y. Winarni Cokrosewoyo
Surono Reksodimedjo,R.A.Y. Sunarti Cokrosewoyo
Siti Hartinah,Soeharto
Soetedjo (akademisi),Soemini
Setiadi Reksoprodjo,Koes Soehartini
Satrio,Ny. R.A. Isbandiyah
Hadi Utomo,Mastuti Rahayu
Amir Murtono,Naniek Kusmani
Cosmas Batubara,R.A. Cypriana Hadiwijono
Suharnoko Harbani,Maemunah Supardi Suharnoko Harbani
Abdul Hakim Harahap,Mariana Lubis
Mohammad Syafa'at Mintaredja,Siti Romlah
Abdul Haris Nasution,Johanna Sunarti
Andi Sinjaya Ghalib,Marcella Savitri
Hario Jonosewojo,Roro Soerjasah Gondokoesoemo
Suyono Sosrodarsono,Astuti Suyono Sosrodarsono
Dorodjatun Kuntjoro-Jakti,Emiwaty
Bambang Utoyo,Siti Nuraini Asa'ari
Dave Laksono,Celina Alexandra Xavier
Frans Seda,Johanna Maria Pattinaja
Arief Patanga,Rahmah Malewa
Ahmad Yani,Bandiah Yayu Rulia Sutowiryo
Jatidjan,Soemaryo
Soemitro Djojohadikoesoemo,Dora Marie Sigar
Rano Karno,Nani Murwanti Soewanto
Rano Karno,Dewi Indriati
Syarwan Hamid,"Hj. Endang Agustini, S.I.P."
Omar Dhani,Sri Wuryanti
Moerdiono,Maryati
Moerdiono,Sundari Sukoco
Moerdiono,Machica Mochtar
Moerdiono,Poppy Dharsono
Hasjrul Harahap,Siti Aida Nasution
Irman Gusman,Liestyana Rizal Gusman
Ryamizard Ryacudu,Nora Tristyana
Sapardjo,Endang Suparti
Sofjan Wanandi,Riantini Wanandi
Soepardjo Rustam,Kardinah
Bandjela Paliudju,Hj. Kamsiyah
Sri Adiningsih,Kunta Setiaji
Hayono Isman,Poppy Puspitasari
Herman Bernhard Leopold Mantiri,Ongke Hanna Elia
Peter Cosgrove,"Lynne, Lady Cosgrove"
Ahmad Yunus Mokoginta,Koriyati Mokoginta
Kunto Arief Wibowo,"Indira Paramita, SP."
Adi Putra Darmawan Tahir,Rahmi Lestari
Soetardjo Soerjogoeritno,Sri Adiati
Boediardjo,Sri Redjeki
Feisal Tanjung,dr. Masrowida Lubis
Eddy Rumpoko,Dewanti Rumpoko
Aida Zulaika Nasution,Ismeth Abdullah
Latief Hendraningrat,Sophia
Lukita Dinarsyah Tuwo,Anita Kentjanawati
Kemal Idris,Herwinoer Bandriani Singgih
Sayuti Melik,S.K. Trimurti
Arie Jeffry Kumaat,"Dr. Maria Josephine Kumaat-Mantik, M.Hum"
Imanuel Ekadianus Blegur,Marselina Blegur Ratu
Johannes Leimena,Raden Tjitjih Wiyarsih Leimena Prawiradilaga
Bambang Subianto,Srie Wahyuni
Airlangga Hartarto,Yanti K. Isfandiary
Tuti Sutiawati,Try Sutrisno
Mohamad Hekal,Siti Salima Hardjuni
M. Sarbini,Salami binti R. Sastrowihardjo
J. B. Sumarlin,Theresia Yostiana Soedarmi
Nani Soedarsono,Soedarsono
Siti Hardijanti Rukmana,Indra Rukmana
Aburizal Bakrie,Hj. Tatty Murnitriati
Wahono,Mientarsih Syahbandar
Agum Gumelar,Linda Amalia Sari
Subroto,Trisnawati
Arifin Siregar,Adiati
Alexander Andries Maramis,Elizabeth Marie Diena Veldhoedt
Bambang Soesatyo,Lenny Sri Mulyani
Hasto Wardoyo,Dwikisworo Setyowireni
Muladi,"Hj. Nany Ratna Asmara, S.H."
Soerjadi (militer),Endang Waluyati Soerjadi
Soekarto,Maria Indrawati
Leonardus Benyamin Moerdani,Hartini Moerdani
D.I. Pandjaitan,Marieke br. Tambunan
Arnold Achmad Baramuli,Albertina Kaunang
Soedarsono Hadisapoetro,Sendang Lestari
Ishak Mekki,Tartila Ishak
Muhammad Alwi Dahlan,Erlita
Wismoyo Arismunandar,Siti Hardjanti
Sutopo Juwono,Sunarni Gondosaputro
Pramono Edhie Wibowo,Kiki Gayatri Soepono
Paku Alam VIII,KRAy. Ratnaningrum
Paku Alam VIII,KRAy. Purnamaningrum
Radius Prawiro,Leoni Supit
Abdul Latief (pengusaha),Nursyamsiah
Abdul Latief (pengusaha),Donna Louisa Maria
Theo L. Sambuaga,Erna Sambuaga
Haryono Suyono,Astuti Hasinah
B. M. Diah,Siti Latifah Herawati
Adrianus Mooy,Amelia Latuperissa Mooy
Fuad Bawazier,Soerjati
Ratu Emma Norma,Soedharmono
Endang Kusuma Inten Soeweno,Soeweno
S.K. Trimurti,Sayuti Melik
Lodewijk Freidrich Paulus,Meria Agustina
Soerjadi Soerjadarma,Utami
Robertus Sanyoto,Indri Robert
Hoegeng Iman Santoso,Meriyati Roeslani
Haryati Soebadio,Sunarto Soebadio
Ida Bagus Mantra,I Gusti Ayu Badri
Wiranto,Rugaiya Usman
Alex Asmasoebrata,Sofia Muri Mardiana
Sayidiman Suryohadiprojo,Sri Suharyati
Poniman,Ida Djubaedah
I Gusti Ketut Pudja,I Gusti Ayu Made Mirah
Rusli Halil,Syarwati
Ong Eng Die,Gertrud Wilhelmine Höhnerbach
Soesilo Soedarman,Widaningsri
Setya Novanto,Luciana Lily Herliyanti
Setya Novanto,"Deisti Astriani Tagor, S.H."
Yos Sudarso,Siti Kustini
Dodi Reza Alex Noerdin,Erini Muthia Yufada
Subiakto Tjakrawerdaya,Siti Milangoni
Nugroho Notosusanto,Irma Sawitri Ramelan
Bambang Trihatmodjo,Halimah Agustina Kamil
Bambang Trihatmodjo,Mayangsari
M. Jusuf,Elly Saelan
Rudini,Oddyana Rudini
R. Hartono,Oetari
Sugiyono (politikus),Egni Rumambi
Kaharuddin Nasution,R.A.Y. Siti Roestamy
Mooryati Soedibyo,Soedibyo Purbo Hadiningrat
Ali Moertopo,Wastoeti
Daoed Joesoef,Sri Sulastri
Himawan Soetanto,Nonon Ratnapuri
Azwar Anas,Djusmeini
José Abílio Osório Soares,Maria Correia de Lemos Osório Soares
Musannif Ryacudu,R.A. Zuharya
Marzuki Usman,Aswarni Busro
Ibnu Sutowo,Zaleha binti Sjafe'ie
Hasri Ainun Besari,Ahmad Notosastro
Hasri Ainun Besari,B. J. Habibie
Emanuel Melkiades Laka Lena,Mindriyati Astiningsih
Sari Yuliati,Arie Wiryawan
Kharis Suhud,Sri Sukardi
Maraden Panggabean,Meida Saimima Matiur br. Tambunan
Linda Amalia Sari,Agum Gumelar
Suhardiman,Sapartinah
Muin Pusadan,Ramlah Rauf
Iskandar Sitompul,Irryanthy
Mohammad Natsir,Nurnahar
Danang Hadiwibowo,Nori Chandrawati
Indroyono Soesilo,"Dr. Ir. Nining Sri Astuti, MA."
Gita Wirjawan,Yasmin Stamboel
Sudomo,Fransisca Play
Sudomo,Fransisca Diah Widhowaty
Sudomo,Aty Kusumawaty
Amien Rais,Kusnasriyati Sri Rahayu
Hartanto Edhie Wibowo,Setya Kumala Sari
Sophan Sophiaan,Widyawati
R. Soebijakto,Raharti Rachim Soebijakto
Burhanuddin Abdullah,Ike Juliawati
Jenny Shipley,Burton Shipley
Ginandjar Kartasasmita,Yultin Harlotina
Achmad Tahir,Rooslila Simanjuntak
Akbar Tanjung,Krisnina Maharani
A.M. Fatwa,Noenoeng Noerdjanah
Dewi Asmara,Permadi Soemarahatianto
Bob Hasan,Pertiwi Hasan
Bambang Soegeng,Sukemi
Bambang Soegeng,Istiyah
Mahfud MD,Zaizatun Nihajati
Harmoko,Sri Romadhiyati
Marzuki Alie,Asmawati
Soekardi,R.A. Soekarti
Soerjadi Soedirdja,Sri Soemarsih
Fatmawati,Soekarno
Sarwo Edhie Wibowo,Sunarti Sri Hadiyah
Filomeno Hornay,Maria I. Alice Assis
Siswondo Parman,Sumirahaju
Justika Baharsjah,Sjarifuddin Baharsjah
T.B. Simatupang,Sumarti Budiardjo
Soeweno,Endang Kusuma Inten Soeweno
Pontjo Sutowo,Darwina Sudarminingsih
Ali Wardhana,Rendasih binti Sulaeman Sukantabrata
Melanchton Siregar,Bertha Ramian br. Siburian
Mochamad Jasin,Siti Abesanti
Oesman Sapta Odang,Serviati Oesman
Eurico Guterres,Guida Giatris
Mohammad Sadli,Prof. Dr. Saparinah Sadli
Muchdi Purwoprandjono,Ny. Puji Astuti
Tommy Soeharto,Ardhia Pramesti Regita Cahyani
Hidayat Nur Wahid,Kastiyan Indriyati
Hidayat Nur Wahid,Diana Abbas Thalib
