article_title,honorific-prefix,name,honorific-suffix,image,smallimage,order,president,office,term_start,term_end,lieutenant,succeeding,predecessor,governor,successor,vicepresident,viceprimeminister,deputy,monarch,primeminister,taoiseach,chancellor,governor-general,order1,president1,office1,term_start1,term_end1,lieutenant1,succeeding1,predecessor1,governor1,successor1,vicepresident1,viceprimeminister1,deputy1,monarch1,primeminister1,taoiseach1,chancellor1,governor-general1,order2,office2,term_start2,term_end2,lieutenant2,succeeding2,predecessor2,president2,governor2,successor2,vicepresident2,viceprimeminister2,birthname,birth_date,birth_place,death_date,death_place,nationality,restingplace,restingplacecoordinates,party,otherparty,spouse,partner,relatives,children,parents,residence,alma_mater,occupation,allegiance,serviceyears,rank,branch,unit,battles,awards,laterwork,profession,signature,website,facebook,facebookpage,twitter,premier2,4namedata7,currentlyresides,honorific prefix,othername,relations,signature_size,order8,term_start3,term_start11,vicepresident6,primeminister6,predecessor7,term_label,office3,1namedata1,constituency1,order9,image_upright,networth,1blankname8,2,president11,2blankname7,body_discovered,military_data2,co-leader1,governor5,monuments,influences,criminal_charge,blank1,vicepresident5,education,Alma_mater,deathplace,parliamentarygroup,office5,term_end15,source,successor6,predecessor14,office6,military_blank4,alongside6,majority,constituency_MP4,notable,1blankname4,relation,alongside,vicepresident4,military_blank5,imagesi♫ze,term_start10,term_start5,placeofburial,filmfareawards,successor7,term_end11,1namedata7,termstart1,committees,portrayedby,imagesize,majority2,term_start6,module4,blank4,term_start12,resting_place_coordinates,termend1,constituency6,1,appointer2,birth_name,predecessor3,appointer,servicenumber,term_end8,order12,data5,monarch2,Commander4,president15,honorific_prefix,successor10,location,parliament3,1blankname1,deputy2,Term_start5,branch_label,order3,term_end9,president4,co-leader2,president8,predecessor15,Primeminister5,majority1,military_data1,parliamentarygroup1,parliament4,order4,successor12,succeeding4,native_name_lang,military_data3,president7,smallimage_alt,caption,predecessor6,alt,data1,commands,order5,successor11,term_end4,data4,3namedata7,1blankname6,governor3,year,alongside3,appointed,1blankname2,office14,4blankname7,term_end14,influenced,office12,predecessor11,profesion,military_data5,mother,mawards,1namedata6,battles_label,military_data4,years_active,office7,president6,constituency7,office4,date,term_start9,ambassador_from,command,predecessor9,parliamentarygroup2,2namedata7,1namedata5,successor9,term_end10,1namedata3,predecessor12,father,lieutenant8,1namedata2,prior_term,predecessor10,alongside5,term_start7,constituency8,term_end7,primeminister4,ethnicity,lieutenant3,successor13,military_blank2,family,majority3,deputy3,president9,data3,predecessor8,term_start15,deathdate,president5,death_cause,co-leader,order10,President5,native_name,religion,height,placeofburial_label,Succeeding5,office10,module2,1namedata8,citizenship,primeminister3,serviceyears_label,other_name,1blankname3,order14,president12,office11,term_end3,net_worth,governor_general,suboffice,constituency4,term_start8,resting_place,memorials,military_blank1,president3,salary,predecessor13,primeminister2,other_names,term_end13,honorific_suffix,nickname,constituency2,1namedata,successor3,blank3,criminal_penalty,3blankname7,subterm,1blankname7,placeofburial_coordinates,1blankname,blank5,constituency,constituency3,term_end6,term_end12,termstart3,module3,successor14,enteredservice,order7,primeminister5,order6,termstart2,term_start14,office9,successor4,vicepresident3,portfolio,constituency_MP3,image_size,module5,honorific suffix,successor8,lieutenant4,office8,predecessor5,term_label5,termend3,module,country,termend2,blank2,predecessor4,successor15,1blankname5,yearsactive,pronunciation,signature_alt,1namedata4,term_start13,state,term_start4,data2,office15,footnotes,rank_label,known_for,successor5,alongside2,succeeding5,succeeding3,term_end5,status,cabinet,Cicit,alongside4,military_blank3,summary,wikiurl,birth_date_cleaned,death_date_cleaned
Zainal Basri Palaguna,,Zainal Basri Palaguna,,"Zainal Basri Palaguna, Buku Pelengkap VI Pemilihan Umum 1982, p818.jpg",,ke-5,Soeharto  B. J. Habibie  Abdurrahman Wahid  Megawati Soekarnoputri,Gubernur Sulawesi Selatan,19 Januari 1993,19 Januari 2003,,,Ahmad Amiruddin,,Amin Syam,,,,,,,,,,,Panglima Komando Daerah Militer VII/Wirabuana,1991,1993,,,Mayjen TNI Rusmadi Siddik,,Mayjen TNI Sofian Effendi,,,,,,,,,ke-9,Bupati Pinrang,23 September 1986,22 November 1986,,,Musagani,Soeharto,Ahmad Amiruddin,U.S. Anwar,,,,1939 3 9,"Enrekang, Celebes, Hindia Belanda",2019 10 2 1939 3 9,"Makassar, Sulawesi Selatan, Indonesia",Indonesia,,,"PDI–Perjuanganhttps://www.rakyatsulsel.co/2014/01/27/ini-arti-palaguna-nama-zainal-basri-palaguna/ Ini Arti Palaguna, Nama Zainal Basri Palaguna 27 Januari 2014 5 April 2015 Awaluddin Jamal Rakyat Sulsel Online 2020-03-25 https://web.archive.org/web/20200325110534/https://www.rakyatsulsel.co/2014/01/27/ini-arti-palaguna-nama-zainal-basri-palaguna/ yes",,Nurmi Palaguna,,"Azmi Perkasa Alam Alhaj (besan)
 Otteman III Mahmud Ma'amun (menantu)
 Mahmud Arya Lamanjiji (cucu)",4,,,,,Indonesia,1962–1993,25px Mayor Jenderal TNI,25px TNI Angkatan Darat,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayor Jenderal TNI (Purn.) H. Zainal Basri Palaguna (9 Maret 1939 – 2 Oktober 2019) adalah Gubernur Sulawesi Selatan tahun 1993 hingga tahun 2003. Ia dilantik sebagai Gubernur Sulawesi Selatan menggantikan Ahmad Amiruddin.,https://id.wikipedia.org/wiki/Zainal_Basri_Palaguna,1939-03-09,2019-10-02
Gatot Soebroto,,Gatot Soebroto,,"Col Gatot Subroto, Kenang-Kenangan Pada Panglima Besar Letnan Djenderal Soedirman, p27.jpg",,Jabatan ke-2,,Wakil Kepala Staf TNI Angkatan Darat,1956,1962,,,Kolonel Inf Zulkifli Lubis,,Letjen TNI Maraden Panggabean,,,,,,,,,,,,,,,,,,,,,,,,,,,Jabatan ke-3,Polisi Militer Angkatan Darat Indonesia,1948,1949,,,Marsekal TNI Soerjadi Soerjadarma,,,Kolonel CPM A.Y. Mokoginta,,,,1907 10 10,"Purwokerto, Banyumas, Hindia Belanda",1962 6 11 1907 10 10,"Jakarta, Indonesia",,,,IPKI,,,,,,,,KNIL,"Wakil Kepala Staff Angkatan Darat (1953) Panglima Tentara & Teritorium (T & T) IV Diponegoro Semarang Gubernur Militer Daerah Surakarta dan sekitarnya (1945—1950) Panglima Corps. Polisi Militer (1945—1950) Panglima Divisi II (1945—1950) Komandan Batalyon Komandan Kompi, Sumpyuh, Banyumas Anggota KNIL (Tentara Hindia Belanda)
 Pegawai pemerintah",Hindia Belanda (1925–1942) Kekaisaran Jepang (1943–1945) Indonesia (1945–1962),1925–1962,25px|  Jenderal TNI,25px TNI Angkatan Darat,Infanteri,"Revolusi Nasional Indonesia
Pertempuran Ambarawa
Serangan Umum Surakarta","Pahlawan Kemerdekaan Nasional note gatot Pada tahun 1962, Soebroto dinobatkan sebagai Pahlawan Kemerdekaan Nasional menurut SK Presiden RI No.222 tanggal 18 Juni 1962.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Europeesche Lagere School (ELS) Hollandsch-Inlandsche School (HIS) Sekolah Militer, Magelang (1923) Pendidikan Tentara Pembela Tanah Air (Peta) Tentara Keamanan Rakyat (TKR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Komandan Pusat Polisi Militer TNI Angkatan Darat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gatot Soebroto saat berpangkat kolonel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahlawan Nasional,,,,,,,,,,,"Jenderal TNI Gatot Soebroto (10 Oktober 1907 – 11 Juni 1962) adalah tokoh perjuangan militer Indonesia dalam merebut kemerdekaan dan juga pahlawan nasional Indonesia. Ia dimakamkan di Ungaran, kabupaten Semarang.",https://id.wikipedia.org/wiki/Gatot_Soebroto,1907-10-10,1962-06-11
Soemitro,,Soemitro,,"Soemitro, Riwayat Hidup Anggota-Anggota Majelis Permusyawaratan Rakyat Hasil Pemilihan Umum 1971, p1010.jpg",,ke–3,Soeharto,Wakil Panglima Tentara Nasional IndonesiaWakil Panglima Angkatan Bersenjata Republik Indonesia,9 September 1971,2 Maret 1974,,,Maraden Panggabean,,Surono Reksodimedjo,,,,,,,,,ke-3,Soeharto,Komando Operasi Pemulihan Keamanan dan Ketertiban Panglima Komando Keamanan dan Ketertiban,9 September 1971,2 Maret 1974,,,Maraden Panggabean,,Jenderal TNI (Purn.) Soeharto,Hamengkubuwono IX,,,,,,,,,,,,,,,,,,,,,1927 1 13,"Probolinggo, Jawa Timur",1998 5 10 1927 1 13,Jakarta,,,,,,,,,,,,,Tentara,Kekaisaran Jepang (1943—1945) Indonesia (1945—1974),1943—1974,25px|  Jenderal TNI,Flag of PETA (Pembela Tanah Air).svg PETA (1943—1945) Flag of the Indonesian Army.svg TNI Angkatan Darat (1945—1974),,Revolusi Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenderal Soemitro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SoehartoMaraden Panggabean,,,,,,,,Panglima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jenderal TNI (Purn.) Soemitro Sastrodihardjo atau lebih dikenal dengan nama Soemitro (13 Januari 1927 – 10 Mei 1998) adalah seorang jenderal yang berpengaruh di masanya. Jabatan penting yang pernah dipegangnya adalah sebagai Wakil Panglima ABRI dan Pangkopkamtib. Ia sangat dikenal karena dalam masa kepemimpinannya meletus peristiwa Malari, yang mengakibatkan pengunduran dirinya dari militer.",https://id.wikipedia.org/wiki/Soemitro,1927-01-13,1998-05-10
Soegih Arto,,,,sugiharto.jpg,,,,Jaksa Agung Republik Indonesia Ke-8,1966,1973,,,Agustinus Sutardhio,,Ali Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923 12 22,"Yogyakarta, Hindia Belanda",2008 12 29 1923 12 22,"Jakarta, Indonesia",,,,,,,,,,,,Hogere Kriegjschool (1952),,,1945 - 1979,25px Letnan Jenderal TNI,25px TNI Angkatan Darat,Infanteri,Revolusi Nasional Indonesia,,,"Jaksa, TNI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batalyon 22 / Djaja Pangerot   Resimen Infanteri 11 T&T III / Siliwangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta Selatan, DKI Jakarta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letnan Jenderal TNI (Purn.) Soegih Arto (22 Desember 1923 – 29 Desember 2008) adalah Jaksa Agung Republik Indonesia pada tahun 1966 - 1973. Sebelumnya menjabat sebagai Duta Besar RI untuk Singapura dari tahun 1961 hingga 1963. Setelah menjabat sebagai Jaksa Agung RI mengemban tugas sebagai  Dubes RI Luar Biasa dan Berkuasa Penuh di India periode 1974-1977. Pensiun dari Dinas Militer tahun 1979.,https://id.wikipedia.org/wiki/Soegih_Arto,1923-12-22,2008-12-29
Sintong Panjaitan,,Sintong Panjaitan,,Danjen Kopassus Sintong Panjaitan.jpg,,,,,,,,,,,,,,,,,,,,,,Panglima Komando Daerah Militer IX/Udayana ke-13,12 Agustus 1988,1 Januari 1992,,,Djoko Pramono,,HBL Mantiri,,,,,,,,,ke-10,Komandan Jenderal Komando Pasukan Khusus,Mei 1985,Agustus 1987,,,Wismoyo Arismunandar,,,Kuntara,,,,1940 9 4,"Tarutung, Sumatera, Hindia Belanda",,,Indonesia,,,,,Lentina Napitupulu,,,Henry Dian Panjaitan Ani Oranda Panjaitan,,Jakarta,Akademi Militer Nasional (1963),TNI (Purnawirawan),Indonesia,1963—1991,25px|  Letnan Jenderal TNI (Kehormatan),25px TNI Angkatan Darat,Infanteri (Kopassus),Operasi DwikoraOperasi Seroja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sintong Hamonangan Panjaitan,,,19294Kementerian Sekretariat Negara RI 2018  107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sintong Panjaitan, 1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristen Protestan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letnan Jenderal TNI  (Purn.) Sintong Hamonangan Panjaitan atau biasa dirujuk Sintong Panjaitan (lahir 4 September 1940) adalah seorang purnawirawan TNI lulusan Akademi Militer Nasional (kini Akademi Militer) tahun 1963. Penasihat Militer Presiden BJ Habibie, Sesdalopbang (Sekretaris Pengendalian Operasional Pembangunan), Pangdam IX/Udayana, Danjen Kopassus. Ia menerima 20 perintah operasi/penugasan di dalam dan luar negeri selama karier militernya. Pencopotan jabatannya sebagai pangdam akibat Insiden Dili di pemakaman Santa Cruz, 11 November 1991 banyak dianggap sebagai awal dari kemunduran kariernya di bidang militer sebelum ia menjadi Purnawirawan dengan pangkat Letnan Jenderal.",https://id.wikipedia.org/wiki/Sintong_Panjaitan,1940-09-04,
Suprapto Sukowati,,Suprapto Sukowati,,,,ke-2,,Ketua Umum Partai Golkar,7 November 1967,9 Agustus 1972,,,Djuhartono,,Amir Murtono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922 11 12,"Sragen, Jawa Tengah",1972 8 9 1922 11 12,Jakarta,,,,Partai Golongan Karya,,,,,,,,,,Kekaisaran Jepang (1943—1945) Indonesia (1945—1968),1943—1968,25px Mayor Jenderal TNI,25px TNI Angkatan Darat,,Revolusi Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor Jenderal TNI (Purn) Suprapto Sukowati (12 November 1922 – 9 Agustus 1972), adalah seorang tokoh pejuang kemerdekaan menentang pemerintahan Hindia Belanda di Jawa Timur. Sukowati adalah sosok yang sangat dihormati, setidaknya pada masa Orde Baru. Dia dikenang sebagai Ketua Umum Golkar kedua setelah Djuhartono.",https://id.wikipedia.org/wiki/Suprapto_Sukowati,1922-11-12,1972-08-09
Sujudi,,,,Sixth Development Cabinet Poster (Sujudi).jpg,,ke-12,Soeharto,Menteri Kesehatan Indonesia,17 Maret 1993,16 Maret 1998,,,Adhyatma,,Farid Anfasa Moeloek,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-9,Rektor Universitas Indonesia,15 Januari 1986,22 Januari 1994,,,W. A. F. J. Tumbelaka<small>(Sebagai Pejabat Rektor),,,Muhammad Kamil Tadjudin,,,,1930 9 8,"Bogor, Jawa Barat, Hindia Belanda",2007 6 23 1930 9 8 y,"Jakarta, Indonesia",Indonesia,,,,,,,,,,,Universitas Indonesia,,,,,,,,,,Dokter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. dr. Sujudi (8 September 1930 – 23 Juni 2007) adalah Menteri Kesehatan Indonesia dari 17 Maret 1993 hingga 16 Maret 1998.,https://id.wikipedia.org/wiki/Sujudi,1930-09-08,2007-06-23
W. A. F. J. Tumbelaka,Prof. Dr. dr.,,,,,,,Rektor Universitas IndonesiaPejabat,3 Juli 1985,15 Januari 1986,,,Nugroho Notosusanto,,Sujudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 4 20 y,"Rembang, Jawa Tengah, Hindia Belanda",2012 9 11 1920 4 20 y,"Jakarta, Indonesia",Indonesia,,,,,Concordia Sophia Lodola Mononutu,,,3,,,Universitas Indonesia,DokterAkademisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willem Alexander Frederik Joseph Tumbelaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prof. Dr. dr. Willem Alexander Frederik Joseph Tumbelaka (24 April 1920 – 11 September 2012) adalah Guru Besar Ilmu Kedokteran Fakultas Kedokteran Universitas Indonesia (FK UI) yang mengambil program spesialisasi kedokteran anak di FK UI. Setelah itu, ia sempat belajar di Amsterdam (1955) dan Kanada (1962) serta pennah menjabat sebagai Dekan Fakultas Kedokteran Universitas Tarumanagara. Putera dari pasangan Alm. Isaac J Tumbelaka dan Almh. Margaretha Siwydan ini juga menjadi Presiden ASEAN Pediatric Federation dan Ketua Majelis Kehormatan Etika Kedokteran Ikatan Dokter Indonesia (MKEK IDI) pada 1981 dan tercatat sebagai Pahlawan Sulawesi Utara di bidang Pendidikan. Ia Menikah dengan Concordia Sophia Lodola Monohutu, kemanakan politisi kawakan Arnold Mononutu. Di samping si kembar yang lelaki, Tumbelaka dianugerahi pula seorang anak perempuan.Pada era kepemimpinan Prof. Dr. Nugroho Notosusanto (1982-1985), Prof. Tumbelaka menjabat sebagai Pembantu Rektor bidang Pendidikan dan Pengajaran, Penelitian, dan Pengabdian pada Masyarakat. Jabatan ini sama dengan jabatan Wakil Rektor I sekarang. Ia juga menjadi Pelaksana Harian Rektor pada saat Prof. Nugroho menjabat sebagai Menteri Pendidikan dan Kebudayaan di Kabinet Pembangunan IV (1983-1988) . Kesibukan Prof. Nugroho tidak memungkinkan dirinya untuk secara maksimal mengurus UI sehingga banyak pengerjaan tugas harian yang dibantu oleh Prof. Tumbelaka.",https://id.wikipedia.org/wiki/W._A._F._J._Tumbelaka,1920-04-20,2012-09-11
Pranoto Reksosamodra,,,,Mayor Jenderal Pranoto Reksosamodra.png,,,Soekarno,Menteri/Panglima Angkatan DaratPelaksana Tugas Harian,2 Oktober 1965,14 Oktober 1965,,,Ahmad Yani,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923 4 16,"Purworejo, Jawa Tengah",1992 6 9 1923 4 16,Jakarta,,,,,,,,,,,,,,Kekaisaran Jepang (1943—1945) Indonesia (1945—1966),1943—1966,25px Mayor Jenderal TNI,Flag of PETA (Pembela Tanah Air).svg PETA (1943—1945) Flag of the Indonesian Army.svg TNI Angkatan Darat (1945—1966),Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,10865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor Jenderal TNI (Purn.) Pranoto Reksosamodra (16 April 1923 – 9 Juni 1992) adalah seorang tokoh militer Indonesia yang pernah menjadi Pangdam VII/Diponegoro menggantikan Kolonel Soeharto. Pada Masa Menteri/Panglima Angkatan Darat, Letnan Jenderal Ahmad Yani ia menjadi Asisten III bidang Personalia.",https://id.wikipedia.org/wiki/Pranoto_Reksosamodra,1923-04-16,1992-06-09
Toyib Hadiwijaya,Prof. Dr. Ir. H.,,,Indonesia Ambassador to Belgium Tojib Hadiwidjaja.jpg,,ke-16,Soeharto,Menteri Pertanian Indonesia,6 Juni 1968,29 Maret 1978,,,Sutjipto,,Soedarsono Hadisapoetro,,,,,,,,,,Soeharto,Menteri Perkebunan Indonesia ke-3,14 Oktober 1967,6 Juni 1968,,,Sutjipto,,Tidak Ada,,,,,,,,,ke-5,Duta Besar Indonesia untuk Belgia,1964,1966,,,Laili Roesad,Soekarno,,Aboeprajitno,,,,1919 5 12,"Sukahurip, Cihaurbeuti, Ciamis, Jawa Barat, Indonesia",2002 12 12 1919 5 12,"Bogor, Jawa Barat, Indonesia",Indonesia,,,Independen,,,,,,,,Institut Pertanian BogorUniversitas Indonesia,Pakar Pertanian,,,,,,,,,Diplomat Politikus,,,,,,,,,,,,,,6 Maret 1962,,,,,,Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iwa Kusumasumantri,,,,,,,,,,,,,,,,,ke-2,,,,,,,,,,,,,,,,,,Potret sebagai Duta Besar Indonesia untuk Belgia (1964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ᮒ᮪ᮠᮧᮚᮤᮘ᮪ ᮠᮓᮤᮝᮤᮓ᮪ᮏᮏ,Islam,,,,,,,,,,,,,,,27 Agustus 1964,,,,,,,,,Soekarno,,,,,,,,,,Syarief Thayeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tojib Hadiwidjaja (EYD: Toyib Hadiwijaya; aksara Sunda: ᮒ᮪ᮠᮧᮚᮤᮘ᮪ ᮠᮓᮤᮝᮤᮓ᮪ᮏᮏ) (12 Mei 1919 – 12 Desember 2002) adalah Menteri Pertanian dalam Kabinet Pembangunan I dan Kabinet Pembangunan II dengan masa bakti mulai tahun 1968 hingga tahun 1978. Ia juga pernah menjabat sebagai Menteri Perkebunan pada tahun 1967 hingga tahun 1968 dan Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia pada tahun 1962 hingga 1964, selain itu ia juga pernah menjabat Duta Besar Indonesia untuk Luksemburg pada tahun 1965 hingga tahun 1966.",https://id.wikipedia.org/wiki/Toyib_Hadiwijaya,1919-05-12,2002-12-12
