key,combatant2

Pendudukan Indonesia di Timor Timur,Timor Leste

Pendudukan Indonesia di Timor Timur,FRETILIN

Pendudukan Indonesia di Timor Timur,Falintil

Pendudukan Indonesia di Timor Timur,CNRM

Pendudukan Indonesia di Timor Timur,UDT

Pendudukan Indonesia di Timor Timur,Amerika Serikat

Pendudukan Indonesia di Timor Timur,Australia

Pendudukan Indonesia di Timor Timur,Britania Raya

Pendudukan Indonesia di Timor Timur,Filipina

Pendudukan Indonesia di Timor Timur,Jepang

Pendudukan Indonesia di Timor Timur,Kanada

Pendudukan Indonesia di Timor Timur,Korea Selatan

Pendudukan Indonesia di Timor Timur,Libya

Pendudukan Indonesia di Timor Timur,Malaysia

Pendudukan Indonesia di Timor Timur,Mozambik

Pendudukan Indonesia di Timor Timur,Portugal

Pendudukan Indonesia di Timor Timur,Uni Soviet

Pendudukan Indonesia di Timor Timur,Rusia

Pendudukan Indonesia di Timor Timur,Thailand

Pendudukan Indonesia di Timor Timur,Tiongkok

Pemberontakan di Aceh,Gerakan Aceh Merdeka

Pemberontakan di Aceh,Libyan Arab Jamahiriya

Peristiwa Arfai,Republik Papua Barat

Kerusuhan Sambas,Suku Madura

Krisis Timor Timur 1999,Milisi pro-Indonesia

Krisis Timor Timur 1999,Aitarak

Krisis Timor Timur 1999,Besi Merah Putih

Krisis Timor Timur 1999,Garda Muda Penegak Integrasi

Krisis Timor Timur 1999,Laksaur

Krisis Timor Timur 1999,Mahidi

Krisis Timor Timur 1999,Kopassus

Krisis Timor Timur 1999,BIN

Krisis Timor Timur 1999,Lobi Jakarta

Operasi Trikora,Belanda

Operasi Trikora,Nugini Belanda

Pertempuran Laut Aru,Belanda

Kerusuhan Poso,Jemaah Islamiyah

Kerusuhan Poso,Mujahidin KOMPAK

Kerusuhan Poso,Laskar Jihad

Krisis sandera Mapenduma,Republik Papua Barat

Konflik Papua,Organisasi Papua Merdeka

Konflik Papua,Libya

Konflik Papua,Vanuatu

Konflik Papua,Palau

Konflik Papua,Tuvalu

Konflik Papua,Kepulauan Solomon

Konflik Papua,Nauru

Konflik Papua,Samoa

Konflik Papua,Tonga

Serangan ke Limbang,Tentara Nasional Kalimantan Utara

Pendaratan di Labis,Indonesia

Operasi Jayapura 1976,Republik Papua Barat

Invasi Indonesia ke Timor Timur,Timor Leste

Invasi Indonesia ke Timor Timur,FRETILIN

Invasi Indonesia ke Timor Timur,FALINTIL

Invasi Indonesia ke Timor Timur,Kuba

Invasi Indonesia ke Timor Timur,Mozambik

Invasi Indonesia ke Timor Timur,Swedia

Invasi Indonesia ke Timor Timur,Tiongkok

Invasi Indonesia ke Timor Timur,Uni Soviet

Operasi militer Indonesia di Aceh 1990-1998,Gerakan Aceh Merdeka

Operasi militer Indonesia di Aceh 1990-1998,Tentara Nasional Aceh (TNA)

Operasi militer Indonesia di Aceh 1990-1998,Laskar Inöng Balè

Konfrontasi Indonesia–Malaysia,Indonesia

Konfrontasi Indonesia–Malaysia,PKI

Konfrontasi Indonesia–Malaysia,PKKU

Konfrontasi Indonesia–Malaysia,PRB

Konfrontasi Indonesia–Malaysia,Tiongkok

Konfrontasi Indonesia–Malaysia,Filipina

Konfrontasi Indonesia–Malaysia,Uni Soviet

Konfrontasi Indonesia–Malaysia,Vietnam Utara

