key,commander1

Pendudukan Indonesia atas Timor Timur,Soeharto

Pendudukan Indonesia atas Timor Timur,B. J. Habibie

Pendudukan Indonesia atas Timor Timur,Maraden Panggabean

Pendudukan Indonesia atas Timor Timur,Muhammad Jusuf

Pendudukan Indonesia atas Timor Timur,L. B. Murdani

Pendudukan Indonesia atas Timor Timur,Dading Kalbuadi

Pendudukan Indonesia atas Timor Timur,Try Sutrisno

Pendudukan Indonesia atas Timor Timur,Edi Sudradjat

Pendudukan Indonesia atas Timor Timur,Feisal Tanjung

Pendudukan Indonesia atas Timor Timur,Wiranto

Pendudukan Indonesia atas Timor Timur,Prabowo Subianto

Pendudukan Indonesia atas Timor Timur,José Abílio Osório Soares

Pendudukan Indonesia atas Timor Timur,Eurico Guterres

Pemberontakan di Aceh,Soeharto

Pemberontakan di Aceh,B. J. Habibie

Pemberontakan di Aceh,Abdurahman Wahid

Pemberontakan di Aceh,Megawati

Pemberontakan di Aceh,Susilo Yudhoyono

Pemberontakan di Aceh,Try Sutrisno

Pemberontakan di Aceh,Endriartono Sutarto

Pemberontakan di Aceh,Sutiyoso

Pemberontakan di Aceh,Bambang Darmono

Pertempuran Sungei Koemba,William Broderick

Pertempuran Sungei Koemba,Ivor Hodgkinson

Krisis Timor Timur 1999,John Howard

Krisis Timor Timur 1999,Peter Cosgrove

Krisis Timor Timur 1999,Jenny Shipley

Krisis Timor Timur 1999,Helen Clark

Krisis Timor Timur 1999,Carey Adamson

Krisis Timor Timur 1999,Sérgio Vieira de Mello

Krisis Timor Timur 1999,Brigjen. Paulo Pereira Guerreiro

Operasi Trikora,Soekarno

Operasi Trikora,Soerjadi Soerjadarma

Operasi Trikora,Abdul Haris Nasution

Operasi Trikora,Ahmad Yani

Operasi Trikora,Soeharto

Operasi Trikora,Omar Dhani

Operasi Trikora,Eddy Martadinata

Operasi Trikora,Yos Sudarso

Operasi Trikora,Leonardus Benyamin Moerdani

Pertempuran Laut Aru,Komodor Yos Sudarso

Pertempuran Laut Aru,Kolonel Sudomo

Pertempuran Laut Aru,Kapten Wiratno

Pertempuran Laut Aru,Kapten Tjiptadi

Pertempuran Laut Aru,Kapten Memet Sastrawiria

Kerusuhan Poso,Abdurrahman Wahid

Kerusuhan Poso,Susilo Bambang Yudhoyono

Kerusuhan Poso,Jusuf Kalla

Kerusuhan Poso,Pemerintah Provinsi

Kerusuhan Poso,Bandjela Paliudju

Kerusuhan Poso,Aminuddin Ponulele

Kerusuhan Poso,Slamet Kirbiantoro

Kerusuhan Poso,Zainal Abidin Ishak

Kerusuhan Poso,Arief Patanga

Kerusuhan Poso,Muin Pusadan

Kerusuhan Poso,Deddy Woeryantono

Kerusuhan Poso,Djasman Baso Opu

Krisis sandera Mapenduma,Prabowo Subianto

Konflik Papua,Joko Widodo

Konflik Papua,Ma'ruf Amin

Konflik Papua,Prabowo Subianto

Konflik Papua,Agus Subiyanto

Konflik Papua,Listyo Sigit Prabowo

Konflik Papua,Budi Gunawan

Konflik Papua,Suharto

Konflik Papua,Leonardus Benyamin Moerdani

Konflik Papua,Wiranto

Konflik Papua,Try Sutrisno

Konflik Papua,B. J. Habibie

Konflik Papua,Abdurrahman Wahid

Konflik Papua,Megawati Sukarnoputri

Konflik Papua,Susilo Bambang Yudhoyono

Konflik Papua,Andika Perkasa

Serangan ke Limbang,Jeremy Moore

Invasi Indonesia ke Timor Timur,Soeharto

Invasi Indonesia ke Timor Timur,Maraden Panggabean

Invasi Indonesia ke Timor Timur,Widjojo Soejono

Invasi Indonesia ke Timor Timur,L. B. Moerdani

Invasi Indonesia ke Timor Timur,Dading Kalbuadi

Invasi Indonesia ke Timor Timur,Wiranto

Invasi Indonesia ke Timor Timur,José Abílio Osório Soares

Operasi militer Indonesia di Aceh 1990-1998,Soeharto

Operasi militer Indonesia di Aceh 1990-1998,Try Sutrisno

Operasi militer Indonesia di Aceh 1990-1998,Sutiyoso

Konfrontasi Indonesia–Malaysia,Tuanku Syed Putra

Konfrontasi Indonesia–Malaysia,Ismail Nasiruddin

Konfrontasi Indonesia–Malaysia,Tunku Abdul Rahman

Konfrontasi Indonesia–Malaysia,Abdul Razak Hussein

Konfrontasi Indonesia–Malaysia,Tunku Osman

Konfrontasi Indonesia–Malaysia,Mustapha Harun

Konfrontasi Indonesia–Malaysia,S. K. Ningkan

Konfrontasi Indonesia–Malaysia,Yusof Ishak

Konfrontasi Indonesia–Malaysia,Lee Kuan Yew

Konfrontasi Indonesia–Malaysia,Harold Macmillan

Konfrontasi Indonesia–Malaysia,Alec Douglas-Home

Konfrontasi Indonesia–Malaysia,Harold Wilson

Konfrontasi Indonesia–Malaysia,Rodney Moore

Konfrontasi Indonesia–Malaysia,Walter Walker

