key,start-date,end-date

Pendudukan Indonesia di Timor Timur,1975-12-07,1999-10-31

Pemberontakan di Aceh (1976–2005),1976-12-04,2005-08-15

Peristiwa Arfai,1965-07-28,1965-07-28

Kerusuhan Sambas,1970-01-01,1999-12-31

Pertempuran Sungei Koemba,1965-05-27,1965-06-12

Krisis Timor Timur 1999,1999-04-01,2005-01-01

Operasi Trikora,1961-12-19,1962-08-15

Gerakan 30 September,1965-09-30,1965-30-01

Pertempuran Laut Aru,1962-01-15,1962-01-15

Kerusuhan Poso,1998-12-25,2001-12-20

Krisis sandera Mapenduma,1996-01-08,1996-05-09

Konflik Papua,1962-10-01,2024-01-01

Serangan ke Limbang,1962-12-12,1962-12-12

Pendaratan di Labis,1964-09-01,1964-10-31

Operasi Jayapura 1976,1976-01-01,1976-02-29

Invasi Indonesia ke Timor Timur,1975-12-07,1976-07-17

Operasi militer Indonesia di Aceh 1990-1998,1990-01-01,1998-08-22

Konfrontasi Indonesia–Malaysia,1963-01-20,1966-08-11

