article_title,combatant
Kerusuhan Poso,TNI
Kerusuhan Poso,POLRI
Kerusuhan Poso,Kodam Wirabuana
Kerusuhan Poso,Korem 132 Tadulako
Kerusuhan Poso,Polda Sulawesi Tengah
Kerusuhan Poso,Batalyon Infanteri 711
Kerusuhan Poso,Polres Poso
Krisis sandera Mapenduma,Indonesia
Kerusuhan Sambas,Suku Melayu
Kerusuhan Sambas,Suku Dayak
Pemberontakan di Aceh,Indonesia
Pemberontakan di Aceh,Amerika Serikat
Operasi Trisula,Indonesia
Operasi Trisula,TNI
Operasi Trisula,Polri
Operasi Trisula,Brimob
Krisis Timor Timur 1999,Timor Leste
Krisis Timor Timur 1999,INTERFET
Krisis Timor Timur 1999,UNTAET
Krisis Timor Timur 1999,Australia
Krisis Timor Timur 1999,Selandia Baru
Krisis Timor Timur 1999,Thailand
Krisis Timor Timur 1999,Amerika Serikat
Krisis Timor Timur 1999,Argentina
Krisis Timor Timur 1999,Austria
Krisis Timor Timur 1999,Bangladesh
Krisis Timor Timur 1999,Benin
Krisis Timor Timur 1999,Bolivia
Krisis Timor Timur 1999,Bosnia dan Herzegovina
Krisis Timor Timur 1999,Brasil
Krisis Timor Timur 1999,Britania Raya
Krisis Timor Timur 1999,Bulgaria
Krisis Timor Timur 1999,Chili
Krisis Timor Timur 1999,Denmark
Krisis Timor Timur 1999,Fiji
Krisis Timor Timur 1999,Filipina
Krisis Timor Timur 1999,Gambia
Krisis Timor Timur 1999,Ghana
Krisis Timor Timur 1999,Irlandia
Krisis Timor Timur 1999,Israel
Krisis Timor Timur 1999,Italia
Krisis Timor Timur 1999,Jepang
Krisis Timor Timur 1999,Jerman
Krisis Timor Timur 1999,Kanada
Krisis Timor Timur 1999,Kenya
Krisis Timor Timur 1999,Korea Selatan
Krisis Timor Timur 1999,Kroasia
Krisis Timor Timur 1999,Malaysia
Krisis Timor Timur 1999,Meksiko
Krisis Timor Timur 1999,Mesir
Krisis Timor Timur 1999,Mozambik
Krisis Timor Timur 1999,Namibia
Krisis Timor Timur 1999,Nepal
Krisis Timor Timur 1999,Niger
Krisis Timor Timur 1999,Nigeria
Krisis Timor Timur 1999,Norway
Krisis Timor Timur 1999,Pakistan
Krisis Timor Timur 1999,Peru
Krisis Timor Timur 1999,Portugal
Krisis Timor Timur 1999,Prancis
Krisis Timor Timur 1999,Rusia
Krisis Timor Timur 1999,Samoa
Krisis Timor Timur 1999,Senegal
Krisis Timor Timur 1999,Serbia dan Montenegro
Krisis Timor Timur 1999,Singapura
Krisis Timor Timur 1999,Slowakia
Krisis Timor Timur 1999,Slovenia
Krisis Timor Timur 1999,Spanyol
Krisis Timor Timur 1999,Sri Lanka
Krisis Timor Timur 1999,Swedia
Krisis Timor Timur 1999,Tajikistan
Krisis Timor Timur 1999,Tiongkok
Krisis Timor Timur 1999,Turki
Krisis Timor Timur 1999,Ukraina
Krisis Timor Timur 1999,Uruguay
Krisis Timor Timur 1999,Yordania
Krisis Timor Timur 1999,Vanuatu
Krisis Timor Timur 1999,Zambia
Krisis Timor Timur 1999,Zimbabwe
Operasi militer Indonesia di Aceh 1990-1998,Indonesia
Operasi militer Indonesia di Aceh 1990-1998,Angkatan Bersenjata Republik Indonesia (ABRI)
Operasi militer Indonesia di Aceh 1990-1998,Amerika Serikat
Pendudukan Indonesia atas Timor Timur,Indonesia
Pendudukan Indonesia atas Timor Timur,Timor Timur
Pendudukan Indonesia atas Timor Timur,Amerika Serikat
Pendudukan Indonesia atas Timor Timur,Australia
Pendudukan Indonesia atas Timor Timur,Britania Raya
Pendudukan Indonesia atas Timor Timur,Kanada
Pendudukan Indonesia atas Timor Timur,Jepang
Pendudukan Indonesia atas Timor Timur,Malaysia
Konfrontasi Indonesia-Malaysia,Persemakmuran Bangsa-Bangsa
Konfrontasi Indonesia-Malaysia,Malaysia
Konfrontasi Indonesia-Malaysia,Singapura
Konfrontasi Indonesia-Malaysia,Britania Raya
Konfrontasi Indonesia-Malaysia,Australia
Konfrontasi Indonesia-Malaysia,Selandia Baru
Konfrontasi Indonesia-Malaysia,Brunei
Konfrontasi Indonesia-Malaysia,Kanada
Konfrontasi Indonesia-Malaysia,Amerika Serikat
Invasi Indonesia ke Timor Timur,Indonesia
Invasi Indonesia ke Timor Timur,ABRI
Invasi Indonesia ke Timor Timur,PSTT
Invasi Indonesia ke Timor Timur,UDT
Invasi Indonesia ke Timor Timur,APODETI
Invasi Indonesia ke Timor Timur,Amerika Serikat
Invasi Indonesia ke Timor Timur,Arab Saudi
Invasi Indonesia ke Timor Timur,Australia
Invasi Indonesia ke Timor Timur,Korea Selatan
Invasi Indonesia ke Timor Timur,Taiwan
Operasi Jayapura 1976,Indonesia
Konflik Papua,Indonesia
Konflik Papua,Papua Nugini
Konflik Papua,Amerika Serikat
Konflik Papua,Australia
Konflik Papua,Uni Soviet
Konflik Papua,Fiji
Kerusuhan Poso,Jemaah Islamiyah
Kerusuhan Poso,Mujahidin KOMPAK
Kerusuhan Poso,Laskar Jihad
Krisis sandera Mapenduma,Republik Papua Barat
Kerusuhan Sambas,Suku Madura
Pemberontakan di Aceh,Gerakan Aceh Merdeka
Pemberontakan di Aceh,Libyan Arab Jamahiriya
Operasi Trisula,Partai Komunis Indonesia
Krisis Timor Timur 1999,Milisi pro-Indonesia
Krisis Timor Timur 1999,Aitarak
Krisis Timor Timur 1999,Besi Merah Putih
Krisis Timor Timur 1999,Garda Muda Penegak Integrasi
Krisis Timor Timur 1999,Laksaur
Krisis Timor Timur 1999,Mahidi
Krisis Timor Timur 1999,Kopassus
Krisis Timor Timur 1999,BIN
Krisis Timor Timur 1999,Lobi Jakarta
Operasi militer Indonesia di Aceh 1990-1998,Gerakan Aceh Merdeka
Operasi militer Indonesia di Aceh 1990-1998,Tentara Nasional Aceh (TNA)
Operasi militer Indonesia di Aceh 1990-1998,Laskar Inong Bale
Pendudukan Indonesia atas Timor Timur,Timor Leste
Pendudukan Indonesia atas Timor Timur,FRETILIN
Pendudukan Indonesia atas Timor Timur,Falintil
Pendudukan Indonesia atas Timor Timur,CNRM
Pendudukan Indonesia atas Timor Timur,UDT
Pendudukan Indonesia atas Timor Timur,Filipina
Pendudukan Indonesia atas Timor Timur,Korea Selatan
Pendudukan Indonesia atas Timor Timur,Libya
Pendudukan Indonesia atas Timor Timur,Mozambik
Pendudukan Indonesia atas Timor Timur,Portugal
Pendudukan Indonesia atas Timor Timur,Uni Soviet
Pendudukan Indonesia atas Timor Timur,Rusia
Pendudukan Indonesia atas Timor Timur,Thailand
Pendudukan Indonesia atas Timor Timur,Tiongkok
Konfrontasi Indonesia-Malaysia,Indonesia
Konfrontasi Indonesia-Malaysia,PKI
Konfrontasi Indonesia-Malaysia,PKKU
Konfrontasi Indonesia-Malaysia,PRB
Konfrontasi Indonesia-Malaysia,Tiongkok
Konfrontasi Indonesia-Malaysia,Filipina
Konfrontasi Indonesia-Malaysia,Uni Soviet
Konfrontasi Indonesia-Malaysia,Vietnam Utara
Invasi Indonesia ke Timor Timur,Timor Leste
Invasi Indonesia ke Timor Timur,FRETILIN
Invasi Indonesia ke Timor Timur,FALINTIL
Invasi Indonesia ke Timor Timur,Kuba
Invasi Indonesia ke Timor Timur,Mozambik
Invasi Indonesia ke Timor Timur,Swedia
Invasi Indonesia ke Timor Timur,Tiongkok
Invasi Indonesia ke Timor Timur,Uni Soviet
Operasi Jayapura 1976,Republik Papua Barat
Konflik Papua,Organisasi Papua Merdeka
Konflik Papua,Libya
Konflik Papua,Vanuatu
Konflik Papua,Palau
Konflik Papua,Tuvalu
Konflik Papua,Kepulauan Solomon
Konflik Papua,Nauru
Konflik Papua,Samoa
Konflik Papua,Tonga
Kerusuhan Poso,Kelelawar Hitam
Kerusuhan Poso,Brigade Manguni
Kerusuhan Poso,Laskar Kristus
