conflict,partof,image,caption,casus,teritory,result,strength1,strength2,casualties1,casualties2,notes,wikititle
Pendudukan Indonesia atas Timor Timur,Perang Dingin,LocationEastTimorNamed.svg,"Lokasi Timor Timur, dengan menampilkan negara-negara tetangga.",,,*Krisis Timor Timur 1999Timor Timur memperoleh kemerdekaan setelah referendum kemerdekaan memilih untuk meninggalkan Indonesia Indonesia memiliki pengaruh yang kuat di Timor Timur,,,2.277 tentara dan polisi Indonesia tewas1.527 milisi Timor Timur tewas2.400 terlukaTotal: 3.408 tewas dan 2.400 terluka,Perkiraan berkisar antara 100.000–300.000 orang tewas (lihat di bawah),,Pendudukan Indonesia atas Timor Timur
Pemberontakan di Aceh,Separatisme di Indonesia,,"Prajurit wanita Gerakan Aceh Merdeka bersama Panglima GAM Abdullah Syafei'i, 1999",,,"Kemenangan taktis Indonesia; Persetujuan perdamaian Helsinki Otonomi khusus untuk Aceh Pelucutan GAM Ditariknya pasukan non-organik Indonesia, hanya menyisakan 25.000 prajurit di provinsi tersebut Misi Pemantau Aceh Diadakannya pilkada","12,000 (1990)Uppsala conflict data expansion. Non-state actor information. Codebook pp. 295-296 30,000 (2001) 15,000 (2002) 35,000Global Security - Free Aceh Movement–50,000 (2003)","12,000 (1990)Uppsala conflict data expansion. Non-state actor information. Codebook pp. 295-296 30,000 (2001) 15,000 (2002) 35,000Global Security - Free Aceh Movement–50,000 (2003)",128 tewas,15.000 tewas<small>(Kebanyakan warga sipil),,Pemberontakan di Aceh
Peristiwa Arfai,Konflik Papua,,,,,,1 batalion,1 batalion,3–18 tewas,4–36 tewas,,Peristiwa Arfai
Kerusuhan Sambas,,,,,,,,,*1.189 terbunuh  168 orang luka berat 34 orang luka ringan  29.823 warga Madura mengungsi.,,,Kerusuhan Sambas
Pertempuran Sungei Koemba,Konfrontasi Indonesia–Malaysia,,"Seorang tentara Australia dari 3RAR dengan senjata mesin ringan L4A4 melakukan patroli dekat perbatasan Sarawak-Kalimantan, 1965.",,,Kemenangan Australia,~120 tentara,~120 tentara,2 Terluka,~30 tewas,,Pertempuran Sungei Koemba
Krisis Timor Timur 1999,"Dekolonisasi Asia, Pendudukan Indonesia di Timor Timur dan Kejatuhan Suharto",Destroyed houses 19.jpg,Rumah-rumah yang hancur di Dili.,,,,"11,000 militer dan polisi","11,000 militer dan polisi",,,,Krisis Timor Timur 1999
Operasi Trikora,Pembebasan Irian Barat dan Perang Dingin,Yos Sudarso Postage Stamp.jpg,Perangko Indonesia memperingati Pertempuran Laut Aru,,,Kemenangan Indonesia  Perjanjian New York ditandatangani Irian Barat diserahkan ke PBB lalu ke Indonesia Awal dari Konflik Papua,13.000 tentara7.000 pasukan terjun payung4.500 marinir,13.000 tentara7.000 pasukan terjun payung4.500 marinir,214 tewas1 kapal motor torpedo tenggelam2 kapal motor torpedo rusak,Tidak diketahui,,Operasi Trikora
Gerakan 30 September,,potret gestapu.jpg,Proses pengangkatan 7 jenazah korban G30S dari sebuah sumur lama di kawasan Lubang Buaya pada tanggal 3 Oktober 1965,,,,,,1. Letnan Jenderal TNI Ahmad Yani (43 tahun)  2. Mayor Jenderal TNI Raden Soeprapto (45 tahun)  3. Mayor Jenderal TNI Mas Tirtodarmo Haryono (41 tahun)  4. Mayor Jenderal TNI Siswondo Parman (47 tahun)  5. Brigadir Jenderal TNI Donald Isaac Panjaitan (40 tahun)  6. Brigadir Jenderal TNI Sutoyo Siswomiharjo (43 tahun)  7. Letnan Satu Pierre Andreas Tendean (26 tahun)  dan korban-korban lainnya.,,,Gerakan 30 September
Pertempuran Laut Aru,Operasi Trikora,,RI Matjan Tutul (650),,,"Kemenangan Belanda RI Matjan Tutul tenggelam, 2 lainnya berhasil selamat",RI Matjan Tutul (Tenggelam) RI Matjan Kumbang(Rusak) RI Harimau(Rusak),RI Matjan Tutul (Tenggelam) RI Matjan Kumbang(Rusak) RI Harimau(Rusak),Komodor Yos SudarsoKapten Wiratno (Kapten kapal RI Matjan Tutul)Kapten Memet Sastrawiria (Ajudan Komodor Yos Sudarso)Kapten Tjiptadi21 orang tenggelam53 orang ditahan Belanda<small>Total 39 orang tewas<small>,-,,Pertempuran Laut Aru
Kerusuhan Poso,Konflik Poso,,Front pertempuran dalam kerusuhan Poso III.,,,Deklarasi Malino Kekerasan pasca kerusuhan di Poso,,,,,"577 tewas, 384 terluka, 7.932 rumah hancur, serta 510 fasilitas umum terbakar atau rusak",Kerusuhan Poso
Krisis sandera Mapenduma,Konflik Papua,,"Irian Jaya, Indonesia",Tuntuntan Organisasi Papua Merdeka untuk kemerdekaan Wilayah Papua Barat,,,100 Komando,100 Komando,5 tewas1 helikopter jatuh,8 tewas2 ditangkap,,Krisis sandera Mapenduma
Konflik Papua,Persengketaan Nugini Barat dan Dekolonisasi Oseania,,"Foto Atas; Pasukan TNI Sedang Patroli di Sebuah Hutan di Papua, Foto Bawah; Pasukan OPM Sedang memamerkan Senjata Mereka",,,,,,setidaknya 72 TNI dan 34 polisi tewas Total: 106 aparat keamanan tewas (2010 – Maret 2022),setidaknya 69 TPNPB–OPM tewas (2010 – Maret 2023),,Konflik Papua
Serangan ke Limbang,Konfrontasi Indonesia-Malaysia,,,,,Kemenangan Britania,Satu kompi,Satu kompi,"Lima tewas, delapan terluka","12 tewas, 15 terluka",,Serangan ke Limbang
