key,start-date,end-date,start-year,start-month,start-day,end-year,end-month,end-day
Pakubuwana XII,1925-04-14,2004-06-11,1925,04,14,2004,06,11
Mangkunegara VIII,1920-01-01,1987-09-03,1920,01,01,1987,09,03
Gatot Soebroto,1907-10-10,1962-06-11,1907,10,10,1962,06,11
Slamet Rijadi,1927-07-26,1950-11-04,1927,07,26,1950,11,04
Achmadi Hadisoemarto,1927-06-05,1984-01-02,1927,06,05,1984,01,02
Hamengkubuwana IX,1912-04-12,1988-10-02,1912,04,12,1988,10,02
Soedirman,1916-01-24,1950-01-29,1916,01,24,1950,01,29
Soeharto,1921-06-08,2008-01-27,1921,06,08,2008,01,27
Ventje Sumual,1923-06-11,2010-03-28,1923,06,11,2010,03,28
Soekarno,1901-06-06,1970-06-21,1901,06,06,1970,06,21
Mohammad Hatta,1902-08-12,1980-03-14,1902,08,12,1980,03,14
Soedirman,1916-01-24,1950-01-29,1916,01,24,1950,01,29
Oerip Soemohardjo,1893-02-22,1948-11-17,1893,02,22,1948,11,17
Sutan Sjahrir,1909-03-05,1966-04-09,1909,03,05,1966,04,09
Hamengkubuwana IX,1912-04-12,1988-10-02,1912,04,12,1988,10,02
Abdul Haris Nasution,1918-12-03,2000-09-06,1918,12,03,2000,09,06
Syafruddin Prawiranegara,1911-02-28,1989-02-15,1911,02,28,1989,02,15
Gatot Soebroto,1907-10-10,1962-06-11,1907,10,10,1962,06,11
Bambang Soegeng,1913-10-31,1977-06-22,1913,10,31,1977,06,22
Sutomo,1920-10-03,1981-10-07,1920,10,03,1981,10,07
Moehammad Jasin,1920-06-09,2012-05-03,1920,06,09,2012,05,03
T.B. Simatupang,1920-01-28,1990-01-01,1920,01,28,1990,01,01
Soeharto,1921-06-08,2008-01-27,1921,06,08,2008,01,27
Amir Sjarifoeddin,1907-04-24,1948-12-19,1907,04,24,1948,12,19
Tan Malaka,1897-06-02,1949-02-21,1897,06,02,1949,02,21
Syarif Hamid II dari Pontianak,1913-07-12,1978-03-30,1913,07,12,1978,03,30
Agustinus Adisoetjipto,1916-07-03,1947-07-29,1916,07,03,1947,07,29
R. E. Martadinata,1921-03-29,1966-10-06,1921,03,29,1966,10,06
I Gusti Ngurah Rai,1917-01-30,1946-11-20,1917,01,30,1946,11,20
Sutomo,1920-10-03,1981-10-07,1920,10,03,1981,10,07
Soengkono,1911-01-01,1977-09-12,1911,01,01,1977,09,12
Moestopo,1913-06-13,1986-09-29,1913,06,13,1986,09,29
Muhammad Mangundiprojo,1905-01-05,1988-12-13,1905,01,05,1988,12,13
Moehammad Jasin,1920-06-09,2012-05-03,1920,06,09,2012,05,03
Hario Jonosewojo,1920-06-09,1994-03-22,1920,06,09,1994,03,22
Achmad Tahir,1924-06-27,2002-08-17,1924,06,27,2002,08,17
Jamin Ginting,1921-01-12,1974-10-23,1921,01,12,1974,10,23
Kariadi,1905-09-15,1945-10-14,1905,09,15,1945,10,14
Wongsonegoro,1897-04-20,1978-03-04,1897,04,20,1978,03,04
Daan Mogot,1927-12-28,1946-01-25,1927,12,28,1946,01,25
Edi Sukardi,1916-02-18,2014-09-05,1916,02,18,2014,09,05
Ismael Lengah,1914-09-22,2005-01-11,1914,09,22,2005,01,11
Daud Beureu'eh,1896-09-23,1987-06-10,1896,09,23,1987,06,10
Syamaun Gaharu,1913-11-10,2000-09-30,1913,11,10,2000,09,30
Hamengkubuwana IX,1912-04-12,1988-10-02,1912,04,12,1988,10,02
Soeharto,1921-06-08,2008-01-27,1921,06,08,2008,01,27
Daud Beureu'eh,1896-09-23,1987-06-10,1896,09,23,1987,06,10
Soekarno,1901-06-06,1970-06-21,1901,06,06,1970,06,21
Abdul Haris Nasution,1918-12-03,2000-09-06,1918,12,03,2000,09,06
Ahmad Yani,1922-06-19,1965-10-01,1922,06,19,1965,10,01
Joko Widodo,1961-06-21,,1961,06,21,,,
Ma'ruf Amin,1943-03-11,,1943,03,11,,,
Prabowo Subianto,1951-10-17,,1951,10,17,,,
Agus Subiyanto,1967-08-05,,1967,08,05,,,
Listyo Sigit Prabowo,1969-05-05,,1969,05,05,,,
Budi Gunawan,1959-12-11,,1959,12,11,,,
Soeharto,1921-06-08,2008-01-27,1921,06,08,2008,01,27
Leonardus Benyamin Moerdani,1932-10-02,2004-08-29,1932,10,02,2004,08,29
Wiranto,1947-04-04,,1947,04,04,,,
Try Sutrisno,1935-11-15,,1935,11,15,,,
B. J. Habibie,1936-06-25,2019-09-11,1936,06,25,2019,09,11
Abdurrahman Wahid,1940-09-07,2009-12-30,1940,09,07,2009,12,30
Megawati Soekarnoputri,1947-01-23,,1947,01,23,,,
Susilo Bambang Yudhoyono,1949-09-09,,1949,09,09,,,
Andika Perkasa,1964-12-21,,1964,12,21,,,
Douglas MacArthur,1880-01-26,1964-04-05,1880,01,26,1964,04,05
Leslie Morshead,1889-09-18,1959-09-26,1889,09,18,1959,09,26
"Archibald Wavell, 1st Earl Wavell",1883-05-05,1950-05-24,1883,05,05,1950,05,24
Alidius Tjarda van Starkenborgh Stachouwer,1888-03-07,1978-08-16,1888,03,07,1978,08,16
Hein ter Poorten,1887-11-21,1968-01-15,1887,11,21,1968,01,15
Thomas C. Hart,1988-06-12,1971-07-04,1988,06,12,1971,07,04
Conrad Helfrich,1886-10-11,1962-09-20,1886,10,11,1962,09,20
Karel Doorman,1889-04-23,1942-02-28,1889,04,23,1942,02,28
Moekijat,1927-12-15,1985-11-01,1927,12,15,1985,11,01
Soekarno,1901-06-06,1970-06-21,1901,06,06,1970,06,21
Soekarno,1901-06-06,1970-06-21,1901,06,06,1970,06,21
Dirk Reinhard Adelbert van Langen,1898-05-17,1983-01-20,1898,05,17,1983,01,20
Aubertin Mallaby,1899-12-12,1945-10-30,1899,12,12,1945,10,30
Saalah Yusuf Sutan Mangkuto,1901-00-00,1974-00-00,1901,,,1974,,
Wilhelmina dari Belanda,1880-08-31,1962-11-28,1880,08,31,1962,11,28
Hisaichi Terauchi,1879-08-08,1946-06-12,1879,08,08,1946,06,12
Syafruddin Prawiranegara,1911-02-28,1989-02-15,1911,02,28,1989,02,15
Jacob Prai,1942-07-17,2022-05-26,1942,07,17,2022,05,26
Teuku Nyak Arif,1899-07-17,1946-05-04,1899,07,17,1946,05,04
Robert Mansergh,1900-05-12,1970-11-08,1900,05,12,1970,11,08
Adam B.B.,1889-08-31,1953-07-15,1889,08,31,1953,07,15
Juliana dari Belanda,1909-04-30,2004-03-20,1909,04,30,2004,03,20
Hubertus Johannes van Mook,1894-05-20,1965-05-10,1894,05,20,1965,05,10
Simon Spoor,1902-01-12,1949-05-25,1902,01,12,1949,05,25
Dirk Reinhard Adelbert van Langen,1898-05-17,1983-01-20,1898,05,17,1983,01,20
Dirk Cornelis Buurman van Vreeden,1902-06-16,1964-06-12,1902,06,16,1964,06,12
Conrad Helfrich,1886-10-11,1962-09-20,1886,10,11,1962,09,20
Ludolph Hendrik van Oyen,1889-04-25,1953-07-28,1889,04,25,1953,07,28
Louis Mountbatten,1900-06-25,1979-08-15,1900,06,25,1979,08,15
Robert Mansergh,1900-05-12,1970-11-08,1900,05,12,1970,11,08
Aubertin Mallaby,1899-12-12,1945-10-30,1899,12,12,1945,10,30
Philip Christison,1893-11-17,1993-12-21,1893,11,17,1993,12,21
Raymond Westerling,1919-08-31,1987-11-26,1919,08,31,1987,11,26
Tjokorda Gde Raka Soekawati,1899-01-15,1967-00-00,1899,01,15,1967,,
Syarif Hamid II dari Pontianak,1913-07-12,1978-03-30,1913,07,12,1978,03,30
Loa Sek Hie,1898-00-00,1965-00-00,1898,,,1965,,
Julius Tahija,1916-07-13,2002-07-30,1916,07,13,2002,07,30
Sekarmadji Maridjan Kartosoewirjo,1905-01-07,1962-09-05,1905,01,07,1962,09,05
Abdul Kahar Muzakkar,1921-03-24,1965-02-03,1921,03,24,1965,02,03
Musso,1897-08-12,1948-10-31,1897,08,12,1948,10,31
Amir Sjarifoeddin,1907-04-24,1948-12-19,1907,04,24,1948,12,19
Kiyotake Kawaguchi,1892-12-03,1961-05-16,1892,12,03,1961,05,16
Hitoshi Imamura,1886-06-28,1968-10-04,1886,06,28,1968,10,04
Shoji Nishimura,1889-11-30,1944-10-24,1889,11,30,1944,10,24
Jisaburo Ozawa,1886-10-02,1966-11-09,1886,10,02,1966,11,09
Takeo Takagi,1892-01-25,1944-07-08,1892,01,25,1944,07,08
Nobutake Kondō,1886-09-25,1953-02-19,1886,09,25,1953,02,19
Maludin Simbolon,1916-04-13,2000-04-15,1916,04,13,2000,04,15
Ahmad Husein,1925-04-01,1998-11-28,1925,04,01,1998,11,28
Assaat,1904-09-18,1976-06-16,1904,09,18,1976,06,16
Benny Wenda,1975-00-00,,1975,,,,,
Jacob Rumbiak,1958-03-11,,1958,03,11,,,
Egianus Kogoya,1999-00-00,,1999,,,,,
Sebby Sambom,1975-01-03,,1975,01,03,,,
Goliath Tabuni,1959-00-00,,1959,,,,,
Kelly Kwalik,1955-00-00,2009-12-16,1955,,,2009,12,16
Abdulkadir Widjojoatmodjo,1904-12-18,1992-12-24,1904,12,18,1992,12,24
