infobox_name,native_name,conventional_long_name,common_name,subdivision,nation,status_text,continent,region,government_type,era,date_start,year_start,event_start,date_end,year_end,event_end,image_map,image_map_caption,title_leader,leader1,p1,flag_p1,s1,flag_s1,page_title,event_pre,lagu_kebangsaan_event,title_deputy,deputy1,reprenstative1,title_representative,country,capital,map_size,year_leader1,image_flag,event1,date_event1,stat_year1,stat_area1,stat_pop1,image_coat,legislature,year_deputy1,deputy2,year_deputy2,deputy3,year_deputy3,deputy4,year_deputy4,deputy5,year_deputy5,deputy6,year_deputy6,date_pre,p2,p3,p4,p5,s2,s3,s4,s5,leader2,year_leader2,leader3,year_leader3,leader4,year_leader4,demonym,motto,event2,date_event2,today,national_anthem,common_languages
Infobox Former Subdivision,,Federasi Kalimantan Tenggara,Kalimantan Tenggara,Daerah otonom setingkat negara,Indonesia,,Asia,Asia,,Revolusi Nasional Indonesia,8 Januari,1947,,4 April,1950,Bergabung dengan Indonesia,Southeast Borneo Federation in the United States of Indonesia.svg,Peta Kalimantan Tenggara dalam Republik Indonesia Serikat,Presiden,Abdul Gaffar Noor,Republik Indonesia,Flag of Indonesia.svg,Provinsi Kalimantan,Flag of Indonesia.svg,Federasi Kalimantan Tenggara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infobox Former Subdivision,Kalimantan Timur,,Negara Kalimantan Timur,,Indonesia,,Asia,Asia,Negara bagian,Perang Kemerdekaan,12 April,1947,Dinamakan ulang Kalimantan Timur,24 April,1950,Bergabung dengan,East Borneo in the United States of Indonesia.svg,Peta Negara Kalimantan Timur,Presiden http://www.worldstatesmen.org/Indonesia_states_1946-1950.html#Kalimantan-Tenggara Indonesian States 1946-1950,Aji Muhammad Parikesit,Republik Indonesia,Flag of Indonesia.svg,Provinsi Kalimantan,Flag of Indonesia.svg,Negara Kalimantan Timur,Pendirian Daerah Siak Besar,Indonesia,Perdana Menteri,Aji Pangeran Sosronegoro,M.D. Saad,Kepala Dewan Kalimantan Timur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infobox Former Subdivision,Daerah Bandjar,,Daerah Banjar,Daerah bagian,RIS,,Asia,Kalimantan,Negara bagian,Perang Kemerdekaan Indonesia,14 Januari,1948,,4 April,1950,Bergabung dengan IndonesiaIndonesian States 1946-1950,Daerah Banjar.PNG,,Wali Daerah,Mohammad Hanafiah,Republik Indonesia,Flag of Indonesia.svg,Provinsi Kalimantan,Flag of Indonesia.svg,Daerah Banjar,,,,,,,Indonesia,Bandjarmasin Januari- November 1948 <br/ > Bandjarbaroe November 1948-1950,300px,1948−1950,Banjar Sultanate Flag.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infobox Former Subdivision,,Daerah Federal Jakarta,Distrik Federal Jakarta  Distrik Federal Batavia,Daerah federal,RIS,,Asia,Jawa Barat,Daerah federal,Perang Dingin,11 Agustus,1948,Daerah Federal Batavia didirikan,30 Maret,1950,,,,Gubernur,Hilman Djajadiningrat,Republik Indonesia,Flag of Indonesia.svg,Republik Indonesia,Flag of Indonesia.svg,Daerah Federal Jakarta,,,,,,,Indonesia,Jakarta,300px,,,Berganti nama menjadi Daerah Federal Jakarta,30 Desember 1949,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infobox Former Subdivision,State of the South Sumatra,Negara Bagian Sumatra Selatan,NSS,Federasi,Indonesia,Negara bagian RIS,Asia,Asia,Negara bagian,,30 Agustus,1948,,24 Maret,1950,Bergabung dengan Republik Indonesia,South Sumatra in the United States of Indonesia.svg,,Wali Negara,Abdul Malik,Republik Indonesia,Flag of Indonesia.svg,Sumatera Selatan,Flag of Indonesia.svg,Negara Sumatera Selatan,,,,,,,,,,,Flag of South Sumatra.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infobox Former Subdivision,State of the East Sumatra,Negara Bagian Sumatra Timur,NST,Federasi,Indonesia,Negara bagian RIS,Asia,Asia,Negara bagian,,25 Desember,1947,,15 Agustus,1950,,State of East Sumatra.jpg,,Wali Negara,Tengku Mansoer,Republik Indonesia,Flag of Indonesia.svg,Sumatera Utara,Flag of Indonesia.svg,Negara Sumatera Timur,,,,,,,,Medan,,1947-1950,Flag of East Sumatra.svg,,,,,,Coat of arms of East Sumatra.png,Dewan Perwakilan Sementara Negara Sumatra Timur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infobox Former Subdivision,,Negara Indonesia Timur,East Indonesia,Federasi,Indonesia,Negara bagian RIS,Asia,Asia Tenggara,Negara bagian,Perang Dingin,24 Desember,1946,,17 Agustus,1950,,East Indonesia in the United States of Indonesia.svg,Wilayah N.I.T ditunjukkan pada warna merah,Presiden,Tjokorda Gde Raka Soekawati,Hindia Belanda,Flag of the Netherlands.svg,Indonesia,Flag of Indonesia.svg,Negara Indonesia Timur,,,,Nadjamuddin Daeng Malewa,,,,Makassar,,1946–1950,Flag of the State of East Indonesia.svg,,,1946.0,349088.0,10.290.000,Coat of arms of East Indonesia.svg,Parlemen Indonesia Timur,1947.0,Semuel Jusof Warouw,1947.0,Ida Anak Agung Gde Agung,1947–1949,J.E. Tatengkeng,1949–1950,D.P. Diapari,1950.0,Martinus Putuhena,1950.0,,,,,,,,,,,,,,,,,,,,,,
Infobox former subdivision,,Kalimantan,Indonesia,Provinsi,Indonesia,Bekas provinsi Indonesia,Asia,Asia Tenggara,Provinsi,Perang Dingin,14 Agustus,1950,,,1957,Dimekarkan menjadi 3 provinsi,IndonesiaBorneoProvince.png,,Gubernur,Pangeran Muhammad Noor,Kalimantan Barat (RIS),,Kalimantan Barat,,Kalimantan (provinsi),,,,,,,,Banjarmasin,,1945–1950,,,,,,,,,,,,,,,,,,,,,Dayak Besar,Daerah Banjar,Federasi Kalimantan Tenggara,Kalimantan Timur (RIS),Kalimantan Timur,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Utara,Dr. Moerdjani,1950–1953,Mas Subarjo,1953–1955,Raden Tumenggung Arya Milono,1955–1957,,,,,,,
Infobox former subdivision,Groot Dajak,Dayak Besar,Dayak Besar,Daerah otonom setingkat negara,Indonesia,,,,,Revolusi Indonesia,7 Desember,1946,,18 April,1950,,Great Dayak in the United States of Indonesia.svg,Peta Dayak Besar dalam Republik Indonesia Serikat,,J. van Dykhttp://www.worldstatesmen.org/Indonesia_states_1946-1950.html#Madura WorldStatesMen,Hindia Belanda,Flag of the Netherlands.svg,Kalimantan Tengah,Flag of Central Kalimantan.png,Daerah Dayak Besar,,,,,,,,Banjarmasin (kota),,1946−1950,Flag of Dayak Besar.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infobox former subdivision,,Negara Jawa Timur,Jawa Timur,Federasi,Indonesia,Negara bagian RIS,Asia,Asia,Negara bagian,Perang Kemerdekaan Indonesia,26 November,1948,,9 Maret,1950,,East Java in the United States of Indonesia.svg,,Wali Negara,R.T.P Achmad Kusumonegoro,Jawa Timur,Flag of Indonesia.svg,Jawa Timur,Flag of Indonesia.svg,Negara Jawa Timur,,,,,,,,,,,Flag of Various Autonomous Indonesian States.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
