key,combatant
Pemberontakan DI/TII di Aceh,Indonesia
Pertempuran Lima Hari,Jepang
Pertempuran Bojong Kokosan,Britania Raya
Pertempuran Lengkong,Jepang
Bandung Lautan Api,Kekaisaran Britania
Perang Cumbok,Kaum uleebalang
Delapan Jam Pertempuran di Mangkang,Belanda
Puputan Margarana,Belanda
Perang Dayak Desa,Suku Dayak Desa
Gerakan 30 September,
Kampanye Kalimantan (1945),Kekaisaran Jepang
Pertempuran Medan Area,Britania Raya
Serangan Umum Surakarta,Belanda
Serangan Umum 1 Maret 1949,Belanda
Penyerbuan Kotabaru Yogyakarta,Jepang
Pertempuran Surabaya,Britania Raya
Peristiwa 19 November,Belanda
Peristiwa Tiga Maret,Militan Islam
Pertempuran Kumai,Hindia Belanda
Revolusi Nasional Indonesia,Belanda
Kampanye Hindia Belanda,Kekaisaran Jepang
Operasi 17 Agustus,PRRI
Konflik Papua,Organisasi Papua Merdeka
Konflik Papua,Libya
Bandung Lautan Api,Britania Raya
Bandung Lautan Api,India
Bandung Lautan Api,Imperium Belanda
Bandung Lautan Api,Kerajaan Belanda
Bandung Lautan Api,Hindia Belanda
Bandung Lautan Api,Pemerintahan Sipil Hindia Belanda
Pertempuran Medan Area,Kemaharajaan Britania
Pertempuran Medan Area,Belanda
Pertempuran Medan Area,Hindia Belanda
Pertempuran Surabaya,India
Revolusi Nasional Indonesia,Hindia Belanda
Revolusi Nasional Indonesia,KNIL
Revolusi Nasional Indonesia,NICA
Revolusi Nasional Indonesia,Kesultanan Pontianak
Revolusi Nasional Indonesia,Angkatan Perang Ratu Adil
Revolusi Nasional Indonesia,Pao An Tui
Revolusi Nasional Indonesia,Britania Raya
Revolusi Nasional Indonesia,Kemaharajaan Britania
Konflik Papua,Libya
Konflik Papua,Vanuatu
Konflik Papua,Palau
Konflik Papua,Tuvalu
Konflik Papua,Kepulauan Solomon
Konflik Papua,Tuvalu
Konflik Papua,Nauru
Konflik Papua,Samoa
Konflik Papua,Tonga
Pemberontakan DI/TII di Aceh,Negara Islam Indonesia
Pertempuran Lima Hari,Indonesia
Pertempuran Bojong Kokosan,Indonesia
Pertempuran Lengkong,Tentara Keamanan Rakyat
Bandung Lautan Api,Republik Indonesia
Perang Cumbok,PUSA
Delapan Jam Pertempuran di Mangkang,Indonesia
Puputan Margarana,Indonesia
Perang Dayak Desa,Kekaisaran Jepang
Gerakan 30 September,
Kampanye Kalimantan (1945),Australia
Pertempuran Medan Area,Indonesia
Serangan Umum Surakarta,Indonesia
Serangan Umum 1 Maret 1949,Indonesia
Penyerbuan Kotabaru Yogyakarta,Indonesia
Pertempuran Surabaya,Republik Indonesia
Peristiwa 19 November,Indonesia
Peristiwa Tiga Maret,Indonesia
Pertempuran Kumai,Tentara Keamanan Rakyat
Revolusi Nasional Indonesia,Republik Indonesia
Kampanye Hindia Belanda,ABDA Command
Operasi 17 Agustus,Indonesia
Konflik Papua,Indonesia
Pertempuran Kumai,Laskar Kalimantan
Pertempuran Kumai,Barisan Ulama
Revolusi Nasional Indonesia,PDRI
Revolusi Nasional Indonesia,Relawan Tentara Kekaisaran Jepang
Revolusi Nasional Indonesia,Desertir Tentara India
Revolusi Nasional Indonesia,Australia
Revolusi Nasional Indonesia,India
Revolusi Nasional Indonesia,Amerika Serikat
Revolusi Nasional Indonesia,Uni Soviet
Revolusi Nasional Indonesia,Korps Brigade Mobil
Revolusi Nasional Indonesia,BKR
Revolusi Nasional Indonesia,TKR
Revolusi Nasional Indonesia,TRI
Revolusi Nasional Indonesia,TNI
Kampanye Hindia Belanda,Belanda
Kampanye Hindia Belanda,Hindia Belanda
Kampanye Hindia Belanda,Britania Raya
Kampanye Hindia Belanda,Australia
Kampanye Hindia Belanda,Selandia Baru
Kampanye Hindia Belanda,Amerika Serikat
Konflik Papua,Papua Nugini
Konflik Papua,Amerika Serikat
Konflik Papua,Australia
Konflik Papua,Uni Soviet
Konflik Papua,Fiji
Kampanye Kalimantan (1945),Amerika Serikat
Kampanye Kalimantan (1945),Belanda
Kampanye Kalimantan (1945),Britania Raya
