key,combatant1
Pemberontakan DI/TII di Aceh,Negara Islam Indonesia
Pertempuran Lima Hari,Indonesia
Pertempuran Bojong Kokosan,Indonesia
Pertempuran Lengkong,Tentara Keamanan Rakyat
Bandung Lautan Api,Republik Indonesia
Perang Cumbok,PUSA
Delapan Jam Pertempuran di Mangkang,Indonesia
Puputan Margarana,Indonesia
Perang Dayak Desa,Kekaisaran Jepang
Gerakan 30 September,
Kampanye Kalimantan (1945),Australia
Pertempuran Medan Area,Indonesia
Serangan Umum Surakarta,Indonesia
Serangan Umum 1 Maret 1949,Indonesia
Penyerbuan Kotabaru Yogyakarta,Indonesia
Pertempuran Surabaya,Republik Indonesia
Peristiwa 19 November,Indonesia
Peristiwa Tiga Maret,Indonesia
Pertempuran Kumai,Tentara Keamanan Rakyat
Revolusi Nasional Indonesia,Republik Indonesia
Kampanye Hindia Belanda,ABDA Command
Operasi 17 Agustus,Indonesia
Konflik Papua,Indonesia
Pertempuran Kumai,Laskar Kalimantan
Pertempuran Kumai,Barisan Ulama
Revolusi Nasional Indonesia,PDRI
Revolusi Nasional Indonesia,Relawan Tentara Kekaisaran Jepang
Revolusi Nasional Indonesia,Desertir Tentara India
Revolusi Nasional Indonesia,Australia
Revolusi Nasional Indonesia,India
Revolusi Nasional Indonesia,Amerika Serikat
Revolusi Nasional Indonesia,Uni Soviet
Revolusi Nasional Indonesia,Korps Brigade Mobil
Revolusi Nasional Indonesia,BKR
Revolusi Nasional Indonesia,TKR
Revolusi Nasional Indonesia,TRI
Revolusi Nasional Indonesia,TNI
Kampanye Hindia Belanda,Belanda
Kampanye Hindia Belanda,Hindia Belanda
Kampanye Hindia Belanda,Britania Raya
Kampanye Hindia Belanda,Australia
Kampanye Hindia Belanda,Selandia Baru
Kampanye Hindia Belanda,Amerika Serikat
Konflik Papua,Papua Nugini
Konflik Papua,Amerika Serikat
Konflik Papua,Australia
Konflik Papua,Uni Soviet
Konflik Papua,Fiji
Kampanye Kalimantan (1945),Amerika Serikat
Kampanye Kalimantan (1945),Belanda
Kampanye Kalimantan (1945),Britania Raya
