key,commander1,birth_date,death_date,image,page_title,summary,wikiurl
Pemberontakan DI/TII di Aceh,Daud Beureueh,1896-09-23,1987-06-10,Teuku Daud Beureueh.jpg,Daud Beureu'eh,"Teungku Muhammad Daud Beureueh (23 September 1896 – 10 Juni 1987)  atau bertepatan dengan 10 Zulhijjah 1316 Hijriah, akrab disapa Ayah Daud adalah mantan Gubernur Militer Aceh, Langkat dan Tanah Karo dan pejuang kemerdekaan Indonesia. Ia merupakan tokoh kontroversial yang populer di kalangan masyarakat Aceh. Ia melakukan pemberontakan kepada pemerintah dengan mendirikan NII akibat Soekarno yang melanggar perjanjian dengan rakyat Aceh dan ketidakpuasannya atas pemerintahan Soekarno. Namanya kini diabadikan untuk sebuah jalan di Banda Aceh.",https://id.wikipedia.org/wiki/Daud_Beureu%27eh
Pertempuran Lima Hari,Kariadi,1905-09-15,1945-10-14,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2021/11/09/2160610581.jpg,Kariadi,"Untuk nama rumah sakit, lihat: Rumah Sakit Umum Pusat Dr. Kariadi.dr. Kariadi (15 September 1905 – 14 Oktober 1945) adalah pejuang Indonesia sekaligus dokter, pahlawan nasional yang gugur dalam Pertempuran Lima Hari, Semarang - Jawa Tengah. Namanya kini diabadikan di Rumah Sakit Umum Pusat Dr. Kariadi, Semarang.",https://id.wikipedia.org/wiki/Kariadi
Pertempuran Bojong Kokosan,Edi Sukardi,1916-02-18,2014-09-05,https://asset.kompas.com/crops/2smuVP-LEEDoc5vLkCgfE03gmtA=/777x584:2053x1435/750x500/data/photo/2021/12/31/61ce9776188f8.png,Edi Sukardi,"Kolonel  Inf. (Purn.) Edi Sukardi adalah seorang letnan kolonel Indonesia. Letkol Edi tercatat sebagai pemimpin dalam pertempuran Bojongkokosan yang terjadi di Sukabumi, 9 Desember 1945. Pertempuran Bojongkokosan kemudian diperingati sebagai Hari Juang Siliwangi. Dalam pertempuran Bojongkokosan, Tentara Keamanan Rakyat (TKR) dan berbagai spektrum laskar rakyat, baik kiri maupun kanan, mencegat tentara Inggris. Sebanyak 73 anggota TKR gugur, begitu juga lebih dari 80 orang tentara Inggris tewas. ",https://id.wikipedia.org/wiki/Edi_Sukardi
Pertempuran Lengkong,Daan Mogot,1927-12-28,1946-01-25,Daan_Mogot_1.jpg,Daan Mogot,"Elias Daniel Mogot, atau lebih dikenal dengan nama Daan Mogot (28 Desember 1927 – 25 Januari 1946), adalah seorang pejuang kemerdekaan Indonesia dan mantan anggota (dan pelatih) PETA di Bali dan Jakarta pada tahun 1942-1945. Setelah Perang Dunia ke-2 selesai, ia menjadi Komandan TKR di Jakarta dengan pangkat Mayor. Bulan November 1945 mendirikan sekaligus menjadi Direktur Pertama Akademi Militer Tangerang (MAT) dalam usia 18 tahun. Ia gugur di Hutan Lengkong, di selatan Kota Tangerang, bersama 36 orang lainnya dalam pertempuran melawan tentara Jepang saat hendak melucuti senjata mereka di Hutan Lengkong di Tangerang.",https://id.wikipedia.org/wiki/Daan_Mogot
Bandung Lautan Api,Abdoel Haris Nasoetion,1918-12-03,2000-09-06,Abdul Haris Nasution.jpg,Abdul Haris Nasution,"Jenderal Besar TNI (Purn.) Dr. (H.C.) Abdul Haris Nasution (3 Desember 1918 – 6 September 2000) adalah seorang jenderal berpangkat tinggi dan politikus Indonesia. Ia bertugas di militer selama Revolusi Nasional Indonesia dan ia tetap di militer selama gejolak berikutnya dari demokrasi Parlementer dan Demokrasi Terpimpin. Setelah jatuhnya Presiden Soekarno dari kekuasaan, ia menjadi Ketua Majelis Permusyawaratan Rakyat Sementara (MPRS) di bawah presiden Soeharto. Lahir dari keluarga Batak Mandailing, di desa Hutapungkut, ia belajar mengajar dan mendaftar di akademi militer di Bandung.",https://id.wikipedia.org/wiki/Abdul_Haris_Nasution
Perang Cumbok,Daud Beureueh,1896-09-23,1987-06-10,Teuku Daud Beureueh.jpg,Daud Beureu'eh,"Teungku Muhammad Daud Beureueh (23 September 1896 – 10 Juni 1987)  atau bertepatan dengan 10 Zulhijjah 1316 Hijriah, akrab disapa Ayah Daud adalah mantan Gubernur Militer Aceh, Langkat dan Tanah Karo dan pejuang kemerdekaan Indonesia. Ia merupakan tokoh kontroversial yang populer di kalangan masyarakat Aceh. Ia melakukan pemberontakan kepada pemerintah dengan mendirikan NII akibat Soekarno yang melanggar perjanjian dengan rakyat Aceh dan ketidakpuasannya atas pemerintahan Soekarno. Namanya kini diabadikan untuk sebuah jalan di Banda Aceh.",https://id.wikipedia.org/wiki/Daud_Beureu%27eh
Delapan Jam Pertempuran di Mangkang,Moekijat,1927-12-15,1985-11-01,Moekijat.jpg,Moekijat,"Letnan Jenderal KKO (Purn.) Moekijat (EYD: Mukiyat; 15 Desember 1927 – 1 November 1985) adalah Panglima KKO-AL (sekarang Korps Marinir) dari 16 Oktober 1968 hingga 6 Desember 1971. Ia juga pernah menjadi Kepala KBRI di Kedutaan Besar Republik Indonesia di Pyongyang, Korea Utara (1971—1975) dan Kedutaan Besar Republik Indonesia di Helsinki, Finlandia (1975—1980).",https://id.wikipedia.org/wiki/Moekijat
Puputan Margarana,I Gusti Ngurah Rai,1917-01-30,1946-11-20,Lukisan_I_Gusti_Ngurah.jpg,I Gusti Ngurah Rai,"Brigadir Jenderal TNI (Anumerta) I Gusti Ngurah Rai (30 Januari 1917 – 20 November 1946) adalah seorang tokoh militer Indonesia, yang berjasa dalam Perang Kemerdekaan. Ia merupakan pendiri dan panglima pertama satuan angkatan bersenjata Republik Indonesia di Kepulauan Sunda Kecil, yang memimpin langsung perlawanan bersenjata anti-Belanda di Bali. Ia gugur pada bulan November 1946 dalam pertempuran dengan pasukan Belanda di dekat desa Marga, Bali tengah.",https://id.wikipedia.org/wiki/I_Gusti_Ngurah_Rai
Perang Dayak Desa,Nagatani,,,,,,
Gerakan 30 September,,,,,,,
Kampanye Kalimantan (1945),Douglas MacArthur,1880-01-26,1964-04-05,MacArthur_Manila.jpg,Douglas MacArthur,"Douglas MacArthur (26 Januari 1880 – 5 April 1964) adalah seorang jenderal bintang lima asal Amerika Serikat dan marsekal lapangan Angkatan Darat Filipina. Ia menjabat sebagai Kepala Staf Angkatan Darat Amerika Serikat pada dasawarsa 1930-an dan memiliki sumbangsih yang besar dalam upaya untuk melawan Kekaisaran Jepang di teater Pasifik selama Perang Dunia II. Ia dianugerahi Medal of Honor berkat jasa-jasanya selama kampanye militer Filipina sehingga dirinya dan ayahnya, Arthur MacArthur, Jr., menjadi pasangan ayah dan anak pertama yang sama-sama mendapatkan medali tersebut. Ia juga merupakan salah satu dari hanya lima orang yang diberikan pangkat Jenderal Besar di Angkatan Darat Amerika Serikat dan satu-satunya orang yang pernah diangkat sebagai marsekal lapangan di Angkatan Darat Filipina.",https://id.wikipedia.org/wiki/Douglas_MacArthur
