key,commander1,birth_date,death_date,image
Pemberontakan DI/TII di Aceh,Daud Beureueh,1896-09-23,1987-06-10,Teuku Daud Beureueh.jpg
Pertempuran Lima Hari,Kariadi,1905-09-15,1945-10-14,
Pertempuran Bojong Kokosan,Edi Sukardi,,,
Pertempuran Lengkong,Daan Mogot,,,
Bandung Lautan Api,Abdoel Haris Nasoetion,,,
Perang Cumbok,Daud Beureueh,,,
Delapan Jam Pertempuran di Mangkang,Moekijat,,,
Puputan Margarana,I Gusti Ngurah Rai,,,
Perang Dayak Desa,Nagatani,,,
Gerakan 30 September,,,,
Kampanye Kalimantan (1945),Douglas MacArthur,,,
Pertempuran Medan Area,Achmad Tahir,,,
Serangan Umum Surakarta,Pakubuwana XII,,,
Serangan Umum 1 Maret 1949,Hamengkubuwono IX,,,
Penyerbuan Kotabaru Yogyakarta,Hamengkubuwono IX,,,
Pertempuran Surabaya,Sutomo,,,
Peristiwa 19 November,"",,,
Peristiwa Tiga Maret,Ismail Lengah,,,
Pertempuran Kumai,"",,,
Revolusi Nasional Indonesia,Soekarno,,,
Kampanye Hindia Belanda,Archibald Wavell,,,
Operasi 17 Agustus,Soekarno,,,
Konflik Papua,Joko Widodo,,,
Pertempuran Lima Hari,Wongsonegoro,,,
Bandung Lautan Api,Muhammad Toha,,,
Perang Cumbok,Teungku Ahmad Hasballah,,,
Perang Cumbok,Teungku Hasan Krueng Kalee,,,
Perang Cumbok,Syamaun Gaharu,,,
Kampanye Kalimantan (1945),Leslie Morshead,,,
Kampanye Kalimantan (1945),Thomas Kinkaid,,,
Pertempuran Medan Area,Abdul Karim M.S,,,
Pertempuran Medan Area,Djamin Ginting,,,
Serangan Umum Surakarta,Mangkunegara VIII,,,
Serangan Umum Surakarta,Gatot Subroto,,,
Serangan Umum Surakarta,Slamet Riyadi,,,
Serangan Umum Surakarta,Achmadi Hadisoemarto,,,
Serangan Umum 1 Maret 1949,Sudirman,,,
Serangan Umum 1 Maret 1949,Bambang Soegeng,,,
Serangan Umum 1 Maret 1949,Soeharto,,,
Serangan Umum 1 Maret 1949,Ventje Sumual,,,
Penyerbuan Kotabaru Yogyakarta,Soeharto,,,
Pertempuran Surabaya,Soengkono,,,
Pertempuran Surabaya,Moestopo,,,
Pertempuran Surabaya,Muhammad Mangundiprojo,,,
Revolusi Nasional Indonesia,Mohammad Hatta,,,
Revolusi Nasional Indonesia,Soedirman,,,
Revolusi Nasional Indonesia,Oerip Soemohardjo,,,
Revolusi Nasional Indonesia,Soetan Sjahrir,,,
Revolusi Nasional Indonesia,Hamengkubuwana IX,,,
Revolusi Nasional Indonesia,Pakubuwana XII,,,
Revolusi Nasional Indonesia,Abdul Haris Nasution,,,
Revolusi Nasional Indonesia,Sjafruddin Prawiranegara,,,
Revolusi Nasional Indonesia,Gatot Subroto,,,
Revolusi Nasional Indonesia,Bambang Soegeng,,,
Revolusi Nasional Indonesia,Soetomo,,,
Revolusi Nasional Indonesia,Moehammad Jasin,,,
Revolusi Nasional Indonesia,T.B. Simatupang,,,
Revolusi Nasional Indonesia,Soeharto,,,
Revolusi Nasional Indonesia,Amir Sjarifuddin,,,
Revolusi Nasional Indonesia,Tan Malaka,,,
Revolusi Nasional Indonesia,Sultan Hamid II,,,
Revolusi Nasional Indonesia,Agustinus Adisoetjipto,,,
Revolusi Nasional Indonesia,R. E. Martadinata,,,
Kampanye Hindia Belanda,Alidius Tjarda van Starkenborgh Stachouwer,,,
Kampanye Hindia Belanda,Hein ter Poorten,,,
Kampanye Hindia Belanda,Thomas C. Hart,,,
Kampanye Hindia Belanda,Conrad Helfrich,,,
Kampanye Hindia Belanda,Karel Doorman,,,
Kampanye Hindia Belanda,Richard Peirse,,,
Operasi 17 Agustus,Abdul Haris Nasution,,,
Operasi 17 Agustus,Ahmad Yani,,,
Konflik Papua,Ma'ruf Amin,,,
Konflik Papua,Prabowo Subianto,,,
Konflik Papua,Agus Subiyanto,,,
Konflik Papua,Listyo Sigit Prabowo,,,
Konflik Papua,Budi Gunawan,,,
Konflik Papua,Suharto,,,
Konflik Papua,Leonardus Benyamin Moerdani,,,
Konflik Papua,Wiranto,,,
Konflik Papua,Try Sutrisno,,,
Konflik Papua,B. J. Habibie,,,
Konflik Papua,Abdurrahman Wahid,,,
Konflik Papua,Megawati Sukarnoputri,,,
Konflik Papua,Susilo Bambang Yudhoyono,,,
Konflik Papua,Andika Perkasa,,,
