key,commander2
Pemberontakan DI/TII di Aceh,Sukarno
Pertempuran Lima Hari,Kido Shinichirō
Pertempuran Bojong Kokosan,AJF Doulton
Pertempuran Lengkong,""
Bandung Lautan Api,MacDonald
Perang Cumbok,Teuku Keumangan Umar
Delapan Jam Pertempuran di Mangkang,Infanteri Belanda
Puputan Margarana,F. Mollinger
Perang Dayak Desa,Pang Suma
Gerakan 30 September,
Kampanye Kalimantan (1945),Michiaki Kamada
Pertempuran Medan Area,T.E.D. Kelly
Serangan Umum Surakarta,Van Vreeden
Serangan Umum 1 Maret 1949,Langen
Penyerbuan Kotabaru Yogyakarta,Otzuka
Pertempuran Surabaya,A.W.S. Mallaby
Peristiwa 19 November,""
Peristiwa Tiga Maret,Saalah Yusuf Sutan Mangkuto
Pertempuran Kumai,""
Revolusi Nasional Indonesia,Wilhelmina dari Belanda
Kampanye Hindia Belanda,Hisaichi Terauchi
Operasi 17 Agustus,Syafruddin Prawiranegara
Konflik Papua,Jacob Prai
Perang Cumbok,Teuku Nyak Arief
Perang Cumbok,Teuku Daud Cumbok
Puputan Margarana,J.B.T König
Perang Dayak Desa,Pang Rati
Perang Dayak Desa,Pang Iyo
Perang Dayak Desa,Djampi
Kampanye Kalimantan (1945),Baba Masao
Serangan Umum Surakarta,Mollinger
Serangan Umum 1 Maret 1949,J.M. v/d Berge
Pertempuran Surabaya,Robert Mansergh
Peristiwa Tiga Maret,Adam B.B.
Revolusi Nasional Indonesia,Juliana
Revolusi Nasional Indonesia,Hubertus van Mook
Revolusi Nasional Indonesia,Simon Spoor
Revolusi Nasional Indonesia,Adelbert van Langen
Revolusi Nasional Indonesia,Buurman Van Vreeden
Revolusi Nasional Indonesia,Conrad Helfrich
Revolusi Nasional Indonesia,Hendrik van Oyen
Revolusi Nasional Indonesia,Louis Mountbatten
Revolusi Nasional Indonesia,Philip Christison
Revolusi Nasional Indonesia,Robert Mansergh
Revolusi Nasional Indonesia,Aubertin Mallaby
Revolusi Nasional Indonesia,Philip Christison
Revolusi Nasional Indonesia,Raymond Westerling
Revolusi Nasional Indonesia,Tjokorda Gde Raka Soekawati
Revolusi Nasional Indonesia,Sultan Hamid II
Revolusi Nasional Indonesia,Loa Sek Hie
Revolusi Nasional Indonesia,Julius Tahija
Revolusi Nasional Indonesia,Sekarmadji Kartosoewirjo
Revolusi Nasional Indonesia,Abdul Kahar Muzakkar
Revolusi Nasional Indonesia,Musso
Revolusi Nasional Indonesia,Amir Sjarifuddin
Kampanye Hindia Belanda,Kiyotake Kawaguchi
Kampanye Hindia Belanda,Ibō Takahashi
Kampanye Hindia Belanda,Hitoshi Imamura
Kampanye Hindia Belanda,Shōji Nishimura
Kampanye Hindia Belanda,Jisaburō Ozawa
Kampanye Hindia Belanda,Takeo Takagi
Kampanye Hindia Belanda,Nobutake Kondō
Operasi 17 Agustus,Maludin Simbolon
Operasi 17 Agustus,Ahmad Husein
Operasi 17 Agustus,Mr. Assaat
Konflik Papua,Benny Wenda
Konflik Papua,Mathias Wenda
Konflik Papua,Jacob Rumbiak
Konflik Papua,Egianus Kogoya
Konflik Papua,Sebby Sambom
Konflik Papua,Goliath Tabuni
Konflik Papua,Kelly Kwalik
Konflik Papua,Joni Botak
