key,units
Pemberontakan DI/TII di Aceh,""
Pertempuran Lima Hari,Pemuda Indonesia
Pertempuran Bojong Kokosan,""
Pertempuran Lengkong,""
Bandung Lautan Api,Tentara Republik Indonesia
Perang Cumbok,""
Delapan Jam Pertempuran di Mangkang,""
Puputan Margarana,Batalyon Ciung Wanara
Perang Dayak Desa,""
Gerakan 30 September,
Kampanye Kalimantan (1945),""
Pertempuran Medan Area,Tentara Keamanan Rakyat
Serangan Umum Surakarta,Brigade V/Panembahan Senopati
Serangan Umum 1 Maret 1949,Tentara Republik Indonesia
Penyerbuan Kotabaru Yogyakarta,""
Pertempuran Surabaya,"TKR Surabaya, Sidoarjo, Gresik"
Peristiwa 19 November,""
Peristiwa Tiga Maret,""
Pertempuran Kumai,""
Revolusi Nasional Indonesia,BKR/TKR/TRI/TNI: 150.000
Kampanye Hindia Belanda,"148.000 pasukan: 40.000 pasukan Belanda, 100.000 pasukan lokal, 8.000 pasukan Anglo-Amerika"
Operasi 17 Agustus,"6.500 Personel TNI AD, AL, AU"
Konflik Papua,Tentara Nasional Indonesia
Pertempuran Lima Hari,BKR
Pertempuran Lima Hari,Polisi
Bandung Lautan Api,Barisan Rakyat Indonesia
Pertempuran Medan Area,Milisi
Serangan Umum Surakarta,MBB Brimob
Serangan Umum Surakarta,MBK Brimob Karesidenan
Serangan Umum Surakarta,Kompi Zeni TP atau TGP
Serangan Umum Surakarta,Detasemen TP Brigade XVII
Serangan Umum 1 Maret 1949,Kepolisian Negara Republik Indonesia
Pertempuran Surabaya,Barisan Pemberontakan Rakyat Indonesia
Pertempuran Surabaya,Polisi Istimewa Surabaya
Revolusi Nasional Indonesia,"Laskar rakyat: diperkirakan 60,000"
Revolusi Nasional Indonesia,"Relawan Muda: 100,000"
Revolusi Nasional Indonesia,"Relawan Jepang: 1,000"
Revolusi Nasional Indonesia,Desertir India: 600
Kampanye Hindia Belanda,33 kapal perang
Kampanye Hindia Belanda,41 kapal selam
Kampanye Hindia Belanda,234 pesawat terbang
Konflik Papua,Kodam XVII/Cenderawasih
Konflik Papua,Kodam XVIII/Kasuari
Konflik Papua,Kepolisian Negara Republik Indonesia
Konflik Papua,Barisan Merah Putih
Konflik Papua,Warga sipil pro-Indonesia
Pemberontakan DI/TII di Aceh,""
Pertempuran Lima Hari,Batalyon Infanteri Khusus ke-5 (Kido Butai)
Pertempuran Bojong Kokosan,""
Pertempuran Lengkong,""
Bandung Lautan Api,Angkatan Bersenjata Britania Raya
Perang Cumbok,""
Delapan Jam Pertempuran di Mangkang,""
Puputan Margarana,1 pesawat pangebom (saking Makassar)
Perang Dayak Desa,""
Gerakan 30 September,
Kampanye Kalimantan (1945),""
Pertempuran Medan Area,Angkatan Darat Britania Raya
Serangan Umum Surakarta,11 Batalyon Tentara Belanda
Serangan Umum 1 Maret 1949,Tentara Kerajaan Belanda
Penyerbuan Kotabaru Yogyakarta,""
Pertempuran Surabaya,5th Indian Infantry Division
Peristiwa 19 November,""
Peristiwa Tiga Maret,""
Pertempuran Kumai,""
Revolusi Nasional Indonesia,"Belanda: 200,000"
Kampanye Hindia Belanda,52 kapal perang
Operasi 17 Agustus,Tidak diketahui
Konflik Papua,Unit otonom berafiliasi dengan Tentara Pembebasan Nasional Papua Barat (TPNPB) atau Tentara Revolusi West Papua (TRWP)
Pertempuran Lima Hari,"Yagi Butai (batalion Resimen Infanteri ke-42, Divisi ke-5, Angkatan Darat ke-2), dan unit-unit yang lebih kecil"
Bandung Lautan Api,Angkatan Darat Britania Raya
Bandung Lautan Api,Tentara Kerajaan Hindia Belanda
Puputan Margarana,8 (IV) Bataljon Stoottroepen
Puputan Margarana,Gajah Merah KNIL Batalyon Infanteri X
Puputan Margarana,Gajah Merah KNIL Batalyon Infanteri XI
Puputan Margarana,Gajah Merah KNIL Batalyon Infanteri XII
Pertempuran Medan Area,KNIL
Pertempuran Medan Area,NICA
Serangan Umum 1 Maret 1949,Tentara Kerajaan Hindia Belanda
Pertempuran Surabaya,23rd Indian Infantry Division
Pertempuran Surabaya,49th Indian Infantry Brigade
Revolusi Nasional Indonesia,"Inggris: 50,000"
Revolusi Nasional Indonesia,"Jepang: 35,000"
Kampanye Hindia Belanda,18 kapal selam
Kampanye Hindia Belanda,50.000 pasukan
Kampanye Hindia Belanda,331 pesawat terbang
Konflik Papua,Persatuan Gerakan Pembebasan Papua Barat (ULMWP)
Konflik Papua,Warga sipil pro-kemerdekaan
