party,wikiurl,page_title
Independen,https://id.wikipedia.org/wiki/Politikus_independen,Politikus independen
Masyumi,https://id.wikipedia.org/wiki/Partai_Majelis_Syuro_Muslimin_Indonesia,Partai Majelis Syuro Muslimin Indonesia
Insulinde,https://id.wikipedia.org/wiki/Insulinde_(partai_politik),Insulinde (partai politik)
Partai Sosialis Indonesia,https://id.wikipedia.org/wiki/Partai_Sosialis_Indonesia_(Parsi),Partai Sosialis Indonesia (Parsi)
Golkar,https://id.wikipedia.org/wiki/Partai_Golongan_Karya,Partai Golongan Karya
Boedi Oetomo,https://id.wikipedia.org/wiki/Boedi_Oetomo,Boedi Oetomo
Nahdlatul Ulama,https://en.wikipedia.org/wiki/Nahdlatul_Ulama,Nahdlatul Ulama
Persatuan Muslimin Indonesia,https://id.wikipedia.org/wiki/Persatuan_Muslim_Indonesia,Persatuan Muslim Indonesia
Persatuan Arab Indonesia ,https://id.wikipedia.org/wiki/Persatuan_Arab_Indonesia,Persatuan Arab Indonesia
Partai Indonesia,https://id.wikipedia.org/wiki/Partai_Indonesia,Partai Indonesia
Partai Ikatan Pendukung Kemerdekaan Indonesia,https://id.wikipedia.org/wiki/Partai_Ikatan_Pendukung_Kemerdekaan_Indonesia,Partai Ikatan Pendukung Kemerdekaan Indonesia
Partai Syarikat Islam Indonesia,https://id.wikipedia.org/wiki/Partai_Syarikat_Islam_Indonesia,Partai Syarikat Islam Indonesia
Partai Komunis Indonesia,https://id.wikipedia.org/wiki/Partai_Komunis_Indonesia,Partai Komunis Indonesia
PNI Supeni,,
Partai Nasional Indonesia,https://id.wikipedia.org/wiki/Partai_Nasional_Indonesia,Partai Nasional Indonesia
Partai Gerakan Indonesia Merdeka,,
Partai Kemerdekaan Indonesia Irian,https://id.wikipedia.org/wiki/Partai_Kemerdekaan_Indonesia_Irian,Partai Kemerdekaan Indonesia Irian
Partai Komunis Belanda,,
Partai Demokrasi Indonesia,https://id.wikipedia.org/wiki/Partai_Demokrasi_Indonesia,Partai Demokrasi Indonesia
Gerakan Rakyat Indonesia,https://id.wikipedia.org/wiki/Gerakan_Rakyat_Indonesia,Gerakan Rakyat Indonesia
Partai Persatuan Indonesia (Parpindo),,
Gerakan Rakyat Baru,,
Pemuda Republik Indonesia,,
