abbreviation,affiliation1,affiliation1_title,anthem,banned,caption,catatan,chairman,chairperson,colorcode,colors,continental,country,country2,country_dab1,country_dab2,dissolution,dissolved,elections_dab1,elections_dab2,europarl,european,first_secretary,flag,footnotes,foundation,founded,founder,general_secretary,headquarters,ideologi,ideology,infobox_name,international,kantorpusat,ketuaumum,labour,lang1,leader,leader1_name,leader1_title,leader2_name,leader2_title,leader3_name,leader3_title,leader4_name,leader4_title,leader5_name,leader5_title,legalised,logo,logo_size,membership,membership_year,merged,merger,nama,namaasli,name,name_lang1,national,native_name,native_name_lang,newspaper,page_title,parties_dab1,parties_dab2,pemilu,political_position,position,predecessor,president,presidium,regional,registered,religion,seats1,seats1_title,secretary,secretary_general,sekjen,situsweb,slogan,split,spokesperson,state,student_wing,successor,summary,symbol,tahun,think_tank,vice_chairperson,website,wikiurl,wing1,wing1_title,wing2,wing2_title,wing3,wing3_title,wing4,wing4_title,women,women_wing,womens_wing,youth,youth_wing
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wongsonegoro,,,,Nasionalis,Infobox partai politik,,,,,,,,,,,,,,,,,,,,,,,,,,Persatuan Indonesia Raya,,,,,,Partai Persatuan Indonesia Raya,,,Pemilihan umum legislatif 1955,,,,,,,,,,,,,,,,,,,,PIR Wongsonegoro  PIR Hazairin,"Partai Persatuan Indonesia Raya atau PIR adalah Partai Politik di Indonesia. Tahun 1954 PIR pecah menjadi 2, PIR Wongsonegoro dan PIR Hazairin.",,,,,,https://id.wikipedia.org/wiki/Partai_Persatuan_Indonesia_Raya,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tan Malaka  Chaerul Saleh  Sukarni  Adam Malik,,,"","Sosialisme Komunisme NasionalMurbaisme""Pokok-Pokok Ajaran Tan Malaka (Murbaisme),"" Biro Pendidikan Partai Murba (1960)",Infobox partai politik Indonesia,,,,,,,,,,,,,,,,,,Logo of the Murba Party.svg,,,,,,Partai Murba,"",Partai Musyawarah Rakyat Banyak,,,,,,Partai Musyawarah Rakyat Banyak,,,,,Sayap-kiri,,,,,,,,,,,,,,,,,,,"Partai Musyawarah Rakyat Banyak atau Partai Murba adalah partai politik Indonesia yang didirikan pada 7 November 1948 oleh Tan Malaka, Chaerul Saleh, Sukarni dan Adam Malik. Partai ini sempat dibekukan pada September 1965, akan tetapi setahun kemudian partai ini direhabilitasi oleh pemerintah yang dalam masa peralihan dari Soekarno ke Soeharto. Pada tahun 1971, partai ini mengikuti Pemilu 1971 akan tetapi pada Pemilu 1977 partai ini dilebur dalam Partai Demokrasi Indonesia. Pada era demokrasi dibuka kembali oleh pemerintah di Pemilu 1999, partai ini muncul kembali dengan nama Partai Murba dengan nomor urut 31 akan tetapi karena tidak memenuhi electoral threshold partai ini lenyap kembali. Saat ini partai ini mulai bangkit kembali dengan nama Partai Murba Indonesia meskipun tidak lolos seleksi untuk mengikuti Pemilu 2009.",,1948.0,,,,https://id.wikipedia.org/wiki/Partai_Musyawarah_Rakyat_Banyak,,,,,,,,,,,,,
,,,,,Logo internasional Hizbut Tahrir,,,,#000000,,,,,,,,2017-12-31,,,,,,200px,,"",1953-01-01,Syekh Taqiyuddin An Nabhani,,Beirut,,"Pan IslamismeIslamismeSupremasisme MuslimSandra Laville ""Banned groups with roots in UK appeal to disaffected young Muslims,"" The Guardian (6 August 2005).Lambroschini, Sophie. ""Germany: Court Appeal By Hizb Ut-Tahrir Highlights Balancing Act Between Actions, Intentions"", Radio Free Europe/Radio Liberty, 26 October 2004.""The Muslim Ummah will never submit to the Jews,"" Hizb ut-Tahrir (3/11/1999)KhalifismeDraft Constitution of the Khilafah State, 2011: Article 26an-Nabhani, The Islamic State, 1998: p.240–276SalafismeJihadismeHizb ut-Tahrir, Hizb ut-Tahrir, p.67Ahmed & Stuart, Hizb Ut-Tahrir, 2009: p.3, 20–25Anti-sekularismeAhmed & Stuart, Hizb Ut-Tahrir, 2009: p.40‘Adopting Secularism in Government is Apostasy from islam’, Hizb ut-Tahrir Leaflet, 2 July 1996. An internet archive search reveals this leaflet was posted on Khilafah.com. See https://web.archive.org/web/20041109225357/http://www.khilafah.com/home/category.php?DocumentID=13&TagID=3 [accessed 31 August 2009]. This leaflet is currently uploaded on HT Pakistan's website, available at http://www.hizb-pakistan.org/home/leaflets/leaflets-international/adopting-secularism-in-government-is-apostasyfrom-islam  [accessed 31 August 2009]Sentimen anti-BaratSentimen anti-HinduSentimen anti-KristenAnti-nasionalismeAntisemitismeAnti-ZionismeLambroschini, Sophie. ""Germany: Court Appeal By Hizb Ut-Tahrir Highlights Balancing Act Between Actions, Intentions"", Radio Free Europe/Radio Liberty, 26 October 2004.Anti-demokrasiBaran, Hizb ut-Tahrir: Islam's Political Insurgency, 2004:24Anti-liberalismeAnti-komunismeHizbut Tahrir, System of Islam, 2002: p.37-8Antikapitalisme",Infobox Partai Politik,Mancanegara,,,,,Syeikh Atha' Abu Rasytah,,,,,,,,,,,,,200px,Jutaan pengikut (perkiraan),,,,,,Hizbut Tahrir,,,,,,Hizbut Tahrir,,,,,,,,,,,,,,,,,,,,,,,,"Hizb ut-Tahrir (Arab: حزب التحريرcode: ar is deprecated  Ḥizb at-Taḥrīr; Partai Pembebasan) adalah organisasi politik pan-Islamis, yang menganggap ""ideologinya sebagai ideologi Islam"", yang tujuannya membentuk ""Khilafah Islam"" atau negara Islam. Kekhalifahan baru akan menyatukan komunitas Muslim (Ummah) dalam negara Islam kesatuan (bukan federal) dari negara-negara mayoritas Muslim. Mulai dari Maroko di Afrika Utara ke Filipina selatan di Asia Tenggara. Negara yang diusulkan akan menegakkan hukum Syariah Islam, kembali ke ""tempat yang selayaknya sebagai negara pertama di dunia"", dan membawa ""dakwah Islam"" ke seluruh dunia. Sampai pertengahan 2015 organisasi ini dilarang di Jerman, Rusia, Cina, Mesir, Turki, dan semua negara Arab kecuali Lebanon, Yaman dan UEA. Organisasi ini terlibat dalam ""politik kebencian"" dan intoleransi yang memberikan pembenaran ideologis untuk kekerasan; memanggil pelaku bom bunuh diri sebagai ""martir"", menuduh negara-negara barat melancarkan perang terhadap Islam dan Muslim, dan menyerukan penghancuran umat Hindu di Kashmir, orang Rusia di Chechnya dan orang Yahudi di Israel; sampai ""negara Islam"" telah didirikan.",,,,,www.hizb-ut-tahrir.org,https://id.wikipedia.org/wiki/Hizbut_Tahrir,,,,,,,,,,,,,
Parkindo,,,,,,,Wilhelmus Zakaria Johannes (pertama)Melanchton Siregar (terakhir),,,,,Indonesia,,,,,1973-01-10,,,,,,,,"",1945-11-10,,Margonda (pertama)Sabam Sirait (terakhir),Jakarta,,Pancasila,Infobox political party,,,,,,,,,,,,,,,,,,Logo of Indonesian Christian Party.svg,120px,1.049.475 (1969),,,,,,Partai Kristen Indonesia,,,,Indonesia,"Kemudi, Sinar Harapan",Partai Kristen Indonesia,,,,,Kanan-tengah,,,,,,Kristen Protestan,,,,Margonda (pertama)Sabam Sirait (terakhir),,,,,,,Gerakan Mahasiswa Kristen IndonesiaGerakan Siswa Kristen Indonesia,,"Partai Kristen Indonesia (disingkat Parkindo) adalah Partai Politik Indonesia pada 1950 - 1973. Basis wilayahnya pada daerah Protestan Indonesia seperti di Tapanuli, Nias, Karo, Simalungun, Toraja, Kabupaten Poso, , Minahasa, Sumba, Kupang, Kepulauan Maluku, dan Irian Jaya serta komunitas kecil Kristen di Jawa.",,,Persatuan Intelegensia Kristen Indonesia,,,https://id.wikipedia.org/wiki/Partai_Kristen_Indonesia,Divisi Panah (pada masa Revolusi Nasional Indonesia),Sayap militer,,,,,,,,Persatuan Wanita Kristen Indonesia,"",,Gerakan Angkatan Muda Kristen Indonesia
,,,,,,,,,,Merah,,Indonesia,,,,"",1960-08-17,,,,,,,,,,,,Jakarta,,Sosialisme,Infobox Political party,Konferensi Sosialis Asia,,,,,Sutan Syahrir,,,,,,,,,,,,"",,,,,,,,Partai Sosialis Indonesia,,,,,Pedoman,Partai Sosialis Indonesia,,,,,,Partai Sosialis,,,,,,,,,,,,,,,Indonesia,,,"Partai Sosialis Indonesia (PSI) adalah sebuah partai politik di Indonesia dari tahun 1948 hingga 1960, ketika partai ini dilarang oleh Presiden Soekarno.",Bintang Merah,,,,,https://id.wikipedia.org/wiki/Partai_Sosialis_Indonesia,,,,,,,,,,Gerakan Wanita Sosialis,,,Gerakan Pemuda Sosialis
Masyumi,,,,,,,Soekiman Wirjosandjojo (pertama)Mohammad NatsirPrawoto Mangkusasmito (terakhir),,black,,,Indonesia,,,,"",1960-08-17,,,,,,,,"",1945-11-08,,,Jakarta,,IslamismePan IslamismePancasilaKonservatisme,Infobox political party,,,,,,,,,,,,,,,,,,Logo of the Masyumi Party.svg,,10 juta (1950),"",Muhammadiyah Persatuan Islam Nahdlatul Ulama Persatuan Ummat Islam Al Washliyah Al Ittihadiyah Nahdlatul Wathan Mathla'ul Anwar,Muhammadiyah Persatuan Islam Nahdlatul Ulama Persatuan Ummat Islam Al Washliyah Al Ittihadiyah Nahdlatul Wathan Mathla'ul Anwar,,,Partai Majelis Syuro Muslimin Indonesia,,,Partai Majelis Syuro Muslimin Indonesia,,Abadi,Partai Majelis Syuro Muslimin Indonesia,,,,,,Majelis Islam A'la Indonesia,,,,,Islam Sunni,,,,,,,,,,,,Keluarga Bulan Bintang (kemudian menjadi  Partai Bulan Bintang; dideklarasikan kembali tahun 2020 dengan nama Partai Masyumi),"Partai Majelis Syuro Muslimin Indonesia atau disingkat menjadi Masyumi, adalah partai politik Islam yang pernah ada selama era Demokrasi Liberal di Indonesia. Partai ini dibubarkan oleh Presiden Sukarno pada tahun 1960 karena keterlibatan tokoh-tokohnya dalam Pemerintahan Revolusioner Republik Indonesia (PRRI).",,,,,,https://id.wikipedia.org/wiki/Partai_Majelis_Syuro_Muslimin_Indonesia,,,,,,,,,,,,,
,,,,,,,Amir Sjarifuddin,,red,Merah,,Indonesia,,,,,1945-12-31,,,,,,,,"",1945-11-13,,,Jakarta,,Sosialisme,Infobox political party,,,,,,,,,,,,,,,,,,,,,,Partai Sosialis,,,,Partai Sosialis Indonesia,,,,,,Partai Sosialis Indonesia (Parsi),,,,,,,,,,,,,,,,,,,,,,,,"Partai Sosialis Indonesia (Parsi) adalah sebuah partai politik di Indonesia. Partai tersebut didirikan di sebuah pertemuan di Yogyakarta pada 13 November 1945. Menteri Pertahanan Amir Sjarifuddin menjadi ketua dari partai tersebut. Parsi kebanyakan terdiri dari mantan kolega Amir Sjarifuddin dari perjuangan pemberontakan masa perang di Jawa Timur. Beberapa diantaranya berasal dari Gerindo ('Gerakan Rakyat Indonesia'), sebuah kelompok nasionalis dan pro-Sukarno sayap kiri yang aktif sebelum perang. Terdapat juga beberapa orang, seperti Abdulmadjid, Moewaladi dan Tamzil, yang tinggal di Belanda pada masa perang, dan ikut serta dalam perjuangan pemberontakan anti-fasis disana. Tujuan utama Parsi adalah kemerdekaan Indonesia dari kekuasaan kolonial, yang disusul oleh pembangunan masyarakat sosialis.Pada Desember 1945, di sebuah pertemuan di Cirebon, partai tersebut digabung dengan Partai Rakjat Sosialis (Paras), membentuk Partai Sosialis dengan Amir Sjarifuddin sebagai wakil ketua. Namun, bahkan setelah penggabungam kelompok Parsi dan Paras tetap berdiri sebagai faksi di dalam partai baru. Umumnya bersuara, para mantan anggota Parsi mewakili garis yang lebih radikal dan populis. Pada Agustus 1948, saat Sjahrir dan para pengikutnya meninggalkan Partai Sosialis, Partai tersebut mengeluarkan pernyataan kritisisme diri. Pernyataan tersebut menyatakan bahwa meskipun Parsi didirikan oleh komunis bawah tanah, partai tersebut tak mengambil bentuk partai komunis. Selain itu, pernyataan tersebut menyinggung penggabungan 'sayap kanan' dan 'reformis' Paras. Secara garis besar, para mantan anggota Parsi adalah orang-orang yang menetap di Partai Sosialis sementara para mantan anggota Paras hengkang bersama dengan Sjahrir. Namun, terdapat beberapa pengecualian terkenal, seperti Wijono (yang telah menjadi militan Parsi, namun berakhir sebagai salah satu pemimpin utama partai Sjahrir).",,,,,,https://id.wikipedia.org/wiki/Partai_Sosialis_Indonesia_(Parsi),,,,,,,,,,,,,
Partai Golkar,,,,,,,"",,#FFFF00,,,,,,,,,,,,,,,,,,,Lodewijk Freidrich Paulus,Jakarta,"","Pancasila Peta Baru Ideologi Partai Politik Indonesia  Nurjaman  Asep  2009  Bestari  Neliti.com  https://www.neliti.com/publications/243916/peta-baru-ideologi-partai-politik-indonesia  2022-12-03  2022-11-13  https://web.archive.org/web/20221113130959/https://www.neliti.com/publications/243916/peta-baru-ideologi-partai-politik-indonesia  noThe Economist Indonesia's election 24 March 2009 https://www.economist.com/node/13355940 2021-02-26 2018-05-03 https://web.archive.org/web/20180503180711/https://www.economist.com/node/13355940 noKonservatisme bangsaImages of Malay-Indonesian Identity 1997 OUP 101 Michael HitchcockDevelopmentalismehttps://jurnal.untirta.ac.id/index.php/jog/article/download/2674/2090 Dinamika Partai Politik dan Positioning Ideologi: Studi Tentang Pergeseran Positioning Ideologi Partai-partai Politik Peserta Pemilu 2014 Journal of Governance 2024-03-31 2020-08-05 https://web.archive.org/web/20200805144324/http://jurnal.untirta.ac.id/index.php/jog/article/download/2674/2090 noLiberalisme ekonomihttps://carnegieendowment.org/2013/10/24/indonesia-s-political-parties-pub-53414 Indonesia's Political Parties Nadia Bulkin Carnegie Endowment for International Peace 2021-02-26 2021-08-14 https://web.archive.org/web/20210814010312/https://carnegieendowment.org/2013/10/24/indonesia-s-political-parties-pub-53414 noNasionalisme IndonesiaSekularismeMasa Orde Baru:Tenda besarEditorial of Suara Karya, 1 May 1971Otoritarianisme sayap-kananAnti-komunismeNasionalisme IndonesiaFaksi:Ultranasionalismehttps://www.jstor.org/stable/27751535 Comparing Indonesia's Party Systems of the 1950s and the Post-Suharto Era: From Centrifugal to Centripetal Inter-Party Competition 2021-07-24 2023-07-12 https://web.archive.org/web/20230712093306/https://www.jstor.org/stable/27751535 no",Infobox partai politik Indonesia,,"Jakarta, Indonesia",Airlangga Hartarto,SOKSI KSPSI KORPRI (1971–1999),,Airlangga Hartarto,Kahar Muzakir,Ketua Fraksi di DPR,,,,,,,,,,Logo Golkar.svg,,839.187 (2022),,,,Partai Golongan Karya,,Partai Golongan Karya,,,,,Suara Karya (1971–2016),Partai Golongan Karya,,,,Kanan-tengah13 Oxford Business Group 2008 The Report: Indonesia 2008 ke sayap-kanan116 Political Systems Of The World Allied Publishers 1990 J. Denis DerbyshireAnjali Thomas Bohlken Cambridge University Press 2016 221 Democratization from AboveSelama Orde Baru:Kanan-jauhhttps://www.tandfonline.com/doi/full/10.1080/14623528.2017.1393943 Contesting Victimhood in the Indonesian Anti-Communist Violence and Its Implications for Justice for the Victims of the 1968 South Blitar Trisula Operation in East Java 2021-07-24 2023-10-06 https://web.archive.org/web/20231006033044/https://www.tandfonline.com/doi/full/10.1080/14623528.2017.1393943 no,Kanan-tengah13 Oxford Business Group 2008 The Report: Indonesia 2008 ke sayap-kanan116 Political Systems Of The World Allied Publishers 1990 J. Denis DerbyshireAnjali Thomas Bohlken Cambridge University Press 2016 221 Democratization from AboveSelama Orde Baru:Kanan-jauhhttps://www.tandfonline.com/doi/full/10.1080/14623528.2017.1393943 Contesting Victimhood in the Indonesian Anti-Communist Violence and Its Implications for Justice for the Victims of the 1968 South Blitar Trisula Operation in East Java 2021-07-24 2023-10-06 https://web.archive.org/web/20231006033044/https://www.tandfonline.com/doi/full/10.1080/14623528.2017.1393943 no,,,,,,,,,,,"","","Suara Golkar, Suara Rakyat",,,,,,"Partai Golongan Karya atau secara umum disingkat dengan Partai Golkar adalah sebuah partai politik di Indonesia. Didirikan sebagai Sekretariat Bersama Golongan Karya (Sekber Golkar) pada tahun 1964, dan berpartisipasi untuk pertama kalinya dalam pemilihan umum nasional pada 1971 sebagai Golkar (Golongan Karya). Partai Golongan Karya tidak resmi menjadi partai politik hingga tahun 1999, ketika Golkar diperlukan untuk menjadi sebuah partai untuk mengikuti pemilihan.",,1964 10 20,,,partaigolkar.com,https://id.wikipedia.org/wiki/Partai_Golongan_Karya,SOKSI KSPSI KORPRI (1971–1999),Sayap buruh,,,,,,,"",KPPG (Kesatuan Perempuan Partai Golkar),,AMPG (Angkatan Muda Partai Golkar) AMPI (Angkatan Muda Pembaharu Indonesia),AMPG (Angkatan Muda Partai Golkar) AMPI (Angkatan Muda Pembaharu Indonesia)
,,,,,,,,,Red,Merah,,,,,,"",1935-12-25,,,,,,,,"",1908-05-20,SoetomoWahidin SudirohusodoGunawan MangunkusumoSoeradji,,Jakarta,,Nasionalisme,Infobox Political party,,,,,,Soetomo,,,,,,,,,,,,,,,,,,,,Budi Utomo,,,,,,Boedi Oetomo,,,,,"",,,,,,,,,,,,,,,,,,Parindra,"Boedi Oetomo (EYD: Budi Utomo) adalah organisasi pemuda yang didirikan oleh dr.Soetomo' dan para pelajar School tot Opleiding van Inlandsche Artsen (STOVIA), pada tanggal 20 Mei 1908. Organisasi ini digagas oleh Wahidin Sudirohusodo Bergerak di bidang sosial, ekonomi, budaya, dan politik.",,,,,,https://id.wikipedia.org/wiki/Boedi_Oetomo,,,,,,,,,,,,,
NU,,,,,,,,,green,,,Indonesia,,,,,1973-01-05,,,,,,,,"",1952-01-01,,,Jakarta,,Islamisme (Islam tradisionalis),Infobox political party,,,,,,K.H. Hasyim Asy'ari,,,,,,,,,,,,Flag of Nahdlatul Ulama.jpg,,,,Partai Persatuan Pembangunan,,,,Nahdlatul Ulama,,Liga Muslimin Indonesia,,,Duta Masjarakat,Nahdlatul Ulama,,,,,,,,,,,Islam,,,,,,,,"",,,,Masyumi,"Nahdlatul Ulama (NU, Arab: نَهْضَةُ الْعُلَمَاءْ, translit: nahḍatul ‘ulamā', lit. 'Kebangkitan Ulama'code: ar is deprecated ;) adalah organisasi keagamaan Islam Indonesia didirikan oleh Hasyim Asy'ari, kepala Pondok Pesantren Tebuireng dari Jombang, Jawa Timur. NU memiliki anggota berkisar dari 40 juta (2013) hingga lebih dari 95 juta pada (2021) yang menjadikannya sebagai organisasi Islam terbesar di dunia. NU juga merupakan badan amal yang mengelola pondok pesantren, sekolah, perguruan tinggi, dan rumah sakit serta mengorganisir masyarakat untuk membantu peningkatan kualitas hidup umat Islam.",,,,,,https://id.wikipedia.org/wiki/Nahdlatul_Ulama,,,,,,,,,,,,,Gerakan Pemuda Ansor
