chairman,founder,ideology,merged,position,predecessor,successor,think_tank,national,regional,continental,international,european,student_wing,vice_chairperson,youth_wing,women_wing,page_title
,Wongsonegoro,Nasionalis,,,,"PIR Wongsonegoro,PIR Hazairin",,,,,,,,,,,Partai Persatuan Indonesia Raya
,"Tan Malaka,Chaerul Saleh,Sukarni,Adam Malik","Sosialisme,Komunisme,Nasional,Murbaisme",,Sayap-kiri,,,,,,,,,,,,,Partai Musyawarah Rakyat Banyak
,Syekh Taqiyuddin An Nabhani,"Pan Islamisme,Islamisme,Supremasisme,Muslim,Khalifisme,Salafisme,Jihadisme,Anti-sekularisme,Sentimen anti-Barat,Sentimen anti-Hindu,Sentimen anti-Kristen,Anti-nasionalisme,Antisemitisme,Anti-Zionisme,Anti-demokrasi,Anti-liberalisme,Anti-komunisme,Antikapitalisme",,,,,,,,,Mancanegara,,,,,,Hizbut Tahrir
"Wilhelmus Zakaria Johannes,Melanchton Siregar",,Pancasila,,Kanan-tengah,,,Persatuan Intelegensia Kristen Indonesia,,,,,,"Gerakan Mahasiswa Kristen Indonesia,Gerakan Siswa Kristen Indonesia",,Gerakan Angkatan Muda Kristen Indonesia,Persatuan Wanita Kristen Indonesia,Partai Kristen Indonesia
,,Sosialisme,,,Partai Sosialis,,,,,,Konferensi Sosialis Asia,,,,Gerakan Pemuda Sosialis,Gerakan Wanita Sosialis,Partai Sosialis Indonesia
"Soekiman Wirjosandjojo,Mohammad Natsir,Prawoto Mangkusasmito",,IslamismePan IslamismePancasilaKonservatisme,Muhammadiyah Persatuan Islam Nahdlatul Ulama Persatuan Ummat Islam Al Washliyah Al Ittihadiyah Nahdlatul Wathan Mathla'ul Anwar,,Majelis Islam A'la Indonesia,Keluarga Bulan Bintang (kemudian menjadi  Partai Bulan Bintang; dideklarasikan kembali tahun 2020 dengan nama Partai Masyumi),,,,,,,,,,,Partai Majelis Syuro Muslimin Indonesia
Amir Sjarifuddin,,Sosialisme,Partai Sosialis,,,,,,,,,,,,,,Partai Sosialis Indonesia (Parsi)
,,"Pancasila Peta Baru Ideologi Partai Politik Indonesia  Nurjaman  Asep  2009  Bestari  Neliti.com  https://www.neliti.com/publications/243916/peta-baru-ideologi-partai-politik-indonesia  2022-12-03  2022-11-13  https://web.archive.org/web/20221113130959/https://www.neliti.com/publications/243916/peta-baru-ideologi-partai-politik-indonesia  noThe Economist Indonesia's election 24 March 2009 https://www.economist.com/node/13355940 2021-02-26 2018-05-03 https://web.archive.org/web/20180503180711/https://www.economist.com/node/13355940 noKonservatisme bangsaImages of Malay-Indonesian Identity 1997 OUP 101 Michael HitchcockDevelopmentalismehttps://jurnal.untirta.ac.id/index.php/jog/article/download/2674/2090 Dinamika Partai Politik dan Positioning Ideologi: Studi Tentang Pergeseran Positioning Ideologi Partai-partai Politik Peserta Pemilu 2014 Journal of Governance 2024-03-31 2020-08-05 https://web.archive.org/web/20200805144324/http://jurnal.untirta.ac.id/index.php/jog/article/download/2674/2090 noLiberalisme ekonomihttps://carnegieendowment.org/2013/10/24/indonesia-s-political-parties-pub-53414 Indonesia's Political Parties Nadia Bulkin Carnegie Endowment for International Peace 2021-02-26 2021-08-14 https://web.archive.org/web/20210814010312/https://carnegieendowment.org/2013/10/24/indonesia-s-political-parties-pub-53414 noNasionalisme IndonesiaSekularismeMasa Orde Baru:Tenda besarEditorial of Suara Karya, 1 May 1971Otoritarianisme sayap-kananAnti-komunismeNasionalisme IndonesiaFaksi:Ultranasionalismehttps://www.jstor.org/stable/27751535 Comparing Indonesia's Party Systems of the 1950s and the Post-Suharto Era: From Centrifugal to Centripetal Inter-Party Competition 2021-07-24 2023-07-12 https://web.archive.org/web/20230712093306/https://www.jstor.org/stable/27751535 no",,Kanan-tengah13 Oxford Business Group 2008 The Report: Indonesia 2008 ke sayap-kanan116 Political Systems Of The World Allied Publishers 1990 J. Denis DerbyshireAnjali Thomas Bohlken Cambridge University Press 2016 221 Democratization from AboveSelama Orde Baru:Kanan-jauhhttps://www.tandfonline.com/doi/full/10.1080/14623528.2017.1393943 Contesting Victimhood in the Indonesian Anti-Communist Violence and Its Implications for Justice for the Victims of the 1968 South Blitar Trisula Operation in East Java 2021-07-24 2023-10-06 https://web.archive.org/web/20231006033044/https://www.tandfonline.com/doi/full/10.1080/14623528.2017.1393943 no,,,,,,,,,,,AMPG (Angkatan Muda Partai Golkar) AMPI (Angkatan Muda Pembaharu Indonesia),KPPG (Kesatuan Perempuan Partai Golkar),Partai Golongan Karya
,SoetomoWahidin SudirohusodoGunawan MangunkusumoSoeradji,Nasionalisme,,,,Parindra,,,,,,,,,,,Boedi Oetomo
,,Islamisme (Islam tradisionalis),Partai Persatuan Pembangunan,,,Masyumi,,Liga Muslimin Indonesia,,,,,,,Gerakan Pemuda Ansor,,Nahdlatul Ulama
,Sartono,,,,PNI,Gerindo,,,,,,,,,,,Partai Indonesia
,,"PancasilaNasionalisme sayap kananVann  Michael G.  https://jacobin.com/2021/09/indonesia-sukarno-suharto-communists-genocide-dictatorship-corruption  Indonesia Still Hasn’t Escaped Suharto’s Genocidal Legacy  Jacobin.com  2021-09-29  2024-03-02  ""Although he hoped that this right-wing nationalist party would bring the officer corps into politics, the IPKI performed poorly at the polls.""",,,,,,,,,,,,,,,Partai Ikatan Pendukung Kemerdekaan Indonesia
,,Sosialisme Islam,PPP (1973–98),,Sarekat Islam,,,Liga Muslimin Indonesia,,,,,,,,,Partai Syarikat Islam Indonesia
,Semaun Darsono Alimin Adolf Baars,KomunismeMarxisme-LeninismeNasionalismeAnti-imperialismeAntikapitalisme,,,ISDV,,,,,,Komintern (sampai 1943),,CGMI,,Pemuda Rakyat,,Partai Komunis Indonesia
,,Nasionalisme IndonesiaPancasila MarhaenismeAnti-imperialisme,Partai Demokrasi Indonesia,,,Partai Nasional Indonesia Marhaenisme Partai Penegak Demokrasi Indonesia Partai Demokrasi Pembaruan Partai Nasional Banteng Kemerdekaan Partai Nasional Benteng Kerakyatan Indonesia Partai Pelopor,,,,,,,,,,,Partai Nasional Indonesia
,Silas Papare,Nasionalisme IndonesiaPancasila,,Tenda besar (Februari 2023),,,,,,,,,,,Gabungan Pemuda Indonesia,,Partai Kemerdekaan Indonesia Irian
,,PancasilaNasionalisme IndonesiaMarhaenismeSoekarnoisme (sejak 1990-an),,,Partai Nasional IndonesiaPartai MurbaPartai IPKIPartai Kristen IndonesiaPartai Katolik Indonesia,"Partai Demokrasi Indonesia Perjuangan (de facto)Partai Penegak Demokrasi Indonesia (de jure)Partai Demokrasi Rakyat IndonesiaWiryono  Singgih  6 August 2022  Maullana  Irfan  PDRI, Partai Pecahan PDI Resmi Mendaftar sebagai Calon Peserta Pemilu 2024  https://nasional.kompas.com/read/2022/08/06/16114721/pdri-partai-pecahan-pdi-resmi-mendaftar-sebagai-calon-peserta-pemilu-2024  Kompas.com",,,,,,,,,,,Partai Demokrasi Indonesia
,"Sartono
 Sanusi Pane
 Muhammad Yamin",NasionalismeSosialisme,,,Partai Indonesia,,,,,,,,,,,,Gerakan Rakyat Indonesia
