Column1;Column2
key;place
;
Perang Diponegoro;Yogyakarta
;
Perang Diponegoro;Surakarta
;
Perang Diponegoro;Jawa Tengah
;
Perang Diponegoro;Jawa Timur
;
Perang Padri;Sumatera Barat
;
Perang Padri;Sumatera Utara
;
Perang Padri;Riau
;
Perang Aceh;Kesultanan Aceh
;
Perang Aceh;Kesultanan Aceh
;
Perang Belasting;Kamang Magek, Agam
;
Perang Belasting;Agam
;
Perang Belasting;Sumatera Barat
;
Serbuan Yuan-Mongol ke Jawa;Jawa Timur
;
Pertempuran Lima Hari;Kota Semarang
;
Pertempuran Lima Hari;Jawa Tengah
;
Pertempuran Lima Hari;Indonesia
;
Perang Bayu;Bayu, Songgon, Banyuwangi
;
Perang Bayu;Songgon, Banyuwangi
;
Perang Bayu;Kabupaten Banyuwangi
;
Geger Sepehi;Keraton Yogyakarta
;
Pemberontakan Raden Ronggo;Jawa
;
Pertempuran Melaka (1641);Melaka
;
Pertempuran Melaka (1641);Malaysia
;
Perang Aceh;Kesultanan Aceh
;
Perang Aceh;Kesultanan Aceh
Perang Bubat;Alun-alun Bubat
;
Perang Bubat;Trowulan, Mojokerto
;
Perang Bubat;Majapahit
;
Perang Bubat;Trowulan, Mojokerto
;
Perang Bubat;Kabupaten Mojokerto
;
Perang Bubat;Jawa timur
;
Perang Bubat;Indonesia
;
Kampanye Hindia Belanda;Hindia Belanda
;
Perang Regreg;Majapahit
;
Perang Regreg;Jawa Timur
;
Perang Takhta Jawa Kedua;Jawa
;
Perang Banjar;Kesultanan Banjar
;
Perang Takhta Jawa Pertama;Jawa
;
Perang Takhta Jawa Ketiga;Jawa Tengah
;
Intervensi Belanda di Bali (1908);Bali
;
Penyerbuan Meester Cornelis;Batavia
;
Penyerbuan Meester Cornelis;Hindia Belanda
;
Penyerbuan Meester Cornelis;Jakarta
;
Penyerbuan Meester Cornelis;Indonesia
;
Invasi Chola ke Sriwijaya;Palembang
;
Invasi Chola ke Sriwijaya;Sumatra
;
Invasi Chola ke Sriwijaya;Kedah
;
Invasi Chola ke Sriwijaya;Semenanjung Malaya
;
Invasi Chola ke Sriwijaya;Sriwijaya
;
Intervensi Belanda di Bali (1858);Bali
;
Ekspedisi Palembang II;Palembang
;
Peperangan era Napoleon;Laut Mediterania
;
Peperangan era Napoleon;Laut Utara
;
Peperangan era Napoleon;Rio de la Plata
;
Peperangan era Napoleon;Guyana Prancis
;
Peperangan era Napoleon;Hindia Barat
;
Peperangan era Napoleon;Samudra Hindia
;
Peperangan era Napoleon;Kaukasus Selatan
;
Perang Pasifik;Asia Timur
;
Perang Pasifik;Asia Selatan
;
Perang Pasifik;Asia Tenggara
;
Perang Pasifik;Oseania
;
Perang Pasifik;Samudra Pasifik
;
Perang Pasifik;Samudra Hindia
;
Perang Belanda-Portugal;Brasil
;
Perang Belanda-Portugal;Afrika Barat
;
Perang Belanda-Portugal;Afrika Selatan
;
Perang Belanda-Portugal;Hindia Timur
;
Perang Belanda-Portugal;Indochina
;
Invasi Maluku;Kepulauan Maluku
;
Invasi Maluku;Hindia Belanda
Perang Jawa (1741–1743);Jawa Tengah
;
Perang Jawa (1741–1743);Jawa Timur
;
Perang Kuning;Jawa
