Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
key;start-date;end-date;start-year;start-month;start-day;end-year;end-month;end-day
;;;;;;;;
Perang Jawa (1741–1743);1-February-1741;1-January-1743;1741;2;;1743;;
;;;;;;;;
Perang Kuning;1-January-1741;1-January-1750;1741;;;1750;;
Perang Diponegoro;21 July 1825;9 February 1830;1825;6;21;1830;2;9
;;;;;;;;
Perang Padri;1 January 1803;1 January 1837;1803;;;1837;;
;;;;;;;;
Perang Aceh;1 January 1873;1 January 1904;1873;;;1904;;
;;;;;;;;
Perang Belasting;15 June 1908;16 June 1908;1908;6;15;1908;6;16
;;;;;;;;
Serbuan Yuan-Mongol ke Jawa;22 January 1293;1 August 1293;1293;1;22;1293;7;
;;;;;;;;
Pertempuran Lima Hari;15 October 1945;19 October 1945;1945;10;15;1945;10;19
;;;;;;;;
Perang Bayu;5 August 1771;11 October 1772;1771;7;5;1772;10;11
;;;;;;;;
Geger Sepehi;19 June 1812;20 June 1812;1812;6;19;1812;6;20
;;;;;;;;
Pemberontakan Raden Ronggo;20 November 1810;17 December 1810;1810;11;20;1810;12;17
;;;;;;;;
Pertempuran Melaka (1641);1 January 1641;;1641;;;;;
;;;;;;;;
Perang Aceh;1 january 1873;1 January1904;1873;;;1904;;
Perang Bubat;1-January-1357;;1357;;;;;
;;;;;;;;
Kampanye Hindia Belanda;8-December-1941;9-March-1942;1941;12;8;1942;3;9
;;;;;;;;
Perang Regreg;1-january-1404;1-january-1406;1404;;;1406;;
;;;;;;;;
Perang Takhta Jawa Kedua;1-january-1719;1-january-1723;1719;;;1723;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Perang Takhta Jawa Pertama;1-january-1704;1-january-1708;1704;;;1708;;
;;;;;;;;
Perang Takhta Jawa Ketiga;15-December-1749;1 February-1757;1749;12;15;1757;2;
;;;;;;;;
Intervensi Belanda di Bali (1908);28-April-1908;;1908;4;28;;4;
;;;;;;;;
Penyerbuan Meester Cornelis;14-August-1811;26-August-1811;1811;8;14;1811;8;26
;;;;;;;;
Invasi Chola ke Sriwijaya;1-january-1025;;1025;;;;;
;;;;;;;;
Intervensi Belanda di Bali (1858);1-january-1858;;1858;;;;;
;;;;;;;;
Ekspedisi Palembang II;1-january-1821;;1821;;;;;
;;;;;;;;
Peperangan era Napoleon;1-january-1803;1-january-1815;1803;;;1815;;
;;;;;;;;
Perang Pasifik;7-December-1941;2-September-1945;1941;12;7;1945;9;2
;;;;;;;;
Perang Belanda-Portugal;1-january-1602;1-january-1663;1602;;;1663;;
;;;;;;;;
Invasi Maluku;1-February-1810;1-August-1810;1810;2;;1810;8;
I Gusti Ketut Jelantik;;;;;;;;
;;;;;;;;
Pattimura;08-June-1783;16-December-1817;1783;6;8;1817;12;16
;;;;;;;;
Hein ter Poorten;21-November-1887;15-January-1968;1887;11;21;1968;1;15
;;;;;;;;
Conrad Helfrich;11-October-1886;;1886;10;11;;;
;;;;;;;;
Hisaichi Terauchi;08-August-1879;12-June-1946;1879;8;8;1946;6;12
;;;;;;;;
Hitoshi Imamura;28-June-1886;04-October-1968;1886;6;28;1968;10;4
;;;;;;;;
Shoji Nishimura;30-November-1889;24-October-1944;1889;11;30;1944;10;24
;;;;;;;;
Johan Harmen Rudolf Köhler;3-July-1818;14-April-1873;1818;7;3;1873;4;14
;;;;;;;;
Karel Doorman;23-April-1889;28-February-1942;1889;4;23;1942;2;28
;;;;;;;;
Jan van Swieten;;;;;;;;
;;;;;;;;
Jisaburo Ozawa;02-October-1886;09-November-1966;1886;10;2;1966;11;9
;;;;;;;;
Kiyotake Kawaguchi;03-December-1892;16-May-1961;1892;12;3;1961;5;16
Takeo Takagi;25-January-1892;16261;1892;1;25;1944;7;8
Tirtayasa dari Banten;1-January-1631;1-January-1692;1631;;;1692;;
;;;;;;;;
Sultan Hasanuddin;12-January-1631;12-June-1670;1631;1;12;1670;6;12
;;;;;;;;
Iskandar Muda dari Aceh;1-January-1593;27-Desember-1636;1593;;;1636;12;27
;;;;;;;;
Pakubuwana VI;26-April-1807;2-June-1849;1807;4;26;1849;6;2
;;;;;;;;
Untung Suropati;1-January-1660;;1660;;;;;
;;;;;;;;
Baabullah;10-February-1528;1-July-1583;1528;2;10;1583;7;
;;;;;;;;
Sultan Agung dari Mataram;1-January-1593;1-January-1645;1593;;;1645;;
;;;;;;;;
Pakubuwana X;29-November-1866;22-February-1939;1866;11;29;1939;2;22
;;;;;;;;
Andi Mappanyukki;;;;;;;;
;;;;;;;;
Hamengkubuwana I;4-August-1717;24-March-1792;1717;8;4;1792;3;24
;;;;;;;;
I Gusti Ngurah Made Agung;5-April-1876;20-September-1906;1876;4;5;1906;9;20
;;;;;;;;
Bataha Santiago;1-january-1622;;1622;;;;;
;;;;;;;;
Himayatuddin Muhammad Saidi;;1-january-1766;;;;1766;;
;;;;;;;;
Kubilai Khan;23-September-1215;;1215;9;23;;;
;;;;;;;;
Diponegoro;11-November-1785;8-January-1855;1785;11;11;1855;1;8
;;;;;;;;
Amangkurat III;?;1-january-1734;?;;;1734;;
;;;;;;;;
Pakubuwana I;2-February-1648;22-February-1719;1648;2;2;1719;2;22
;;;;;;;;
Paku Alam I;21-March-1764;4-October-1829;1764;3;21;1829;10;4
;;;;;;;;
Hamengkubuwana II;7-March-1750;3-January-1828;1750;3;7;1828;1;3
;;;;;;;;
Sultan Mahmud Syah;;28-January-1874;;;;1874;1;28
;;;;;;;;
Hamengkubuwana III;20 Februari 1769;3-November-1814;1769;2;20;1814;11;3
;;;;;;;;
Kiai Madja;1-January-1792;20-December-1849;1792;;;1849;12;20
;;;;;;;;
Pakubuwana VI;26-April-1807;2-June-1849;1807;4;26;1849;6;2
;;;;;;;;
Hidayatullah II dari Banjar;1-January-1822;24-November-1904;1822;;;1904;11;24
;;;;;;;;
Amangkurat IV;1-january-1680;20-April-1726;1680;;;1726;4;20
;;;;;;;;
Pakubuwana III;24-February-1732;26-September-1788;1732;2;24;1788;9;26
;;;;;;;;
Mangkunegara II;05-January-1768;17-January-1835;1768;1;5;1835;1;17
;;;;;;;;
Mangkunegara I;7-April-1725;28-December-1795;1725;4;7;1795;12;28
;;;;;;;;
Hamengkubuwana I;4-August-1717;24-March-1792;1717;8;4;1792;3;24
;;;;;;;;
Amangkurat V;1-january-1726;?;1726;;;?;;
;;;;;;;;
Pakubuwana II;8-December 1711;20-December-1749;1711;12;8;1749;8;20
;;;;;;;;
Hidayatullah II dari Banjar;1-January-1822;24-November-1904;1822;;;1904;11;24
;;;;;;;;
Amangkurat IV;1-January-1680;20-April-1726;1680;;;1726;4;20
;;;;;;;;
Pakubuwana IX;22-December-1830;16-March-1893;1830;12;22;1893;3;16
;;;;;;;;
Sultan Alauddin Riayat Syah;;1-January-1605;;;;1605;;
;;;;;;;;
Amangkurat I;1-January-1618;13-July-1677;1618;;;1677;7;13
;;;;;;;;
Pakubuwana VII;8-July-1796;10-May-1858;1796;7;8;1858;5;10
;;;;;;;;
Pakubuwana XI;1-February-1886;1-June-1945;1886;2;1;1945;6;1
;;;;;;;;
Hamengkubuwana IX;12-April-1912;2-October-1988;1912;4;12;1988;10;2
;;;;;;;;
Thaha Syaifuddin dari Jambi;;;;;;;;
;;;;;;;;
Paku Alam VII;9-December-1882;16-February-1937;1882;12;9;1937;2;16
;;;;;;;;
Hamengkubuwana II;7-March-1750;3-January-1828;1750;3;7;1828;1;3
;;;;;;;;
Sultan Muhammad Bahauddin;15-March-1729;2-April-1804;1729;3;15;1804;4;2
;;;;;;;;
Khairun Jamil dari Ternate;?;28-February-1570;?;;;1570;2;28
;;;;;;;;
Pangeran Anglingkusumo;8-January-1944;;1944;1;8;;;
;;;;;;;;
Hamengkubuwana X;2-April-1946;;1946;4;2;;;
;;;;;;;;
Sulaiman dari Banjar;-January-1761;03-June-1825;1761;;;1825;6;3
;;;;;;;;
Anyakrawati;tidak diketahui;1-january-1613;;;;1613;;
;;;;;;;;
Pakubuwana V;13-December-1784;5-September-1823;1784;12;13;1823;9;5
;;;;;;;;
Andi Abdullah Bau Massepe;;;;;;;;
Hayam Wuruk;1-january-1334;1-January-1389;1334;;;1389;;
Jayakatwang;;1-January-1293;;;;1293;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Linggabuana;;1-january-1357;;;;1357;;
;;;;;;;;
Dyah Pitaloka Citraresmi;1-January-1340;1-January-1357;1340;;;1357;;
;;;;;;;;
Wikramawardhana;;1-January-1429;;;;1429;;
Pemberontakan DI/TII di Aceh;1953-09-20;;1953;09;20;;;
Pertempuran Lima Hari;1945-10-15;1945-10-19;1945;10;15;1945;10;19
Pertempuran Bojong Kokosan;1945;;1945;;;;;
Pertempuran Lengkong;1946-01-25;;1946;01;25;;;
Bandung Lautan Api;1946-03-24;1946-04-24;1946;03;24;1946;04;24
Perang Cumbok;1945-12-02;1946-01-16;1945;12;02;1946;01;16
Delapan Jam Pertempuran di Mangkang;1946;;1946;;;;;
Puputan Margarana;1946-11-20;;1946;11;20;;;
Perang Dayak Desa;1944;1945-06-00;1944;;;1945;06;00
Gerakan 30 September;1965-09-30;1965-10-01;1965;09;30;1965;10;01
Kampanye Kalimantan (1945);1945–05-01 ;1945-08-15;1945;05;01;1945;08;15
Pertempuran Medan Area;1945-10-13;1946-04-15;1945;10;13;1946;04;15
Serangan Umum Surakarta;1949-08-07;;1949;08;07;;;
Serangan Umum 1 Maret 1949;1949-03-01;;1949;03;01;;;
Penyerbuan Kotabaru Yogyakarta;1945-10-07;;1945;10;07;;;
Pertempuran Surabaya;1945-10-27;1945-11-20;1945;10;27;1945;11;20
Peristiwa 19 November;1945-11-19;;1945;11;19;;;
Peristiwa Tiga Maret;1947-03-03;;1947;03;03;;;
Pertempuran Kumai;1946-01-14;;1946;01;14;;;
Revolusi Nasional Indonesia;1945–09-29 ;1949-12-27;1945;09;29;1949;12;27
Kampanye Hindia Belanda;1941-12-08;1942-03-09;1941;12;08;1942;03;09
Operasi 17 Agustus;1958-04-17;1958-05-24;1958;04;17;1958;05;24
Konflik Papua;1962-10-01;;1962;10;01;;;
