Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
key;start_date;end_date;start-year;start-month;start-day;end-year;end-month;end-day
;;;;;;;;
Kerusuhan rasial Jawa Tengah 1980;1980-11-20;1980-11-22;1980;11;20;1980;11;22
;;;;;;;;
Kerusuhan Banjarmasin;1997-05-23;1997-05-23;1997;05;23;1997;05;23
;;;;;;;;
Peristiwa Tanjung Priok;1984-09-13;1984-09-13;1984;09;13;1984;09;13
;;;;;;;;
Malari;1974-01-15;1974-01-16;1974;01;15;1974;01;16
;;;;;;;;
Peristiwa 19 Agustus 1966;1966-08-19;1966-08-19;1966;08;19;1966;08;19
;;;;;;;;
Kejatuhan Soeharto;1998-05-04;1998-05-21;1998;05;04;1998;05;21
;;;;;;;;
Kerusuhan Mei 1998;1998-05-04;1998-05-15;1998;05;04;1998;05;15
;;;;;;;;
Peristiwa 27 Juli;1996-07-27;1996-07-29;1996;07;27;1996;07;29
;;;;;;;;
Tragedi Semanggi;1998-11-13;1999-09-24;1998;11;13;1999;09;24
;;;;;;;;
Konflik sektarian Maluku;1999-01-14;2002-02-13;1999;01;14;2002;02;13
;;;;;;;;
Pembantaian Santa Cruz;1991-11-12;1991-11-12;1991;11;12;1991;11;12
;;;;;;;;
Tragedi Trisakti;1998-05-12;1998-05-12;1998;05;12;1998;05;12
;;;;;;;;
Pembantaian Gereja Liquiçá;1999-04-00;1999-04-00;1999;04;;1999;04;
;;;;;;;;
Pembantaian Gereja Suai;1999-09-06;1999-09-06;1999;09;06;1999;09;06
;;;;;;;;
Pembantaian di Indonesia 1965–1966;1965-00-00;1966-00-00;1965;;;1966;;
;;;;;;;;
Penculikan aktivis 1997/1998;1997-00-00;1998-00-00;1997;;;1998;;
;;;;;;;;
Insiden Penembakan Timika 1996;1996-04-15;1996-04-15;1996;04;15;1996;04;15
;;;;;;;;
Pembakaran Plaza Sentral Klender;1998-05-14;1998-05-14;1998;05;14;1998;05;14
;;;;;;;;
Genosida Timor Timur;1975-00-00;1999-00-00;1975;;;1999;;
;;;;;;;;
Pembantaian Beutong Ateueh;1999-07-23;1999-07-23;1999;07;23;1999;07;23
;;;;;;;;
Pengeboman Masjid Nurul Iman 1976;1976-11-11;1976-11-11;1976;11;11;1976;11;11
;;;;;;;;
