old;new
;
;
Polri;POLRI
;
TentaraNasionalIndonesia;TNI
;
;
;
Fretilin;FRETILIN
;
NegaraIslamIndonesia;DarulIslam
;
KepolisianNegaraRepublikIndonesia;POLRI
;
KorpsBrigadeMobil;Brimob
;
AhmadYani;AhmadYani
;
AdiPutraDarmawan;AdiPutraDarmawanTahir
;
HutomoMandalaPutra;TommySoeharto
;
PrabowoSubiantoDjojohadikusumo;PrabowoSubianto
;
SitiHediatiHariyadi;TitiekSoeharto
;
HashimSujonoDjojohadikusumo;HashimDjojohadikusumo
;
AnwarTjokroaminoto;OetarjoAnwarTjokroaminoto
;
OmarDhani;OmarDhani
;
PartaiDemokrasiIndonesiaPerjuangan;PartaiDemokrasiIndonesia
;
Soemitro;SoemitroDjojohadikoesoemo
;
SoeLiePiet;SalamSutrawan
;
SrgioVieiradeMello;SrgioVieiradeMello
;
AbdulLatief;AbdulLatiefpengusaha
;
AbdoelHarisNasoetion;AbdulHarisNasution
;
AHNasution;AbdulHarisNasution
;
;
;
HasandiTiro;HasanDiTiro
;
LBMoerdani;LeonardusBenyaminMoerdani
;
TahiBonarSimatupang;TBSimatupang
;
SjafruddinPrawiranegara;SyafruddinPrawiranegara
;
GatotSubroto;GatotSoebroto
;
HamengkubuwonoIX;HamengkubuwanaIX
;
LeonardusBenyamin;LeonardusBenyaminMoerdani
;
Moerdani;LeonardusBenyaminMoerdani
;
SimonHendrikSpoor;SimonSpoor
;
DaudBeureueh;DaudBeureueh
;
Sukarno;Soekarno
;
SuryadiSuryadarma;SoerjadiSoerjadarma
;
SusiloYudhoyono;SusiloBambangYudhoyono
;
MegawatiSukarnoputri;MegawatiSoekarnoputri
;
AlexKawilarang;AlexanderEvertKawilarang
;
SoejonoDjojohadikusumo;SoejonoDjojohadikoesoemo
;
AniYudhoyono;KristianiHerrawati
;
RogerioLobato;RogrioLobato
;
TeukuMohammadHadiThayeb;HadiThayeb
;
HoegengImamSantoso;HoegengImanSantoso
;
PakubuwanaIII;PakubuwonoIII
;
JisaburoOzawa;JisaburOzawa
;
ShojiNishimura;ShjiNishimura
;
TentaraKerajaanHindiaBelanda;KNIL
;
KesultananYogyakarta;KesultananNgayogyakartaHadiningrat
;
RepublicofChina;Taiwan
;
Majapahit;KemaharajaanMajapahit
;
PangeranPuger;PakubuwanaI
;
PakubuwonoII;PakubuwanaII
;
PangeranSambernyawa;MangkunegaraI
;
PangeranMangkubumi;HamengkubuwanaI
;
RolloGillespie;RobertRolloGillespie
;
PangeranHidayatullah;HidayatullahIIdariBanjar
;
Sutomo;Soetomo
;
ListyoSigitPrabowo;ListyoSigit
;
Assaat;MrAssaat
;
JaminGinting;DjaminGinting
;
HubertusJohannesvanMook;HubertusvanMook
;
DirkReinhardAdelbertvanLangen;DirkvanLangen
;
ArchibaldWavell1stEarlWavell;ArchibaldWavell
;
WilhelminadariBelanda;Wilhelmina
;
SyarifHamidIIdariPontianak;SultanHamidII
;
AmirSjarifoeddin;AmirSjarifuddin
;
RepublikIndonesia;Indonesia
;
TentaraKeamananRakyat;TNI
;
