a,type,label,wiki
http://127.0.0.1:3333/Trowulan,http://www.opengis.net/ont/geosparql#Feature,Trowulan,
http://127.0.0.1:3333/KubilaiKhan,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kubilai Khan,
http://127.0.0.1:3333/FerdinandIV,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Ferdinand IV,
http://127.0.0.1:3333/NyiAgengSerang,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Nyi Ageng Serang,
http://127.0.0.1:3333/PetrusAlbertusvanderParra,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Petrus Albertus van der Parra,
http://127.0.0.1:3333/RanggaLawe,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Rangga Lawe,
http://127.0.0.1:3333/Tamjid2dariBanjar,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tamjid 2 dari Banjar,
http://127.0.0.1:3333/KolonelAJAndresen,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kolonel AJ Andresen,
http://127.0.0.1:3333/AminUllah,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Amin Ullah,
http://127.0.0.1:3333/DemangLehman,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Demang Lehman,
http://127.0.0.1:3333/SultanMuhammadDaudSyah,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Sultan Muhammad Daud Syah,
http://127.0.0.1:3333/WilliamBeresford,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,William Beresford,
http://127.0.0.1:3333/OeiIngKiat,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Oei Ing Kiat,
http://127.0.0.1:3333/JacquesMacDonald,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Jacques MacDonald,
http://127.0.0.1:3333/SalvadordeS,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Salvador de Sá,
http://127.0.0.1:3333/GubernurJenderalMatiasdeAlbuquerque,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Gubernur Jenderal Matias de Albuquerque,
http://127.0.0.1:3333/TupiPotiguara,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tupi Potiguara,
http://127.0.0.1:3333/ViceroyPedrodaSilva,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Viceroy Pedro da Silva,
http://127.0.0.1:3333/Belanda,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Belanda,
http://127.0.0.1:3333/Kastilia,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kastilia,
http://127.0.0.1:3333/NicolaasHartingh,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Nicolaas Hartingh,
http://127.0.0.1:3333/LetnanKolonelElout,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Letnan Kolonel Elout,
http://127.0.0.1:3333/Holandia,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Holandia,
http://127.0.0.1:3333/Penggugat,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Penggugat,
http://127.0.0.1:3333/MikhailKutuzov,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Mikhail Kutuzov,
http://127.0.0.1:3333/PyotrBagration,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pyotr Bagration,
http://127.0.0.1:3333/PetarIPetroviNjego,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Petar I Petrovi?-Njegoš,
http://127.0.0.1:3333/RoyalisPrancis,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Royalis Prancis,
http://127.0.0.1:3333/VictorEmmanuelI,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Victor Emmanuel I,
http://127.0.0.1:3333/LouisNicolasDavout,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Louis-Nicolas Davout,
http://127.0.0.1:3333/BonAdrienJeannotdeMoncey,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Bon Adrien Jeannot de Moncey,
http://127.0.0.1:3333/FrederickWilliamIII,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Frederick William III,
http://127.0.0.1:3333/CountBennigsen,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Count Bennigsen,
http://127.0.0.1:3333/NicolasCharlesOudinot,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Nicolas Charles Oudinot,
http://127.0.0.1:3333/JeandeDieuSoult,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Jean-de-Dieu Soult,
http://127.0.0.1:3333/CharlesIV,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Charles IV,
http://127.0.0.1:3333/LouisI,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Louis I,
http://127.0.0.1:3333/FerdinandIII,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Ferdinand III,
http://127.0.0.1:3333/AdipatiAgungCharles,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Adipati Agung Charles,
http://127.0.0.1:3333/LouisAlexandreBerthier,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Louis-Alexandre Berthier,
http://127.0.0.1:3333/SpanyolBonaparte,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Spanyol Bonaparte,
http://127.0.0.1:3333/FathAliShahQajar,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Fath Ali Shah Qajar,
http://127.0.0.1:3333/JohnMoore,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,John Moore,
http://127.0.0.1:3333/Prancis,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Prancis,
http://127.0.0.1:3333/PangeranPoniatowski,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Poniatowski,
http://127.0.0.1:3333/JeromeI,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Jerome I,
