iri,alias
KerusuhanPoso,Poso conflict
KerusuhanPoso,Poso communal conflict
KerusuhanPoso,Poso communal riots
InvasiIndonesiakeTimorTimur,Operation Lotus
KonfrontasiIndonesia-Malaysia,Indonesia-Malaysia confrontation
KonfrontasiIndonesia-Malaysia,Borneo confrontation
KonfrontasiIndonesia-Malaysia,Indonesian confrontation in Malaysia
KonfrontasiIndonesia-Malaysia,Konfrontasi
PertempuranKumai,Battle of 14th January
SeranganUmum1Maret1949,General Offensive of 1 March 1949
KampanyeHindiaBelanda,Netherlands East Indies Campaign
PertempuranMedanArea,Battle of Medan Area
RevolusiNasionalIndonesia,Indonesian War of Independence
RevolusiNasionalIndonesia,Indonesian Revolution
RevolusiNasionalIndonesia,Indonesian National Struggle
RevolusiNasionalIndonesia,Indonesian Revolutionary War
RevolusiNasionalIndonesia,Indonesian War of Independence
RevolusiNasionalIndonesia,Indonesian Revolution
RevolusiNasionalIndonesia,Indonesian National Struggle
RevolusiNasionalIndonesia,Indonesian Revolutionary War
PerangDingin,The Cold War
PerangKemerdekaan,American War of Independence
PerangKemerdekaan,United States Revolutionary War
PerangKemerdekaan,War of American Independence
PerangKemerdekaan,Revolutionary War
PerangKemerdekaan,U.S. Revolutionary War
PerangKemerdekaan,U.S. War of Independence
PerangKemerdekaan,US Revolutionary War
PerangKemerdekaan,War of the American Revolution
PerangKemerdekaan,The War of Independence
PerangKemerdekaan,War of Independence
GegerSepehi,Gègèr Sepèi
GegerSepehi,Geger Sepehi
PerangDiponegoro,Diponegoro War
PierreTendean,Pierre Andries Tendean
SumantriBrodjonegoro,Satryo S. Brodjonegoro
MuammarKhadafi,Dr. Muammar Khadafie
KaharMuzakir,Drs. H. Kahar Muzakir
SayidimanSuryohadiprojo,Sayidiman Suryohadiprojo
MervinSadipunKomber,"Dr. Mervin Sadipun Komber, S.T., S.E., M.M."
AjitSingh,Chaudhary Ajit Singh
RanoKarno,H. Rano Karno
RanoKarno,"H. Rano Karno, S.Ip."
BomerPasaribu,(Ipb). H.Bomer Pasaribu
