iri,wikiurl,image,summary
http://127.0.0.1:3333/Trowulan,https://id.wikipedia.org/wiki/Situs_Trowulan,https://upload.wikimedia.org/wikipedia/commons/8/84/065_Excavations%2C_Situs_Sumur_Upas_%2839718786984%29.jpg,"Situs Trowulan adalah kawasan kepurbakalaan dari periode klasik sejarah Indonesia yang berada di Kecamatan Trowulan, Kabupaten Mojokerto, Jawa Timur. Berbagai temuan yang pernah diangkat di sini menunjukkan ciri-ciri pemukiman yang cukup maju. Berdasarkan kronik, prasasti, simbol, dan catatan yang ditemukan di sekitar kawasan tersebut, diduga kuat situs ini berhubungan dengan ibukota kerajaan Majapahit. Sebuah kemaharajaan yang pernah berdiri sekitar tahun 1293–1527 M.
Kawasan berdirinya struktur-struktur besar (candi, makam, dan kolam) mencakup wilayah sekitar 5 km × 5 km, dipotong oleh jalan negara yang menghubungkan kota Jombang dan Surabaya. Namun demikian, temuan-temuan yang terpendam diketahui berada di luar kawasan tersebut dan mencakup kawasan lebih luas dengan ukuran 11 km × 9 km, hingga mencakup pula wilayah timur Kabupaten Jombang."
http://127.0.0.1:3333/KubilaiKhan,https://id.wikipedia.org/wiki/Kubilai_Khan,https://upload.wikimedia.org/wikipedia/commons/1/19/M%C5%8Dko_Sh%C5%ABrai_Ekotoba.jpg,"Kubilai Khan (23 September 1215 – 18 Februari 1294), juga dikenal dengan nama kuil sebagai Kaisar Shizu dari Yuan dan nama regnal Setsen Khan, adalah pendiri dan kaisar pertama Kekaisaran Mongol yang memimpin Dinasti Yuan di Tiongkok. Dia memproklamirkan nama dinasti ""Yuan Agung"" pada tahun 1271, dan memerintah Dinasti Yuan hingga kematiannya pada tahun 1294.
Kubilai adalah putra kedua Tolui dari istri utamanya Sorghaghtani Beki, dan cucu dari Jenghis Khan. Dia hampir berusia 12 tahun ketika Jenghis Khan meninggal pada tahun 1227. Dia menggantikan kakak laki-lakinya, Möngke sebagai Khagan pada tahun 1260, tetapi harus mengalahkan adik laki-lakinya Ariq Böke dalam Perang Saudara Toluid yang berlangsung hingga tahun 1264."
http://127.0.0.1:3333/FerdinandIV,https://id.wikipedia.org/wiki/Fernando_IV_dari_Kastilia,https://upload.wikimedia.org/wikipedia/commons/3/3e/Fernando_IV_de_Castela_-_Compendio_de_cr%C3%B3nicas_de_reyes_%28Biblioteca_Nacional_de_Espa%C3%B1a%29.png,"Ferdinand IV dari Kastilia (6 Desember 1285 – 7 September 1312) adalah Raja Kastilia dan León dari 1295 sampai kematiannya. Seperti para pendahulunya, Ferdinand IV meneruskan Reconquista. Meskipun ia gagal merebut Algeciras pada 1309, ia merebut kota Gibraltar pada tahun yang sama. Pada 1312, ia juga merebut kota Alcaudete.


== Catatan ==


== Referensi ==
Benavides, Antonio (1860)."
http://127.0.0.1:3333/NyiAgengSerang,https://id.wikipedia.org/wiki/Nyai_Ageng_Serang,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,"Raden Ayu Serang atau Nyai Ageng Serang (bahasa Jawa: ꦚꦲꦶꦲꦒꦼꦁꦱꦺꦫꦁ, translit. Nyai Ageng Sérang) (1752-1828) adalah tokoh pahlawan nasional Indonesia wanita yang memiliki nama kecil Raden Ajeng Retno Kursiah Edi. Setelah menikah, namanya menjadi Bendara Raden Ayu Kustiyah Wulaningsih Retno Edi. Ia adalah seorang Pahlawan Nasional Indonesia. Di antara keturunannya, salah satunya juga seorang Pahlawan Nasional, yaitu Soewardi Soerjaningrat atau lebih dikenal sebagai Ki Hajar Dewantara."
http://127.0.0.1:3333/PetrusAlbertusvanderParra,https://id.wikipedia.org/wiki/Petrus_Albertus_van_der_Parra,https://upload.wikimedia.org/wikipedia/commons/0/02/Arrow_left_pictogram.png,"Petrus Albertus van der Parra, (29 September 1714 – 28 Desember 1775) adalah Gubernur-Jenderal Hindia Belanda yang ke-29. Ia memerintah secara cukup lama antara tahun 1761 – 1775. Ia meninggal ketika masih menjabat."
http://127.0.0.1:3333/RanggaLawe,https://id.wikipedia.org/wiki/Ranggalawe,,"Ranggalawe atau Rangga Lawe (lahir: ? - wafat: 1295) adalah salah satu pengikut Raden Wijaya yang berjasa besar dalam perjuangan mendirikan Kerajaan Majapahit, Ranggalawe merupakan putra dari Arya Wiraraja , Ranggalawe ditugaskan sebagai Adipati Tuban .Sehubungan dengan adanya kecemburuan sosial karena perihal jabatan, ranggalawe memberontak kepada raja, Ranggalawe meninggal sebagai pemberontak pertama dalam sejarah kerajaan ini. Nama besarnya dikenang sebagai pahlawan oleh masyarakat Kabupaten Tuban sampai saat ini. Ia adalah salah satu tokoh Majapahit paling berpengaruh di zamannya.


== Peran awal ==
Kidung Panji Wijayakrama dan Kidung Ranggalawe menyebut Ranggalawe sebagai putra Arya Wiraraja bupati Songeneb (nama lama Sumenep)."
http://127.0.0.1:3333/Tamjid2dariBanjar,https://id.wikipedia.org/wiki/Perang_Banjar,https://upload.wikimedia.org/wikipedia/commons/4/43/1._ZM_Stoomschip_Celebes_in_gevecht_met_een_Kota_Mara_6_aug_1859_Poeloe_Kananat_opgenomen.jpg,"Perang Banjar atau Perang Banjar-Barito atau Perang Kalimantan Selatan
adalah perang perlawanan terhadap penjajahan kolonial Belanda di Kerajaan Banjar yang berlangsung hampir setengah abad (1859–1906), sehingga menjadikannya perang terlama di Nusantara. Jika dilihat coraknya, perlawanan dapat dibedakan antara perlawanan ofensif yang berlangsung dalam waktu relatif pendek (1859–1863), dan perlawanan defensif yang mengisi yang mengisi seluruh perjuangan selanjutnya (1863–1905/06).
Konflik dengan Belanda sebenarnya sudah mulai sejak Belanda memperoleh hak monopoli dagang di Kesultanan Banjar. Dengan ikut campurnya Belanda dalam urusan kerajaan, kekalutan makin bertambah. Pada tahun 1785, Pangeran Nata yang menjadi wali putra mahkota, mengangkat dirinya menjadi raja dengan gelar Sultan Tahmidullah II (1761–1801) dan membunuh semua putra almarhum Sultan Muhammad."
http://127.0.0.1:3333/KolonelAJAndresen,https://id.wikipedia.org/wiki/Augustus_Johannes_Andresen,https://upload.wikimedia.org/wikipedia/commons/3/31/Andresen%2C_AJ.jpg,"Augustus Johannes Andresen (22 November 1808 – 15 April 1872) adalah jenderal Belanda. Ia juga ksatria dan perwira Militaire Willems-Orde dan komandan Koninklijk Nederlandsch-Indisch Leger.


== Karier dan penghargaan ==
Pada saat berpangkat ajudan kapiten, Andresen dinobatkan sebagai ksatria MWO kelas IV atas perannya di Sumatra (Dekret Kerajaan tanggal 6 Desember 1846 no. 2). Di saat berpangkat letnan kolonel, Andresen naik pangkat sebagai ksatria atas perannya dalam pertempuran di Kalimantan Barat (Koninklijk Besluit tanggal 17 Agustus 1854 no."
http://127.0.0.1:3333/AminUllah,https://id.wikipedia.org/wiki/Perang_Banjar,https://upload.wikimedia.org/wikipedia/commons/4/43/1._ZM_Stoomschip_Celebes_in_gevecht_met_een_Kota_Mara_6_aug_1859_Poeloe_Kananat_opgenomen.jpg,"Perang Banjar atau Perang Banjar-Barito atau Perang Kalimantan Selatan
adalah perang perlawanan terhadap penjajahan kolonial Belanda di Kerajaan Banjar yang berlangsung hampir setengah abad (1859–1906), sehingga menjadikannya perang terlama di Nusantara. Jika dilihat coraknya, perlawanan dapat dibedakan antara perlawanan ofensif yang berlangsung dalam waktu relatif pendek (1859–1863), dan perlawanan defensif yang mengisi yang mengisi seluruh perjuangan selanjutnya (1863–1905/06).
Konflik dengan Belanda sebenarnya sudah mulai sejak Belanda memperoleh hak monopoli dagang di Kesultanan Banjar. Dengan ikut campurnya Belanda dalam urusan kerajaan, kekalutan makin bertambah. Pada tahun 1785, Pangeran Nata yang menjadi wali putra mahkota, mengangkat dirinya menjadi raja dengan gelar Sultan Tahmidullah II (1761–1801) dan membunuh semua putra almarhum Sultan Muhammad."
http://127.0.0.1:3333/DemangLehman,https://id.wikipedia.org/wiki/Demang_Lehman,https://upload.wikimedia.org/wikipedia/commons/0/03/Deman_Lehman_%28Soelehmah%29_gevangen_te_Bandjermasin.tif,"Demang Lehman yang bergelar Adhipattie Mangko Nagara (Adipati Mangku Negara) (lahir di Martapura tahun 1832 - meninggal di Martapura tanggal 27 Februari 1864 pada umur 32 tahun) adalah salah seorang panglima perang dalam Perang Banjar. Dia terlahir dengan nama Idris Gelar Kiai Demang merupakan gelar untuk pejabat yang memegang sebuah lalawangan (distrik) di Kesultanan Banjar. Demang Lehman semula merupakan seorang panakawan (ajudan) dari Pangeran Hidayatullah II sejak tahun 1857. Oleh karena kesetiaan dan kecakapannya dan besarnya jasa sebagai panakawan dari Pangeran Hidayatullah II, dia diangkat menjadi Kiai sebagai lalawangan/kepala Distrik Riam Kanan (tanah lungguh Pg. Hidayatullah II)."
