iri,id
KrisisTimorTimur1999,Q152848,1999 East Timorese crisis
KerusuhanSambas,Q16556620,Sambas riots
OperasiTrisula,Q97222745,Operation Trisula
KerusuhanPoso,Q4198279,Poso riots
PemberontakandiAceh,Q2670013,Insurgency in Aceh
OperasiJayapura1976,Q73692951,1976 Jayapura operation
KrisissanderaMapenduma,Q17275541,Mapenduma hostage crisis
OperasimiliterIndonesiadiAceh1990-1998,Q12269712,1990-98 Indonesian military operations in Aceh
KonflikPapua,Q1893456,Papua conflict
InvasiIndonesiakeTimorTimur,Q2583734,Indonesian invasion of East Timor
KonfrontasiIndonesia-Malaysia,Q1361929,Indonesia–Malaysia confrontation
PeristiwaTigaMaret,Q83207524,3 March affair
PertempuranKumai,Q109110101,Battle of Kumai
DelapanJamPertempurandiMangkang,Q56393085,Delapan Jam Pertempuran di Mangkang
PerangCumbok,Q19752470,Cumbok Affair
SeranganUmum1Maret1949,Q5471529,1 March General Offensive
PertempuranBojongKokosan,Q13200117,Pertempuran Bojong Kokosan
Peristiwa19November,Q90813982,Kolaka incident
KampanyeHindiaBelanda,Q698226,Dutch East Indies campaign
PerangDayakDesa,Q12504837,Dayak Desa War
PuputanMargarana,Q19752611,Battle of Margarana
PertempuranLengkong,Q12505218,Lengkong incident
PertempuranMedanArea,Q16208784,Battle of Medan
PenyerbuanKotabaruYogyakarta,Q12504786,Battle of Kotabaru
SeranganUmumSurakarta,Q19637859,Siege of Surakarta
PertempuranLimaHari,Q11313278,Bulu prison massacre
BandungLautanApi,Q2754428,Bandung Sea of Fire
PertempuranSurabaya,Q26496,Battle of Surabaya
RevolusiNasionalIndonesia,Q1332160,Indonesian National Revolution
Gerakan30September,Q1643006,30 September Movement
Operasi17Agustus,Q109430770,Operasi 17 Agustus
RevolusiIndonesia,Q12508532,Revolusi Indonesia
RevolusiNasionalIndonesia,Q1332160,Indonesian National Revolution
PerangDingin,Q8683,Cold War
PerangKemerdekaan,Q40949,American Revolutionary War
GegerSepehi,Q25464104,Battle of Sepehi
PemberontakanRadenRonggo,Q25464141,Pemberontakan Raden Ronggo
PerangDiponegoro,Q2045508,Java War of 1825-1830
PerangBelasting,Q12504836,Perang Belasting
PerangBayu,Q25462140,Perang Bayu
PerangAceh,Q277450,Aceh War
SerbuanYuan-MongolkeJawa,Q2672432,Mongol invasion of Java
PerangPadri,Q2725993,Padri War
BernardusSugiartaMuljana,Q56399783,Bernardus Sugiarta Muljana
PierreTendean,Q2603600,Pierre Tendean
A.M.Hendropriyono,Q4666027,Abdullah Mahmud Hendropriyono
BurhanuddinAbdullah,Q12478007,Burhanuddin Abdullah
PramonoEdhieWibowo,Q7238276,Pramono Edhie Wibowo
SubiaktoTjakrawerdaya,Q18421453,Subiakto Tjakrawerdaya
SumantriBrodjonegoro,Q12517348,Sumantri Brodjonegoro
MuammarKhadafi,Q123885232,Muammar Khadafie
WidodoA.S.,Q4902218,Widodo Adi Sutjipto
RusliHalil,Q120202788,Rusli Halil
LindaAmaliaSari,Q12494918,Linda Amalia Sari
AgumGumelar,Q4694586,Agum Gumelar
DanangHadiwibowo,Q110102784,Danang Hadiwibowo
KaharMuzakir,Q56399548,Kahar Muzakir
SoetardjoSoerjogoeritno,Q19748432,Soetardjo Soerjogoeritno
NasrudinSumintapura,Q56399775,Nasrudin Sumintapura
SayidimanSuryohadiprojo,Q12512520,Sajidiman Surjohadiprodjo
SophanSophiaan,Q7562833,Sophan Sophiaan
MervinSadipunKomber,Q17410720,Mervin Sadipun Komber
LatiefHendraningrat,Q12494044,Latief Hendraningrat
AjitSingh,Q4699805,Ajit Singh
Adhyatma,Q56399770,Adhyatma
RadiusPrawiro,Q7281390,Radius Prawiro
AdrianusMooy,Q12470772,Adrianus Mooy
PahriAzhari,Q12502040,Pahri Azhari
HaryonoSuyono,Q12485379,Haryono Suyono
SyarwanHamid,Q12518364,Syarwan Hamid
A.R.Soehoed,Q12470435,A.R. Soehoed
EdiSudradjat,Q1284477,Edi Sudradjat
RanoKarno,Q517317,Rano Karno
BomerPasaribu,Q12476886,Bomer Pasaribu
SriAdiningsih,Q17411425,Sri Adiningsih
MarzukiAlie,Q7384733,Marzuki Alie
SubagyoHadiSiswoyo,Q17411379,Subagyo Hadi Siswoyo
AirlanggaHartarto,Q12471140,Airlangga Hartarto
YogiSupardi,Q85850573,Yogi Supardi
