iri,image
KerusuhanPoso,http://commons.wikimedia.org/wiki/Special:FilePath/Fronts of Poso riots (colored with text).svg
KonfrontasiIndonesia-Malaysia,http://commons.wikimedia.org/wiki/Special:FilePath/British forces in Borneo during Confrontation.jpg
SeranganUmum1Maret1949,http://commons.wikimedia.org/wiki/Special:FilePath/Munumen Serangan Umum 1 Maret 1949.jpg
KampanyeHindiaBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE TROPENMUSEUM Het Nederlands-Indische leger vernielt marine-installaties te Soerabaja alvorens de Japanners landen TMnr 10001962.jpg
RevolusiNasionalIndonesia,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE TROPENMUSEUM Militaire kolonne tijdens de eerste politionele actie TMnr 10029135.jpg
PerangDiponegoro,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolaas Pieneman - The Submission of Prince Dipo Negoro to General De Kock.jpg
PierreTendean,http://commons.wikimedia.org/wiki/Special:FilePath/Tendean.jpg
SumantriBrodjonegoro,http://commons.wikimedia.org/wiki/Special:FilePath/28 sumantribrodjonegoro.jpg
KaharMuzakir,"http://commons.wikimedia.org/wiki/Special:FilePath/Kahar Muzakir, DPR RI.jpg"
SayidimanSuryohadiprojo,http://commons.wikimedia.org/wiki/Special:FilePath/Sayidiman Suryohadiprojo.jpg
MervinSadipunKomber,http://commons.wikimedia.org/wiki/Special:FilePath/Mervin Sadipun Komber.jpg
AjitSingh,http://commons.wikimedia.org/wiki/Special:FilePath/Ajit Singh at press conference.jpg
RanoKarno,http://commons.wikimedia.org/wiki/Special:FilePath/Rano Karno - 17 Agustus 2012.jpg
SubagyoHadiSiswoyo,http://commons.wikimedia.org/wiki/Special:FilePath/Jenderal TNI Subagyo HS.png
AirlanggaHartarto,http://commons.wikimedia.org/wiki/Special:FilePath/Airlangga Hartarto.jpg
YogiSupardi,http://commons.wikimedia.org/wiki/Special:FilePath/Ignatius Yogi Supardi.jpg
ImanuelEkadianusBlegur,http://commons.wikimedia.org/wiki/Special:FilePath/KPU Imanuel Ekadianus Blegur.jpg
BambangSoesatyo,http://commons.wikimedia.org/wiki/Special:FilePath/Ketua DPR Bambang Soesatyo.jpg
MahfudMD,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammad Mahfud.JPG
AchmadSoebardjo,http://commons.wikimedia.org/wiki/Special:FilePath/Achmad soebardjo.jpg
AmienRais,"http://commons.wikimedia.org/wiki/Special:FilePath/Amien Rais and Abdurrahman Wahid, 1999.jpg"
MooryatiSoedibyo,http://commons.wikimedia.org/wiki/Special:FilePath/Mooryati-Soedibyo 2007.jpg
T.B.Simatupang,http://commons.wikimedia.org/wiki/Special:FilePath/Sukarno and Simatupang Suara Rakyat 22 Feb 1952 p1.jpg
LodewijkFreidrichPaulus,"http://commons.wikimedia.org/wiki/Special:FilePath/Lowedijk F. Paulus, DPR RI (2019-2024).jpg"
SariYuliati,http://commons.wikimedia.org/wiki/Special:FilePath/Anggota DPR Sari Yuliati.jpg
DaveLaksono,http://commons.wikimedia.org/wiki/Special:FilePath/Dave Laksono.jpg
ZaenalMa'arif,"http://commons.wikimedia.org/wiki/Special:FilePath/Zainal Ma'arif, Buku Kenangan Anggota Dewan Perwakilan Rakyat Republik Indonesia Periode 2004-2009, pIV.jpg"
IshakMekki,http://commons.wikimedia.org/wiki/Special:FilePath/South Sumatra Vice Governor Ishak Mekki.jpg
AkbarTanjung,http://commons.wikimedia.org/wiki/Special:FilePath/AkTandjung.jpg
MuchdiPurwoprandjono,http://commons.wikimedia.org/wiki/Special:FilePath/Muchdi Purwoprandjono.jpg
J.B.Sumarlin,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes Baptista Sumarlin - Fourth Development Cabinet.jpg
GatotSoebroto,http://commons.wikimedia.org/wiki/Special:FilePath/Gatot Subroto Suara Merdeka 20 December 1954 p3.jpg
OemarSenoAdji,http://commons.wikimedia.org/wiki/Special:FilePath/Oemar Seno Adji.png
HidayatNurWahid,http://commons.wikimedia.org/wiki/Special:FilePath/Hidayat Nur Wahid.jpg
FahriHamzah,http://commons.wikimedia.org/wiki/Special:FilePath/Fahri Hamzah official.jpg
GitaWirjawan,http://commons.wikimedia.org/wiki/Special:FilePath/Gita Wirjawan.jpg
AgusHermanto,http://commons.wikimedia.org/wiki/Special:FilePath/Agus Hermanto.jpg
HuseinMutahar,http://commons.wikimedia.org/wiki/Special:FilePath/H. Mutahar.jpg
BandjelaPaliudju,http://commons.wikimedia.org/wiki/Special:FilePath/Bandjela Paliudju.jpg
ArifinSiregar,http://commons.wikimedia.org/wiki/Special:FilePath/Arifin-m-siregar.jpg
FransSeda,http://commons.wikimedia.org/wiki/Special:FilePath/Indonesia Ambassador to Belgium Frans Seda.jpg
HasriAinunBesari,http://commons.wikimedia.org/wiki/Special:FilePath/Ainun Habibie.png
PeterCosgrove,http://commons.wikimedia.org/wiki/Special:FilePath/Peter Cosgrove 2017 (1) crop.jpg
Djatikoesoemo,http://commons.wikimedia.org/wiki/Special:FilePath/Djatikusumo.jpg
SabamSirait,http://commons.wikimedia.org/wiki/Special:FilePath/Official Portrait of Sabam Sirait.jpg
SetyaNovanto,"http://commons.wikimedia.org/wiki/Special:FilePath/Setya Novanto, Ketua DPR RI.jpg"
MohamadHekal,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamad Hekal.jpg
DjoehanaWiradikarta,http://commons.wikimedia.org/wiki/Special:FilePath/Djoehana Wiradikarta.jpg
AlamsyahRatuPerwiranegara,http://commons.wikimedia.org/wiki/Special:FilePath/Alamsyah Ratu Perwiranegara - Fourth Development Cabinet.jpg
LukitaDinarsyahTuwo,http://commons.wikimedia.org/wiki/Special:FilePath/Wakil Menteri PPN Lukita Dinarsyah Tuwo.jpg
M.Sarbini,http://commons.wikimedia.org/wiki/Special:FilePath/Mayjen TNI M. Sarbini.jpg
DewiAsmara,http://commons.wikimedia.org/wiki/Special:FilePath/Anggota DPR Dewi Asmara.jpg
AmirMachmud,http://commons.wikimedia.org/wiki/Special:FilePath/Amirmachmud.jpg
SoemitroDjojohadikoesoemo,http://commons.wikimedia.org/wiki/Special:FilePath/Soemitro Smiling.jpg
PurwotoGandasubrata,http://commons.wikimedia.org/wiki/Special:FilePath/Purwoto S. Ganda Subrata.png
HadiThayeb,http://commons.wikimedia.org/wiki/Special:FilePath/Teuku Mohammad Hadi Thayeb.jpg
AbdulHarisNasution,http://commons.wikimedia.org/wiki/Special:FilePath/Abdul Haris Nasution.jpg
PrabowoSubianto,http://commons.wikimedia.org/wiki/Special:FilePath/KIM Prabowo Subianto.jpg
MohammadSyafa'atMintaredja,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammad Syafaat Mintaredja.jpg
PakuAlamVIII,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE TROPENMUSEUM Schilderij van Zijne Hoogheid Prins Pakoe Alam VIII in officieel tenue TMnr 10001894.jpg
DaoedJoesoef,http://commons.wikimedia.org/wiki/Special:FilePath/Daoed Joesoef portrait.jpg
KharisSuhud,http://commons.wikimedia.org/wiki/Special:FilePath/Kharis suhud 1980.jpg
D.I.Pandjaitan,http://commons.wikimedia.org/wiki/Special:FilePath/D. I. Pandjaitan.jpg
EuricoGuterres,http://commons.wikimedia.org/wiki/Special:FilePath/0240 Militia Leader Eurico Guterres 1999.jpg
XananaGusmão,http://commons.wikimedia.org/wiki/Special:FilePath/Xanana 2011.jpg
MegawatiSoekarnoputri,http://commons.wikimedia.org/wiki/Special:FilePath/President Megawati Sukarnoputri - Indonesia.jpg
Moerdiono,http://commons.wikimedia.org/wiki/Special:FilePath/Moerdiono - Fourth Development Cabinet.jpg
Hartini,http://commons.wikimedia.org/wiki/Special:FilePath/Suhartini Suara Merdeka 20 Sep 1950 p2.jpg
SitiHardijantiRukmana,"http://commons.wikimedia.org/wiki/Special:FilePath/Tutut Soeharto, Antara TV, 00.35.jpg"
OesmanSaptaOdang,http://commons.wikimedia.org/wiki/Special:FilePath/Oesman Sapta Odang Official Portrait.jpg
TommySoeharto,http://commons.wikimedia.org/wiki/Special:FilePath/Tommy Suharto Central Aceh.png
SitiHartinah,http://commons.wikimedia.org/wiki/Special:FilePath/Raden Ayu Siti Hartinah.jpg
Fatmawati,http://commons.wikimedia.org/wiki/Special:FilePath/Fatmawati Soekarno (1966).jpg
SayutiMelik,http://commons.wikimedia.org/wiki/Special:FilePath/Sayuti Melik.jpg
MaradenPanggabean,http://commons.wikimedia.org/wiki/Special:FilePath/Jenderal TNI Maraden Panggabean.png
SusiloBambangYudhoyono,http://commons.wikimedia.org/wiki/Special:FilePath/Presiden Susilo Bambang Yudhoyono.png
TrySutrisno,"http://commons.wikimedia.org/wiki/Special:FilePath/Try Sutrisno, 1993.jpg"
JusufKalla,http://commons.wikimedia.org/wiki/Special:FilePath/Jusuf Kalla Vice President Portrait 2014.jpg
AnwarTjokroaminoto,"http://commons.wikimedia.org/wiki/Special:FilePath/Anwar Tjokroaminoto, Kepartaian dan Parlementaria Indonesia (1954), p336.jpg"
MohammadNatsir,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammad Natsir 1950s.jpg
HamengkubuwanaIX,http://commons.wikimedia.org/wiki/Special:FilePath/Official portrait of Sultan Sri Sultan Hamengkubowono IX.jpg
IwaKoesoemasoemantri,http://commons.wikimedia.org/wiki/Special:FilePath/Iwa Kusumasumantri.jpg
Soemitro,http://commons.wikimedia.org/wiki/Special:FilePath/Soemitro Smiling.jpg
Mar'ieMuhammad,http://commons.wikimedia.org/wiki/Special:FilePath/Marie Muhammad.jpg
TandionoManu,"http://commons.wikimedia.org/wiki/Special:FilePath/Tandiono Manu, Kami Perkenalkan (1952), p15.jpg"
RogérioLobato,http://commons.wikimedia.org/wiki/Special:FilePath/2022-02-03 Rogerio Lobato.jpg
MasTirtodarmoHaryono,http://commons.wikimedia.org/wiki/Special:FilePath/MT Haryono.jpg
Soebekti,http://commons.wikimedia.org/wiki/Special:FilePath/R. Subekti.png
SetiadiReksoprodjo,http://commons.wikimedia.org/wiki/Special:FilePath/Setiadi Reksoprodjo.jpg
BambangSoegeng,http://commons.wikimedia.org/wiki/Special:FilePath/Bambang Sugeng Suara Rakyat 21 Dec 1952 p1.JPG
B.M.Diah,http://commons.wikimedia.org/wiki/Special:FilePath/B.M. Diah (old).jpg
JoséAbílioOsórioSoares,http://commons.wikimedia.org/wiki/Special:FilePath/Gubernur Timor Timur Abilio Jose Osorio Soares.jpg
FranciscoGuterres,http://commons.wikimedia.org/wiki/Special:FilePath/2017-08-14 Francisco Guterres.jpg
RoeslanAbdulgani,http://commons.wikimedia.org/wiki/Special:FilePath/Ruslan Abdulgani.jpg
AbdulHakimHarahap,"http://commons.wikimedia.org/wiki/Special:FilePath/Abdul Hakim Harahap, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p120.jpg"
Mudjono,http://commons.wikimedia.org/wiki/Special:FilePath/Mudjono.png
MohammadSadli,http://commons.wikimedia.org/wiki/Special:FilePath/Menteri Pertambangan Sadli.jpg
MuktiAli,http://commons.wikimedia.org/wiki/Special:FilePath/Mukti Ali.jpg
ArnoldAchmadBaramuli,http://commons.wikimedia.org/wiki/Special:FilePath/Official Portrait of Arnold Achmad Baramuli (1999).jpg
Sudomo,"http://commons.wikimedia.org/wiki/Special:FilePath/Sudomo, 25 Tahun Pembangunan Pemerintah Orde Baru.jpg"
Wongsonegoro,"http://commons.wikimedia.org/wiki/Special:FilePath/Wongsonegoro, Kami Perkenalkan (1954), p17.jpg"
YosSudarso,http://commons.wikimedia.org/wiki/Special:FilePath/Yos Sudarso NASA 138.38068E 7.82292S.png
Suwiryo,http://commons.wikimedia.org/wiki/Special:FilePath/Suwiryo Jakarta.jpg
JennyShipley,http://commons.wikimedia.org/wiki/Special:FilePath/Jenny Shipley 2013 (crop).jpg
ChaerulSaleh,http://commons.wikimedia.org/wiki/Special:FilePath/ChairulSaleh.jpg
JacobSalatun,http://commons.wikimedia.org/wiki/Special:FilePath/Air Marshal Jacob Salatun.jpg
G.A.Siwabessy,http://commons.wikimedia.org/wiki/Special:FilePath/Gerrit Augustinus Siwabessy.jpg
B.J.Habibie,"http://commons.wikimedia.org/wiki/Special:FilePath/B. J. Habibie, President of Indonesia portrait.jpg"
Soekarno,http://commons.wikimedia.org/wiki/Special:FilePath/Presiden Sukarno.jpg
HelenClark,http://commons.wikimedia.org/wiki/Special:FilePath/Helen Clark official photo (cropped).jpg
JoseAbilioOsorioSoares,http://commons.wikimedia.org/wiki/Special:FilePath/Gubernur Timor Timur Abilio Jose Osorio Soares.jpg
ManueldeSousa,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio Nocerino.jpg
SergioVieiradeMello,http://commons.wikimedia.org/wiki/Special:FilePath/Sérgio Vieira de Mello.jpg
JohnHoward,http://commons.wikimedia.org/wiki/Special:FilePath/Howard John BANNER.jpg
MuzakirManaf,http://commons.wikimedia.org/wiki/Special:FilePath/Muzakir Manaf.jpg
MustaphaHarun,http://commons.wikimedia.org/wiki/Special:FilePath/Mustapha Harun.jpg
D.N.Aidit,http://commons.wikimedia.org/wiki/Special:FilePath/DNAidit.jpg
SusiloYudhoyono,http://commons.wikimedia.org/wiki/Special:FilePath/Presiden Susilo Bambang Yudhoyono.png
LeeKuanYew,http://commons.wikimedia.org/wiki/Special:FilePath/Lee Kuan Yew.jpg
GoliathTabuni,http://commons.wikimedia.org/wiki/Special:FilePath/Jenderal. Goliath Tabuni.JPG
JokoWidodo,http://commons.wikimedia.org/wiki/Special:FilePath/Joko Widodo 2019 official portrait.jpg
AbdurrahmanWahid,http://commons.wikimedia.org/wiki/Special:FilePath/President Abdurrahman Wahid - Indonesia.jpg
RogerioLobato,http://commons.wikimedia.org/wiki/Special:FilePath/2022-02-03 Rogerio Lobato.jpg
MariAlkatiri,http://commons.wikimedia.org/wiki/Special:FilePath/Marí Alkatiri 2020-01-24.jpg
XananaGusmao,http://commons.wikimedia.org/wiki/Special:FilePath/Xanana 2011.jpg
HaroldWilson,http://commons.wikimedia.org/wiki/Special:FilePath/Harold Wilson (1967).jpg
Suharto,"http://commons.wikimedia.org/wiki/Special:FilePath/President Suharto, 1993.jpg"
HasandiTiro,http://commons.wikimedia.org/wiki/Special:FilePath/Hasan Tiro.JPG
LuhutBinsarPandjaitan,http://commons.wikimedia.org/wiki/Special:FilePath/Luhut Binsar Pandjaitan.png
OmarAliSaifuddienIII,http://commons.wikimedia.org/wiki/Special:FilePath/Omar Ali Saifuddien III.jpg
TuankuSyedPutra,http://commons.wikimedia.org/wiki/Special:FilePath/CO 1069-504-18 (7893276430).jpg
A.H.Nasution,http://commons.wikimedia.org/wiki/Special:FilePath/Abdul Haris Nasution.jpg
AlecDouglas-Home,http://commons.wikimedia.org/wiki/Special:FilePath/Alec Douglas-Home (c1963).jpg
HasanDiTiro,http://commons.wikimedia.org/wiki/Special:FilePath/Hasan Tiro.JPG
MegawatiSukarnoputri,http://commons.wikimedia.org/wiki/Special:FilePath/President Megawati Sukarnoputri - Indonesia.jpg
TunkuAbdulRahman,http://commons.wikimedia.org/wiki/Special:FilePath/Tunku abd rahman.jpg
HaroldMacmillan,http://commons.wikimedia.org/wiki/Special:FilePath/Harold Macmillan.jpg
AbdulRazakHussein,http://commons.wikimedia.org/wiki/Special:FilePath/Tun Abdul Razak (MY 2nd PM).jpg
Mollinger,http://commons.wikimedia.org/wiki/Special:FilePath/Godard Alexander Gerrit Philip Mollinger door Frederik Hendrik Weissenbruch.jpg
MangkunegaraVIII,"http://commons.wikimedia.org/wiki/Special:FilePath/Raden Mas Saroso Notosoeparto, de latere Mangkoe Nagoro VIII.jpg"
PakubuwanaXII,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE TROPENMUSEUM Pakoe Boewono XII de Susuhunan van Solo in de kraton TMnr 60052129.jpg
WilhelminadariBelanda,"http://commons.wikimedia.org/wiki/Special:FilePath/Jacob Merkelbach, Afb 010164033120.jpg"
SyarifHamidIIdariPontianak,http://commons.wikimedia.org/wiki/Special:FilePath/Sultan Hamid II (1966).jpg
JulianadariBelanda,"http://commons.wikimedia.org/wiki/Special:FilePath/Queen Juliana of the Netherlands, 1961 studio portrait (by Max Koot) – Nationaal Archief.jpg"
SimonSpoor,http://commons.wikimedia.org/wiki/Special:FilePath/Simon Spoor (1948).jpg
TjokordaGdeRakaSoekawati,"http://commons.wikimedia.org/wiki/Special:FilePath/De afgevaardigde van Sali Soekawata, Bestanddeelnr 901-9802.jpg"
Soedirman,http://commons.wikimedia.org/wiki/Special:FilePath/Sudirman.jpg
SutanSjahrir,http://commons.wikimedia.org/wiki/Special:FilePath/Soetan Sjahrir 1948.jpg
SyafruddinPrawiranegara,http://commons.wikimedia.org/wiki/Special:FilePath/Sjafrudin prawiranegara.jpg
RaymondWesterling,http://commons.wikimedia.org/wiki/Special:FilePath/Raymond Westerling.jpg
Sutomo,http://commons.wikimedia.org/wiki/Special:FilePath/Bung Tomo.jpg
MohammadHatta,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammad Hatta 1950.jpg
ConradHelfrich,http://commons.wikimedia.org/wiki/Special:FilePath/Luitenant-admiraal Helfrich (1946).jpg
RobertMansergh,http://commons.wikimedia.org/wiki/Special:FilePath/ECMansergh.jpg
SekarmadjiMaridjanKartosoewirjo,http://commons.wikimedia.org/wiki/Special:FilePath/Kartosuwirjo 17 August 1950 KR.jpg
AbdulkadirWidjojoatmodjo,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE TROPENMUSEUM Portret van kolonel Abdulkadir Widjojoatmodjo en zijn echtgenote TMnr 10018595.jpg
AmirSjarifoeddin,http://commons.wikimedia.org/wiki/Special:FilePath/Amir Sjarifuddin.jpg
JuliusTahija,"http://commons.wikimedia.org/wiki/Special:FilePath/Tahaya, J.jpg"
LouisMountbatten,http://commons.wikimedia.org/wiki/Special:FilePath/Lord Mountbatten Naval in colour Allan Warren.jpg
DirkReinhardAdelbertvanLangen,http://commons.wikimedia.org/wiki/Special:FilePath/D.R.A. van Langen.png
ThomasC.Hart,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas C. Hart.jpg
"ArchibaldWavell,1stEarlWavell",http://commons.wikimedia.org/wiki/Special:FilePath/Archibald Wavell2.jpg
