iri,id
Pesindo,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
Tiongkok,http://commons.wikimedia.org/wiki/Special:FilePath/Badaling China Great-Wall-of-China-01.jpg,https://id.wikipedia.org/wiki/Tiongkok
Indonesia,http://commons.wikimedia.org/wiki/Special:FilePath/Krt 1510 full.jpg,https://id.wikipedia.org/wiki/Indonesia
TNI,http://commons.wikimedia.org/wiki/Special:FilePath/Indonesia Army soldiers.jpg,https://id.wikipedia.org/wiki/Tentara Nasional Indonesia
POLRI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kepolisian Negara Republik Indonesia
PBI,http://commons.wikimedia.org/wiki/Special:FilePath/PBIA Close.jpg,
FrontDemokrasiRakyat,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Front Demokrasi Rakyat
PSI,http://commons.wikimedia.org/wiki/Special:FilePath/1905 - tessera del Partito Socialista Italiano.jpg,
PKI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
SOBSI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
SukuDayak,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Suku Dayak Kadazan
PemudaPancasila,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
Australia,http://commons.wikimedia.org/wiki/Special:FilePath/Australia satellite plane.jpg,https://id.wikipedia.org/wiki/Australia
Benin,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Benin
Meksiko,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Meksiko (disambiguasi)
TimorLeste,http://commons.wikimedia.org/wiki/Special:FilePath/Lospalos klein.jpg,https://id.wikipedia.org/wiki/Timor Leste
TimorLeste,http://commons.wikimedia.org/wiki/Special:FilePath/Lospalos klein.jpg,https://id.wikipedia.org/wiki/Timor Leste
PasukanJihad,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
CNRM,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
Malaysia,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Malaysia
Mahidi,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Mahidi
Brasil,http://commons.wikimedia.org/wiki/Special:FilePath/Brazil topo.jpg,https://id.wikipedia.org/wiki/Brasil
KekaisaranJepang,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo Industrial Exhibition.JPG,https://id.wikipedia.org/wiki/Kekaisaran Jepang
Taiwan,http://commons.wikimedia.org/wiki/Special:FilePath/1 taipei sunrise panorama dxr edit pangen 141215 1.jpg,https://id.wikipedia.org/wiki/Taiwan
Fiji,"http://commons.wikimedia.org/wiki/Special:FilePath/Куинс-роуд, город Нанди (Queens Rd., Nadi).jpg",https://id.wikipedia.org/wiki/Fiji
Samoa,"http://commons.wikimedia.org/wiki/Special:FilePath/Beach on Upolu Island, Samoa, 2009.jpg",https://id.wikipedia.org/wiki/Samoa
Kuba,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
KNIL,http://commons.wikimedia.org/wiki/Special:FilePath/Royal Netherlands East Indies Army Coat of Arms Tentara Kerajaan Hindia Belanda Lambang Koninklijk Nederlandsch-Indisch Leger Wapenschil Logo KNIL.jpg,https://id.wikipedia.org/wiki/Tentara Kerajaan Hindia Belanda
BatalyonInfanteri711,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Batalyon Infanteri 711
Brunei,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Brunei Darussalam
DarulIslam,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Negara Islam Indonesia
Aitarak,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Aitarak
Spanyol,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
PoldaSulawesiTengah,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kepolisian Daerah Sulawesi Tengah
KodamWirabuana,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Komando Daerah Militer XIV/Hasanuddin
PolresPoso,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kepolisian Resor Poso
LaskarJihad,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Laskar Jihad
MujahidinKOMPAK,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Mujahidin KOMPAK
JemaahIslamiyah,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Jemaah Islamiyah
RepublikMalukuSelatan,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Republik Maluku Selatan
RepublikPapuaBarat,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Republik Papua Barat
Polri,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kepolisian Negara Republik Indonesia
Tionghoa,"http://commons.wikimedia.org/wiki/Special:FilePath/Chinese and Indonesians stand together, Impressions of the Fight ... in Indonesia, p11.jpg",https://id.wikipedia.org/wiki/Orang Tionghoa Indonesia
NuginiBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/NetherlandsNewGuinea-1916.jpg,https://id.wikipedia.org/wiki/Nugini Belanda
PartaiKomunisIndonesia,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Partai Komunis Indonesia
Italia,http://commons.wikimedia.org/wiki/Special:FilePath/Colosseo 2020.jpg,https://id.wikipedia.org/wiki/Italia
AngkatanPerangRatuAdil,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Angkatan Perang Ratu Adil
Swedia,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
KoreaSelatan,http://commons.wikimedia.org/wiki/Special:FilePath/Seoul (175734251).jpeg,https://id.wikipedia.org/wiki/Korea Selatan
ABRI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
PSTT,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
UniSoviet,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Uni Soviet
ArabSaudi,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Arab Saudi
UDT,http://commons.wikimedia.org/wiki/Special:FilePath/Underwater Demolition Teams shoulder sleeve patch.JPG,
FRETILIN,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Front Revolusi Independen Timor Leste
AmerikaSerikat,http://commons.wikimedia.org/wiki/Special:FilePath/City Lights of the United States 2012.jpg,https://id.wikipedia.org/wiki/Amerika Serikat
APODETI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Asosiasi Demokratik Rakyat Timor
Mozambik,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Mozambik
FALINTIL,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Angkatan Bersenjata Pembebasan Nasional Timor Timur
ImperiumBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Imperium kolonial Belanda
KerajaanBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kerajaan Belanda
BritaniaRaya,http://commons.wikimedia.org/wiki/Special:FilePath/Palace of Westminster from the dome on Methodist Central Hall.jpg,https://id.wikipedia.org/wiki/Britania Raya
HindiaBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Hindia Belanda
LibyanArabJamahiriya,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Jamahiriyah Arab Libya
GerakanAcehMerdeka,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Gerakan Aceh Merdeka
KepulauanSolomon,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kepulauan Solomon
TentaraNasionalIndonesiaAngkatanDarat,http://commons.wikimedia.org/wiki/Special:FilePath/Marder 1A3 TNI-AD.jpg,https://id.wikipedia.org/wiki/Tentara Nasional Indonesia Angkatan Darat
Rusia,http://commons.wikimedia.org/wiki/Special:FilePath/Gorskii 04422u.jpg,https://id.wikipedia.org/wiki/Kekaisaran Rusia
BIN,http://commons.wikimedia.org/wiki/Special:FilePath/Container (PSF).png,https://id.wikipedia.org/wiki/Wewadahan
